#Summary : 
#Best fitness Pop 1;0.645234
#Best fitness Pop 2;0.644874
#Std deviation Pop 1;0.0153289
#Std deviation Pop 2;0.0155444
#Sensitivity;0.264168
#Specificity;0.840193
#Accuracy;0.825707
#PPV;0.216068
#RMSE;0.33257
#RRSE;0.872609
#RAE;0.576117
#MSE;0.131529
#ADM;0.463631
#MDM;0.300619
#Size;0.111111
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.8
#Specificity weight;0.8
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_etio_d is MF 0 AND ccr_a_cortolone_d is MF 1 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0 AND 4_Obese is MF 0
 IF ccr_tha_d is MF 2 AND ccr_pt_d is MF 0 THEN 2_Normal is MF 1 AND 5_ExtremeObese is MF 1
 IF  THEN 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 0 AND 2_Normal is MF 1
 IF ccr_zob_dhe_d is MF 1 AND ccr_zob_dhf_d is MF 0 AND ccr_sa_thb_d is MF 1 THEN 4_Obese is MF 0 AND 2_Normal is MF 1 AND 3_Surpoid is MF 0
 IF ccr_sb_oh_f_d is MF 1 AND ccr_thf_d is MF 0 THEN 3_Surpoid is MF 0 AND 5_ExtremeObese is MF 0 AND 4_Obese is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (70.7306 , 173.627 , 962.495) ; ccr_tha_d (3.60075 , 14.1429 , 46.2277) ; ccr_sa_thb_d (3.40763 , 46.4448 , 46.4448) ; ccr_pt_d (36.6713 , 54.8782 , 82.1886) ; ccr_thf_d (51.2867 , 166.29 , 259.729) ; ccr_a_cortolone_d (0.98568 , 144.583 , 742.908) ; ccr_sb_oh_f_d (45.6196 , 46.662 , 51.8743) ; ccr_zob_dhe_d (3.92931 , 14.9239 , 17.3492) ; ccr_zob_dhf_d (26.3537 , 308.153 , 335.551) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.602322; 0.550696; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.611048; 0.553425; 0.155556; 0.861662; 0.814653; 0.109948;0.345166
3; 0.611243; 0.554051; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
4; 0.610744; 0.574839; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
5; 0.616408; 0.563972; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
6; 0.616026; 0.581578; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
7; 0.617043; 0.582823; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
8; 0.616664; 0.546083; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
9; 0.617486; 0.581033; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
10; 0.617756; 0.582796; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
11; 0.618236; 0.568631; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
12; 0.605731; 0.562995; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
13; 0.620964; 0.574464; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
14; 0.612863; 0.568272; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
15; 0.617178; 0.561595; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
16; 0.617178; 0.56141; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
17; 0.617282; 0.561591; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
18; 0.611261; 0.560918; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
19; 0.614896; 0.577685; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
20; 0.623485; 0.564644; 0.221788; 0.826046; 0.810283; 0.190938;0.353296
21; 0.625171; 0.582254; 0.189679; 0.862182; 0.803856; 0.198798;0.351155
22; 0.625599; 0.584923; 0.236188; 0.818091; 0.809512; 0.193795;0.344666
23; 0.625107; 0.567897; 0.268701; 0.796691; 0.79126; 0.195778;0.345326
24; 0.624954; 0.587937; 0.268701; 0.796691; 0.79126; 0.195778;0.345326
25; 0.625405; 0.585037; 0.268701; 0.796691; 0.79126; 0.195778;0.345326
26; 0.615817; 0.570649; 0.268701; 0.796691; 0.79126; 0.195778;0.345326
27; 0.625387; 0.589427; 0.268701; 0.796691; 0.79126; 0.195778;0.345326
28; 0.626116; 0.589523; 0.268701; 0.796691; 0.79126; 0.195778;0.345326
29; 0.625184; 0.580534; 0.268701; 0.796691; 0.79126; 0.195778;0.345326
30; 0.631714; 0.586532; 0.167911; 0.892288; 0.816452; 0.208431;0.332252
31; 0.616734; 0.590354; 0.167911; 0.892288; 0.816452; 0.208431;0.332252
32; 0.619292; 0.572755; 0.167911; 0.892288; 0.816452; 0.208431;0.332252
33; 0.61607; 0.588972; 0.167911; 0.892288; 0.816452; 0.208431;0.332252
34; 0.624697; 0.596433; 0.167911; 0.892288; 0.816452; 0.208431;0.332252
35; 0.626649; 0.598424; 0.167911; 0.892288; 0.816452; 0.208431;0.332252
36; 0.626911; 0.604569; 0.167911; 0.892288; 0.816452; 0.208431;0.332252
37; 0.626911; 0.604067; 0.167911; 0.892288; 0.816452; 0.208431;0.332252
38; 0.626911; 0.60165; 0.26708; 0.818266; 0.805398; 0.231937;0.347524
39; 0.626911; 0.600214; 0.26708; 0.818266; 0.805398; 0.231937;0.347524
40; 0.626608; 0.602928; 0.26708; 0.818266; 0.805398; 0.231937;0.347524
41; 0.626608; 0.605221; 0.26708; 0.818266; 0.805398; 0.231937;0.347524
42; 0.627437; 0.605256; 0.269549; 0.819687; 0.807969; 0.234531;0.3424
43; 0.627246; 0.60317; 0.269549; 0.819687; 0.807969; 0.234531;0.3424
44; 0.627246; 0.602621; 0.269549; 0.819687; 0.807969; 0.234531;0.3424
45; 0.628019; 0.60392; 0.269549; 0.819687; 0.807969; 0.234531;0.3424
46; 0.627714; 0.605865; 0.269549; 0.819687; 0.807969; 0.234531;0.3424
47; 0.628465; 0.604719; 0.269549; 0.819687; 0.807969; 0.234531;0.3424
48; 0.62749; 0.604053; 0.269549; 0.819687; 0.807969; 0.234531;0.3424
