#Summary : 
#Best fitness Pop 1;0.665975
#Best fitness Pop 2;0.665975
#Std deviation Pop 1;0.0244505
#Std deviation Pop 2;0.0226024
#Sensitivity;0.424163
#Specificity;0.766087
#Accuracy;0.777378
#PPV;0.221414
#RMSE;0.359686
#RRSE;1.05939
#RAE;0.738744
#MSE;0.145429
#ADM;0.335876
#MDM;0.254274
#Size;0.111111
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.8
#Specificity weight;0.8
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_cortisone_d is MF 2 AND ccr_thdoc_d is MF 2 AND ccr_cortisol_d is MF 0 AND ccr_a_cortolone_d is MF 2 THEN 4_Obese is MF 0 AND 5_ExtremeObese is MF 0 AND 1_SousPoid is MF 1 AND 2_Normal is MF 1
 IF ccr_cortisol_d is MF 0 THEN 5_ExtremeObese is MF 0
 IF ccr_pt_d is MF 0 THEN 3_Surpoid is MF 0 AND 4_Obese is MF 0 AND 2_Normal is MF 0
 IF ccr_thaldo_d is MF 0 AND ccr_a_cortol_d is MF 1 THEN 5_ExtremeObese is MF 1 AND 2_Normal is MF 1 AND 1_SousPoid is MF 0
 IF ccr_a_cortolone_d is MF 2 THEN 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 1 AND 1_SousPoid is MF 1 AND 2_Normal is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 1  4_Obese is 1  5_ExtremeObese is 1  

Membership functions : 
ccr_thaldo_d (39.0447 , 40.7413 , 50.9211) ; ccr_thdoc_d (0.224505 , 0.360508 , 1.10852) ; ccr_pt_d (59.4299 , 378.051 , 564.671) ; ccr_cortisol_d (71.8942 , 78.0702 , 80.815) ; ccr_a_cortol_d (39.7806 , 257.311 , 320.642) ; ccr_cortisone_d (3.89182 , 10.103 , 54.6166) ; ccr_a_cortolone_d (72.7846 , 96.7176 , 330.064) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.602322; 0.574612; 0.235508; 0.793742; 0.805141; 0.280081;0.386671
2; 0.604088; 0.56339; 0.140741; 0.881501; 0.816452; 0.112648;0.374379
3; 0.603992; 0.555365; 0.264; 0.74822; 0.793573; 0.178187;0.354026
4; 0.61231; 0.560903; 0.264; 0.74822; 0.793573; 0.178187;0.354026
5; 0.61231; 0.56158; 0.3096; 0.708333; 0.780977; 0.176985;0.344029
6; 0.613803; 0.581443; 0.3096; 0.708333; 0.780977; 0.176985;0.344029
7; 0.614574; 0.574071; 0.161481; 0.875603; 0.824422; 0.116995;0.354859
8; 0.614135; 0.572767; 0.161481; 0.875603; 0.824422; 0.116995;0.354859
9; 0.61974; 0.558621; 0.161481; 0.875603; 0.824422; 0.116995;0.354859
10; 0.614541; 0.55844; 0.159012; 0.877217; 0.82365; 0.117091;0.340625
11; 0.614261; 0.560463; 0.159012; 0.877217; 0.82365; 0.117091;0.340625
12; 0.617189; 0.560867; 0.168333; 0.876687; 0.823907; 0.157391;0.342289
13; 0.616422; 0.571186; 0.168333; 0.876687; 0.823907; 0.157391;0.342289
14; 0.615587; 0.570932; 0.168333; 0.876687; 0.823907; 0.157391;0.342289
15; 0.613219; 0.563467; 0.168333; 0.876687; 0.823907; 0.157391;0.342289
16; 0.605864; 0.550011; 0.168333; 0.876687; 0.823907; 0.157391;0.342289
17; 0.614735; 0.564419; 0.168333; 0.876687; 0.823907; 0.157391;0.342289
18; 0.62002; 0.577544; 0.168333; 0.876687; 0.823907; 0.157391;0.342289
19; 0.614957; 0.568115; 0.168333; 0.876687; 0.823907; 0.157391;0.342289
20; 0.614957; 0.567036; 0.182706; 0.886625; 0.81928; 0.256971;0.353666
21; 0.611552; 0.574647; 0.182706; 0.886625; 0.81928; 0.256971;0.353666
22; 0.624986; 0.57637; 0.182706; 0.886625; 0.81928; 0.256971;0.353666
23; 0.629866; 0.584345; 0.182706; 0.886625; 0.81928; 0.256971;0.353666
24; 0.625584; 0.579525; 0.185363; 0.887004; 0.82108; 0.263799;0.353435
25; 0.625584; 0.577891; 0.185363; 0.887004; 0.82108; 0.263799;0.353435
26; 0.630665; 0.588855; 0.185363; 0.887534; 0.821594; 0.265035;0.352641
27; 0.630665; 0.5882; 0.185363; 0.887534; 0.821594; 0.265035;0.352641
28; 0.63072; 0.594277; 0.185363; 0.887534; 0.821594; 0.265035;0.352641
29; 0.63072; 0.595743; 0.185363; 0.887534; 0.821594; 0.265035;0.352627
30; 0.63072; 0.598287; 0.210556; 0.867646; 0.821851; 0.147735;0.35728
31; 0.631216; 0.600084; 0.210556; 0.867646; 0.821851; 0.147735;0.35728
