#Summary : 
#Best fitness Pop 1;0.654829
#Best fitness Pop 2;0.65482
#Std deviation Pop 1;0.0222315
#Std deviation Pop 2;0.0263994
#Sensitivity;0.327056
#Specificity;0.824056
#Accuracy;0.801285
#PPV;0.354411
#RMSE;0.347418
#RRSE;1.18139
#RAE;0.975522
#MSE;0.13967
#ADM;0.397258
#MDM;0.104934
#Size;0.0909091
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.8
#Specificity weight;0.8
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_zoa_dhf_d is MF 0 AND ccr_testosterone_d is MF 0 AND ccr_s_pt_d is MF 1 THEN 5_ExtremeObese is MF 0 AND 3_Surpoid is MF 1
 IF ccr_testosterone_d is MF 2 THEN 3_Surpoid is MF 1 AND 5_ExtremeObese is MF 1
 IF ccr_the_d is MF 1 AND ccr_s_at_d is MF 1 AND ccr_llb_oh_andro_d is MF 1 THEN 1_SousPoid is MF 0 AND 2_Normal is MF 1
 IF ccr_dha_d is MF 0 AND ccr_pt_d is MF 1 THEN 4_Obese is MF 1 AND 5_ExtremeObese is MF 0 AND 2_Normal is MF 1
 IF ccr_a_cortol_d is MF 0 AND ccr_sa_thf_d is MF 0 THEN 4_Obese is MF 0 AND 3_Surpoid is MF 0 AND 2_Normal is MF 1 AND 5_ExtremeObese is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 0  3_Surpoid is 1  4_Obese is 1  5_ExtremeObese is 0  

Membership functions : 
ccr_s_at_d (55.2785 , 60.0426 , 255.371) ; ccr_testosterone_d (3.28713 , 7.45872 , 8.68566) ; ccr_dha_d (18.7815 , 239.758 , 571.222) ; ccr_s_pt_d (0.04551 , 1.53279 , 29.791) ; ccr_pt_d (4.80924 , 287.016 , 551.016) ; ccr_sa_thf_d (53.6399 , 272.704 , 548.916) ; ccr_a_cortol_d (75.5767 , 216.007 , 287.6) ; ccr_llb_oh_andro_d (45.6717 , 57.9027 , 164.487) ; ccr_the_d (134.686 , 923.639 , 1331.26) ; ccr_zoa_dhf_d (12.2802 , 16.4281 , 35.6122) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.602322; 0.550696; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.611048; 0.553425; 0.155556; 0.861662; 0.814653; 0.109948;0.345166
3; 0.611243; 0.554051; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
4; 0.610744; 0.574839; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
5; 0.616408; 0.563972; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
6; 0.616026; 0.581578; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
7; 0.617043; 0.582823; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
8; 0.616664; 0.546083; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
9; 0.617486; 0.581033; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
10; 0.617756; 0.582796; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
11; 0.618236; 0.568631; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
12; 0.605731; 0.562995; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
13; 0.620964; 0.574464; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
14; 0.612863; 0.568272; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
15; 0.617178; 0.561595; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
16; 0.617178; 0.56141; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
17; 0.617282; 0.561591; 0.194696; 0.832638; 0.799743; 0.183344;0.330551
18; 0.621648; 0.578995; 0.194696; 0.832638; 0.799743; 0.183344;0.330551
19; 0.620478; 0.576844; 0.194696; 0.832638; 0.799743; 0.183344;0.330551
20; 0.621261; 0.584363; 0.194696; 0.832638; 0.799743; 0.183344;0.330551
21; 0.621261; 0.586961; 0.194696; 0.832638; 0.799743; 0.183344;0.330551
22; 0.621261; 0.588913; 0.265906; 0.770633; 0.758869; 0.183269;0.343438
23; 0.621618; 0.590748; 0.265906; 0.770633; 0.758869; 0.183269;0.343438
24; 0.622544; 0.593738; 0.19044; 0.841412; 0.771465; 0.191368;0.334363
25; 0.622074; 0.587281; 0.19044; 0.841412; 0.771465; 0.191368;0.334363
26; 0.622074; 0.589026; 0.19044; 0.841412; 0.771465; 0.191368;0.334363
27; 0.622074; 0.589084; 0.19044; 0.841412; 0.771465; 0.191368;0.334363
28; 0.622415; 0.593772; 0.279506; 0.765684; 0.75347; 0.207378;0.352104
29; 0.622415; 0.595403; 0.279506; 0.765684; 0.75347; 0.207378;0.352104
30; 0.623944; 0.594288; 0.201472; 0.871317; 0.807455; 0.212189;0.337851
31; 0.624094; 0.601777; 0.201472; 0.871317; 0.807455; 0.212189;0.337851
32; 0.626318; 0.588366; 0.202765; 0.871317; 0.807969; 0.212778;0.337771
33; 0.618454; 0.576088; 0.202765; 0.871317; 0.807969; 0.212778;0.337771
34; 0.627229; 0.588727; 0.202765; 0.871317; 0.807969; 0.212778;0.337771
35; 0.625; 0.586072; 0.202765; 0.871317; 0.807969; 0.212778;0.337771
36; 0.625806; 0.588948; 0.202765; 0.871317; 0.807969; 0.212778;0.337771
37; 0.630113; 0.592814; 0.202765; 0.871317; 0.807969; 0.212778;0.337771
38; 0.634572; 0.608252; 0.202765; 0.871317; 0.807969; 0.212778;0.337519
39; 0.634819; 0.606164; 0.202765; 0.871317; 0.807969; 0.212778;0.337519
40; 0.634819; 0.605809; 0.202765; 0.871317; 0.807969; 0.212778;0.337519
41; 0.634872; 0.601325; 0.203565; 0.871317; 0.808226; 0.213144;0.337742
42; 0.634872; 0.601902; 0.203565; 0.871317; 0.808226; 0.213144;0.337742
43; 0.635398; 0.600168; 0.189244; 0.880172; 0.819023; 0.209429;0.32825
44; 0.635398; 0.600574; 0.197363; 0.875277; 0.817481; 0.209854;0.328801
45; 0.635398; 0.601034; 0.197946; 0.876419; 0.821594; 0.21057;0.327743
46; 0.635425; 0.603585; 0.197946; 0.876419; 0.821594; 0.21057;0.327743
47; 0.636821; 0.607852; 0.197946; 0.876419; 0.821594; 0.21057;0.327743
