#Summary : 
#Best fitness Pop 1;0.656425
#Best fitness Pop 2;0.656425
#Std deviation Pop 1;0.0224674
#Std deviation Pop 2;0.0246354
#Sensitivity;0.456241
#Specificity;0.733209
#Accuracy;0.739332
#PPV;0.251671
#RMSE;0.405174
#RRSE;1.48029
#RAE;1.33218
#MSE;0.17973
#ADM;0.449294
#MDM;0.106133
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.8
#Specificity weight;0.8
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 2 THEN 4_Obese is MF 1 AND 3_Surpoid is MF 1
 IF ccr_cortisone_d is MF 1 AND ccr_estriol_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 1_SousPoid is MF 0
 IF cr_l8_oh_f_d is MF 2 AND ccr_l8_oh_tha_d is MF 2 AND ccr_b_cortolone_d is MF 0 AND ccr_thb_d is MF 2 THEN 1_SousPoid is MF 0 AND 2_Normal is MF 1 AND 4_Obese is MF 1
 IF ccr_cortisone_d is MF 1 AND ccr_zob_dhf_d is MF 1 THEN 3_Surpoid is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_sa_thf_d is MF 1 THEN 5_ExtremeObese is MF 1 AND 2_Normal is MF 0 AND 3_Surpoid is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_estriol_d (20.3666 , 20.5829 , 21.8807) ; ccr_thb_d (17.3148 , 30.7212 , 69.8233) ; ccr_l8_oh_tha_d (122.269 , 163.98 , 166.959) ; cr_l8_oh_f_d (956.35 , 1079.27 , 3752.85) ; ccr_thf_d (15.3483 , 15.3483 , 389.108) ; ccr_sa_thf_d (10.7794 , 172.697 , 272.704) ; ccr_cortisone_d (10.103 , 27.1838 , 66.5214) ; ccr_b_cortolone_d (45.3698 , 145.578 , 428.924) ; ccr_zob_dhf_d (10.6981 , 14.612 , 308.153) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.602322; 0.550696; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.602326; 0.573166; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
3; 0.611157; 0.550639; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
4; 0.611157; 0.554216; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
5; 0.61455; 0.577449; 0.116543; 0.907239; 0.816195; 0.115403;0.350557
6; 0.61455; 0.577774; 0.146904; 0.876041; 0.815424; 0.160509;0.34812
7; 0.617795; 0.570876; 0.077037; 0.947989; 0.815167; 0.12332;0.346946
8; 0.617795; 0.571573; 0.077037; 0.947989; 0.815167; 0.12332;0.346946
9; 0.61907; 0.57196; 0.159012; 0.877748; 0.824165; 0.117091;0.355108
10; 0.61907; 0.573304; 0.159012; 0.877748; 0.824165; 0.117091;0.355108
11; 0.620346; 0.573996; 0.0873877; 0.941265; 0.814396; 0.180465;0.340118
12; 0.620346; 0.574185; 0.246054; 0.780636; 0.787918; 0.181258;0.334987
13; 0.620346; 0.576865; 0.228718; 0.812313; 0.796915; 0.21792;0.347346
14; 0.620268; 0.575973; 0.228718; 0.812313; 0.796915; 0.21792;0.347346
15; 0.620824; 0.573813; 0.228718; 0.812313; 0.796915; 0.21792;0.347346
16; 0.616118; 0.578126; 0.228718; 0.812313; 0.796915; 0.21792;0.347346
17; 0.622521; 0.570443; 0.231188; 0.809632; 0.796915; 0.217696;0.346994
18; 0.622636; 0.56944; 0.231188; 0.809632; 0.796915; 0.217696;0.346994
19; 0.622636; 0.574133; 0.231188; 0.809632; 0.796915; 0.217696;0.346994
20; 0.622636; 0.572725; 0.231188; 0.809632; 0.796915; 0.217696;0.346994
21; 0.622636; 0.574986; 0.231188; 0.809632; 0.796915; 0.217696;0.346994
22; 0.622636; 0.576666; 0.234706; 0.808066; 0.787404; 0.18781;0.344484
23; 0.623772; 0.577544; 0.234706; 0.808066; 0.787404; 0.18781;0.344484
24; 0.623772; 0.579104; 0.234706; 0.808066; 0.787404; 0.18781;0.344484
25; 0.623772; 0.577083; 0.234706; 0.808066; 0.787404; 0.18781;0.344484
26; 0.625086; 0.5802; 0.231839; 0.814619; 0.788432; 0.236427;0.343626
27; 0.625086; 0.579418; 0.231839; 0.814619; 0.788432; 0.236427;0.343626
28; 0.625634; 0.579868; 0.293649; 0.76052; 0.773008; 0.188532;0.343432
29; 0.625634; 0.580623; 0.293649; 0.76052; 0.773008; 0.188532;0.343432
30; 0.625634; 0.58353; 0.293649; 0.76052; 0.773008; 0.188532;0.343432
31; 0.625634; 0.585542; 0.301649; 0.754838; 0.771722; 0.188837;0.345862
32; 0.627473; 0.585988; 0.260749; 0.811495; 0.772751; 0.240072;0.367515
