#Summary : 
#Best fitness Pop 1;0.669173
#Best fitness Pop 2;0.668528
#Std deviation Pop 1;0.0318771
#Std deviation Pop 2;0.0232492
#Sensitivity;0.476694
#Specificity;0.754014
#Accuracy;0.735733
#PPV;0.259513
#RMSE;0.404529
#RRSE;1.44167
#RAE;1.25621
#MSE;0.178244
#ADM;0.417913
#MDM;0.105629
#Size;0.125
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.8
#Specificity weight;0.8
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_s_at_d is MF 0 AND ccr_a_cortolone_d is MF 1 THEN 4_Obese is MF 1 AND 2_Normal is MF 0 AND 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 1
 IF ccr_a_cortolone_d is MF 1 THEN 5_ExtremeObese is MF 0
 IF ccr_saad3a17b_d is MF 0 AND ccr_ths_d is MF 0 AND ccr_a_cortolone_d is MF 1 THEN 5_ExtremeObese is MF 1 AND 4_Obese is MF 0
 IF ccr_s_pt_d is MF 1 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 1
 IF ccr_l7b_estradiol_d is MF 2 THEN 2_Normal is MF 1 AND 1_SousPoid is MF 1 AND 5_ExtremeObese is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_s_at_d (40.9862 , 55.2785 , 214.876) ; ccr_saad3a17b_d (61.3 , 80.5001 , 83.2429) ; ccr_l7b_estradiol_d (1.87205 , 1.99662 , 5.36017) ; ccr_s_pt_d (1.53279 , 116.053 , 145.799) ; ccr_ths_d (1.81866 , 14.5712 , 44.1338) ; ccr_a_cortolone_d (54.8349 , 132.617 , 760.857) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.602322; 0.550696; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.602326; 0.573166; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
3; 0.605019; 0.553646; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
4; 0.618866; 0.579557; 0.134321; 0.904558; 0.824165; 0.120889;0.362252
5; 0.618866; 0.579224; 0.134321; 0.904558; 0.824165; 0.120889;0.362252
6; 0.61482; 0.581402; 0.134321; 0.904558; 0.824165; 0.120889;0.362252
7; 0.614942; 0.581413; 0.134321; 0.904558; 0.824165; 0.120889;0.362252
8; 0.611677; 0.567054; 0.105679; 0.924933; 0.819023; 0.120904;0.32968
9; 0.617554; 0.571361; 0.105679; 0.924933; 0.819023; 0.120904;0.32968
10; 0.618082; 0.573061; 0.105679; 0.924933; 0.819023; 0.120904;0.32968
11; 0.615495; 0.566817; 0.105679; 0.924933; 0.819023; 0.120904;0.32968
12; 0.620853; 0.570559; 0.105679; 0.924933; 0.819023; 0.120904;0.32968
13; 0.620966; 0.557606; 0.105679; 0.924933; 0.819023; 0.120904;0.32968
14; 0.626148; 0.577189; 0.163395; 0.881784; 0.82365; 0.151378;0.325977
15; 0.626197; 0.573489; 0.163395; 0.881784; 0.82365; 0.151378;0.325977
16; 0.604747; 0.561452; 0.163395; 0.881784; 0.82365; 0.151378;0.325977
17; 0.63083; 0.573785; 0.213007; 0.850858; 0.810026; 0.201825;0.341782
18; 0.63265; 0.574644; 0.272494; 0.791414; 0.801799; 0.19328;0.333217
19; 0.615139; 0.581713; 0.272494; 0.791414; 0.801799; 0.19328;0.333217
20; 0.626197; 0.569491; 0.272494; 0.791414; 0.801799; 0.19328;0.333217
21; 0.626197; 0.581069; 0.272494; 0.791414; 0.801799; 0.19328;0.333217
22; 0.61956; 0.565571; 0.272494; 0.791414; 0.801799; 0.19328;0.333217
23; 0.626197; 0.585252; 0.272494; 0.791414; 0.801799; 0.19328;0.333217
24; 0.627704; 0.585408; 0.272494; 0.791414; 0.801799; 0.19328;0.333217
25; 0.619556; 0.583111; 0.272494; 0.791414; 0.801799; 0.19328;0.333217
26; 0.627952; 0.592455; 0.272494; 0.791414; 0.801799; 0.19328;0.333217
27; 0.62776; 0.592245; 0.272494; 0.791414; 0.801799; 0.19328;0.333217
28; 0.629568; 0.593838; 0.272494; 0.791414; 0.801799; 0.19328;0.333217
29; 0.629568; 0.592783; 0.272494; 0.791414; 0.801799; 0.19328;0.333217
