#Summary : 
#Best fitness Pop 1;0.647519
#Best fitness Pop 2;0.647967
#Std deviation Pop 1;0.0168491
#Std deviation Pop 2;0.0152972
#Sensitivity;0.419352
#Specificity;0.724484
#Accuracy;0.754499
#PPV;0.232799
#RMSE;0.376268
#RRSE;1.12629
#RAE;0.893957
#MSE;0.168338
#ADM;0.471573
#MDM;0.202253
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.8
#Specificity weight;0.8
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_a_cortolone_d is MF 1 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 0 AND 4_Obese is MF 1
 IF ccr_sa_thb_d is MF 2 AND cr_l8_oh_f_d is MF 1 AND ccr_estriol_d is MF 0 THEN 2_Normal is MF 1
 IF ccr_thf_d is MF 2 THEN 3_Surpoid is MF 1
 IF ccr_b_cortolone_d is MF 0 AND ccr_pt_one_d is MF 1 THEN 2_Normal is MF 1 AND 4_Obese is MF 0
 IF ccr_zob_dhe_d is MF 1 AND ccr_b_cortolone_d is MF 0 AND ccr_l6a_oh_dha_d is MF 2 THEN 1_SousPoid is MF 1 AND 5_ExtremeObese is MF 0 AND 4_Obese is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_estriol_d (3.92723 , 13.8774 , 18.8524) ; ccr_l6a_oh_dha_d (3.07782 , 29.5382 , 132.734) ; ccr_sa_thb_d (3.40763 , 39.8237 , 347.705) ; ccr_pt_one_d (8.11162 , 10.2983 , 23.4185) ; cr_l8_oh_f_d (894.889 , 894.889 , 2492.89) ; ccr_thf_d (72.8497 , 80.0374 , 141.133) ; ccr_a_cortolone_d (54.8349 , 162.533 , 724.958) ; ccr_b_cortolone_d (66.1025 , 97.2015 , 342.538) ; ccr_zob_dhe_d (2.95919 , 6.1929 , 14.2772) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.602322; 0.550696; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.602326; 0.573166; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
3; 0.605019; 0.553646; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
4; 0.608222; 0.553826; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
5; 0.618866; 0.578955; 0.134321; 0.904558; 0.824165; 0.120889;0.362252
6; 0.618866; 0.578098; 0.134321; 0.904558; 0.824165; 0.120889;0.362252
7; 0.612888; 0.578571; 0.134321; 0.904558; 0.824165; 0.120889;0.362252
8; 0.615554; 0.581857; 0.134321; 0.904558; 0.824165; 0.120889;0.362252
9; 0.615569; 0.567643; 0.134321; 0.904558; 0.824165; 0.120889;0.362252
10; 0.620166; 0.572661; 0.163951; 0.873995; 0.824936; 0.117108;0.354623
11; 0.620256; 0.581769; 0.160494; 0.877748; 0.824936; 0.117541;0.354626
12; 0.619217; 0.578948; 0.107654; 0.922793; 0.818766; 0.120776;0.331039
13; 0.622832; 0.584636; 0.107279; 0.923861; 0.819023; 0.320225;0.330394
14; 0.622889; 0.586136; 0.107279; 0.923861; 0.819023; 0.320225;0.330394
15; 0.625539; 0.583134; 0.138202; 0.903515; 0.824679; 0.182222;0.333457
16; 0.625539; 0.579272; 0.138202; 0.903515; 0.824679; 0.182222;0.333457
17; 0.625772; 0.580469; 0.163309; 0.884808; 0.819537; 0.200099;0.337413
18; 0.625966; 0.571413; 0.178552; 0.880282; 0.805913; 0.151679;0.340809
19; 0.626905; 0.575407; 0.178552; 0.880282; 0.805913; 0.151679;0.340809
20; 0.628055; 0.575066; 0.178552; 0.880282; 0.805913; 0.151679;0.340635
21; 0.628055; 0.577203; 0.224498; 0.845339; 0.778663; 0.148827;0.354964
22; 0.629907; 0.579775; 0.224498; 0.845339; 0.778663; 0.148827;0.354964
23; 0.630181; 0.583811; 0.304215; 0.784003; 0.757841; 0.215147;0.375963
24; 0.63303; 0.584824; 0.197471; 0.879146; 0.806684; 0.160655;0.349998
25; 0.63303; 0.584057; 0.197471; 0.879146; 0.806684; 0.160655;0.349998
26; 0.630314; 0.588751; 0.197471; 0.879146; 0.806684; 0.160655;0.349998
27; 0.63303; 0.586373; 0.197471; 0.879146; 0.806684; 0.160655;0.349998
28; 0.63303; 0.587727; 0.197471; 0.879146; 0.806684; 0.160655;0.349998
29; 0.63303; 0.589683; 0.409357; 0.690234; 0.731105; 0.215882;0.378924
30; 0.63303; 0.591053; 0.409357; 0.690234; 0.731105; 0.215882;0.378924
31; 0.633852; 0.595246; 0.37821; 0.718938; 0.752442; 0.218228;0.374498
32; 0.63438; 0.593246; 0.21639; 0.869487; 0.799743; 0.159589;0.357183
