#Summary : 
#Best fitness Pop 1;0.637495
#Best fitness Pop 2;0.637495
#Std deviation Pop 1;0.0211309
#Std deviation Pop 2;0.0114941
#Sensitivity;0.215571
#Specificity;0.863316
#Accuracy;0.810026
#PPV;0.340902
#RMSE;0.332104
#RRSE;0.916058
#RAE;0.643591
#MSE;0.131455
#ADM;0.45079
#MDM;0.213406
#Size;0.111111
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.8
#Specificity weight;0.8
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 1 AND ccr_l6a_oh_dha_d is MF 0 THEN 2_Normal is MF 0 AND 4_Obese is MF 0 AND 3_Surpoid is MF 1
 IF ccr_zob_dhf_d is MF 0 AND ccr_ll_oxo_etio_d is MF 0 THEN 1_SousPoid is MF 0 AND 4_Obese is MF 1
 IF ccr_zoa_dhf_d is MF 1 AND ccr_ths_d is MF 1 THEN 5_ExtremeObese is MF 1 AND 4_Obese is MF 0 AND 3_Surpoid is MF 0
 IF ccr_cortisone_d is MF 2 THEN 5_ExtremeObese is MF 0 AND 4_Obese is MF 0 AND 3_Surpoid is MF 0 AND 1_SousPoid is MF 0
 IF ccr_b_cortolone_d is MF 2 AND ccr_a_cortol_d is MF 2 THEN 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_l6a_oh_dha_d (11.0159 , 90.3972 , 90.3972) ; ccr_ths_d (20.9474 , 29.0627 , 30.8016) ; ccr_thf_d (8.16063 , 223.791 , 457.39) ; ccr_a_cortol_d (166.444 , 238.036 , 287.6) ; ccr_cortisone_d (13.2086 , 13.7262 , 24.0782) ; ccr_b_cortolone_d (138.667 , 207.776 , 359.815) ; ccr_ll_oxo_etio_d (1.46212 , 7.33406 , 35.5194) ; ccr_zoa_dhf_d (6.57679 , 45.4635 , 52.2039) ; ccr_zob_dhf_d (18.5259 , 26.3537 , 343.378) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.602322; 0.550696; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.611048; 0.553425; 0.155556; 0.861662; 0.814653; 0.109948;0.345166
3; 0.611243; 0.554051; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
4; 0.610744; 0.574839; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
5; 0.616408; 0.563972; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
6; 0.616026; 0.581578; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
7; 0.617043; 0.582823; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
8; 0.616664; 0.546083; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
9; 0.617486; 0.581033; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
10; 0.617756; 0.582796; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
11; 0.618236; 0.568631; 0.0572839; 0.968901; 0.81491; 0.133333;0.345209
12; 0.605731; 0.562995; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
13; 0.620964; 0.574464; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
14; 0.612863; 0.568272; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
15; 0.617178; 0.561595; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
16; 0.617178; 0.56141; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
17; 0.612864; 0.560147; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
18; 0.614138; 0.571606; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
19; 0.614896; 0.577035; 0.233373; 0.791203; 0.788689; 0.179097;0.330909
20; 0.623485; 0.563079; 0.221788; 0.826046; 0.810283; 0.190938;0.353296
21; 0.613603; 0.580079; 0.221788; 0.826046; 0.810283; 0.190938;0.353296
22; 0.608842; 0.574506; 0.236188; 0.818091; 0.809512; 0.193795;0.344666
23; 0.618965; 0.575091; 0.236188; 0.818091; 0.809512; 0.193795;0.344666
24; 0.618504; 0.580827; 0.236188; 0.818091; 0.809512; 0.193795;0.344666
25; 0.6194; 0.580175; 0.236188; 0.818091; 0.809512; 0.193795;0.344666
26; 0.62202; 0.576126; 0.236188; 0.818091; 0.809512; 0.193795;0.344666
27; 0.6194; 0.583308; 0.236188; 0.818091; 0.809512; 0.193795;0.344666
28; 0.622751; 0.590253; 0.236188; 0.818091; 0.809512; 0.193795;0.344666
29; 0.623767; 0.591054; 0.236188; 0.818091; 0.809512; 0.193795;0.344666
30; 0.624411; 0.587334; 0.236188; 0.818091; 0.809512; 0.193795;0.344666
31; 0.624094; 0.602829; 0.236188; 0.818091; 0.809512; 0.193795;0.344666
32; 0.624575; 0.603117; 0.194173; 0.857356; 0.803085; 0.198329;0.339358
33; 0.624543; 0.602172; 0.188691; 0.864425; 0.805398; 0.200785;0.339062
34; 0.624543; 0.600222; 0.188691; 0.864425; 0.805398; 0.200785;0.339062
35; 0.624574; 0.599608; 0.188691; 0.864425; 0.805398; 0.200785;0.339062
36; 0.624574; 0.601603; 0.188691; 0.864425; 0.805398; 0.200785;0.339062
37; 0.624574; 0.601601; 0.188691; 0.864425; 0.805398; 0.200785;0.339062
38; 0.624566; 0.603869; 0.188691; 0.864425; 0.805398; 0.200785;0.339062
39; 0.624566; 0.603213; 0.188691; 0.864425; 0.805398; 0.200785;0.339062
40; 0.628432; 0.59261; 0.209491; 0.846244; 0.799743; 0.19782;0.341288
41; 0.628432; 0.593928; 0.209491; 0.846244; 0.799743; 0.19782;0.341288
42; 0.628601; 0.594874; 0.209491; 0.84678; 0.8; 0.198146;0.341271
43; 0.628601; 0.592239; 0.209491; 0.84678; 0.8; 0.198146;0.341271
44; 0.628601; 0.592273; 0.209491; 0.84678; 0.8; 0.198146;0.341271
45; 0.628604; 0.593532; 0.208998; 0.847316; 0.8; 0.198245;0.341317
46; 0.628604; 0.596283; 0.208998; 0.847316; 0.8; 0.198245;0.341317
47; 0.628604; 0.594388; 0.208998; 0.847316; 0.8; 0.198245;0.341317
