#Summary : 
#Best fitness Pop 1;0.644771
#Best fitness Pop 2;0.644947
#Std deviation Pop 1;0.0295826
#Std deviation Pop 2;0.018678
#Sensitivity;0.234506
#Specificity;0.902591
#Accuracy;0.785604
#PPV;0.148307
#RMSE;0.382354
#RRSE;0.990251
#RAE;0.609774
#MSE;0.170318
#ADM;0.482589
#MDM;0.302628
#Size;0.125
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.8
#Specificity weight;0.8
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_sa_dihydrotest_d is MF 1 AND ccr_s_ad_17b_d is MF 0 THEN 3_Surpoid is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_b_cortol_d is MF 2 AND ccr_ths_d is MF 0 AND ccr_thf_d is MF 2 THEN 5_ExtremeObese is MF 0 AND 4_Obese is MF 0 AND 1_SousPoid is MF 0 AND 2_Normal is MF 1
 IF ccr_etio_d is MF 0 THEN 2_Normal is MF 0 AND 1_SousPoid is MF 1
 IF ccr_the_d is MF 0 THEN 3_Surpoid is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_a_cortolone_d is MF 2 THEN 5_ExtremeObese is MF 1 AND 4_Obese is MF 1 AND 2_Normal is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 1  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (53.5813 , 182.201 , 1082.54) ; ccr_s_ad_17b_d (91.2786 , 94.867 , 121.182) ; ccr_sa_dihydrotest_d (2.18024 , 16.5875 , 19.193) ; ccr_ths_d (15.1508 , 24.4254 , 51.0897) ; ccr_thf_d (119.57 , 123.163 , 259.729) ; ccr_b_cortol_d (10.2359 , 55.9434 , 119.934) ; ccr_the_d (266.178 , 752.699 , 884.191) ; ccr_a_cortolone_d (48.8516 , 162.533 , 545.461) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 0) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.602322; 0.550696; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.602326; 0.573166; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
3; 0.611157; 0.550639; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
4; 0.611157; 0.554216; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
5; 0.61455; 0.577449; 0.116543; 0.907239; 0.816195; 0.115403;0.350557
6; 0.619801; 0.570393; 0.128889; 0.906702; 0.822365; 0.12;0.346478
7; 0.620301; 0.579746; 0.128889; 0.906702; 0.822365; 0.12;0.346478
8; 0.614398; 0.548565; 0.128889; 0.906702; 0.822365; 0.12;0.346478
9; 0.606324; 0.558189; 0.128889; 0.906702; 0.822365; 0.12;0.346478
10; 0.618056; 0.567282; 0.128889; 0.906702; 0.822365; 0.12;0.346478
11; 0.617434; 0.573224; 0.128889; 0.906702; 0.822365; 0.12;0.346478
12; 0.619884; 0.573796; 0.128889; 0.906702; 0.822365; 0.12;0.346478
13; 0.619465; 0.562024; 0.128889; 0.906702; 0.822365; 0.12;0.346478
14; 0.619465; 0.567853; 0.129815; 0.929649; 0.777635; 0.143464;0.379647
15; 0.622119; 0.553104; 0.138148; 0.926466; 0.774807; 0.143771;0.381488
16; 0.622119; 0.550509; 0.138148; 0.926466; 0.774807; 0.143771;0.381488
17; 0.624925; 0.548979; 0.195; 0.876329; 0.784576; 0.133938;0.381308
18; 0.624925; 0.553776; 0.170802; 0.900159; 0.784833; 0.138118;0.378187
19; 0.625451; 0.571225; 0.193519; 0.880319; 0.787147; 0.134714;0.380365
20; 0.626752; 0.558817; 0.179136; 0.898832; 0.783805; 0.138919;0.378668
21; 0.625759; 0.565995; 0.204136; 0.89088; 0.776607; 0.140213;0.381592
22; 0.632258; 0.570217; 0.204136; 0.892731; 0.778663; 0.14041;0.383706
23; 0.63245; 0.577976; 0.229136; 0.885841; 0.772494; 0.141628;0.385753
24; 0.63247; 0.569038; 0.229136; 0.885841; 0.772494; 0.141628;0.385753
25; 0.63247; 0.567882; 0.229136; 0.885841; 0.772494; 0.141628;0.385753
26; 0.637446; 0.575047; 0.229136; 0.886625; 0.773779; 0.141268;0.385314
27; 0.637446; 0.576085; 0.229136; 0.886625; 0.773779; 0.141268;0.385314
28; 0.637446; 0.576111; 0.229136; 0.886625; 0.773779; 0.141268;0.385314
29; 0.637574; 0.577303; 0.229136; 0.886625; 0.773779; 0.141268;0.385314
30; 0.637542; 0.581572; 0.229136; 0.886625; 0.773779; 0.141268;0.385314
31; 0.637542; 0.583798; 0.229136; 0.886625; 0.773779; 0.141268;0.385314
