#Summary : 
#Best fitness Pop 1;0.668212
#Best fitness Pop 2;0.668212
#Std deviation Pop 1;0.0258248
#Std deviation Pop 2;0.0247352
#Sensitivity;0.397704
#Specificity;0.81216
#Accuracy;0.782776
#PPV;0.24143
#RMSE;0.37808
#RRSE;1.18194
#RAE;0.940057
#MSE;0.156781
#ADM;0.426655
#MDM;0.202774
#Size;0.125
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.8
#Specificity weight;0.8
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thdoc_d is MF 1 THEN 2_Normal is MF 1
 IF ccr_cortisone_d is MF 0 AND ccr_b_cortolone_d is MF 0 THEN 5_ExtremeObese is MF 1 AND 2_Normal is MF 0
 IF ccr_a_cortolone_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 2_Normal is MF 1
 IF ccr_tha_d is MF 0 AND ccr_thb_d is MF 0 AND ccr_the_d is MF 1 AND ccr_l6a_oh_dha_d is MF 0 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0
 IF  THEN 3_Surpoid is MF 1 AND 1_SousPoid is MF 0 AND 4_Obese is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 0  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_l6a_oh_dha_d (16.308 , 66.5828 , 110.243) ; ccr_tha_d (14.6013 , 15.0596 , 27.4352) ; ccr_thb_d (0.556773 , 35.19 , 111.16) ; ccr_thdoc_d (0.156503 , 2.46855 , 2.53656) ; ccr_cortisone_d (2.85662 , 21.4902 , 21.4902) ; ccr_the_d (121.537 , 292.477 , 949.937) ; ccr_a_cortolone_d (66.8013 , 264.248 , 533.494) ; ccr_b_cortolone_d (124.845 , 287.251 , 294.162) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.602322; 0.574612; 0.235508; 0.793742; 0.805141; 0.280081;0.386671
2; 0.604088; 0.56339; 0.264; 0.74822; 0.793573; 0.178187;0.354026
3; 0.603992; 0.555365; 0.264; 0.74822; 0.793573; 0.178187;0.354026
4; 0.61231; 0.560903; 0.264; 0.74822; 0.793573; 0.178187;0.354026
5; 0.61231; 0.56158; 0.3096; 0.708333; 0.780977; 0.176985;0.344029
6; 0.613803; 0.581443; 0.3096; 0.708333; 0.780977; 0.176985;0.344029
7; 0.614574; 0.574071; 0.161481; 0.875603; 0.824422; 0.116995;0.354859
8; 0.61974; 0.559986; 0.161481; 0.875603; 0.824422; 0.116995;0.354859
9; 0.61974; 0.559012; 0.161481; 0.875603; 0.824422; 0.116995;0.354859
10; 0.61974; 0.561627; 0.159012; 0.877217; 0.82365; 0.117091;0.340625
11; 0.622792; 0.57194; 0.159012; 0.877748; 0.824165; 0.117091;0.340348
12; 0.622792; 0.570796; 0.159012; 0.877748; 0.824165; 0.117091;0.340347
13; 0.622792; 0.572874; 0.269815; 0.817015; 0.771465; 0.128139;0.405819
14; 0.625635; 0.573754; 0.219012; 0.82699; 0.808997; 0.188861;0.340352
15; 0.624033; 0.562874; 0.313746; 0.803466; 0.758098; 0.215793;0.398871
16; 0.624033; 0.560594; 0.313746; 0.803466; 0.758098; 0.215793;0.398871
17; 0.63364; 0.560743; 0.313746; 0.803466; 0.758098; 0.215793;0.398871
18; 0.637668; 0.563349; 0.305716; 0.813792; 0.765553; 0.21835;0.391513
19; 0.637668; 0.570135; 0.303316; 0.819852; 0.768895; 0.223074;0.390205
20; 0.63906; 0.571047; 0.319405; 0.811362; 0.77018; 0.222534;0.390395
21; 0.63906; 0.574881; 0.319405; 0.811362; 0.77018; 0.222534;0.390395
22; 0.641359; 0.57842; 0.355859; 0.780517; 0.757326; 0.220049;0.395778
23; 0.641359; 0.579166; 0.355859; 0.780517; 0.757326; 0.220049;0.395778
24; 0.641359; 0.580683; 0.347859; 0.790366; 0.76144; 0.222549;0.391739
25; 0.641993; 0.584514; 0.347859; 0.790366; 0.76144; 0.222549;0.391739
26; 0.642191; 0.583465; 0.347859; 0.790366; 0.76144; 0.222549;0.391597
27; 0.643383; 0.589177; 0.347859; 0.790366; 0.76144; 0.222549;0.391597
28; 0.643383; 0.588103; 0.347859; 0.790366; 0.76144; 0.222549;0.391597
29; 0.643383; 0.589204; 0.347859; 0.790366; 0.76144; 0.222549;0.391597
30; 0.643383; 0.591912; 0.36543; 0.775692; 0.760154; 0.220501;0.395375
