#Summary : 
#Best fitness Pop 1;0.646021
#Best fitness Pop 2;0.645237
#Std deviation Pop 1;0.0289208
#Std deviation Pop 2;0.0212503
#Sensitivity;0.39544
#Specificity;0.771121
#Accuracy;0.749614
#PPV;0.214855
#RMSE;0.374258
#RRSE;1.14673
#RAE;0.874272
#MSE;0.157111
#ADM;0.379533
#MDM;0.200933
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_a_cortolone_d is MF 0 THEN 2_Normal is MF 1 AND 4_Obese is MF 1 AND 3_Surpoid is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_thaldo_d is MF 2 AND ccr_thb_d is MF 2 AND ccr_dha_d is MF 2 AND ccr_l7b_estradiol_d is MF 2 THEN 4_Obese is MF 0 AND 5_ExtremeObese is MF 0 AND 2_Normal is MF 0
 IF ccr_a_cortol_d is MF 0 AND ccr_thb_d is MF 0 THEN 2_Normal is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_b_cortolone_d is MF 0 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 1
 IF ccr_cortisone_d is MF 1 AND ccr_s_ad_17b_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 4_Obese is MF 0 AND 3_Surpoid is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 0  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_s_ad_17b_d (119.986 , 125.967 , 141.517) ; ccr_l7b_estradiol_d (4.11441 , 6.10763 , 11.7135) ; ccr_dha_d (589.637 , 847.442 , 1068.42) ; ccr_thb_d (78.7609 , 87.6985 , 105.574) ; ccr_thaldo_d (8.92936 , 19.5333 , 40.3172) ; ccr_a_cortol_d (125.14 , 282.093 , 293.107) ; ccr_cortisone_d (15.279 , 39.6062 , 47.8878) ; ccr_a_cortolone_d (90.7343 , 96.7176 , 683.075) ; ccr_b_cortolone_d (21.1817 , 159.399 , 297.617) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.588679; 0.543943; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.588682; 0.563374; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
3; 0.591252; 0.546212; 0.0548148; 0.969437; 0.813882; 0.132143;0.345747
4; 0.605609; 0.568847; 0.134321; 0.904558; 0.824165; 0.120889;0.362252
5; 0.604731; 0.551041; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
6; 0.588679; 0.546158; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
7; 0.599313; 0.551578; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
8; 0.604817; 0.557973; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
9; 0.603869; 0.561161; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
10; 0.604801; 0.558376; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
11; 0.606249; 0.56634; 0.144136; 0.904569; 0.824679; 0.161951;0.367259
12; 0.606249; 0.566092; 0.144136; 0.904569; 0.824679; 0.161951;0.367259
13; 0.606249; 0.570048; 0.144136; 0.904569; 0.824679; 0.161951;0.367259
14; 0.608845; 0.570791; 0.152593; 0.887682; 0.824936; 0.119767;0.346923
15; 0.608494; 0.559656; 0.150617; 0.889008; 0.825193; 0.119141;0.344477
16; 0.607977; 0.544713; 0.169877; 0.862735; 0.822622; 0.114667;0.329476
17; 0.618051; 0.564626; 0.245494; 0.844753; 0.756298; 0.133231;0.388531
18; 0.608091; 0.563185; 0.245; 0.845825; 0.756555; 0.13366;0.388426
19; 0.607316; 0.550618; 0.246481; 0.844488; 0.756555; 0.133582;0.387959
20; 0.618528; 0.571016; 0.250432; 0.841271; 0.757069; 0.133276;0.388578
21; 0.618535; 0.574306; 0.246975; 0.843681; 0.756555; 0.133195;0.380876
22; 0.620156; 0.577619; 0.255309; 0.844493; 0.756812; 0.134657;0.388809
23; 0.620398; 0.580558; 0.276111; 0.821426; 0.761182; 0.132015;0.377064
24; 0.622513; 0.576087; 0.276111; 0.821426; 0.761182; 0.132015;0.377064
25; 0.622513; 0.575939; 0.276111; 0.821426; 0.761182; 0.132015;0.377064
26; 0.622513; 0.578953; 0.276111; 0.821426; 0.761182; 0.132015;0.377064
27; 0.622513; 0.578378; 0.276111; 0.821426; 0.761182; 0.132015;0.377064
28; 0.622513; 0.578597; 0.276111; 0.821426; 0.761182; 0.132015;0.377064
29; 0.622513; 0.579602; 0.276111; 0.821426; 0.761182; 0.132015;0.377064
30; 0.622517; 0.58342; 0.276111; 0.821426; 0.761182; 0.132015;0.377043
31; 0.622517; 0.586641; 0.276111; 0.821426; 0.761182; 0.132015;0.377043
32; 0.622517; 0.584663; 0.276111; 0.821426; 0.761182; 0.132015;0.377043
33; 0.622517; 0.585045; 0.276111; 0.821426; 0.761182; 0.132015;0.377043
