#Summary : 
#Best fitness Pop 1;0.638365
#Best fitness Pop 2;0.638651
#Std deviation Pop 1;0.0240096
#Std deviation Pop 2;0.0180546
#Sensitivity;0.258272
#Specificity;0.893199
#Accuracy;0.797943
#PPV;0.153398
#RMSE;0.387426
#RRSE;1.07271
#RAE;0.753901
#MSE;0.168532
#ADM;0.487887
#MDM;0.301714
#Size;0.1
#OverLearn;0.429825

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_cortisol_d is MF 2 THEN 5_ExtremeObese is MF 0
 IF ccr_llb_oh_etio_d is MF 1 THEN 4_Obese is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_llb_oh_andro_d is MF 0 AND ccr_sb_oh_f_d is MF 0 AND ccr_sa_thf_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 2_Normal is MF 1
 IF ccr_estriol_d is MF 2 AND ccr_sa_dihydrotest_d is MF 2 THEN 2_Normal is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_s_at_d is MF 0 AND ccr_l7b_estradiol_d is MF 0 AND cr_l8_oh_f_d is MF 0 THEN 1_SousPoid is MF 0 AND 2_Normal is MF 0 AND 4_Obese is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 0  3_Surpoid is 0  4_Obese is 1  5_ExtremeObese is 1  

Membership functions : 
ccr_s_at_d (10.0196 , 43.3683 , 183.909) ; ccr_sa_dihydrotest_d (1.26063 , 14.2884 , 16.7407) ; ccr_estriol_d (10.8491 , 13.8774 , 25.9906) ; ccr_l7b_estradiol_d (2.24577 , 4.86187 , 6.7305) ; ccr_cortisol_d (10.1349 , 16.3108 , 23.1729) ; cr_l8_oh_f_d (3.69573 , 280.273 , 3752.85) ; ccr_sa_thf_d (39.3531 , 210.795 , 467.957) ; ccr_llb_oh_andro_d (56.1554 , 136.53 , 157.497) ; ccr_llb_oh_etio_d (30.3924 , 36.0993 , 68.0578) ; ccr_sb_oh_f_d (40.4073 , 63.8625 , 65.9474) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 0) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.588679; 0.543943; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.588682; 0.563374; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
3; 0.591252; 0.546212; 0.0548148; 0.969437; 0.813882; 0.132143;0.345747
4; 0.605609; 0.568847; 0.134321; 0.904558; 0.824165; 0.120889;0.362252
5; 0.604731; 0.551041; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
6; 0.604731; 0.551915; 0.245096; 0.814896; 0.746787; 0.190472;0.389186
7; 0.588679; 0.546396; 0.245096; 0.814896; 0.746787; 0.190472;0.389186
8; 0.602225; 0.548476; 0.245096; 0.814896; 0.746787; 0.190472;0.389186
9; 0.602225; 0.548246; 0.245096; 0.814896; 0.746787; 0.190472;0.389186
10; 0.599204; 0.549684; 0.245096; 0.814896; 0.746787; 0.190472;0.389186
11; 0.600133; 0.55314; 0.245096; 0.814896; 0.746787; 0.190472;0.389186
12; 0.603547; 0.569158; 0.12642; 0.902147; 0.818766; 0.116895;0.329595
13; 0.605721; 0.559883; 0.12642; 0.902147; 0.818766; 0.116895;0.329595
14; 0.601748; 0.563705; 0.12642; 0.902147; 0.818766; 0.116895;0.329595
15; 0.601046; 0.555357; 0.12642; 0.902147; 0.818766; 0.116895;0.329595
16; 0.601165; 0.556393; 0.12642; 0.902147; 0.818766; 0.116895;0.329595
17; 0.591417; 0.548563; 0.12642; 0.902147; 0.818766; 0.116895;0.329595
18; 0.607919; 0.570041; 0.12642; 0.902147; 0.818766; 0.116895;0.329595
19; 0.603211; 0.556643; 0.12642; 0.902147; 0.818766; 0.116895;0.329595
20; 0.602784; 0.575117; 0.12642; 0.902147; 0.818766; 0.116895;0.329595
21; 0.60786; 0.561831; 0.12642; 0.902147; 0.818766; 0.116895;0.329595
22; 0.606102; 0.568234; 0.12642; 0.902147; 0.818766; 0.116895;0.329595
23; 0.600957; 0.564717; 0.12642; 0.902147; 0.818766; 0.116895;0.329595
24; 0.606188; 0.566684; 0.162469; 0.875067; 0.824679; 0.117082;0.344909
25; 0.610091; 0.575831; 0.213825; 0.862406; 0.722365; 0.208689;0.407285
26; 0.607364; 0.57561; 0.213825; 0.862406; 0.722365; 0.208689;0.407285
27; 0.608291; 0.575464; 0.213825; 0.862406; 0.722365; 0.208689;0.407285
28; 0.607665; 0.57492; 0.112099; 0.936729; 0.828021; 0.131594;0.345227
29; 0.610156; 0.577289; 0.112099; 0.936729; 0.828021; 0.131594;0.345227
30; 0.610425; 0.581162; 0.112099; 0.936729; 0.828021; 0.131594;0.345227
31; 0.610156; 0.581299; 0.112099; 0.936729; 0.828021; 0.131594;0.345227
32; 0.610669; 0.581694; 0.159012; 0.891689; 0.830848; 0.122901;0.344105
33; 0.610669; 0.581161; 0.159012; 0.891689; 0.830848; 0.122901;0.344105
