#Summary : 
#Best fitness Pop 1;0.640406
#Best fitness Pop 2;0.640406
#Std deviation Pop 1;0.0194719
#Std deviation Pop 2;0.021801
#Sensitivity;0.374452
#Specificity;0.763808
#Accuracy;0.79126
#PPV;0.244814
#RMSE;0.352996
#RRSE;1.10534
#RAE;0.871867
#MSE;0.146319
#ADM;0.437579
#MDM;0.202576
#Size;0.0909091
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_sa_thf_d is MF 2 AND ccr_llb_oh_etio_d is MF 0 THEN 2_Normal is MF 0 AND 5_ExtremeObese is MF 1 AND 1_SousPoid is MF 0
 IF ccr_ths_d is MF 1 THEN 3_Surpoid is MF 1 AND 5_ExtremeObese is MF 1 AND 2_Normal is MF 1 AND 1_SousPoid is MF 0
 IF ccr_a_cortolone_d is MF 0 THEN 3_Surpoid is MF 0 AND 4_Obese is MF 0 AND 2_Normal is MF 1
 IF ccr_zoa_dhf_d is MF 0 AND ccr_thf_d is MF 0 AND ccr_dha_d is MF 1 THEN 3_Surpoid is MF 0 AND 1_SousPoid is MF 1 AND 2_Normal is MF 1 AND 4_Obese is MF 0
 IF ccr_cortisol_d is MF 1 AND ccr_tha_d is MF 0 AND ccr_zoa_dhf_d is MF 1 AND ccr_etio_d is MF 0 THEN 1_SousPoid is MF 1 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 0  3_Surpoid is 1  4_Obese is 1  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (396.568 , 559.486 , 971.07) ; ccr_dha_d (0.3668 , 92.4402 , 1040.8) ; ccr_tha_d (5.43417 , 47.6028 , 49.4362) ; ccr_ths_d (1.239 , 11.6729 , 62.1032) ; ccr_cortisol_d (42.387 , 50.6215 , 64.3459) ; ccr_thf_d (115.976 , 292.074 , 317.231) ; ccr_sa_thf_d (144.123 , 225.082 , 377.474) ; ccr_llb_oh_etio_d (28.1096 , 49.7958 , 130.833) ; ccr_a_cortolone_d (78.7678 , 162.533 , 665.126) ; ccr_zoa_dhf_d (10.7247 , 40.2786 , 65.6846) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.588679; 0.56468; 0.235508; 0.793742; 0.805141; 0.280081;0.386671
2; 0.591938; 0.555342; 0.235508; 0.793742; 0.805141; 0.280081;0.386671
3; 0.590543; 0.548338; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
4; 0.595146; 0.559475; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
5; 0.5965; 0.55448; 0.35; 0.709561; 0.724679; 0.114299;0.428877
6; 0.599975; 0.555012; 0.313704; 0.755709; 0.767095; 0.118802;0.426876
7; 0.598701; 0.561755; 0.313704; 0.755709; 0.767095; 0.118802;0.426876
8; 0.601276; 0.560363; 0.313704; 0.755709; 0.767095; 0.118802;0.426876
9; 0.603705; 0.559717; 0.179812; 0.864447; 0.821851; 0.205014;0.340243
10; 0.608652; 0.560015; 0.179812; 0.864447; 0.821851; 0.205014;0.340243
11; 0.606614; 0.547607; 0.179812; 0.864447; 0.821851; 0.205014;0.340243
12; 0.593447; 0.563006; 0.179812; 0.864447; 0.821851; 0.205014;0.340243
13; 0.597743; 0.566559; 0.276353; 0.807329; 0.769152; 0.155932;0.413662
14; 0.612294; 0.564039; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
15; 0.604211; 0.569146; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
16; 0.598649; 0.552618; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
17; 0.612442; 0.55283; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
18; 0.60604; 0.560555; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
19; 0.602743; 0.565486; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
20; 0.608047; 0.564754; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
21; 0.610752; 0.577833; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
22; 0.608973; 0.567073; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
23; 0.609463; 0.570125; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
24; 0.599905; 0.569957; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
25; 0.608001; 0.572234; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
26; 0.608001; 0.574181; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
27; 0.600314; 0.576448; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
28; 0.611262; 0.571295; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
29; 0.611246; 0.572075; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
30; 0.60883; 0.576919; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
31; 0.614011; 0.576937; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
32; 0.609805; 0.579267; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
33; 0.606104; 0.578747; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
34; 0.605232; 0.573464; 0.387751; 0.722277; 0.724679; 0.205904;0.423187
