#Summary : 
#Best fitness Pop 1;0.650635
#Best fitness Pop 2;0.650587
#Std deviation Pop 1;0.0303002
#Std deviation Pop 2;0.0241506
#Sensitivity;0.454515
#Specificity;0.743686
#Accuracy;0.731877
#PPV;0.245055
#RMSE;0.407928
#RRSE;1.27951
#RAE;1.05147
#MSE;0.181772
#ADM;0.436393
#MDM;0.12784
#Size;0.0909091
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF cr_l8_oh_f_d is MF 1 AND ccr_cortisol_d is MF 1 AND ccr_zoa_dhf_d is MF 0 THEN 1_SousPoid is MF 1 AND 5_ExtremeObese is MF 0 AND 4_Obese is MF 1
 IF ccr_thaldo_d is MF 2 AND ccr_pt_d is MF 2 AND ccr_sb_oh_f_d is MF 1 THEN 2_Normal is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_a_cortolone_d is MF 0 AND ccr_thdoc_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 2_Normal is MF 1 AND 3_Surpoid is MF 0
 IF ccr_thb_d is MF 1 AND ccr_b_cortol_d is MF 0 THEN 1_SousPoid is MF 1 AND 5_ExtremeObese is MF 0 AND 2_Normal is MF 1
 IF ccr_tha_d is MF 1 THEN 1_SousPoid is MF 0 AND 3_Surpoid is MF 0 AND 5_ExtremeObese is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 0  3_Surpoid is 1  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_tha_d (12.3095 , 17.8097 , 42.5609) ; ccr_thb_d (10.6116 , 47.4792 , 110.043) ; ccr_thaldo_d (15.2918 , 32.6823 , 53.4661) ; ccr_thdoc_d (3.28457 , 3.62458 , 3.76058) ; ccr_pt_d (27.5679 , 218.74 , 282.464) ; ccr_cortisol_d (3.27271 , 6.01757 , 23.8592) ; cr_l8_oh_f_d (249.542 , 280.273 , 1570.97) ; ccr_b_cortol_d (68.132 , 132.122 , 299.716) ; ccr_a_cortolone_d (0.98568 , 186.466 , 653.159) ; ccr_sb_oh_f_d (3.40038 , 50.3106 , 50.3106) ; ccr_zoa_dhf_d (27.3164 , 30.9458 , 55.8333) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.588679; 0.543943; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.588682; 0.563374; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
3; 0.592732; 0.557097; 0.146173; 0.887134; 0.821851; 0.116996;0.36343
4; 0.594971; 0.547374; 0.146173; 0.887134; 0.821851; 0.116996;0.36343
5; 0.595751; 0.547263; 0.146173; 0.887134; 0.821851; 0.116996;0.36343
6; 0.594364; 0.561997; 0.245096; 0.814896; 0.746787; 0.190472;0.389186
7; 0.602688; 0.558354; 0.245096; 0.814896; 0.746787; 0.190472;0.389186
8; 0.601212; 0.549771; 0.245096; 0.814896; 0.746787; 0.190472;0.389186
9; 0.600766; 0.570456; 0.245096; 0.814896; 0.746787; 0.190472;0.389186
10; 0.606033; 0.550889; 0.245096; 0.814896; 0.746787; 0.190472;0.389186
11; 0.59547; 0.565871; 0.245096; 0.814896; 0.746787; 0.190472;0.389186
12; 0.594615; 0.565227; 0.167346; 0.876422; 0.823136; 0.150424;0.355885
13; 0.596829; 0.567979; 0.235247; 0.855306; 0.771979; 0.133735;0.406804
14; 0.60619; 0.54679; 0.235247; 0.855306; 0.771979; 0.133735;0.406804
15; 0.610993; 0.562174; 0.235247; 0.855306; 0.771979; 0.133735;0.406804
16; 0.615273; 0.552683; 0.236728; 0.85477; 0.772494; 0.133995;0.406752
17; 0.615273; 0.552013; 0.243148; 0.848872; 0.773008; 0.133229;0.407283
18; 0.615273; 0.555341; 0.243148; 0.848872; 0.773008; 0.133229;0.407283
19; 0.615273; 0.561128; 0.243148; 0.848872; 0.773008; 0.133229;0.407283
20; 0.616194; 0.561492; 0.242161; 0.852089; 0.774036; 0.134536;0.406727
21; 0.617238; 0.56516; 0.247099; 0.849944; 0.775578; 0.135142;0.406083
22; 0.617238; 0.567941; 0.297963; 0.81693; 0.730848; 0.135635;0.439626
23; 0.617406; 0.571475; 0.297901; 0.824984; 0.730077; 0.138375;0.442431
24; 0.617238; 0.570798; 0.297901; 0.824984; 0.730077; 0.138375;0.442431
25; 0.618084; 0.57222; 0.297901; 0.824984; 0.730077; 0.138375;0.442431
26; 0.619593; 0.569916; 0.297901; 0.824984; 0.730077; 0.138375;0.442431
27; 0.617676; 0.575107; 0.301358; 0.823376; 0.731105; 0.138702;0.44224
28; 0.61949; 0.580749; 0.301358; 0.823376; 0.731105; 0.138702;0.44224
29; 0.619593; 0.571548; 0.301358; 0.823376; 0.731105; 0.138702;0.44224
30; 0.620242; 0.578276; 0.301358; 0.823376; 0.731105; 0.138702;0.44224
31; 0.620565; 0.583412; 0.301852; 0.823031; 0.734704; 0.134993;0.44062
32; 0.620567; 0.57846; 0.301852; 0.823031; 0.734704; 0.134993;0.44062
33; 0.620598; 0.583718; 0.301852; 0.823031; 0.734704; 0.134993;0.439586
34; 0.620598; 0.580723; 0.301852; 0.823031; 0.734704; 0.134993;0.439586
35; 0.620598; 0.583359; 0.301852; 0.823031; 0.734704; 0.134993;0.439586
