#Summary : 
#Best fitness Pop 1;0.655091
#Best fitness Pop 2;0.654647
#Std deviation Pop 1;0.0237013
#Std deviation Pop 2;0.0238677
#Sensitivity;0.483157
#Specificity;0.73461
#Accuracy;0.726478
#PPV;0.267176
#RMSE;0.419824
#RRSE;1.455
#RAE;1.2885
#MSE;0.191349
#ADM;0.449992
#MDM;0.104836
#Size;0.125
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_a_cortolone_d is MF 1 THEN 3_Surpoid is MF 1 AND 4_Obese is MF 1 AND 2_Normal is MF 0
 IF ccr_etio_d is MF 2 THEN 3_Surpoid is MF 1 AND 1_SousPoid is MF 0
 IF ccr_a_cortolone_d is MF 0 THEN 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_etio_d is MF 0 AND ccr_thb_d is MF 0 AND ccr_l6a_oh_dha_d is MF 0 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0
 IF ccr_zob_dhe_d is MF 2 AND ccr_pt_d is MF 0 THEN 2_Normal is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (10.708 , 190.776 , 936.771) ; ccr_l6a_oh_dha_d (12.339 , 90.3972 , 156.548) ; ccr_thb_d (1.67397 , 43.0104 , 64.2373) ; ccr_pt_d (0.25752 , 109.499 , 437.223) ; ccr_a_cortolone_d (54.8349 , 180.483 , 653.159) ; ccr_zob_dhe_d (3.44425 , 5.54616 , 6.1929) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.588679; 0.543943; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.588682; 0.563374; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
3; 0.591252; 0.546212; 0.0548148; 0.969437; 0.813882; 0.132143;0.345747
4; 0.605609; 0.568847; 0.134321; 0.904558; 0.824165; 0.120889;0.362252
5; 0.604731; 0.551041; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
6; 0.604731; 0.551915; 0.245096; 0.814896; 0.746787; 0.190472;0.389186
7; 0.588679; 0.546396; 0.245096; 0.814896; 0.746787; 0.190472;0.389186
8; 0.602225; 0.548476; 0.128849; 0.912212; 0.819794; 0.188414;0.336196
9; 0.602225; 0.548246; 0.128849; 0.912212; 0.819794; 0.188414;0.336196
10; 0.600197; 0.550405; 0.128849; 0.912212; 0.819794; 0.188414;0.336196
11; 0.600133; 0.553311; 0.128849; 0.912212; 0.819794; 0.188414;0.336196
12; 0.603547; 0.569225; 0.128849; 0.912212; 0.819794; 0.188414;0.336196
13; 0.613043; 0.572796; 0.226311; 0.821623; 0.805913; 0.191772;0.337894
14; 0.60547; 0.560505; 0.226311; 0.821623; 0.805913; 0.191772;0.337894
15; 0.601249; 0.571611; 0.226311; 0.821623; 0.805913; 0.191772;0.337894
16; 0.606448; 0.55052; 0.229096; 0.822337; 0.817224; 0.201514;0.340663
17; 0.605487; 0.563915; 0.431079; 0.699995; 0.701285; 0.206647;0.444559
18; 0.608295; 0.572022; 0.431079; 0.699995; 0.701285; 0.206647;0.444559
19; 0.609383; 0.574557; 0.431079; 0.699995; 0.701285; 0.206647;0.444559
20; 0.609383; 0.574287; 0.431079; 0.699995; 0.701285; 0.206647;0.444559
21; 0.614557; 0.567433; 0.431079; 0.699995; 0.701285; 0.206647;0.444559
22; 0.614557; 0.569999; 0.431079; 0.699995; 0.701285; 0.206647;0.444559
23; 0.615708; 0.573085; 0.431079; 0.699995; 0.701285; 0.206647;0.444559
24; 0.615708; 0.574129; 0.431079; 0.699995; 0.701285; 0.206647;0.444559
25; 0.615708; 0.573036; 0.431079; 0.699995; 0.701285; 0.206647;0.444559
26; 0.615708; 0.575364; 0.431079; 0.699995; 0.701285; 0.206647;0.444559
27; 0.615708; 0.575167; 0.521423; 0.637553; 0.612082; 0.250472;0.487397
28; 0.619217; 0.576623; 0.69145; 0.546695; 0.56581; 0.258713;0.554936
