#Summary : 
#Best fitness Pop 1;0.655854
#Best fitness Pop 2;0.654451
#Std deviation Pop 1;0.0273318
#Std deviation Pop 2;0.0234378
#Sensitivity;0.353054
#Specificity;0.836367
#Accuracy;0.802057
#PPV;0.245851
#RMSE;0.361896
#RRSE;1.15163
#RAE;0.880145
#MSE;0.144022
#ADM;0.470425
#MDM;0.201651
#Size;0.0833333
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_sb_oh_f_d is MF 0 AND ccr_a_cortolone_d is MF 1 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 1 AND 4_Obese is MF 0 AND 1_SousPoid is MF 1
 IF ccr_thf_d is MF 1 AND ccr_tha_d is MF 2 THEN 4_Obese is MF 0 AND 2_Normal is MF 1 AND 1_SousPoid is MF 0
 IF ccr_llb_oh_etio_d is MF 2 AND cr_l8_oh_f_d is MF 0 THEN 4_Obese is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_l6a_oh_dha_d is MF 0 AND ccr_sa_thf_d is MF 1 AND ccr_l8_oh_tha_d is MF 0 THEN 5_ExtremeObese is MF 1 AND 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_saad3a17b_d is MF 1 AND ccr_s_pt_d is MF 0 AND ccr_zob_dhf_d is MF 1 THEN 3_Surpoid is MF 0 AND 4_Obese is MF 1 AND 2_Normal is MF 0 AND 5_ExtremeObese is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 1  5_ExtremeObese is 0  

Membership functions : 
ccr_saad3a17b_d (3.01406 , 8.49979 , 81.1858) ; ccr_l6a_oh_dha_d (24.2462 , 26.8922 , 140.672) ; ccr_s_pt_d (75.8966 , 165.133 , 177.031) ; ccr_tha_d (3.60075 , 7.26758 , 14.6013) ; ccr_l8_oh_tha_d (61.1925 , 93.9652 , 140.145) ; cr_l8_oh_f_d (126.619 , 280.273 , 3261.16) ; ccr_thf_d (40.5052 , 169.883 , 381.92) ; ccr_sa_thf_d (25.0662 , 225.082 , 529.867) ; ccr_llb_oh_etio_d (66.9164 , 70.3405 , 73.7646) ; ccr_a_cortolone_d (24.9186 , 162.533 , 730.941) ; ccr_sb_oh_f_d (5.48528 , 33.6314 , 37.8012) ; ccr_zob_dhf_d (38.0953 , 253.359 , 452.967) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.588679; 0.56468; 0.235508; 0.793742; 0.805141; 0.280081;0.386671
2; 0.591938; 0.555342; 0.235508; 0.793742; 0.805141; 0.280081;0.386671
3; 0.590543; 0.548338; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
4; 0.595146; 0.559475; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
5; 0.5965; 0.55448; 0.35; 0.709561; 0.724679; 0.114299;0.428877
6; 0.599975; 0.555012; 0.313704; 0.755709; 0.767095; 0.118802;0.426876
7; 0.598701; 0.561755; 0.313704; 0.755709; 0.767095; 0.118802;0.426876
8; 0.601276; 0.560363; 0.313704; 0.755709; 0.767095; 0.118802;0.426876
9; 0.603705; 0.559717; 0.179812; 0.864447; 0.821851; 0.205014;0.340243
10; 0.608652; 0.560015; 0.179812; 0.864447; 0.821851; 0.205014;0.340243
11; 0.608694; 0.560503; 0.223309; 0.836918; 0.806684; 0.19764;0.35514
12; 0.607955; 0.547142; 0.223309; 0.836918; 0.806684; 0.19764;0.35514
13; 0.611844; 0.566669; 0.223309; 0.836918; 0.806684; 0.19764;0.35514
14; 0.611844; 0.566408; 0.299444; 0.812798; 0.729563; 0.134027;0.430582
15; 0.613908; 0.56063; 0.202568; 0.865872; 0.811311; 0.207017;0.334478
16; 0.617377; 0.553583; 0.213926; 0.860824; 0.814653; 0.208141;0.332412
17; 0.618068; 0.55397; 0.213926; 0.860824; 0.814653; 0.208141;0.332412
18; 0.620503; 0.564109; 0.213926; 0.860824; 0.814653; 0.208141;0.332412
19; 0.622986; 0.56973; 0.213926; 0.860824; 0.814653; 0.208141;0.332412
20; 0.623171; 0.569915; 0.213926; 0.861203; 0.81491; 0.208433;0.332094
21; 0.62395; 0.573182; 0.209126; 0.867643; 0.817738; 0.211009;0.330826
22; 0.624257; 0.575227; 0.208326; 0.869158; 0.818509; 0.211881;0.330453
23; 0.624257; 0.57804; 0.208326; 0.869158; 0.818509; 0.211881;0.330453
24; 0.625687; 0.578591; 0.261126; 0.825818; 0.80617; 0.207349;0.339864
25; 0.625687; 0.578678; 0.261126; 0.825818; 0.80617; 0.207349;0.339864
26; 0.625687; 0.580708; 0.252326; 0.836046; 0.810283; 0.209473;0.336143
27; 0.627685; 0.581292; 0.265126; 0.82787; 0.80874; 0.209831;0.339967
28; 0.627685; 0.581781; 0.265126; 0.82787; 0.80874; 0.209831;0.339967
29; 0.627685; 0.582716; 0.264326; 0.829006; 0.809254; 0.210131;0.339823
30; 0.627721; 0.585991; 0.264326; 0.829006; 0.809254; 0.210131;0.339823
31; 0.629034; 0.589702; 0.263526; 0.831879; 0.811054; 0.211315;0.334479
32; 0.629034; 0.588568; 0.263526; 0.831879; 0.811054; 0.211315;0.334479
33; 0.629681; 0.589857; 0.257126; 0.838697; 0.813625; 0.212794;0.333673
34; 0.630778; 0.590817; 0.257126; 0.841349; 0.815424; 0.214363;0.333044
35; 0.630778; 0.590667; 0.257126; 0.841349; 0.815424; 0.214363;0.333044
36; 0.630778; 0.590516; 0.257126; 0.841349; 0.815424; 0.214363;0.333044
37; 0.630778; 0.590648; 0.257126; 0.841349; 0.815424; 0.214363;0.333044
