#Summary : 
#Best fitness Pop 1;0.663974
#Best fitness Pop 2;0.663974
#Std deviation Pop 1;0.0310175
#Std deviation Pop 2;0.0283166
#Sensitivity;0.565583
#Specificity;0.697254
#Accuracy;0.704627
#PPV;0.240008
#RMSE;0.455842
#RRSE;1.48512
#RAE;1.28108
#MSE;0.213542
#ADM;0.440543
#MDM;0.112555
#Size;0.0909091
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_tha_d is MF 1 THEN 5_ExtremeObese is MF 0 AND 2_Normal is MF 1 AND 1_SousPoid is MF 1
 IF ccr_cortisone_d is MF 1 AND ccr_l8_oh_tha_d is MF 1 THEN 1_SousPoid is MF 0 AND 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_a_cortolone_d is MF 0 AND ccr_zoa_dhe_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 2_Normal is MF 1 AND 1_SousPoid is MF 1
 IF ccr_sb_oh_f_d is MF 0 AND ccr_thb_d is MF 0 AND ccr_the_d is MF 1 AND ccr_l6a_oh_dha_d is MF 0 THEN 1_SousPoid is MF 0 AND 3_Surpoid is MF 1
 IF ccr_ll_oxo_etio_d is MF 2 AND ccr_sa_thb_d is MF 1 THEN 1_SousPoid is MF 1 AND 5_ExtremeObese is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 0  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_l6a_oh_dha_d (12.339 , 40.1224 , 115.535) ; ccr_tha_d (5.89252 , 25.1434 , 27.8935) ; ccr_thb_d (39.6588 , 65.3545 , 79.8781) ; ccr_sa_thb_d (23.271 , 264.941 , 384.121) ; ccr_l8_oh_tha_d (50.7649 , 55.2339 , 101.414) ; ccr_cortisone_d (31.8422 , 37.0182 , 38.0534) ; ccr_the_d (160.985 , 174.134 , 792.146) ; ccr_a_cortolone_d (6.96892 , 180.483 , 270.232) ; ccr_ll_oxo_etio_d (31.9962 , 37.8682 , 87.1925) ; ccr_sb_oh_f_d (3.40038 , 28.9404 , 66.9898) ; ccr_zoa_dhe_d (6.14552 , 6.98708 , 10.5216) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.588679; 0.543943; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.591252; 0.546246; 0.155556; 0.861662; 0.814653; 0.109948;0.345166
3; 0.588906; 0.546309; 0.0548148; 0.969437; 0.813882; 0.132143;0.345747
4; 0.596625; 0.564984; 0.0548148; 0.969437; 0.813882; 0.132143;0.345747
5; 0.60236; 0.555187; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
6; 0.602242; 0.547145; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
7; 0.600734; 0.570272; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
8; 0.600626; 0.539313; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
9; 0.591691; 0.560844; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
10; 0.592467; 0.561927; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
11; 0.60176; 0.553703; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
12; 0.60883; 0.555871; 0.137778; 0.902949; 0.825193; 0.121304;0.347832
13; 0.60883; 0.558469; 0.137778; 0.902949; 0.825193; 0.121304;0.347832
14; 0.603009; 0.563916; 0.137778; 0.902949; 0.825193; 0.121304;0.347832
15; 0.613237; 0.555327; 0.271296; 0.820493; 0.772236; 0.130482;0.402879
16; 0.604186; 0.561393; 0.424205; 0.697732; 0.68509; 0.205117;0.460971
17; 0.615965; 0.553215; 0.424205; 0.697732; 0.68509; 0.205117;0.460971
18; 0.617245; 0.556337; 0.293462; 0.811411; 0.738303; 0.211613;0.421088
19; 0.620336; 0.562344; 0.432995; 0.713756; 0.623393; 0.219165;0.485486
20; 0.620336; 0.562837; 0.30957; 0.806585; 0.744216; 0.215449;0.414853
21; 0.620336; 0.565167; 0.309854; 0.815493; 0.726478; 0.216646;0.411708
22; 0.620129; 0.568361; 0.309854; 0.815493; 0.726478; 0.216646;0.411708
23; 0.628862; 0.5707; 0.359375; 0.781008; 0.710026; 0.226918;0.422359
24; 0.628862; 0.573259; 0.33341; 0.805654; 0.712853; 0.234629;0.419589
25; 0.633039; 0.571893; 0.372877; 0.776812; 0.713625; 0.229606;0.41614
26; 0.633039; 0.575334; 0.372877; 0.776812; 0.713625; 0.229606;0.41614
27; 0.629687; 0.575547; 0.384077; 0.76933; 0.711825; 0.230664;0.417402
28; 0.6334; 0.582777; 0.384077; 0.76933; 0.711825; 0.230664;0.417402
29; 0.6334; 0.58378; 0.384077; 0.76933; 0.711825; 0.230664;0.417402
30; 0.6334; 0.586088; 0.384077; 0.76933; 0.711825; 0.230664;0.417402
31; 0.6334; 0.589539; 0.384077; 0.76933; 0.711825; 0.230664;0.417402
32; 0.6334; 0.589085; 0.384077; 0.76933; 0.711825; 0.230664;0.417402
33; 0.635174; 0.588126; 0.387563; 0.767308; 0.709769; 0.231377;0.413785
34; 0.635174; 0.589375; 0.387563; 0.767308; 0.709769; 0.231377;0.413785
35; 0.635596; 0.590906; 0.380363; 0.775262; 0.712853; 0.233038;0.411602
