#Summary : 
#Best fitness Pop 1;0.634447
#Best fitness Pop 2;0.637337
#Std deviation Pop 1;0.0202173
#Std deviation Pop 2;0.0211523
#Sensitivity;0.296067
#Specificity;0.833742
#Accuracy;0.801799
#PPV;0.234528
#RMSE;0.354344
#RRSE;1.21239
#RAE;0.998094
#MSE;0.139132
#ADM;0.380746
#MDM;0.204718
#Size;0.142857
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_zoa_dhe_d is MF 0 AND ccr_pt_d is MF 0 THEN 4_Obese is MF 1 AND 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_sa_thb_d is MF 2 AND ccr_a_cortol_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 4_Obese is MF 1 AND 1_SousPoid is MF 0
 IF ccr_saad3a17b_d is MF 0 AND ccr_etio_d is MF 1 THEN 3_Surpoid is MF 0 AND 4_Obese is MF 1 AND 2_Normal is MF 1
 IF  THEN 1_SousPoid is MF 1 AND 5_ExtremeObese is MF 0 AND 4_Obese is MF 0 AND 2_Normal is MF 1
 IF ccr_a_cortol_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 3_Surpoid is MF 0 AND 1_SousPoid is MF 0 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (139.328 , 293.672 , 988.219) ; ccr_saad3a17b_d (30.4427 , 31.8142 , 36.6142) ; ccr_sa_thb_d (23.271 , 264.941 , 311.289) ; ccr_pt_d (195.982 , 273.361 , 469.085) ; ccr_a_cortol_d (12.2452 , 75.5767 , 309.628) ; ccr_zoa_dhe_d (1.60109 , 9.00683 , 10.7741) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.588679; 0.543943; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.588682; 0.563374; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
3; 0.592732; 0.557097; 0.146173; 0.887134; 0.821851; 0.116996;0.36343
4; 0.594971; 0.547374; 0.146173; 0.887134; 0.821851; 0.116996;0.36343
5; 0.593898; 0.560863; 0.146173; 0.887134; 0.821851; 0.116996;0.36343
6; 0.604945; 0.559942; 0.128889; 0.906702; 0.822365; 0.12;0.346478
7; 0.602688; 0.558603; 0.128889; 0.906702; 0.822365; 0.12;0.346478
8; 0.598208; 0.555046; 0.128889; 0.906702; 0.822365; 0.12;0.346478
9; 0.597667; 0.551088; 0.112593; 0.924933; 0.822622; 0.123913;0.346622
10; 0.602688; 0.558531; 0.112593; 0.924933; 0.822622; 0.123913;0.346622
11; 0.602688; 0.559446; 0.112593; 0.924933; 0.822622; 0.123913;0.346622
12; 0.602874; 0.559047; 0.112593; 0.924933; 0.822622; 0.123913;0.346622
13; 0.610739; 0.565377; 0.248064; 0.804019; 0.779692; 0.224152;0.358206
14; 0.604175; 0.552123; 0.248064; 0.804019; 0.779692; 0.224152;0.358206
15; 0.603916; 0.559816; 0.248064; 0.804019; 0.779692; 0.224152;0.358206
16; 0.607748; 0.550147; 0.248064; 0.804019; 0.779692; 0.224152;0.358206
17; 0.607748; 0.549717; 0.248064; 0.804019; 0.779692; 0.224152;0.358206
18; 0.607748; 0.552256; 0.248064; 0.804019; 0.779692; 0.224152;0.358206
19; 0.607748; 0.556226; 0.248064; 0.804019; 0.779692; 0.224152;0.358206
20; 0.607748; 0.556828; 0.248064; 0.804019; 0.779692; 0.224152;0.358206
21; 0.607748; 0.558437; 0.248064; 0.804019; 0.779692; 0.224152;0.358206
22; 0.607748; 0.563046; 0.248064; 0.804019; 0.779692; 0.224152;0.358206
23; 0.607748; 0.560735; 0.248064; 0.804019; 0.779692; 0.224152;0.358206
24; 0.607748; 0.565042; 0.248064; 0.804019; 0.779692; 0.224152;0.358206
25; 0.607748; 0.563241; 0.248064; 0.804019; 0.779692; 0.224152;0.358206
26; 0.607748; 0.565836; 0.248064; 0.804019; 0.779692; 0.224152;0.358206
27; 0.607748; 0.566037; 0.248064; 0.804019; 0.779692; 0.224152;0.358206
28; 0.607748; 0.565924; 0.248064; 0.804019; 0.779692; 0.224152;0.358206
29; 0.607802; 0.566881; 0.248064; 0.804019; 0.779692; 0.224152;0.358206
30; 0.608162; 0.572046; 0.248064; 0.804019; 0.779692; 0.224152;0.358206
