#Summary : 
#Best fitness Pop 1;0.619093
#Best fitness Pop 2;0.619093
#Std deviation Pop 1;0.0187719
#Std deviation Pop 2;0.0145572
#Sensitivity;0.615195
#Specificity;0.533516
#Accuracy;0.56144
#PPV;0.236885
#RMSE;0.429819
#RRSE;1.46287
#RAE;1.31457
#MSE;0.200466
#ADM;0.26895
#MDM;0.109082
#Size;0.0833333
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.8
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_llb_oh_andro_d is MF 1 THEN 5_ExtremeObese is MF 1 AND 1_SousPoid is MF 1
 IF cr_l8_oh_f_d is MF 0 THEN 2_Normal is MF 1 AND 4_Obese is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_thaldo_d is MF 0 AND ccr_pt_d is MF 0 AND ccr_etio_d is MF 0 AND cr_l8_oh_f_d is MF 0 THEN 1_SousPoid is MF 1 AND 3_Surpoid is MF 1 AND 2_Normal is MF 0
 IF ccr_sa_thf_d is MF 1 AND ccr_dha_d is MF 0 THEN 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 1 AND 2_Normal is MF 0
 IF ccr_s_ad_17b_d is MF 1 AND ccr_pt_one_d is MF 1 AND ccr_sa_dihydrotest_d is MF 0 AND ccr_llb_oh_etio_d is MF 1 THEN 4_Obese is MF 1 AND 3_Surpoid is MF 1 AND 5_ExtremeObese is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 0  3_Surpoid is 0  4_Obese is 1  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (96.4546 , 147.903 , 327.97) ; ccr_s_ad_17b_d (15.9211 , 69.7479 , 104.436) ; ccr_sa_dihydrotest_d (10.4567 , 13.0623 , 15.3613) ; ccr_dha_d (18.7815 , 156.892 , 617.259) ; ccr_thaldo_d (8.08104 , 25.0474 , 31.834) ; ccr_pt_d (59.4299 , 382.602 , 514.602) ; ccr_pt_one_d (40.912 , 42.3698 , 90.4771) ; cr_l8_oh_f_d (1263.66 , 1386.58 , 3537.74) ; ccr_sa_thf_d (63.1644 , 182.221 , 506.056) ; ccr_llb_oh_andro_d (12.4735 , 43.9245 , 162.739) ; ccr_llb_oh_etio_d (25.8269 , 109.147 , 113.713) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.575133; 0.544042; 0.235508; 0.793742; 0.805141; 0.280081;0.386671
2; 0.578567; 0.547636; 0.248; 0.791235; 0.801285; 0.134882;0.393611
3; 0.587497; 0.536982; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
4; 0.579914; 0.558719; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
5; 0.587074; 0.547576; 0.302588; 0.732215; 0.776093; 0.17991;0.350466
6; 0.594237; 0.55262; 0.461901; 0.647012; 0.631105; 0.126345;0.527639
7; 0.588788; 0.540946; 0.461901; 0.647012; 0.631105; 0.126345;0.527639
8; 0.584583; 0.55275; 0.194444; 0.856297; 0.761954; 0.216552;0.381235
9; 0.578756; 0.54362; 0.194444; 0.856297; 0.761954; 0.216552;0.381235
10; 0.594246; 0.549571; 0.194444; 0.856297; 0.761954; 0.216552;0.381235
11; 0.588231; 0.545131; 0.194444; 0.856297; 0.761954; 0.216552;0.381235
12; 0.579183; 0.555093; 0.194444; 0.856297; 0.761954; 0.216552;0.381235
13; 0.596954; 0.546004; 0.245546; 0.82227; 0.755784; 0.142065;0.40627
14; 0.588231; 0.546269; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
15; 0.588659; 0.554785; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
16; 0.593448; 0.561002; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
17; 0.587523; 0.546377; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
18; 0.589258; 0.559754; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
19; 0.593281; 0.553892; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
20; 0.588947; 0.556979; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
21; 0.591505; 0.563831; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
22; 0.588681; 0.552299; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
23; 0.597112; 0.565178; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
24; 0.58218; 0.557869; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
25; 0.59304; 0.56243; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
26; 0.592889; 0.564339; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
27; 0.592174; 0.567402; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
28; 0.5929; 0.564865; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
29; 0.594757; 0.566869; 0.250963; 0.80995; 0.79383; 0.195117;0.341912
30; 0.590532; 0.562921; 0.250963; 0.80995; 0.79383; 0.195117;0.341912
31; 0.593; 0.570506; 0.250963; 0.80995; 0.79383; 0.195117;0.341912
32; 0.601807; 0.57656; 0.23443; 0.826605; 0.794345; 0.197812;0.340717
33; 0.601807; 0.577335; 0.23443; 0.826605; 0.794345; 0.197812;0.340717
34; 0.604966; 0.578481; 0.233768; 0.842446; 0.80437; 0.206776;0.3304
35; 0.611595; 0.57963; 0.233768; 0.842446; 0.80437; 0.206776;0.3304
36; 0.611595; 0.581611; 0.233768; 0.842446; 0.80437; 0.206776;0.3304
