#Summary : 
#Best fitness Pop 1;0.634089
#Best fitness Pop 2;0.633921
#Std deviation Pop 1;0.0244269
#Std deviation Pop 2;0.0169627
#Sensitivity;0.316555
#Specificity;0.832542
#Accuracy;0.791774
#PPV;0.25394
#RMSE;0.353026
#RRSE;1.14053
#RAE;0.929565
#MSE;0.145775
#ADM;0.463789
#MDM;0.201225
#Size;0.0833333
#OverLearn;0.151948

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.8
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_ll_oxo_etio_d is MF 0 AND ccr_a_cortolone_d is MF 1 THEN 4_Obese is MF 1 AND 2_Normal is MF 0
 IF ccr_cortisol_d is MF 0 AND ccr_zoa_dhf_d is MF 1 AND ccr_testosterone_d is MF 1 AND ccr_tha_d is MF 2 THEN 5_ExtremeObese is MF 1
 IF ccr_thdoc_d is MF 1 AND ccr_estriol_d is MF 1 THEN 2_Normal is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_thaldo_d is MF 1 THEN 2_Normal is MF 1
 IF ccr_thb_d is MF 0 AND ccr_a_cortolone_d is MF 1 AND ccr_zoa_dhf_d is MF 0 THEN 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 0 AND 3_Surpoid is MF 1 AND 2_Normal is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_testosterone_d (13.8388 , 20.2189 , 20.2189) ; ccr_estriol_d (1.11524 , 5.00877 , 10.6328) ; ccr_tha_d (27.8935 , 56.7698 , 57.2282) ; ccr_thb_d (8.37718 , 54.1824 , 79.8781) ; ccr_thaldo_d (2.99113 , 33.5306 , 40.7413) ; ccr_thdoc_d (2.26455 , 2.87656 , 8.18068) ; ccr_cortisol_d (14.2522 , 58.1699 , 86.991) ; ccr_a_cortolone_d (48.8516 , 180.483 , 742.908) ; ccr_ll_oxo_etio_d (24.9499 , 96.5876 , 134.168) ; ccr_zoa_dhf_d (2.94737 , 13.8356 , 59.4627) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.57601; 0.537673; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.575149; 0.542734; 0.492; 0.575026; 0.691003; 0.182878;0.442013
3; 0.590454; 0.543772; 0.492; 0.575026; 0.691003; 0.182878;0.442013
4; 0.588731; 0.558342; 0.492; 0.575026; 0.691003; 0.182878;0.442013
5; 0.589237; 0.538836; 0.4598; 0.624972; 0.708226; 0.199476;0.471097
6; 0.589237; 0.540687; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
7; 0.589237; 0.541412; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
8; 0.590488; 0.548308; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
9; 0.579481; 0.549345; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
10; 0.590118; 0.557247; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
11; 0.590118; 0.557224; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
12; 0.594305; 0.556714; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
13; 0.585868; 0.549888; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
14; 0.591568; 0.548263; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
15; 0.590118; 0.547552; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
16; 0.593287; 0.548569; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
17; 0.593287; 0.54853; 0.296096; 0.787227; 0.758612; 0.143122;0.399428
18; 0.593428; 0.549699; 0.296096; 0.787227; 0.758612; 0.143122;0.399428
19; 0.599523; 0.551804; 0.296096; 0.787227; 0.758612; 0.143122;0.399428
20; 0.593769; 0.561969; 0.285726; 0.800095; 0.759383; 0.144715;0.399445
21; 0.597612; 0.556224; 0.285726; 0.800095; 0.759383; 0.144715;0.399445
22; 0.603518; 0.560489; 0.285726; 0.800095; 0.759383; 0.144715;0.399445
23; 0.603518; 0.559548; 0.285726; 0.800095; 0.759383; 0.144715;0.399445
24; 0.598773; 0.564421; 0.285726; 0.800095; 0.759383; 0.144715;0.399445
25; 0.604112; 0.560962; 0.285726; 0.800095; 0.759383; 0.144715;0.399445
26; 0.604112; 0.563489; 0.285726; 0.800095; 0.759383; 0.144715;0.399445
27; 0.604112; 0.563011; 0.285726; 0.800095; 0.759383; 0.144715;0.399445
28; 0.604471; 0.564172; 0.284505; 0.800731; 0.762982; 0.144669;0.39763
29; 0.605736; 0.566687; 0.285259; 0.818461; 0.775321; 0.152445;0.39942
30; 0.606835; 0.569057; 0.285259; 0.818461; 0.775321; 0.152445;0.39942
31; 0.606835; 0.569945; 0.266233; 0.840697; 0.774807; 0.155944;0.38935
32; 0.612286; 0.573984; 0.254408; 0.849276; 0.775064; 0.157032;0.378492
33; 0.612231; 0.57477; 0.274134; 0.840225; 0.779177; 0.158456;0.383002
34; 0.612357; 0.573097; 0.274134; 0.840225; 0.779177; 0.158456;0.383002
35; 0.618971; 0.574682; 0.365868; 0.74052; 0.780206; 0.233477;0.352157
36; 0.618971; 0.575559; 0.365868; 0.74052; 0.780206; 0.233477;0.352157
37; 0.618971; 0.576199; 0.365868; 0.74052; 0.780206; 0.233477;0.352157
38; 0.618971; 0.57822; 0.365868; 0.74052; 0.780206; 0.233477;0.352157
39; 0.618971; 0.575821; 0.365868; 0.74052; 0.780206; 0.233477;0.352157
40; 0.618971; 0.573583; 0.365868; 0.74052; 0.780206; 0.233477;0.352157
41; 0.619791; 0.575686; 0.364386; 0.743676; 0.781748; 0.235627;0.350722
42; 0.621216; 0.574922; 0.358886; 0.751098; 0.790231; 0.240531;0.345973
43; 0.621216; 0.572852; 0.358886; 0.751098; 0.790231; 0.240531;0.345973
44; 0.621435; 0.573352; 0.366968; 0.768418; 0.766324; 0.236333;0.40394
45; 0.621435; 0.57202; 0.306728; 0.809765; 0.791517; 0.248015;0.343962
46; 0.621435; 0.572908; 0.306728; 0.809765; 0.791517; 0.248015;0.343962
47; 0.621435; 0.573881; 0.306728; 0.809765; 0.791517; 0.248015;0.343962
48; 0.621435; 0.571824; 0.373055; 0.765672; 0.765039; 0.236221;0.39473
49; 0.623854; 0.573881; 0.373055; 0.765672; 0.765039; 0.236221;0.39473
50; 0.623854; 0.57602; 0.373055; 0.765672; 0.765039; 0.236221;0.39473
51; 0.624406; 0.577569; 0.38145; 0.758165; 0.76581; 0.235476;0.394219
52; 0.622891; 0.575332; 0.382931; 0.757093; 0.766067; 0.235466;0.394154
53; 0.624499; 0.573832; 0.382931; 0.757093; 0.766067; 0.235466;0.394154
54; 0.624499; 0.574638; 0.382931; 0.757093; 0.766067; 0.235466;0.394154
55; 0.624499; 0.575067; 0.382931; 0.757093; 0.766067; 0.235466;0.394154
56; 0.624499; 0.574557; 0.382931; 0.757093; 0.766067; 0.235466;0.394154
57; 0.624499; 0.57266; 0.382931; 0.757093; 0.766067; 0.235466;0.394154
58; 0.61985; 0.572704; 0.382931; 0.757093; 0.766067; 0.235466;0.394154
59; 0.620565; 0.572513; 0.382931; 0.757093; 0.766067; 0.235466;0.394154
60; 0.620836; 0.57135; 0.382931; 0.757093; 0.766067; 0.235466;0.394154
61; 0.620824; 0.570702; 0.382931; 0.757093; 0.766067; 0.235466;0.394154
62; 0.620824; 0.571745; 0.377499; 0.762991; 0.766067; 0.236416;0.392903
63; 0.620825; 0.570614; 0.377499; 0.762991; 0.766067; 0.236416;0.392903
64; 0.620825; 0.568685; 0.377499; 0.762991; 0.766067; 0.236416;0.392903
65; 0.620825; 0.574293; 0.377499; 0.762991; 0.766067; 0.236416;0.392903
66; 0.624917; 0.574057; 0.377499; 0.762991; 0.766067; 0.236416;0.392903
67; 0.624917; 0.574316; 0.377499; 0.762991; 0.766067; 0.236416;0.392903
68; 0.624917; 0.575118; 0.377499; 0.762991; 0.766067; 0.236416;0.392903
69; 0.624917; 0.574731; 0.377499; 0.762991; 0.766067; 0.236416;0.392903
70; 0.624917; 0.578182; 0.377499; 0.762991; 0.766067; 0.236416;0.392903
71; 0.624917; 0.576743; 0.352373; 0.788301; 0.772494; 0.240974;0.38888
72; 0.624917; 0.575921; 0.352373; 0.788301; 0.772494; 0.240974;0.38888
73; 0.624917; 0.577027; 0.352373; 0.788301; 0.772494; 0.240974;0.38888
74; 0.624918; 0.576518; 0.352373; 0.788301; 0.772494; 0.240974;0.38888
75; 0.62559; 0.578454; 0.352373; 0.788301; 0.772494; 0.240974;0.38888
76; 0.62559; 0.580453; 0.352373; 0.788301; 0.772494; 0.240974;0.38888
77; 0.62559; 0.579414; 0.352373; 0.788301; 0.772494; 0.240974;0.38888
78; 0.62559; 0.58212; 0.352373; 0.788301; 0.772494; 0.240974;0.38888
79; 0.626547; 0.583059; 0.355099; 0.788747; 0.777121; 0.241917;0.390047
80; 0.626547; 0.580854; 0.355099; 0.788747; 0.777121; 0.241917;0.390047
81; 0.626547; 0.57813; 0.355099; 0.788747; 0.777121; 0.241917;0.390047
82; 0.629556; 0.581222; 0.304634; 0.833201; 0.784319; 0.24946;0.356323
83; 0.629556; 0.580637; 0.304634; 0.833201; 0.784319; 0.24946;0.356169
84; 0.630034; 0.578807; 0.303715; 0.835095; 0.785604; 0.250219;0.355489
85; 0.630034; 0.577401; 0.303715; 0.835095; 0.785604; 0.250219;0.355484
86; 0.630034; 0.577483; 0.303715; 0.835095; 0.785604; 0.250219;0.355484
87; 0.630085; 0.577092; 0.305128; 0.833959; 0.78509; 0.250451;0.355791
88; 0.630085; 0.573831; 0.305128; 0.833959; 0.78509; 0.250451;0.355791
89; 0.63029; 0.576135; 0.292723; 0.846272; 0.791774; 0.252985;0.354261
90; 0.63029; 0.57539; 0.292723; 0.846272; 0.791774; 0.252985;0.354261
91; 0.63029; 0.575832; 0.292723; 0.846272; 0.791774; 0.252985;0.354261
92; 0.631826; 0.575937; 0.310629; 0.83295; 0.788175; 0.251434;0.354911
93; 0.631826; 0.575202; 0.310629; 0.83295; 0.788175; 0.251434;0.354911
94; 0.63029; 0.578377; 0.310629; 0.83295; 0.788175; 0.251434;0.354911
95; 0.631826; 0.580911; 0.310629; 0.83295; 0.788175; 0.251434;0.354911
96; 0.631826; 0.575854; 0.310629; 0.83295; 0.788175; 0.251434;0.354911
97; 0.631826; 0.576624; 0.310629; 0.83295; 0.788175; 0.251434;0.354911
98; 0.631826; 0.580387; 0.310629; 0.83295; 0.788175; 0.251434;0.354911
99; 0.631826; 0.580425; 0.310629; 0.83295; 0.788175; 0.251434;0.354911
100; 0.631826; 0.581345; 0.310629; 0.83295; 0.788175; 0.251434;0.354911
101; 0.631839; 0.581157; 0.310629; 0.83295; 0.788175; 0.251434;0.354831
102; 0.631839; 0.580118; 0.310629; 0.83295; 0.788175; 0.251434;0.354831
103; 0.631839; 0.580008; 0.310629; 0.83295; 0.788175; 0.251434;0.354831
104; 0.631839; 0.580208; 0.310629; 0.83295; 0.788175; 0.251434;0.354831
105; 0.631839; 0.581228; 0.310629; 0.83295; 0.788175; 0.251434;0.354831
106; 0.631839; 0.576698; 0.310629; 0.83295; 0.788175; 0.251434;0.354831
107; 0.63184; 0.573261; 0.310629; 0.83295; 0.788175; 0.251434;0.354824
108; 0.63184; 0.572834; 0.310629; 0.83295; 0.788175; 0.251434;0.354824
109; 0.63184; 0.574694; 0.310629; 0.83295; 0.788175; 0.251434;0.354824
110; 0.63184; 0.576793; 0.310629; 0.83295; 0.788175; 0.251434;0.354824
111; 0.63184; 0.578797; 0.310629; 0.83295; 0.788175; 0.251434;0.354824
112; 0.63184; 0.576026; 0.310629; 0.83295; 0.788175; 0.251434;0.354824
113; 0.63184; 0.578648; 0.310629; 0.83295; 0.788175; 0.251434;0.354824
114; 0.63184; 0.576175; 0.310629; 0.83295; 0.788175; 0.251434;0.354824
115; 0.63184; 0.577146; 0.310629; 0.83295; 0.788175; 0.251434;0.354824
116; 0.63184; 0.576544; 0.310629; 0.83295; 0.788175; 0.251434;0.354824
117; 0.63184; 0.576358; 0.310629; 0.83295; 0.788175; 0.251434;0.354824
118; 0.63184; 0.576961; 0.310629; 0.83295; 0.788175; 0.251434;0.354824
119; 0.631894; 0.580785; 0.310629; 0.83295; 0.788175; 0.251434;0.354476
120; 0.631894; 0.580757; 0.310629; 0.83295; 0.788175; 0.251434;0.354476
121; 0.631894; 0.578755; 0.310629; 0.83295; 0.788175; 0.251434;0.354476
122; 0.631894; 0.579587; 0.310629; 0.83295; 0.788175; 0.251434;0.354476
123; 0.6319; 0.579448; 0.310629; 0.83295; 0.788175; 0.251434;0.354432
124; 0.631902; 0.580923; 0.310629; 0.83295; 0.788175; 0.251434;0.354425
125; 0.631902; 0.579313; 0.310629; 0.83295; 0.788175; 0.251434;0.354425
126; 0.631902; 0.580582; 0.310629; 0.83295; 0.788175; 0.251434;0.354425
127; 0.631902; 0.579531; 0.310629; 0.83295; 0.788175; 0.251434;0.354422
128; 0.631902; 0.578239; 0.310629; 0.83295; 0.788175; 0.251434;0.354422
129; 0.632119; 0.577629; 0.305217; 0.838128; 0.790488; 0.252908;0.352484
130; 0.632119; 0.576051; 0.305217; 0.838128; 0.790488; 0.252908;0.352484
131; 0.632119; 0.580388; 0.305217; 0.838128; 0.790488; 0.252908;0.352484
132; 0.632119; 0.580459; 0.305217; 0.838128; 0.790488; 0.252908;0.352484
133; 0.632119; 0.580598; 0.305217; 0.838128; 0.790488; 0.252908;0.352484
134; 0.632143; 0.581261; 0.310629; 0.833518; 0.788689; 0.251824;0.354178
135; 0.632143; 0.579842; 0.310629; 0.833518; 0.788689; 0.251824;0.354178
136; 0.632143; 0.581207; 0.310629; 0.833518; 0.788689; 0.251824;0.354178
137; 0.632143; 0.582497; 0.310629; 0.833518; 0.788689; 0.251824;0.354178
138; 0.632143; 0.584679; 0.310629; 0.833518; 0.788689; 0.251824;0.354178
139; 0.632143; 0.585158; 0.310629; 0.833518; 0.788689; 0.251824;0.354178
140; 0.632161; 0.584428; 0.309167; 0.834374; 0.790746; 0.252079;0.352667
141; 0.632161; 0.584715; 0.309167; 0.834374; 0.790746; 0.252079;0.352667
142; 0.632161; 0.581938; 0.309167; 0.834374; 0.790746; 0.252079;0.352667
143; 0.632235; 0.585217; 0.310629; 0.83355; 0.788946; 0.251894;0.353658
144; 0.632308; 0.583093; 0.310629; 0.834276; 0.789203; 0.252659;0.354102
145; 0.632308; 0.581008; 0.310629; 0.834308; 0.78946; 0.252729;0.353583
146; 0.632308; 0.577765; 0.310629; 0.834308; 0.78946; 0.252729;0.353583
147; 0.632308; 0.577393; 0.310629; 0.834308; 0.78946; 0.252729;0.353583
148; 0.632308; 0.576796; 0.310629; 0.834308; 0.78946; 0.252729;0.353583
149; 0.632236; 0.578111; 0.310629; 0.834308; 0.78946; 0.252729;0.353583
150; 0.632236; 0.578329; 0.310629; 0.834308; 0.78946; 0.252729;0.353583
151; 0.632238; 0.579876; 0.310629; 0.834308; 0.78946; 0.252729;0.353583
152; 0.632236; 0.581491; 0.310629; 0.834308; 0.78946; 0.252729;0.353583
153; 0.632238; 0.578545; 0.310629; 0.834308; 0.78946; 0.252729;0.353583
154; 0.632517; 0.578422; 0.310629; 0.834308; 0.78946; 0.252729;0.353583
155; 0.632517; 0.577827; 0.310629; 0.834308; 0.78946; 0.252729;0.353583
156; 0.632517; 0.578682; 0.310629; 0.834308; 0.78946; 0.252729;0.353583
157; 0.632517; 0.579775; 0.310629; 0.834308; 0.78946; 0.252729;0.353583
158; 0.632517; 0.576294; 0.310629; 0.834308; 0.78946; 0.252729;0.353583
159; 0.632517; 0.575484; 0.310629; 0.834308; 0.78946; 0.252729;0.353583
160; 0.632517; 0.575019; 0.310629; 0.834308; 0.78946; 0.252729;0.353583
161; 0.632517; 0.57509; 0.310629; 0.834308; 0.78946; 0.252729;0.353583
162; 0.632517; 0.577614; 0.310629; 0.834308; 0.78946; 0.252729;0.353583
163; 0.632517; 0.574734; 0.310629; 0.834308; 0.78946; 0.252729;0.353581
164; 0.632517; 0.578966; 0.310629; 0.834308; 0.78946; 0.252729;0.353581
165; 0.632671; 0.580088; 0.310629; 0.834687; 0.789717; 0.253154;0.353461
166; 0.632671; 0.579959; 0.310629; 0.834687; 0.789717; 0.253154;0.353461
167; 0.632671; 0.580307; 0.310629; 0.834687; 0.789717; 0.253154;0.353461
168; 0.632671; 0.577902; 0.310629; 0.834687; 0.789717; 0.253154;0.353461
169; 0.632671; 0.578529; 0.310629; 0.834687; 0.789717; 0.253154;0.353461
170; 0.632671; 0.575063; 0.310629; 0.834687; 0.789717; 0.253154;0.353461
171; 0.632671; 0.578469; 0.310629; 0.834687; 0.789717; 0.253154;0.353461
172; 0.632671; 0.578711; 0.310629; 0.834687; 0.789717; 0.253154;0.353461
173; 0.632671; 0.576319; 0.310629; 0.834687; 0.789717; 0.253154;0.353461
174; 0.632671; 0.573692; 0.310629; 0.834687; 0.789717; 0.253154;0.353461
175; 0.632671; 0.572383; 0.310629; 0.834687; 0.789717; 0.253154;0.353461
176; 0.632671; 0.574975; 0.310629; 0.834687; 0.789717; 0.253154;0.353461
177; 0.632671; 0.576176; 0.310629; 0.834687; 0.789717; 0.253154;0.353461
178; 0.632671; 0.574603; 0.310629; 0.834687; 0.789717; 0.253154;0.353461
179; 0.632671; 0.571206; 0.310629; 0.834687; 0.789717; 0.253154;0.353461
180; 0.632671; 0.570931; 0.310629; 0.834687; 0.789717; 0.253154;0.353461
181; 0.632671; 0.569548; 0.310629; 0.834687; 0.789717; 0.253154;0.353461
182; 0.632671; 0.568296; 0.310629; 0.834687; 0.789717; 0.253154;0.353461
183; 0.632671; 0.569383; 0.310629; 0.834687; 0.789717; 0.253154;0.353461
184; 0.632671; 0.567265; 0.310135; 0.835759; 0.789974; 0.253632;0.353738
185; 0.632671; 0.569931; 0.310135; 0.835759; 0.789974; 0.253632;0.353738
186; 0.632671; 0.579043; 0.311123; 0.835823; 0.790745; 0.25463;0.353218
187; 0.632671; 0.570318; 0.311123; 0.835823; 0.790745; 0.25463;0.353218
188; 0.632835; 0.563284; 0.311617; 0.835823; 0.791003; 0.254806;0.353225
189; 0.632835; 0.565697; 0.311617; 0.835823; 0.791003; 0.254806;0.353225
190; 0.632835; 0.568409; 0.311617; 0.835823; 0.791003; 0.254806;0.353225
191; 0.632835; 0.567392; 0.311617; 0.835823; 0.791003; 0.254806;0.353225
192; 0.633466; 0.57233; 0.311617; 0.835823; 0.791003; 0.254806;0.353225
193; 0.633466; 0.574388; 0.311617; 0.835823; 0.791003; 0.254806;0.353225
194; 0.633466; 0.575927; 0.316061; 0.832542; 0.791517; 0.253772;0.352973
195; 0.633466; 0.574087; 0.316061; 0.832542; 0.791517; 0.253772;0.352973
196; 0.633466; 0.57343; 0.316061; 0.832542; 0.791517; 0.253772;0.352973
197; 0.633921; 0.573515; 0.316061; 0.832542; 0.791517; 0.253772;0.352973
198; 0.633921; 0.574194; 0.316061; 0.832542; 0.791517; 0.253772;0.352973
199; 0.634089; 0.574869; 0.316555; 0.832542; 0.791774; 0.25394;0.353026
200; 0.634089; 0.571646; 0.316555; 0.832542; 0.791774; 0.25394;0.353026


#Population Rules
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.586482; 0.575726; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.586596; 0.565186; 0.492; 0.575026; 0.691003; 0.182878;0.442013
3; 0.583904; 0.551515; 0.492; 0.575026; 0.691003; 0.182878;0.442013
4; 0.588778; 0.565898; 0.492; 0.575026; 0.691003; 0.182878;0.442013
5; 0.588778; 0.565713; 0.4598; 0.624972; 0.708226; 0.199476;0.471097
6; 0.584637; 0.547122; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
7; 0.582564; 0.561987; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
8; 0.580259; 0.550607; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
9; 0.577293; 0.549832; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
10; 0.590118; 0.557147; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
11; 0.582356; 0.551681; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
12; 0.591598; 0.554971; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
13; 0.593287; 0.557019; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
