#Summary : 
#Best fitness Pop 1;0.619717
#Best fitness Pop 2;0.619717
#Std deviation Pop 1;0.0234182
#Std deviation Pop 2;0.0121418
#Sensitivity;0.25839
#Specificity;0.84068
#Accuracy;0.815938
#PPV;0.214402
#RMSE;0.330663
#RRSE;0.858584
#RAE;0.559603
#MSE;0.129632
#ADM;0.395012
#MDM;0.300199
#Size;0.125
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.8
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thb_d is MF 2 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0
 IF ccr_sa_thb_d is MF 0 AND ccr_the_d is MF 0 THEN 2_Normal is MF 1 AND 4_Obese is MF 0 AND 1_SousPoid is MF 0
 IF ccr_pt_d is MF 0 AND ccr_etio_d is MF 0 THEN 1_SousPoid is MF 1 AND 3_Surpoid is MF 1 AND 2_Normal is MF 0
 IF ccr_sa_thf_d is MF 1 THEN 5_ExtremeObese is MF 0 AND 2_Normal is MF 0
 IF ccr_tha_d is MF 1 AND ccr_s_pt_d is MF 0 THEN 2_Normal is MF 1 AND 1_SousPoid is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 0  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (96.4546 , 147.903 , 499.464) ; ccr_s_pt_d (114.566 , 156.209 , 168.108) ; ccr_tha_d (13.2262 , 41.1858 , 57.2282) ; ccr_thb_d (32.9556 , 82.1125 , 103.339) ; ccr_sa_thb_d (46.4448 , 106.035 , 149.072) ; ccr_pt_d (86.7403 , 173.223 , 569.223) ; ccr_sa_thf_d (67.9267 , 477.482 , 558.44) ; ccr_the_d (529.162 , 1134.03 , 1567.95) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.575133; 0.544042; 0.235508; 0.793742; 0.805141; 0.280081;0.386671
2; 0.578567; 0.547636; 0.248; 0.791235; 0.801285; 0.134882;0.393611
3; 0.587497; 0.536982; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
4; 0.579914; 0.558719; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
5; 0.587074; 0.547576; 0.302588; 0.732215; 0.776093; 0.17991;0.350466
6; 0.594237; 0.55262; 0.461901; 0.647012; 0.631105; 0.126345;0.527639
7; 0.588788; 0.540946; 0.461901; 0.647012; 0.631105; 0.126345;0.527639
8; 0.584583; 0.55275; 0.194444; 0.856297; 0.761954; 0.216552;0.381235
9; 0.578756; 0.54362; 0.194444; 0.856297; 0.761954; 0.216552;0.381235
10; 0.594246; 0.549571; 0.194444; 0.856297; 0.761954; 0.216552;0.381235
11; 0.588231; 0.545131; 0.194444; 0.856297; 0.761954; 0.216552;0.381235
12; 0.579183; 0.555093; 0.194444; 0.856297; 0.761954; 0.216552;0.381235
13; 0.596954; 0.546004; 0.245546; 0.82227; 0.755784; 0.142065;0.40627
14; 0.588231; 0.546269; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
15; 0.588659; 0.554785; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
16; 0.593448; 0.561002; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
17; 0.587523; 0.546377; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
18; 0.589258; 0.559754; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
19; 0.593281; 0.553892; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
20; 0.588947; 0.556979; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
21; 0.591505; 0.563831; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
22; 0.588681; 0.552299; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
23; 0.597112; 0.565178; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
24; 0.58218; 0.557869; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
25; 0.59304; 0.56243; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
26; 0.592889; 0.564339; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
27; 0.592174; 0.567402; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
28; 0.592477; 0.567661; 0.257397; 0.817665; 0.759897; 0.144187;0.407046
29; 0.594619; 0.566147; 0.250963; 0.80995; 0.79383; 0.195117;0.341912
30; 0.591595; 0.565006; 0.250963; 0.80995; 0.79383; 0.195117;0.341912
