#Summary : 
#Best fitness Pop 1;0.652159
#Best fitness Pop 2;0.651875
#Std deviation Pop 1;0.025236
#Std deviation Pop 2;0.0251411
#Sensitivity;0.405144
#Specificity;0.797289
#Accuracy;0.794859
#PPV;0.301037
#RMSE;0.35935
#RRSE;1.18403
#RAE;0.934838
#MSE;0.148433
#ADM;0.470254
#MDM;0.115697
#Size;0.1
#OverLearn;0.235135

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.8
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_ll_oxo_etio_d is MF 0 AND ccr_a_cortolone_d is MF 1 AND ccr_etio_d is MF 0 THEN 4_Obese is MF 1 AND 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_s_ad_17b_d is MF 0 AND ccr_zob_dhf_d is MF 1 THEN 1_SousPoid is MF 0
 IF ccr_ths_d is MF 0 AND ccr_pd_d is MF 1 AND ccr_thf_d is MF 0 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 0 AND 1_SousPoid is MF 1
 IF ccr_pt_one_d is MF 2 THEN 3_Surpoid is MF 1 AND 5_ExtremeObese is MF 1
 IF ccr_zoa_dhe_d is MF 2 THEN 5_ExtremeObese is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (79.3053 , 250.798 , 919.622) ; ccr_s_ad_17b_d (61.3748 , 91.2786 , 139.125) ; ccr_pd_d (55.5072 , 138.021 , 422.691) ; ccr_pt_one_d (28.5208 , 46.7432 , 67.8812) ; ccr_ths_d (5.87627 , 15.7305 , 57.466) ; ccr_thf_d (76.4436 , 324.418 , 432.234) ; ccr_a_cortolone_d (18.9354 , 198.433 , 647.176) ; ccr_ll_oxo_etio_d (59.0071 , 67.2279 , 103.634) ; ccr_zoa_dhe_d (2.27434 , 3.28421 , 5.47227) ; ccr_zob_dhf_d (81.148 , 406 , 445.139) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.57601; 0.537673; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.575149; 0.542734; 0.492; 0.575026; 0.691003; 0.182878;0.442013
3; 0.590454; 0.543772; 0.492; 0.575026; 0.691003; 0.182878;0.442013
4; 0.588731; 0.558342; 0.492; 0.575026; 0.691003; 0.182878;0.442013
5; 0.589237; 0.538836; 0.4598; 0.624972; 0.708226; 0.199476;0.471097
6; 0.589237; 0.540687; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
7; 0.589237; 0.541412; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
8; 0.590488; 0.548308; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
9; 0.579481; 0.549345; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
10; 0.590118; 0.557247; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
11; 0.590118; 0.557224; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
12; 0.585868; 0.547489; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
13; 0.591568; 0.549074; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
14; 0.591557; 0.548567; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
15; 0.595604; 0.550235; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
16; 0.595604; 0.548235; 0.293133; 0.787479; 0.757069; 0.142277;0.399849
17; 0.595604; 0.548181; 0.293133; 0.787479; 0.757069; 0.142277;0.399849
18; 0.597004; 0.549509; 0.293133; 0.787479; 0.757069; 0.142277;0.399849
19; 0.5979; 0.552883; 0.293133; 0.787479; 0.757069; 0.142277;0.399849
20; 0.5979; 0.553101; 0.293133; 0.787479; 0.757069; 0.142277;0.399849
21; 0.599882; 0.55815; 0.419935; 0.667424; 0.743445; 0.214751;0.406151
22; 0.600631; 0.560236; 0.419935; 0.667424; 0.743445; 0.214751;0.406151
23; 0.600821; 0.560895; 0.419935; 0.667424; 0.743445; 0.214751;0.406151
24; 0.604405; 0.569051; 0.419438; 0.669507; 0.743959; 0.216201;0.406913
25; 0.604396; 0.568233; 0.409427; 0.682937; 0.742159; 0.215559;0.411396
26; 0.604256; 0.570118; 0.384732; 0.73432; 0.755013; 0.225037;0.415008
27; 0.604509; 0.569742; 0.384732; 0.73432; 0.755013; 0.225037;0.415008
28; 0.605453; 0.570268; 0.378006; 0.749806; 0.758869; 0.2286;0.387526
29; 0.611621; 0.569979; 0.378006; 0.749806; 0.758869; 0.2286;0.387526
30; 0.617464; 0.570346; 0.381018; 0.751951; 0.743702; 0.233892;0.399486
31; 0.618802; 0.570974; 0.381018; 0.751951; 0.743702; 0.233892;0.399486
32; 0.617155; 0.571138; 0.381018; 0.751951; 0.743702; 0.233892;0.399486
33; 0.612131; 0.570657; 0.381018; 0.751951; 0.743702; 0.233892;0.399486
34; 0.615533; 0.57067; 0.381018; 0.751951; 0.743702; 0.233892;0.399486
35; 0.615533; 0.571968; 0.381018; 0.751951; 0.743702; 0.233892;0.399486
36; 0.615733; 0.57401; 0.381018; 0.751951; 0.743702; 0.233892;0.399486
37; 0.617659; 0.572574; 0.381018; 0.751951; 0.743702; 0.233892;0.399486
38; 0.615975; 0.573995; 0.381018; 0.751951; 0.743702; 0.233892;0.399486
39; 0.620514; 0.576061; 0.381018; 0.751951; 0.743702; 0.233892;0.399486
40; 0.620542; 0.572737; 0.381018; 0.751951; 0.743702; 0.233892;0.399486
41; 0.620701; 0.574406; 0.381018; 0.751951; 0.743702; 0.233892;0.399486
42; 0.620701; 0.574609; 0.381018; 0.751951; 0.743702; 0.233892;0.399486
43; 0.620701; 0.57207; 0.381018; 0.751951; 0.743702; 0.233892;0.399486
44; 0.620701; 0.573372; 0.381018; 0.751951; 0.743702; 0.233892;0.399486
45; 0.620701; 0.572241; 0.381018; 0.751951; 0.743702; 0.233892;0.399486
46; 0.620701; 0.574222; 0.381018; 0.751951; 0.743702; 0.233892;0.399486
47; 0.620712; 0.57405; 0.368225; 0.767888; 0.768638; 0.235356;0.405111
48; 0.620712; 0.572127; 0.367425; 0.767636; 0.768381; 0.234797;0.402096
49; 0.620712; 0.574053; 0.367425; 0.767636; 0.768381; 0.234797;0.402096
50; 0.620712; 0.573476; 0.367425; 0.767636; 0.768381; 0.234797;0.402096
51; 0.621207; 0.577276; 0.36651; 0.769056; 0.769923; 0.235965;0.401679
52; 0.621207; 0.574613; 0.36651; 0.769056; 0.769923; 0.235965;0.401679
53; 0.621207; 0.574485; 0.36651; 0.769056; 0.769923; 0.235965;0.401679
54; 0.621207; 0.574186; 0.36651; 0.769056; 0.769923; 0.235965;0.401679
55; 0.621207; 0.574941; 0.36651; 0.769056; 0.769923; 0.235965;0.401679
56; 0.621324; 0.575058; 0.36651; 0.769056; 0.769923; 0.235965;0.401679
57; 0.62083; 0.573007; 0.36651; 0.769056; 0.769923; 0.235965;0.401679
58; 0.62083; 0.572557; 0.36651; 0.769056; 0.769923; 0.235965;0.401679
59; 0.630014; 0.573876; 0.365213; 0.786647; 0.791003; 0.248774;0.386046
60; 0.630014; 0.57395; 0.365213; 0.786647; 0.791003; 0.248774;0.386046
61; 0.630014; 0.572502; 0.366319; 0.786362; 0.790488; 0.24878;0.386118
62; 0.630014; 0.57425; 0.366319; 0.786362; 0.790488; 0.24878;0.386118
63; 0.630357; 0.572594; 0.366013; 0.78652; 0.791003; 0.248934;0.385367
64; 0.630357; 0.571794; 0.366013; 0.78652; 0.791003; 0.248934;0.385367
65; 0.630357; 0.575719; 0.373519; 0.785168; 0.78946; 0.314332;0.387018
66; 0.630394; 0.574281; 0.373519; 0.785168; 0.78946; 0.314332;0.387018
67; 0.630834; 0.575049; 0.390237; 0.786711; 0.782262; 0.272472;0.396396
68; 0.630834; 0.574486; 0.390237; 0.786711; 0.782262; 0.272472;0.396396
69; 0.632305; 0.57368; 0.390237; 0.786711; 0.782262; 0.272472;0.396396
70; 0.637411; 0.579777; 0.390237; 0.786711; 0.782262; 0.272472;0.396396
71; 0.637411; 0.578941; 0.390237; 0.786711; 0.782262; 0.272472;0.396396
72; 0.637411; 0.575917; 0.390237; 0.786711; 0.782262; 0.272472;0.396396
73; 0.637411; 0.578214; 0.390237; 0.786711; 0.782262; 0.272472;0.396396
74; 0.637411; 0.577779; 0.390237; 0.786711; 0.782262; 0.272472;0.396396
75; 0.637411; 0.577731; 0.390237; 0.786711; 0.782262; 0.272472;0.396396
76; 0.637411; 0.580931; 0.390237; 0.786711; 0.782262; 0.272472;0.396396
77; 0.637411; 0.582824; 0.390237; 0.786711; 0.782262; 0.272472;0.396396
78; 0.638774; 0.583752; 0.396868; 0.782958; 0.779949; 0.276637;0.394174
79; 0.638774; 0.585171; 0.396868; 0.782958; 0.779949; 0.276637;0.394174
80; 0.638774; 0.583271; 0.396868; 0.782958; 0.779949; 0.276637;0.393901
81; 0.638774; 0.580973; 0.396868; 0.782958; 0.779949; 0.276637;0.393901
82; 0.638815; 0.582863; 0.396868; 0.782958; 0.779949; 0.276637;0.393901
83; 0.638825; 0.581111; 0.395268; 0.784473; 0.780463; 0.277076;0.39363
84; 0.639328; 0.579867; 0.393928; 0.786843; 0.784319; 0.27926;0.392737
85; 0.639958; 0.576716; 0.382998; 0.787751; 0.784319; 0.277962;0.3651
86; 0.639958; 0.576994; 0.382998; 0.787751; 0.784319; 0.277962;0.3651
87; 0.639958; 0.575979; 0.382998; 0.787751; 0.784319; 0.277962;0.3651
88; 0.639958; 0.573867; 0.382998; 0.787751; 0.784319; 0.277962;0.3651
89; 0.639958; 0.576091; 0.382998; 0.787751; 0.784319; 0.277962;0.3651
90; 0.639958; 0.575293; 0.382998; 0.787751; 0.784319; 0.277962;0.3651
91; 0.639958; 0.575944; 0.382998; 0.787751; 0.784319; 0.277962;0.3651
92; 0.639958; 0.576177; 0.382998; 0.787751; 0.784319; 0.277962;0.3651
93; 0.639958; 0.57435; 0.382998; 0.787751; 0.784319; 0.277962;0.3651
94; 0.639958; 0.575366; 0.382998; 0.787751; 0.784319; 0.277962;0.3651
95; 0.639958; 0.57803; 0.382998; 0.787751; 0.784319; 0.277962;0.3651
96; 0.639971; 0.572471; 0.382998; 0.787751; 0.784319; 0.277962;0.365015
97; 0.639971; 0.571787; 0.382998; 0.787751; 0.784319; 0.277962;0.365015
98; 0.640201; 0.577168; 0.380671; 0.790404; 0.787147; 0.280063;0.364275
99; 0.640201; 0.578151; 0.380671; 0.790404; 0.787147; 0.280063;0.364275
100; 0.642285; 0.577726; 0.398886; 0.775861; 0.785861; 0.289884;0.35926
101; 0.642285; 0.577572; 0.398886; 0.775861; 0.785861; 0.289884;0.35926
102; 0.642285; 0.577329; 0.398886; 0.775861; 0.785861; 0.289884;0.35926
103; 0.646099; 0.575976; 0.399037; 0.788609; 0.784833; 0.284263;0.364409
104; 0.646099; 0.576078; 0.398919; 0.790094; 0.786632; 0.285399;0.362558
105; 0.646872; 0.577281; 0.398919; 0.790094; 0.786632; 0.285399;0.362558
106; 0.646872; 0.574633; 0.398919; 0.790094; 0.786632; 0.285399;0.362558
107; 0.646872; 0.571492; 0.398919; 0.790094; 0.786632; 0.285399;0.362558
108; 0.646872; 0.572199; 0.398919; 0.790094; 0.786632; 0.285399;0.362558
109; 0.646872; 0.571742; 0.398919; 0.790094; 0.786632; 0.285399;0.362558
110; 0.646872; 0.575454; 0.398919; 0.790094; 0.786632; 0.285399;0.362558
111; 0.646872; 0.576676; 0.398919; 0.790094; 0.786632; 0.285399;0.362558
112; 0.646872; 0.576442; 0.398919; 0.790094; 0.786632; 0.285399;0.362558
113; 0.646872; 0.577366; 0.398919; 0.790094; 0.786632; 0.285399;0.362558
114; 0.646872; 0.573903; 0.398919; 0.790094; 0.786632; 0.285399;0.362558
115; 0.648532; 0.574598; 0.397648; 0.795404; 0.792802; 0.288544;0.361149
116; 0.648532; 0.574851; 0.397648; 0.795404; 0.792802; 0.288544;0.361149
117; 0.648532; 0.574377; 0.397648; 0.795404; 0.792802; 0.288544;0.361149
118; 0.648532; 0.575551; 0.397648; 0.795404; 0.792802; 0.288544;0.361149
119; 0.648931; 0.580173; 0.399857; 0.79452; 0.792031; 0.28789;0.361626
120; 0.648931; 0.581223; 0.399857; 0.79452; 0.792031; 0.28789;0.361626
121; 0.648931; 0.577621; 0.399857; 0.79452; 0.792031; 0.28789;0.361626
122; 0.648931; 0.576108; 0.399857; 0.79452; 0.792031; 0.28789;0.361626
123; 0.648931; 0.576225; 0.399857; 0.79452; 0.792031; 0.28789;0.361626
124; 0.648931; 0.580536; 0.399857; 0.79452; 0.792031; 0.28789;0.361626
125; 0.648931; 0.578916; 0.399857; 0.79452; 0.792031; 0.28789;0.361626
126; 0.648931; 0.58095; 0.399857; 0.79452; 0.792031; 0.28789;0.361626
127; 0.649469; 0.579028; 0.400351; 0.795051; 0.792802; 0.289993;0.360508
128; 0.649469; 0.586624; 0.400351; 0.795051; 0.792802; 0.289993;0.360508
129; 0.649469; 0.575166; 0.400351; 0.795051; 0.792802; 0.289993;0.360508
130; 0.649469; 0.574123; 0.400351; 0.795051; 0.792802; 0.289993;0.360508
131; 0.649469; 0.579239; 0.400351; 0.795051; 0.792802; 0.289993;0.360508
132; 0.649469; 0.578707; 0.400351; 0.795051; 0.792802; 0.289993;0.360508
133; 0.649469; 0.57939; 0.400351; 0.795051; 0.792802; 0.289993;0.360508
134; 0.649469; 0.580925; 0.400351; 0.795051; 0.792802; 0.289993;0.3605
135; 0.649469; 0.589217; 0.400351; 0.795051; 0.792802; 0.289993;0.3605
136; 0.649472; 0.579611; 0.400351; 0.795051; 0.792802; 0.289993;0.360482
137; 0.649472; 0.589587; 0.400351; 0.795051; 0.792802; 0.289993;0.360482
138; 0.649472; 0.58166; 0.400351; 0.795051; 0.792802; 0.289993;0.360482
139; 0.649472; 0.590767; 0.400351; 0.795051; 0.792802; 0.289993;0.360482
140; 0.649472; 0.59057; 0.400351; 0.795051; 0.792802; 0.289993;0.360482
141; 0.649472; 0.586752; 0.400351; 0.795051; 0.792802; 0.289993;0.360482
142; 0.649472; 0.584794; 0.400351; 0.795051; 0.792802; 0.289993;0.360482
143; 0.649472; 0.589031; 0.400351; 0.795051; 0.792802; 0.289993;0.360482
144; 0.649474; 0.577998; 0.400351; 0.795051; 0.792802; 0.289993;0.360482
145; 0.649474; 0.576616; 0.400351; 0.795051; 0.792802; 0.289993;0.360482
146; 0.649474; 0.576559; 0.400351; 0.795317; 0.793059; 0.291062;0.360351
147; 0.649474; 0.577378; 0.400351; 0.795317; 0.793059; 0.291062;0.360351
148; 0.649474; 0.576574; 0.400351; 0.795317; 0.793059; 0.291062;0.360351
149; 0.649478; 0.578624; 0.401151; 0.795051; 0.793059; 0.290566;0.36023
150; 0.649474; 0.581232; 0.401151; 0.795051; 0.793059; 0.290566;0.36023
151; 0.649589; 0.581891; 0.403356; 0.795425; 0.792545; 0.29299;0.360747
152; 0.649589; 0.583542; 0.403356; 0.795425; 0.792545; 0.29299;0.360747
153; 0.649798; 0.582825; 0.403356; 0.795425; 0.792545; 0.29299;0.360747
154; 0.649798; 0.584142; 0.403356; 0.795425; 0.792545; 0.29299;0.360747
155; 0.649798; 0.583358; 0.403356; 0.795425; 0.792545; 0.29299;0.360747
156; 0.650847; 0.58619; 0.404156; 0.795425; 0.792802; 0.293586;0.360485
157; 0.650847; 0.58661; 0.40465; 0.795425; 0.793059; 0.293727;0.360282
158; 0.650847; 0.582745; 0.40465; 0.795425; 0.793059; 0.293727;0.360282
159; 0.651276; 0.582611; 0.40465; 0.795691; 0.793316; 0.294937;0.360233
160; 0.651678; 0.581918; 0.405144; 0.795956; 0.79383; 0.296368;0.359382
161; 0.651678; 0.579873; 0.405144; 0.795956; 0.79383; 0.296368;0.359382
162; 0.651678; 0.583577; 0.405144; 0.795956; 0.79383; 0.296368;0.359382
163; 0.651678; 0.582263; 0.405144; 0.795956; 0.79383; 0.296368;0.359382
164; 0.651678; 0.581656; 0.405144; 0.795956; 0.79383; 0.296368;0.359382
165; 0.651678; 0.581663; 0.405144; 0.795956; 0.79383; 0.296368;0.359382
166; 0.651775; 0.583828; 0.405144; 0.796222; 0.794087; 0.297748;0.359371
167; 0.651775; 0.584377; 0.405144; 0.796222; 0.794087; 0.297748;0.359371
168; 0.651775; 0.583142; 0.405144; 0.796222; 0.794087; 0.297748;0.359371
169; 0.651782; 0.584074; 0.405144; 0.796222; 0.794087; 0.297748;0.359326
170; 0.651782; 0.58234; 0.405144; 0.796222; 0.794087; 0.297748;0.359326
171; 0.651782; 0.585652; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
172; 0.651868; 0.587474; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
173; 0.651868; 0.585517; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
174; 0.651868; 0.583988; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
175; 0.651868; 0.584463; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
176; 0.651868; 0.587476; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
177; 0.651868; 0.589031; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
178; 0.651986; 0.587326; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
179; 0.651986; 0.584291; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
180; 0.651986; 0.583477; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
181; 0.651986; 0.581329; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
182; 0.651986; 0.578643; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
183; 0.651986; 0.581839; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
184; 0.651986; 0.577984; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
185; 0.651986; 0.581606; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
186; 0.651986; 0.58207; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
187; 0.651986; 0.581317; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
188; 0.651986; 0.579314; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
189; 0.651986; 0.582247; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
190; 0.651986; 0.583794; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
191; 0.651986; 0.583391; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
192; 0.651986; 0.582786; 0.407659; 0.794756; 0.792545; 0.296991;0.359708
193; 0.652159; 0.585604; 0.405144; 0.797289; 0.794859; 0.301037;0.35935
194; 0.652159; 0.587428; 0.405144; 0.797289; 0.794859; 0.301037;0.35935
195; 0.652159; 0.584626; 0.405144; 0.797289; 0.794859; 0.301037;0.35935
196; 0.652159; 0.585919; 0.405144; 0.797289; 0.794859; 0.301037;0.35935
197; 0.652159; 0.584743; 0.405144; 0.797289; 0.794859; 0.301037;0.35935
198; 0.652159; 0.586512; 0.405144; 0.797289; 0.794859; 0.301037;0.35935
199; 0.652159; 0.587; 0.405144; 0.797289; 0.794859; 0.301037;0.35935
200; 0.652159; 0.581451; 0.405144; 0.797289; 0.794859; 0.301037;0.35935


#Population Rules
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.586482; 0.575726; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.586596; 0.565186; 0.492; 0.575026; 0.691003; 0.182878;0.442013
3; 0.583904; 0.551515; 0.492; 0.575026; 0.691003; 0.182878;0.442013
4; 0.588778; 0.565898; 0.492; 0.575026; 0.691003; 0.182878;0.442013
5; 0.588778; 0.565713; 0.4598; 0.624972; 0.708226; 0.199476;0.471097
6; 0.584637; 0.547122; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
7; 0.582564; 0.561987; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
8; 0.580259; 0.550607; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
9; 0.577293; 0.549832; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
10; 0.590118; 0.557147; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
11; 0.582356; 0.551681; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
12; 0.590118; 0.557812; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
13; 0.591598; 0.554399; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
14; 0.592381; 0.556894; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
