#Summary : 
#Best fitness Pop 1;0.63925
#Best fitness Pop 2;0.650368
#Std deviation Pop 1;0.0171762
#Std deviation Pop 2;0.0235451
#Sensitivity;0.570447
#Specificity;0.643675
#Accuracy;0.681234
#PPV;0.240005
#RMSE;0.377954
#RRSE;1.31477
#RAE;1.074
#MSE;0.156722
#ADM;0.307501
#MDM;0.103994
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.8
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF cr_l8_oh_f_d is MF 0 AND ccr_cortisone_d is MF 0 AND ccr_sa_dihydrotest_d is MF 0 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_llb_oh_etio_d is MF 0 AND ccr_a_cortolone_d is MF 2 THEN 4_Obese is MF 1 AND 2_Normal is MF 0 AND 1_SousPoid is MF 0 AND 3_Surpoid is MF 1
 IF ccr_a_cortolone_d is MF 1 AND ccr_pt_one_d is MF 1 THEN 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_sa_thf_d is MF 1 AND ccr_testosterone_d is MF 0 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0 AND 5_ExtremeObese is MF 0
 IF cr_l8_oh_f_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 4_Obese is MF 0 AND 3_Surpoid is MF 0 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 1  4_Obese is 1  5_ExtremeObese is 1  

Membership functions : 
ccr_sa_dihydrotest_d (3.25312 , 6.62502 , 7.54463) ; ccr_testosterone_d (1.56942 , 10.158 , 26.1082) ; ccr_pt_one_d (27.063 , 75.8991 , 89.7482) ; cr_l8_oh_f_d (1048.54 , 2861.66 , 3384.08) ; ccr_sa_thf_d (191.746 , 201.27 , 567.965) ; ccr_llb_oh_etio_d (48.6544 , 92.0266 , 101.158) ; ccr_cortisone_d (2.85662 , 14.7614 , 56.687) ; ccr_a_cortolone_d (36.8851 , 54.8349 , 96.7176) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.57601; 0.537673; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.575149; 0.542734; 0.492; 0.575026; 0.691003; 0.182878;0.442013
3; 0.590454; 0.543772; 0.492; 0.575026; 0.691003; 0.182878;0.442013
4; 0.588731; 0.558342; 0.492; 0.575026; 0.691003; 0.182878;0.442013
5; 0.586279; 0.54371; 0.300247; 0.73427; 0.749357; 0.188592;0.360538
6; 0.587022; 0.540198; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
7; 0.589879; 0.549918; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
8; 0.589879; 0.550796; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
9; 0.59696; 0.559509; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
10; 0.59398; 0.550912; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
11; 0.590056; 0.551414; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
12; 0.59414; 0.551442; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
13; 0.595185; 0.554256; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
14; 0.59682; 0.554263; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
15; 0.597802; 0.554302; 0.25442; 0.832835; 0.75527; 0.128779;0.412755
16; 0.598929; 0.551673; 0.25442; 0.832835; 0.75527; 0.128779;0.412755
17; 0.598929; 0.551541; 0.25442; 0.832835; 0.75527; 0.128779;0.412755
18; 0.599237; 0.552287; 0.25442; 0.832835; 0.75527; 0.128779;0.412755
19; 0.599237; 0.555359; 0.25442; 0.832835; 0.75527; 0.128779;0.412755
20; 0.599237; 0.557041; 0.25442; 0.832835; 0.75527; 0.128779;0.412755
21; 0.60081; 0.558737; 0.25442; 0.832835; 0.75527; 0.128779;0.412755
22; 0.60081; 0.560391; 0.25442; 0.832835; 0.75527; 0.128779;0.412755
23; 0.602037; 0.569901; 0.25442; 0.832835; 0.75527; 0.128779;0.412755
24; 0.602037; 0.572658; 0.25442; 0.832835; 0.75527; 0.128779;0.412755
25; 0.602037; 0.571818; 0.217871; 0.868279; 0.794859; 0.158095;0.377587
26; 0.602037; 0.573361; 0.217871; 0.868279; 0.794859; 0.158095;0.377587
27; 0.615107; 0.577208; 0.288198; 0.799676; 0.803599; 0.204166;0.334547
28; 0.615107; 0.577581; 0.288198; 0.799676; 0.803599; 0.204166;0.334547
29; 0.611294; 0.576181; 0.288198; 0.799676; 0.803599; 0.204166;0.334547
30; 0.605333; 0.579096; 0.288198; 0.799676; 0.803599; 0.204166;0.334547
31; 0.611294; 0.581654; 0.290874; 0.798391; 0.807969; 0.203686;0.332032
32; 0.611939; 0.580309; 0.290716; 0.802536; 0.806427; 0.205273;0.330405
33; 0.608627; 0.580865; 0.290716; 0.802536; 0.806427; 0.205273;0.330405
34; 0.608627; 0.580527; 0.290716; 0.802536; 0.806427; 0.205273;0.330405
35; 0.617283; 0.585421; 0.290716; 0.802536; 0.806427; 0.205273;0.330405
36; 0.617283; 0.588402; 0.290716; 0.802536; 0.806427; 0.205273;0.330405
37; 0.617283; 0.587141; 0.290716; 0.802536; 0.806427; 0.205273;0.330405
38; 0.616801; 0.587756; 0.290716; 0.802536; 0.806427; 0.205273;0.330405
39; 0.617679; 0.584775; 0.290716; 0.802536; 0.806427; 0.205273;0.330405
40; 0.617679; 0.583371; 0.290716; 0.802536; 0.806427; 0.205273;0.330405
41; 0.617679; 0.58476; 0.290716; 0.802536; 0.806427; 0.205273;0.330405
42; 0.617679; 0.585756; 0.290716; 0.802536; 0.806427; 0.205273;0.330405
43; 0.617679; 0.584836; 0.290716; 0.802536; 0.806427; 0.205273;0.330405
44; 0.617679; 0.583999; 0.290716; 0.802536; 0.806427; 0.205273;0.330405
45; 0.617679; 0.584684; 0.290716; 0.802536; 0.806427; 0.205273;0.330405
46; 0.617804; 0.586524; 0.289867; 0.803613; 0.80874; 0.205415;0.330131
47; 0.61788; 0.585528; 0.290716; 0.803451; 0.806941; 0.205718;0.33001
48; 0.618396; 0.585806; 0.291042; 0.80383; 0.808483; 0.20594;0.32953
49; 0.618396; 0.587774; 0.291042; 0.80383; 0.808483; 0.20594;0.32953
50; 0.618396; 0.586446; 0.277738; 0.819025; 0.804884; 0.211277;0.331284
51; 0.618795; 0.586926; 0.277738; 0.819025; 0.804884; 0.211277;0.331284
52; 0.618795; 0.586638; 0.277738; 0.819025; 0.804884; 0.211277;0.331284
53; 0.618963; 0.586615; 0.29841; 0.800573; 0.80617; 0.207431;0.329805
54; 0.618963; 0.587587; 0.29841; 0.800573; 0.80617; 0.207431;0.329805
55; 0.619141; 0.585888; 0.29841; 0.800573; 0.80617; 0.207431;0.329805
56; 0.619141; 0.586366; 0.29841; 0.800573; 0.80617; 0.207431;0.329805
57; 0.619141; 0.584783; 0.29841; 0.800573; 0.80617; 0.207431;0.329805
58; 0.619141; 0.583939; 0.29841; 0.800573; 0.80617; 0.207431;0.329805
59; 0.619141; 0.581762; 0.298904; 0.800573; 0.806427; 0.207589;0.329782
60; 0.621147; 0.583038; 0.287674; 0.81447; 0.816452; 0.209914;0.328557
61; 0.621147; 0.581612; 0.287674; 0.81447; 0.816452; 0.209914;0.328557
62; 0.622439; 0.58403; 0.296432; 0.811897; 0.813111; 0.226859;0.334376
63; 0.620001; 0.582879; 0.296432; 0.811897; 0.813111; 0.226859;0.334376
64; 0.619512; 0.583665; 0.296432; 0.811897; 0.813111; 0.226859;0.334376
65; 0.619465; 0.584246; 0.296432; 0.811897; 0.813111; 0.226859;0.334376
66; 0.619465; 0.585534; 0.296432; 0.811897; 0.813111; 0.226859;0.334376
67; 0.619414; 0.585413; 0.296432; 0.811897; 0.813111; 0.226859;0.334376
68; 0.619414; 0.586823; 0.296432; 0.811897; 0.813111; 0.226859;0.334376
69; 0.619414; 0.587177; 0.296432; 0.811897; 0.813111; 0.226859;0.334376
70; 0.619414; 0.588295; 0.296432; 0.811897; 0.813111; 0.226859;0.334376
71; 0.619414; 0.586971; 0.296432; 0.811897; 0.813111; 0.226859;0.334376
72; 0.619414; 0.585659; 0.296432; 0.811897; 0.813111; 0.226859;0.334376
73; 0.619414; 0.585729; 0.296432; 0.811897; 0.813111; 0.226859;0.334376
74; 0.619414; 0.585153; 0.296432; 0.811897; 0.813111; 0.226859;0.334376
75; 0.621436; 0.58554; 0.296432; 0.811897; 0.813111; 0.226859;0.334376
76; 0.621436; 0.588111; 0.296432; 0.811897; 0.813111; 0.226859;0.334376
77; 0.621436; 0.586462; 0.296432; 0.811897; 0.813111; 0.226859;0.334376
78; 0.621577; 0.587705; 0.298101; 0.810667; 0.813625; 0.226722;0.334584
79; 0.622564; 0.585891; 0.298101; 0.810667; 0.813625; 0.226722;0.334584
80; 0.622696; 0.58602; 0.298101; 0.810952; 0.814139; 0.226949;0.334392
81; 0.622696; 0.583066; 0.298101; 0.810952; 0.814139; 0.226949;0.334392
82; 0.622696; 0.584137; 0.298101; 0.810952; 0.814139; 0.226949;0.334392
83; 0.622696; 0.583763; 0.298101; 0.810952; 0.814139; 0.226949;0.334392
84; 0.622696; 0.581577; 0.298101; 0.810952; 0.814139; 0.226949;0.334392
85; 0.622696; 0.580506; 0.298101; 0.810952; 0.814139; 0.226949;0.334392
86; 0.622696; 0.579566; 0.298101; 0.810952; 0.814139; 0.226949;0.334392
87; 0.622696; 0.578052; 0.298101; 0.810952; 0.814139; 0.226949;0.334392
88; 0.622696; 0.575846; 0.298101; 0.810952; 0.814139; 0.226949;0.334392
89; 0.622696; 0.579431; 0.298101; 0.810952; 0.814139; 0.226949;0.334392
90; 0.622696; 0.579443; 0.298101; 0.810952; 0.814139; 0.226949;0.334392
91; 0.623077; 0.58054; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
92; 0.623077; 0.581867; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
93; 0.623077; 0.582108; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
94; 0.623077; 0.584059; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
95; 0.623077; 0.58557; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
96; 0.623077; 0.582367; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
97; 0.623077; 0.581106; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
98; 0.623077; 0.582084; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
99; 0.623077; 0.582718; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
100; 0.623077; 0.582992; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
101; 0.623077; 0.583884; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
102; 0.623077; 0.583619; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
103; 0.623077; 0.583617; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
104; 0.623077; 0.582329; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
105; 0.623077; 0.583986; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
106; 0.623077; 0.579493; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
107; 0.623077; 0.578094; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
108; 0.623077; 0.5768; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
109; 0.623077; 0.575212; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
110; 0.623077; 0.578468; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
111; 0.623077; 0.581014; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
112; 0.623077; 0.57975; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
113; 0.623077; 0.57972; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
114; 0.623077; 0.578403; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
115; 0.623077; 0.579191; 0.298101; 0.812024; 0.814653; 0.227468;0.334405
116; 0.624747; 0.579242; 0.363156; 0.758201; 0.76581; 0.211421;0.349387
117; 0.624747; 0.580279; 0.363156; 0.758201; 0.76581; 0.211421;0.349387
118; 0.624747; 0.580119; 0.363156; 0.758201; 0.76581; 0.211421;0.349387
119; 0.626417; 0.582795; 0.357153; 0.768134; 0.772751; 0.215568;0.347671
120; 0.626417; 0.583624; 0.356847; 0.769303; 0.774036; 0.215999;0.344508
121; 0.626417; 0.582447; 0.356847; 0.769303; 0.774036; 0.215999;0.344508
122; 0.626417; 0.58069; 0.356847; 0.769303; 0.774036; 0.215999;0.344508
123; 0.626417; 0.581599; 0.356847; 0.769303; 0.774036; 0.215999;0.344508
124; 0.626417; 0.584626; 0.356847; 0.769303; 0.774036; 0.215999;0.344508
125; 0.627218; 0.58454; 0.356847; 0.769303; 0.774036; 0.215999;0.344508
126; 0.627218; 0.58446; 0.356847; 0.769303; 0.774036; 0.215999;0.344508
127; 0.627218; 0.582267; 0.356847; 0.769303; 0.774036; 0.215999;0.344508
128; 0.628103; 0.582473; 0.357765; 0.770582; 0.774293; 0.217094;0.34387
129; 0.628103; 0.580964; 0.357765; 0.770582; 0.774293; 0.217094;0.34387
130; 0.628103; 0.580389; 0.357765; 0.770582; 0.774293; 0.217094;0.34387
131; 0.628103; 0.583462; 0.357765; 0.770582; 0.774293; 0.217094;0.34387
132; 0.628103; 0.584409; 0.357765; 0.770582; 0.774293; 0.217094;0.34387
133; 0.628103; 0.586985; 0.357765; 0.770582; 0.774293; 0.217094;0.34387
134; 0.628103; 0.587649; 0.357765; 0.770582; 0.774293; 0.217094;0.34387
135; 0.628103; 0.587664; 0.357765; 0.770582; 0.774293; 0.217094;0.34387
136; 0.628103; 0.58613; 0.357765; 0.770582; 0.774293; 0.217094;0.34387
137; 0.628103; 0.586314; 0.357765; 0.770582; 0.774293; 0.217094;0.34387
138; 0.629981; 0.587699; 0.386131; 0.750818; 0.756298; 0.212979;0.35154
139; 0.629981; 0.587524; 0.386131; 0.750818; 0.756298; 0.212979;0.35154
140; 0.629981; 0.58477; 0.386131; 0.750818; 0.756298; 0.212979;0.35154
141; 0.629981; 0.584435; 0.386131; 0.750818; 0.756298; 0.212979;0.35154
142; 0.629981; 0.584117; 0.386131; 0.750818; 0.756298; 0.212979;0.35154
143; 0.629981; 0.586541; 0.386131; 0.750818; 0.756298; 0.212979;0.35154
144; 0.629981; 0.586293; 0.386131; 0.750818; 0.756298; 0.212979;0.35154
145; 0.629981; 0.584686; 0.386131; 0.750818; 0.756298; 0.212979;0.35154
146; 0.629981; 0.58576; 0.386131; 0.750818; 0.756298; 0.212979;0.35154
147; 0.629981; 0.585276; 0.386131; 0.750818; 0.756298; 0.212979;0.35154
148; 0.629981; 0.584682; 0.386131; 0.750818; 0.756298; 0.212979;0.35154
149; 0.629981; 0.585217; 0.386131; 0.750818; 0.756298; 0.212979;0.35154
150; 0.630687; 0.585963; 0.39078; 0.750894; 0.747815; 0.215115;0.357878
151; 0.630687; 0.586789; 0.39078; 0.750894; 0.747815; 0.215115;0.357878
152; 0.630687; 0.587672; 0.39078; 0.750894; 0.747815; 0.215115;0.357878
153; 0.630687; 0.588342; 0.39078; 0.750894; 0.747815; 0.215115;0.357878
154; 0.631985; 0.588538; 0.416568; 0.729934; 0.72365; 0.212029;0.36064
155; 0.631985; 0.587957; 0.416568; 0.729934; 0.72365; 0.212029;0.36064
156; 0.631985; 0.587865; 0.416568; 0.729934; 0.72365; 0.212029;0.36064
157; 0.631985; 0.587667; 0.416568; 0.729934; 0.72365; 0.212029;0.36064
158; 0.631985; 0.586523; 0.416568; 0.729934; 0.72365; 0.212029;0.36064
159; 0.631985; 0.585932; 0.416568; 0.729934; 0.72365; 0.212029;0.36064
160; 0.631985; 0.584137; 0.416568; 0.729934; 0.72365; 0.212029;0.36064
161; 0.634368; 0.584888; 0.431422; 0.721021; 0.732905; 0.209634;0.358942
162; 0.634368; 0.586901; 0.431422; 0.721021; 0.732905; 0.209634;0.358942
163; 0.634936; 0.586282; 0.429741; 0.72444; 0.726992; 0.209706;0.359284
164; 0.63582; 0.587876; 0.437849; 0.718561; 0.73162; 0.208387;0.358717
165; 0.63582; 0.586394; 0.437849; 0.718561; 0.73162; 0.208387;0.358717
166; 0.636942; 0.589491; 0.441138; 0.718207; 0.735733; 0.208824;0.358243
167; 0.637106; 0.589628; 0.426501; 0.733903; 0.726735; 0.215348;0.359627
168; 0.637106; 0.590092; 0.426501; 0.733903; 0.726735; 0.215348;0.359627
169; 0.637106; 0.588151; 0.426501; 0.733903; 0.726735; 0.215348;0.359627
170; 0.637106; 0.587612; 0.426501; 0.733903; 0.726735; 0.215348;0.359627
171; 0.637106; 0.589027; 0.426501; 0.733903; 0.726735; 0.215348;0.359627
172; 0.637106; 0.589447; 0.426501; 0.733903; 0.726735; 0.215348;0.359627
173; 0.637674; 0.589277; 0.442126; 0.718959; 0.737018; 0.20932;0.357525
174; 0.637674; 0.588791; 0.442126; 0.718959; 0.737018; 0.20932;0.357525
175; 0.637674; 0.587749; 0.442126; 0.718959; 0.737018; 0.20932;0.357525
176; 0.637674; 0.588921; 0.442126; 0.718959; 0.737018; 0.20932;0.357525
177; 0.637674; 0.591707; 0.442126; 0.718959; 0.737018; 0.20932;0.357525
178; 0.637674; 0.589868; 0.442126; 0.718959; 0.737018; 0.20932;0.357525
179; 0.637674; 0.588914; 0.442126; 0.718959; 0.737018; 0.20932;0.357525
180; 0.637674; 0.588715; 0.442126; 0.718959; 0.737018; 0.20932;0.357525
181; 0.637674; 0.588731; 0.442126; 0.718959; 0.737018; 0.20932;0.357525
182; 0.637674; 0.586986; 0.442126; 0.718959; 0.737018; 0.20932;0.357525
183; 0.637674; 0.588197; 0.442126; 0.718959; 0.737018; 0.20932;0.357525
184; 0.63768; 0.586264; 0.442126; 0.718959; 0.737018; 0.20932;0.357485
185; 0.63768; 0.588192; 0.442126; 0.718959; 0.737018; 0.20932;0.357485
186; 0.63768; 0.589323; 0.442126; 0.718959; 0.737018; 0.20932;0.357485
187; 0.63768; 0.588204; 0.444829; 0.718675; 0.737018; 0.30932;0.357294
188; 0.63768; 0.587002; 0.444829; 0.718675; 0.737018; 0.30932;0.357294
189; 0.638045; 0.586425; 0.444829; 0.718675; 0.737018; 0.30932;0.357294
190; 0.638045; 0.58742; 0.444829; 0.718675; 0.737018; 0.30932;0.357294
191; 0.638573; 0.588005; 0.444829; 0.718675; 0.737018; 0.30932;0.357294
192; 0.638573; 0.586985; 0.444829; 0.718675; 0.737018; 0.30932;0.357294
193; 0.638573; 0.587692; 0.443538; 0.720253; 0.738046; 0.210432;0.356129
194; 0.638623; 0.588422; 0.441869; 0.722206; 0.737275; 0.21092;0.355454
195; 0.638623; 0.589652; 0.441869; 0.722206; 0.737275; 0.21092;0.355454
196; 0.638623; 0.589443; 0.441869; 0.722206; 0.737275; 0.21092;0.355454
197; 0.638623; 0.589636; 0.441869; 0.722742; 0.737532; 0.211173;0.355479
198; 0.638623; 0.589411; 0.448825; 0.719243; 0.738046; 0.290258;0.354241
199; 0.638623; 0.588159; 0.448825; 0.719243; 0.738046; 0.290258;0.354241
200; 0.63925; 0.585879; 0.448825; 0.719243; 0.738046; 0.290258;0.354241


#Population Rules
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.586482; 0.575726; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.586596; 0.565186; 0.492; 0.575026; 0.691003; 0.182878;0.442013
3; 0.583904; 0.551515; 0.492; 0.575026; 0.691003; 0.182878;0.442013
4; 0.588778; 0.565898; 0.492; 0.575026; 0.691003; 0.182878;0.442013
5; 0.580549; 0.546094; 0.300247; 0.73427; 0.749357; 0.188592;0.360538
6; 0.58499; 0.552981; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
7; 0.58499; 0.552836; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
8; 0.580018; 0.550745; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
9; 0.589784; 0.550662; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
10; 0.590956; 0.551441; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
11; 0.586429; 0.549076; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
12; 0.592983; 0.56486; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
13; 0.584966; 0.550956; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
