#Summary : 
#Best fitness Pop 1;0.625506
#Best fitness Pop 2;0.625358
#Std deviation Pop 1;0.0196624
#Std deviation Pop 2;0.0161833
#Sensitivity;0.295809
#Specificity;0.838705
#Accuracy;0.781748
#PPV;0.164266
#RMSE;0.37496
#RRSE;1.03711
#RAE;0.768738
#MSE;0.167727
#ADM;0.413363
#MDM;0.300272
#Size;0.0833333
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.8
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_s_pt_d is MF 0 AND ccr_l6a_oh_dha_d is MF 0 AND ccr_etio_d is MF 0 THEN 4_Obese is MF 1 AND 2_Normal is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_estriol_d is MF 2 AND ccr_zob_dhe_d is MF 0 AND ccr_b_cortol_d is MF 1 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 0
 IF ccr_sa_dihydrotest_d is MF 1 AND ccr_a_cortolone_d is MF 0 AND ccr_pt_one_d is MF 1 THEN 2_Normal is MF 1 AND 5_ExtremeObese is MF 1
 IF ccr_sa_thf_d is MF 1 AND ccr_testosterone_d is MF 0 THEN 4_Obese is MF 1 AND 2_Normal is MF 0
 IF ccr_thaldo_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 4_Obese is MF 0 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 1  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (62.156 , 259.373 , 345.12) ; ccr_sa_dihydrotest_d (0.800824 , 15.208 , 18.1201) ; ccr_testosterone_d (2.79636 , 9.17644 , 28.3167) ; ccr_estriol_d (3.92723 , 5.65769 , 7.60446) ; ccr_l6a_oh_dha_d (0.431783 , 67.9058 , 159.194) ; ccr_s_pt_d (34.2529 , 49.1256 , 74.4093) ; ccr_thaldo_d (1.29449 , 34.3789 , 42.438) ; ccr_pt_one_d (46.7432 , 79.5436 , 91.206) ; ccr_sa_thf_d (53.6399 , 172.697 , 572.727) ; ccr_b_cortol_d (223.537 , 266.198 , 360.66) ; ccr_a_cortolone_d (641.193 , 665.126 , 736.924) ; ccr_zob_dhe_d (7.64807 , 17.9959 , 21.068) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 0) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.57601; 0.537673; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.575149; 0.542734; 0.492; 0.575026; 0.691003; 0.182878;0.442013
3; 0.590454; 0.543772; 0.492; 0.575026; 0.691003; 0.182878;0.442013
4; 0.588731; 0.558342; 0.492; 0.575026; 0.691003; 0.182878;0.442013
5; 0.586279; 0.54371; 0.300247; 0.73427; 0.749357; 0.188592;0.360538
6; 0.587022; 0.540198; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
7; 0.589879; 0.549918; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
8; 0.589879; 0.550796; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
9; 0.59696; 0.559509; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
10; 0.59696; 0.560728; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
11; 0.59398; 0.552034; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
12; 0.59414; 0.551196; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
13; 0.595185; 0.5537; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
14; 0.594189; 0.552095; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
15; 0.597595; 0.553174; 0.179852; 0.887738; 0.779177; 0.128381;0.399286
16; 0.597802; 0.550659; 0.126914; 0.923861; 0.829563; 0.128822;0.345351
17; 0.597802; 0.550643; 0.126914; 0.923861; 0.829563; 0.128822;0.345351
18; 0.599237; 0.552211; 0.129877; 0.923861; 0.831105; 0.129877;0.344167
19; 0.599237; 0.554816; 0.129877; 0.923861; 0.831105; 0.129877;0.344167
20; 0.599237; 0.556708; 0.129877; 0.923861; 0.831105; 0.129877;0.344167
21; 0.601209; 0.558434; 0.15358; 0.900804; 0.832391; 0.125403;0.344724
22; 0.601209; 0.56046; 0.15358; 0.900804; 0.832391; 0.125403;0.344724
23; 0.601554; 0.571219; 0.15358; 0.900804; 0.832391; 0.125403;0.344724
24; 0.601554; 0.573448; 0.251852; 0.837254; 0.764267; 0.129608;0.402569
25; 0.601554; 0.57245; 0.251852; 0.837254; 0.764267; 0.129608;0.402569
26; 0.601554; 0.573973; 0.251852; 0.837254; 0.764267; 0.129608;0.402569
27; 0.611194; 0.574472; 0.241468; 0.850289; 0.783033; 0.156335;0.368698
28; 0.605314; 0.562723; 0.241468; 0.850289; 0.783033; 0.156335;0.368698
29; 0.604653; 0.566031; 0.241468; 0.850289; 0.783033; 0.156335;0.368698
30; 0.615702; 0.579607; 0.276603; 0.832391; 0.77018; 0.157526;0.379478
31; 0.619753; 0.581585; 0.279072; 0.839709; 0.775578; 0.162033;0.375836
32; 0.619753; 0.581758; 0.279072; 0.839709; 0.775578; 0.162033;0.375836
33; 0.619753; 0.580619; 0.279072; 0.839709; 0.775578; 0.162033;0.375836
34; 0.619753; 0.579736; 0.279072; 0.839709; 0.775578; 0.162033;0.375836
35; 0.619753; 0.579586; 0.279072; 0.839709; 0.775578; 0.162033;0.375836
36; 0.619753; 0.58248; 0.279072; 0.839709; 0.775578; 0.162033;0.375836
37; 0.619753; 0.582926; 0.279072; 0.839709; 0.775578; 0.162033;0.375836
38; 0.619753; 0.582543; 0.279072; 0.839709; 0.775578; 0.162033;0.375836
39; 0.621011; 0.582043; 0.284244; 0.837821; 0.778149; 0.161363;0.375279
40; 0.621011; 0.58173; 0.284244; 0.837821; 0.778149; 0.161363;0.375279
41; 0.621011; 0.583423; 0.284244; 0.837821; 0.778149; 0.161363;0.375279
42; 0.621011; 0.583721; 0.284244; 0.837821; 0.778149; 0.161363;0.375279
43; 0.621011; 0.581768; 0.284244; 0.837821; 0.778149; 0.161363;0.375279
44; 0.622823; 0.581895; 0.288922; 0.837917; 0.780206; 0.162298;0.374573
45; 0.622823; 0.584079; 0.288922; 0.837917; 0.780206; 0.162298;0.374573
46; 0.622823; 0.586384; 0.288922; 0.837917; 0.780206; 0.162298;0.374573
47; 0.622823; 0.584494; 0.288922; 0.837917; 0.780206; 0.162298;0.374573
48; 0.622823; 0.585543; 0.288922; 0.837917; 0.780206; 0.162298;0.374573
49; 0.622823; 0.585561; 0.288922; 0.837917; 0.780206; 0.162298;0.374573
50; 0.622823; 0.585493; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
51; 0.622823; 0.585739; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
52; 0.622823; 0.586423; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
53; 0.622823; 0.586609; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
54; 0.622823; 0.589436; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
55; 0.622823; 0.58831; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
56; 0.622823; 0.590449; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
57; 0.623485; 0.587972; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
58; 0.623485; 0.587355; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
59; 0.623485; 0.586415; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
60; 0.623485; 0.587335; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
61; 0.623485; 0.586416; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
62; 0.623485; 0.589234; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
63; 0.623485; 0.588241; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
64; 0.623485; 0.588174; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
65; 0.623485; 0.59046; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
66; 0.623485; 0.588864; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
67; 0.623485; 0.589883; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
68; 0.623485; 0.590133; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
69; 0.623485; 0.592125; 0.290404; 0.838265; 0.781748; 0.162752;0.374521
70; 0.623487; 0.593785; 0.290404; 0.838265; 0.781748; 0.162752;0.374504
71; 0.623487; 0.591236; 0.290404; 0.838265; 0.781748; 0.162752;0.374504
72; 0.623487; 0.590107; 0.290404; 0.838265; 0.781748; 0.162752;0.374504
73; 0.623487; 0.589511; 0.290404; 0.838265; 0.781748; 0.162752;0.374504
74; 0.623487; 0.587495; 0.290404; 0.838265; 0.781748; 0.162752;0.374504
75; 0.623487; 0.588015; 0.290404; 0.838265; 0.781748; 0.162752;0.374504
76; 0.623487; 0.591013; 0.290404; 0.838265; 0.781748; 0.162752;0.374504
77; 0.623854; 0.58875; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
78; 0.623854; 0.588789; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
79; 0.623854; 0.587468; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
80; 0.623854; 0.587148; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
81; 0.623854; 0.586149; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
82; 0.623854; 0.587899; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
83; 0.623854; 0.587043; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
84; 0.623854; 0.584361; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
85; 0.623854; 0.583235; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
86; 0.623854; 0.582621; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
87; 0.623854; 0.579787; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
88; 0.623854; 0.578024; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
89; 0.623854; 0.581807; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
90; 0.623854; 0.58088; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
91; 0.623854; 0.58149; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
92; 0.623854; 0.581217; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
93; 0.623854; 0.582878; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
94; 0.623854; 0.585245; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
95; 0.623854; 0.58479; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
96; 0.623854; 0.581158; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
97; 0.623854; 0.583283; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
98; 0.623854; 0.583078; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
99; 0.623854; 0.583885; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
100; 0.623854; 0.584519; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
101; 0.623854; 0.584464; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
102; 0.623854; 0.585189; 0.292379; 0.837444; 0.782262; 0.162978;0.374807
103; 0.623856; 0.584969; 0.292379; 0.837444; 0.782262; 0.162978;0.374795
104; 0.623856; 0.583885; 0.292379; 0.837444; 0.782262; 0.162978;0.374795
105; 0.623872; 0.586066; 0.292379; 0.837444; 0.782262; 0.162978;0.374689
106; 0.623872; 0.583285; 0.292379; 0.837444; 0.782262; 0.162978;0.374689
107; 0.623872; 0.582542; 0.292379; 0.837444; 0.782262; 0.162978;0.374689
108; 0.623872; 0.581311; 0.292379; 0.837444; 0.782262; 0.162978;0.374689
109; 0.623872; 0.581075; 0.292379; 0.837444; 0.782262; 0.162978;0.374689
110; 0.623872; 0.583579; 0.292379; 0.837444; 0.782262; 0.162978;0.374689
111; 0.623872; 0.584994; 0.292379; 0.837444; 0.782262; 0.162978;0.374689
112; 0.624112; 0.58377; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
113; 0.624112; 0.583752; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
114; 0.624112; 0.580999; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
115; 0.624112; 0.581228; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
116; 0.624112; 0.581915; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
117; 0.624112; 0.585106; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
118; 0.624112; 0.585552; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
119; 0.624112; 0.588281; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
120; 0.624112; 0.590041; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
121; 0.624112; 0.588618; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
122; 0.624112; 0.586347; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
123; 0.624112; 0.588368; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
124; 0.624112; 0.590132; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
125; 0.624112; 0.589708; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
126; 0.624112; 0.588923; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
127; 0.624112; 0.588363; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
128; 0.624112; 0.587057; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
129; 0.624112; 0.585496; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
130; 0.624112; 0.587487; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
131; 0.624112; 0.588667; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
132; 0.624112; 0.588645; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
133; 0.624112; 0.590123; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
134; 0.624112; 0.589382; 0.292613; 0.838325; 0.780206; 0.1637;0.375718
135; 0.624173; 0.590185; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
136; 0.624173; 0.589361; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
137; 0.624173; 0.591323; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
138; 0.624173; 0.593222; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
139; 0.624173; 0.592622; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
140; 0.624173; 0.59083; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
141; 0.624173; 0.591121; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
142; 0.624173; 0.591845; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
143; 0.624173; 0.592959; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
144; 0.624173; 0.594752; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
145; 0.624173; 0.595629; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
146; 0.624173; 0.5964; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
147; 0.624173; 0.595042; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
148; 0.624173; 0.5939; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
149; 0.624173; 0.592097; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
150; 0.624173; 0.593338; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
151; 0.624173; 0.59265; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
152; 0.624173; 0.592785; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
153; 0.624173; 0.59217; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
154; 0.624173; 0.592226; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
155; 0.624173; 0.590603; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
156; 0.624173; 0.592196; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
157; 0.624173; 0.593004; 0.292613; 0.838577; 0.780206; 0.163883;0.37591
158; 0.625215; 0.592142; 0.294822; 0.839145; 0.78072; 0.164452;0.375584
159; 0.625215; 0.59122; 0.294822; 0.839145; 0.78072; 0.164452;0.375584
160; 0.625215; 0.591626; 0.294822; 0.839145; 0.78072; 0.164452;0.375584
161; 0.625215; 0.591078; 0.294822; 0.839145; 0.78072; 0.164452;0.375584
162; 0.625215; 0.591929; 0.294822; 0.839145; 0.78072; 0.164452;0.375584
163; 0.625215; 0.592208; 0.294822; 0.839145; 0.78072; 0.164452;0.375584
164; 0.625215; 0.591721; 0.294822; 0.839145; 0.78072; 0.164452;0.375584
165; 0.625356; 0.591098; 0.295315; 0.838925; 0.781234; 0.164353;0.375301
166; 0.625356; 0.593907; 0.295315; 0.838925; 0.781234; 0.164353;0.375301
167; 0.625356; 0.590778; 0.295315; 0.838925; 0.781234; 0.164353;0.375301
168; 0.625356; 0.590414; 0.295315; 0.838925; 0.781234; 0.164353;0.375301
169; 0.625356; 0.591022; 0.295315; 0.838925; 0.781234; 0.164353;0.375301
170; 0.625356; 0.590441; 0.295315; 0.838925; 0.781234; 0.164353;0.375301
171; 0.625356; 0.591045; 0.295315; 0.838925; 0.781234; 0.164353;0.375301
172; 0.625356; 0.589082; 0.295315; 0.838925; 0.781234; 0.164353;0.375301
173; 0.625356; 0.588095; 0.295315; 0.838925; 0.781234; 0.164353;0.375301
174; 0.625358; 0.587473; 0.295315; 0.838925; 0.781234; 0.164353;0.375284
175; 0.625358; 0.589522; 0.295315; 0.838925; 0.781234; 0.164353;0.375284
176; 0.625358; 0.590782; 0.295315; 0.838925; 0.781234; 0.164353;0.375284
177; 0.625358; 0.592129; 0.295315; 0.838925; 0.781234; 0.164353;0.375284
178; 0.625358; 0.591213; 0.295315; 0.838925; 0.781234; 0.164353;0.375284
179; 0.625358; 0.587949; 0.295315; 0.838925; 0.781234; 0.164353;0.375284
180; 0.625358; 0.588072; 0.295315; 0.838925; 0.781234; 0.164353;0.375284
181; 0.625358; 0.588032; 0.295315; 0.838925; 0.781234; 0.164353;0.375284
182; 0.625358; 0.587521; 0.295315; 0.838925; 0.781234; 0.164353;0.375284
183; 0.625499; 0.585102; 0.295809; 0.838705; 0.781748; 0.164266;0.375004
184; 0.625499; 0.581901; 0.295809; 0.838705; 0.781748; 0.164266;0.375004
185; 0.625499; 0.583301; 0.295809; 0.838705; 0.781748; 0.164266;0.375004
186; 0.625499; 0.582126; 0.295809; 0.838705; 0.781748; 0.164266;0.375004
187; 0.625499; 0.581465; 0.295809; 0.838705; 0.781748; 0.164266;0.375004
188; 0.625499; 0.581697; 0.295809; 0.838705; 0.781748; 0.164266;0.375004
189; 0.625499; 0.580693; 0.295809; 0.838705; 0.781748; 0.164266;0.375004
190; 0.625499; 0.581995; 0.295809; 0.838705; 0.781748; 0.164266;0.375004
191; 0.625504; 0.58074; 0.295315; 0.839429; 0.781234; 0.164711;0.375508
192; 0.625504; 0.581321; 0.295315; 0.839429; 0.781234; 0.164711;0.375508
193; 0.625504; 0.581791; 0.295315; 0.839429; 0.781234; 0.164711;0.375508
194; 0.625504; 0.581357; 0.295315; 0.839429; 0.781234; 0.164711;0.375508
195; 0.625504; 0.582567; 0.295315; 0.839429; 0.781234; 0.164711;0.375508
196; 0.625504; 0.581032; 0.295315; 0.839429; 0.781234; 0.164711;0.375508
197; 0.625504; 0.580381; 0.295315; 0.839429; 0.781234; 0.164711;0.375508
198; 0.625506; 0.580859; 0.295809; 0.838705; 0.781748; 0.164266;0.37496
199; 0.625506; 0.580032; 0.295809; 0.838705; 0.781748; 0.164266;0.37496
200; 0.625506; 0.579767; 0.295809; 0.838705; 0.781748; 0.164266;0.37496


#Population Rules
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.586482; 0.575726; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.586596; 0.565186; 0.492; 0.575026; 0.691003; 0.182878;0.442013
3; 0.583904; 0.551515; 0.492; 0.575026; 0.691003; 0.182878;0.442013
4; 0.588778; 0.565898; 0.492; 0.575026; 0.691003; 0.182878;0.442013
5; 0.580549; 0.546094; 0.300247; 0.73427; 0.749357; 0.188592;0.360538
6; 0.58499; 0.552981; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
7; 0.58499; 0.552836; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
8; 0.580018; 0.550745; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
9; 0.589784; 0.550662; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
10; 0.579192; 0.548071; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
11; 0.592242; 0.558803; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
