#Summary : 
#Best fitness Pop 1;0.640873
#Best fitness Pop 2;0.640741
#Std deviation Pop 1;0.0250885
#Std deviation Pop 2;0.0233897
#Sensitivity;0.371524
#Specificity;0.812113
#Accuracy;0.759383
#PPV;0.206671
#RMSE;0.389281
#RRSE;1.16271
#RAE;0.833499
#MSE;0.172945
#ADM;0.409653
#MDM;0.115628
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.8
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_l8_oh_tha_d is MF 0 AND ccr_l6a_oh_dha_d is MF 0 AND ccr_etio_d is MF 0 THEN 4_Obese is MF 1 AND 2_Normal is MF 0 AND 1_SousPoid is MF 0
 IF ccr_pt_one_d is MF 2 AND ccr_a_cortolone_d is MF 2 THEN 4_Obese is MF 0 AND 2_Normal is MF 0 AND 3_Surpoid is MF 0
 IF ccr_sa_dihydrotest_d is MF 1 AND ccr_s_ad_17b_d is MF 1 THEN 1_SousPoid is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_sa_thf_d is MF 1 AND ccr_testosterone_d is MF 0 THEN 4_Obese is MF 1 AND 2_Normal is MF 0
 IF ccr_thaldo_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 4_Obese is MF 0 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 1  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (53.5813 , 267.948 , 327.97) ; ccr_s_ad_17b_d (15.9211 , 27.8826 , 54.1979) ; ccr_sa_dihydrotest_d (1.4139 , 2.18024 , 13.0623) ; ccr_testosterone_d (2.0602 , 9.17644 , 15.3111) ; ccr_l6a_oh_dha_d (3.07782 , 63.9368 , 164.486) ; ccr_thaldo_d (21.23 , 38.6205 , 42.438) ; ccr_l8_oh_tha_d (34.3785 , 98.4343 , 122.269) ; ccr_pt_one_d (73.7124 , 77.3569 , 81.0014) ; ccr_sa_thf_d (53.6399 , 172.697 , 453.671) ; ccr_a_cortolone_d (42.8684 , 401.863 , 467.679) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 0) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.57601; 0.537673; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.575149; 0.542734; 0.492; 0.575026; 0.691003; 0.182878;0.442013
3; 0.590454; 0.543772; 0.492; 0.575026; 0.691003; 0.182878;0.442013
4; 0.588731; 0.558342; 0.492; 0.575026; 0.691003; 0.182878;0.442013
5; 0.586279; 0.54371; 0.300247; 0.73427; 0.749357; 0.188592;0.360538
6; 0.587022; 0.540198; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
7; 0.589879; 0.549918; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
8; 0.589879; 0.550796; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
9; 0.59696; 0.559509; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
10; 0.59696; 0.560728; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
11; 0.59398; 0.552034; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
12; 0.59414; 0.551196; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
13; 0.595185; 0.5537; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
14; 0.594189; 0.552095; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
15; 0.597595; 0.553174; 0.179852; 0.887738; 0.779177; 0.128381;0.399286
16; 0.597802; 0.550659; 0.126914; 0.923861; 0.829563; 0.128822;0.345351
17; 0.597802; 0.550643; 0.126914; 0.923861; 0.829563; 0.128822;0.345351
18; 0.599237; 0.552211; 0.129877; 0.923861; 0.831105; 0.129877;0.344167
19; 0.599237; 0.554816; 0.129877; 0.923861; 0.831105; 0.129877;0.344167
20; 0.599237; 0.556708; 0.129877; 0.923861; 0.831105; 0.129877;0.344167
21; 0.601209; 0.558434; 0.15358; 0.900804; 0.832391; 0.125403;0.344724
22; 0.601209; 0.56046; 0.15358; 0.900804; 0.832391; 0.125403;0.344724
23; 0.601554; 0.571219; 0.15358; 0.900804; 0.832391; 0.125403;0.344724
24; 0.601554; 0.573448; 0.251852; 0.837254; 0.764267; 0.129608;0.402569
25; 0.601554; 0.57245; 0.251852; 0.837254; 0.764267; 0.129608;0.402569
26; 0.601554; 0.573973; 0.251852; 0.837254; 0.764267; 0.129608;0.402569
27; 0.611194; 0.574472; 0.241468; 0.850289; 0.783033; 0.156335;0.368698
28; 0.605314; 0.562723; 0.241468; 0.850289; 0.783033; 0.156335;0.368698
29; 0.604653; 0.566031; 0.241468; 0.850289; 0.783033; 0.156335;0.368698
30; 0.615702; 0.579607; 0.276603; 0.832391; 0.77018; 0.157526;0.379478
31; 0.619753; 0.581585; 0.279072; 0.839709; 0.775578; 0.162033;0.375836
32; 0.619753; 0.581758; 0.279072; 0.839709; 0.775578; 0.162033;0.375836
33; 0.619753; 0.580619; 0.279072; 0.839709; 0.775578; 0.162033;0.375836
34; 0.619753; 0.579736; 0.279072; 0.839709; 0.775578; 0.162033;0.375836
35; 0.619753; 0.579586; 0.279072; 0.839709; 0.775578; 0.162033;0.375836
36; 0.619753; 0.58248; 0.279072; 0.839709; 0.775578; 0.162033;0.375836
37; 0.619753; 0.582926; 0.279072; 0.839709; 0.775578; 0.162033;0.375836
38; 0.619753; 0.582543; 0.279072; 0.839709; 0.775578; 0.162033;0.375836
39; 0.621011; 0.582064; 0.284244; 0.837821; 0.778149; 0.161363;0.375279
40; 0.621011; 0.58173; 0.284244; 0.837821; 0.778149; 0.161363;0.375279
41; 0.621011; 0.583429; 0.284244; 0.837821; 0.778149; 0.161363;0.375279
42; 0.621011; 0.583721; 0.284244; 0.837821; 0.778149; 0.161363;0.375279
43; 0.621011; 0.581777; 0.284244; 0.837821; 0.778149; 0.161363;0.375279
44; 0.622823; 0.581895; 0.288922; 0.837917; 0.780206; 0.162298;0.374573
45; 0.622823; 0.584078; 0.288922; 0.837917; 0.780206; 0.162298;0.374573
46; 0.622823; 0.586477; 0.288922; 0.837917; 0.780206; 0.162298;0.374573
47; 0.622823; 0.584553; 0.288922; 0.837917; 0.780206; 0.162298;0.374573
48; 0.622823; 0.585541; 0.288922; 0.837917; 0.780206; 0.162298;0.374573
49; 0.622823; 0.585565; 0.288922; 0.837917; 0.780206; 0.162298;0.374573
50; 0.622823; 0.585494; 0.288922; 0.837917; 0.780206; 0.162298;0.374573
51; 0.622823; 0.585741; 0.287441; 0.840377; 0.780977; 0.163002;0.374305
52; 0.622823; 0.586431; 0.287441; 0.840377; 0.780977; 0.163002;0.374305
53; 0.623214; 0.586332; 0.287441; 0.840377; 0.780977; 0.163002;0.374305
54; 0.623214; 0.589276; 0.287441; 0.840377; 0.780977; 0.163002;0.374305
55; 0.623214; 0.58838; 0.287441; 0.840377; 0.780977; 0.163002;0.374305
56; 0.623214; 0.590664; 0.287441; 0.840377; 0.780977; 0.163002;0.374305
57; 0.623214; 0.588943; 0.287441; 0.840377; 0.780977; 0.163002;0.374305
58; 0.623214; 0.587715; 0.287441; 0.840377; 0.780977; 0.163002;0.374305
59; 0.623214; 0.586755; 0.290404; 0.837917; 0.780977; 0.162762;0.374194
60; 0.623214; 0.588005; 0.290404; 0.837917; 0.780977; 0.162762;0.374194
61; 0.623214; 0.58672; 0.290404; 0.837917; 0.780977; 0.162762;0.374194
62; 0.623214; 0.58965; 0.290404; 0.837917; 0.780977; 0.162762;0.374194
63; 0.623214; 0.588773; 0.290404; 0.837917; 0.780977; 0.162762;0.374194
64; 0.623504; 0.588822; 0.288168; 0.840722; 0.77892; 0.16365;0.374914
65; 0.623411; 0.589822; 0.419851; 0.740922; 0.663753; 0.170403;0.411939
66; 0.633064; 0.592345; 0.352114; 0.809214; 0.746015; 0.177772;0.388233
67; 0.633064; 0.59381; 0.352114; 0.809214; 0.746015; 0.177772;0.388233
68; 0.633064; 0.593688; 0.352114; 0.809214; 0.746015; 0.177772;0.388233
69; 0.634088; 0.595919; 0.347264; 0.815306; 0.758098; 0.179333;0.384405
70; 0.634088; 0.597695; 0.347264; 0.815306; 0.758098; 0.179333;0.384405
71; 0.634088; 0.595485; 0.347264; 0.815306; 0.758098; 0.179333;0.384405
72; 0.634432; 0.593009; 0.347758; 0.815603; 0.758869; 0.179625;0.383999
73; 0.634432; 0.593621; 0.347758; 0.815603; 0.758869; 0.179625;0.383999
74; 0.634432; 0.590381; 0.347758; 0.815603; 0.758869; 0.179625;0.383999
75; 0.634432; 0.590813; 0.347758; 0.815603; 0.758869; 0.179625;0.383999
76; 0.634432; 0.593124; 0.347758; 0.815603; 0.758869; 0.179625;0.383999
77; 0.634432; 0.591766; 0.347758; 0.815603; 0.758869; 0.179625;0.383999
78; 0.634694; 0.593252; 0.42804; 0.745932; 0.680977; 0.170439;0.407424
79; 0.635313; 0.591128; 0.377595; 0.798422; 0.737789; 0.192067;0.401427
80; 0.635706; 0.590102; 0.377595; 0.798422; 0.737789; 0.192067;0.401427
81; 0.635706; 0.58859; 0.377595; 0.798422; 0.737789; 0.192067;0.401427
82; 0.635706; 0.588393; 0.377595; 0.798422; 0.737789; 0.192067;0.401427
83; 0.635706; 0.588074; 0.377595; 0.798422; 0.737789; 0.192067;0.401427
84; 0.635706; 0.585108; 0.377595; 0.798422; 0.737789; 0.192067;0.401427
85; 0.635706; 0.583997; 0.377595; 0.798422; 0.737789; 0.192067;0.401427
86; 0.635706; 0.583999; 0.377595; 0.798422; 0.737789; 0.192067;0.401427
87; 0.635706; 0.58177; 0.377595; 0.798422; 0.737789; 0.192067;0.401427
88; 0.636323; 0.580165; 0.377595; 0.798422; 0.737789; 0.192067;0.401427
89; 0.636323; 0.584064; 0.377595; 0.798422; 0.737789; 0.192067;0.401427
90; 0.636323; 0.582293; 0.377595; 0.798422; 0.737789; 0.192067;0.401427
91; 0.636323; 0.581838; 0.377595; 0.798422; 0.737789; 0.192067;0.401427
92; 0.636323; 0.583495; 0.377595; 0.798422; 0.737789; 0.192067;0.401427
93; 0.636323; 0.584877; 0.377595; 0.798422; 0.737789; 0.192067;0.401427
94; 0.636323; 0.587328; 0.377595; 0.798422; 0.737789; 0.192067;0.401427
95; 0.63634; 0.588059; 0.365598; 0.808263; 0.749614; 0.196964;0.39619
96; 0.63634; 0.585418; 0.365598; 0.808263; 0.749614; 0.196964;0.39619
97; 0.63634; 0.586848; 0.365598; 0.808263; 0.749614; 0.196964;0.39619
98; 0.63634; 0.586403; 0.365598; 0.808263; 0.749614; 0.196964;0.39619
99; 0.637225; 0.587811; 0.368067; 0.807919; 0.752185; 0.196797;0.395348
100; 0.637225; 0.588137; 0.368067; 0.807919; 0.752185; 0.196797;0.395348
101; 0.637328; 0.58828; 0.368067; 0.808185; 0.752442; 0.197223;0.395299
102; 0.637328; 0.587908; 0.368067; 0.808185; 0.752442; 0.197223;0.395299
103; 0.637328; 0.586861; 0.368067; 0.808185; 0.752442; 0.197223;0.395299
104; 0.637328; 0.584863; 0.368067; 0.808185; 0.752442; 0.197223;0.395299
105; 0.637328; 0.586319; 0.368067; 0.808185; 0.752442; 0.197223;0.395299
106; 0.637328; 0.583155; 0.368067; 0.808185; 0.752442; 0.197223;0.395299
107; 0.637328; 0.58435; 0.368067; 0.808185; 0.752442; 0.197223;0.395299
108; 0.637328; 0.583906; 0.368067; 0.808185; 0.752442; 0.197223;0.395299
109; 0.637328; 0.582541; 0.368067; 0.808185; 0.752442; 0.197223;0.395299
110; 0.637328; 0.584414; 0.368067; 0.808185; 0.752442; 0.197223;0.395299
111; 0.637328; 0.586359; 0.368067; 0.808185; 0.752442; 0.197223;0.395299
112; 0.637328; 0.583289; 0.368067; 0.808185; 0.752442; 0.197223;0.395299
113; 0.637328; 0.583024; 0.368067; 0.808185; 0.752442; 0.197223;0.395299
114; 0.637328; 0.581709; 0.368067; 0.808185; 0.752442; 0.197223;0.395299
115; 0.637328; 0.583289; 0.368067; 0.808185; 0.752442; 0.197223;0.395299
116; 0.637328; 0.582936; 0.368067; 0.808185; 0.752442; 0.197223;0.395299
117; 0.637328; 0.586916; 0.368067; 0.808185; 0.752442; 0.197223;0.395299
118; 0.638866; 0.588345; 0.368067; 0.810827; 0.754756; 0.203096;0.391355
119; 0.638866; 0.591954; 0.368067; 0.810827; 0.754756; 0.203096;0.391355
120; 0.638866; 0.592099; 0.368067; 0.810827; 0.754756; 0.203096;0.391355
121; 0.638866; 0.589167; 0.368067; 0.810827; 0.754756; 0.203096;0.391355
122; 0.638866; 0.588094; 0.368067; 0.810827; 0.754756; 0.203096;0.391355
123; 0.638866; 0.588672; 0.368067; 0.810827; 0.754756; 0.203096;0.391355
124; 0.639524; 0.588538; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
125; 0.639524; 0.587299; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
126; 0.639524; 0.588053; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
127; 0.639524; 0.588952; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
128; 0.639524; 0.587603; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
129; 0.639524; 0.588177; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
130; 0.639524; 0.588909; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
131; 0.639524; 0.589985; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
132; 0.639524; 0.588898; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
133; 0.639524; 0.592615; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
134; 0.639524; 0.593782; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
135; 0.639524; 0.593824; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
136; 0.639524; 0.593061; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
137; 0.639524; 0.594573; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
138; 0.639524; 0.597538; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
139; 0.639524; 0.596046; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
140; 0.639524; 0.596154; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
141; 0.639524; 0.594253; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
142; 0.639524; 0.593657; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
143; 0.639524; 0.598719; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
144; 0.639524; 0.598894; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
145; 0.639524; 0.597404; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
146; 0.639524; 0.596341; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
147; 0.639524; 0.595954; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
148; 0.639524; 0.594419; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
149; 0.639524; 0.592951; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
150; 0.639524; 0.592234; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
151; 0.639524; 0.591491; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
152; 0.639524; 0.591939; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
153; 0.639524; 0.588808; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
154; 0.639524; 0.589886; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
155; 0.639524; 0.588025; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
156; 0.639524; 0.589613; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
157; 0.639524; 0.592185; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
158; 0.639524; 0.589146; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
159; 0.639524; 0.590267; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
160; 0.639524; 0.590574; 0.369549; 0.811175; 0.756298; 0.203466;0.391324
161; 0.640137; 0.59103; 0.368821; 0.812824; 0.758612; 0.205989;0.389446
162; 0.640137; 0.591014; 0.368821; 0.812824; 0.758612; 0.205989;0.389446
163; 0.640137; 0.590421; 0.368821; 0.812824; 0.758612; 0.205989;0.389446
164; 0.640137; 0.591576; 0.368821; 0.812824; 0.758612; 0.205989;0.389446
165; 0.640137; 0.592307; 0.368821; 0.812824; 0.758612; 0.205989;0.389446
166; 0.640137; 0.594908; 0.368821; 0.812824; 0.758612; 0.205989;0.389446
167; 0.640137; 0.59045; 0.368821; 0.812824; 0.758612; 0.205989;0.389446
168; 0.640137; 0.590604; 0.368821; 0.812824; 0.758612; 0.205989;0.389446
169; 0.640137; 0.592315; 0.368821; 0.812824; 0.758612; 0.205989;0.389446
170; 0.640137; 0.589896; 0.368821; 0.812824; 0.758612; 0.205989;0.389446
171; 0.640137; 0.591748; 0.368821; 0.812824; 0.758612; 0.205989;0.389446
172; 0.640137; 0.589989; 0.368821; 0.812824; 0.758612; 0.205989;0.389446
173; 0.640137; 0.588557; 0.368821; 0.812824; 0.758612; 0.205989;0.389446
174; 0.640137; 0.587014; 0.368821; 0.812824; 0.758612; 0.205989;0.389446
175; 0.640137; 0.586928; 0.368821; 0.812824; 0.758612; 0.205989;0.389446
176; 0.640629; 0.588447; 0.371524; 0.81206; 0.758355; 0.204288;0.390772
177; 0.640629; 0.591257; 0.371524; 0.81206; 0.758355; 0.204288;0.390772
178; 0.640629; 0.589; 0.371524; 0.81206; 0.758355; 0.204288;0.390772
179; 0.640629; 0.586025; 0.371524; 0.81206; 0.758355; 0.204288;0.390772
180; 0.640629; 0.587041; 0.371524; 0.81206; 0.758355; 0.204288;0.390772
181; 0.640629; 0.585563; 0.371524; 0.81206; 0.758355; 0.204288;0.390772
182; 0.640873; 0.584681; 0.371524; 0.812113; 0.759383; 0.206671;0.389281
183; 0.640873; 0.580224; 0.371524; 0.812113; 0.759383; 0.206671;0.389281
184; 0.640873; 0.57867; 0.371524; 0.812113; 0.759383; 0.206671;0.389281
185; 0.640873; 0.581453; 0.371524; 0.812113; 0.759383; 0.206671;0.389281
186; 0.640873; 0.583504; 0.371524; 0.812113; 0.759383; 0.206671;0.389281
187; 0.640873; 0.581799; 0.371524; 0.812113; 0.759383; 0.206671;0.389281
188; 0.640873; 0.582647; 0.371524; 0.812113; 0.759383; 0.206671;0.389281
189; 0.640873; 0.583119; 0.371524; 0.812113; 0.759383; 0.206671;0.389281
190; 0.640873; 0.584799; 0.371524; 0.812113; 0.759383; 0.206671;0.389281
191; 0.640873; 0.584781; 0.371524; 0.812113; 0.759383; 0.206671;0.389281
192; 0.640873; 0.584646; 0.371524; 0.812113; 0.759383; 0.206671;0.389281
193; 0.640873; 0.585483; 0.371524; 0.812113; 0.759383; 0.206671;0.389281
194; 0.640873; 0.585763; 0.371524; 0.812113; 0.759383; 0.206671;0.389281
195; 0.640873; 0.585202; 0.371524; 0.812113; 0.759383; 0.206671;0.389281
196; 0.640873; 0.584378; 0.371524; 0.812113; 0.759383; 0.206671;0.389281
197; 0.640873; 0.582769; 0.371524; 0.812113; 0.759383; 0.206671;0.389281
198; 0.640873; 0.584238; 0.371524; 0.812113; 0.759383; 0.206671;0.389281
199; 0.640873; 0.585717; 0.371524; 0.812113; 0.759383; 0.206671;0.389281
200; 0.640873; 0.581927; 0.371524; 0.812113; 0.759383; 0.206671;0.389281


#Population Rules
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.586482; 0.575726; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.586596; 0.565186; 0.492; 0.575026; 0.691003; 0.182878;0.442013
3; 0.583904; 0.551515; 0.492; 0.575026; 0.691003; 0.182878;0.442013
4; 0.588778; 0.565898; 0.492; 0.575026; 0.691003; 0.182878;0.442013
5; 0.580549; 0.546094; 0.300247; 0.73427; 0.749357; 0.188592;0.360538
6; 0.58499; 0.552981; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
7; 0.58499; 0.552836; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
8; 0.580018; 0.550745; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
9; 0.589784; 0.550662; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
10; 0.579192; 0.548071; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
11; 0.592242; 0.558803; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
12; 0.592662; 0.552699; 0.19516; 0.863145; 0.805141; 0.132571;0.383682
