#Summary : 
#Best fitness Pop 1;0.651545
#Best fitness Pop 2;0.651833
#Std deviation Pop 1;0.023273
#Std deviation Pop 2;0.0277808
#Sensitivity;0.4784
#Specificity;0.740634
#Accuracy;0.747558
#PPV;0.257293
#RMSE;0.400449
#RRSE;1.31516
#RAE;1.06502
#MSE;0.175265
#ADM;0.483403
#MDM;0.109868
#Size;0.0833333
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.8
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_l6a_oh_dha_d is MF 0 AND ccr_a_cortolone_d is MF 1 THEN 4_Obese is MF 1 AND 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_zoa_dhf_d is MF 1 THEN 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_ll_oxo_etio_d is MF 0 AND ccr_thf_d is MF 1 THEN 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_thb_d is MF 1 AND ccr_llb_oh_andro_d is MF 2 AND ccr_b_cortolone_d is MF 2 THEN 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 0 AND 2_Normal is MF 1
 IF ccr_pt_one_d is MF 2 AND ccr_sb_oh_f_d is MF 0 AND ccr_a_cortol_d is MF 0 AND ccr_sa_thf_d is MF 2 THEN 1_SousPoid is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_l6a_oh_dha_d (11.0159 , 77.167 , 138.026) ; ccr_thb_d (18.432 , 26.2524 , 79.8781) ; ccr_pt_one_d (13.9428 , 37.9964 , 83.917) ; ccr_thf_d (105.194 , 123.163 , 360.357) ; ccr_sa_thf_d (201.27 , 301.278 , 501.293) ; ccr_a_cortol_d (182.965 , 185.718 , 254.557) ; ccr_llb_oh_andro_d (36.9354 , 169.728 , 213.41) ; ccr_a_cortolone_d (30.9019 , 186.466 , 312.114) ; ccr_b_cortolone_d (35.0035 , 142.122 , 183.588) ; ccr_ll_oxo_etio_d (19.0779 , 33.1706 , 68.4022) ; ccr_sb_oh_f_d (2.35793 , 11.74 , 24.2494) ; ccr_zoa_dhf_d (4.50283 , 38.2047 , 38.2047) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.57601; 0.537673; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.575149; 0.542734; 0.492; 0.575026; 0.691003; 0.182878;0.442013
3; 0.590454; 0.543772; 0.492; 0.575026; 0.691003; 0.182878;0.442013
4; 0.588731; 0.558342; 0.492; 0.575026; 0.691003; 0.182878;0.442013
5; 0.589237; 0.538836; 0.4598; 0.624972; 0.708226; 0.199476;0.471097
6; 0.589237; 0.540687; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
7; 0.589237; 0.541412; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
8; 0.590488; 0.548308; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
9; 0.579481; 0.549345; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
10; 0.590118; 0.557247; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
11; 0.590118; 0.557224; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
12; 0.585868; 0.547489; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
13; 0.591568; 0.549074; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
14; 0.591557; 0.548567; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
15; 0.595604; 0.550235; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
16; 0.595604; 0.548235; 0.293133; 0.787479; 0.757069; 0.142277;0.399849
17; 0.595604; 0.548181; 0.293133; 0.787479; 0.757069; 0.142277;0.399849
18; 0.597004; 0.549509; 0.293133; 0.787479; 0.757069; 0.142277;0.399849
19; 0.5979; 0.552883; 0.293133; 0.787479; 0.757069; 0.142277;0.399849
20; 0.5979; 0.553101; 0.293133; 0.787479; 0.757069; 0.142277;0.399849
21; 0.599882; 0.55815; 0.419935; 0.667424; 0.743445; 0.214751;0.406151
22; 0.600631; 0.560236; 0.419935; 0.667424; 0.743445; 0.214751;0.406151
23; 0.600821; 0.560895; 0.419935; 0.667424; 0.743445; 0.214751;0.406151
24; 0.604405; 0.569051; 0.419438; 0.669507; 0.743959; 0.216201;0.406913
25; 0.604396; 0.568233; 0.409427; 0.682937; 0.742159; 0.215559;0.411396
26; 0.604256; 0.570118; 0.384732; 0.73432; 0.755013; 0.225037;0.415008
27; 0.606213; 0.570294; 0.384732; 0.73432; 0.755013; 0.225037;0.415008
28; 0.605453; 0.570271; 0.401986; 0.735469; 0.75347; 0.231255;0.39821
29; 0.617464; 0.566268; 0.401986; 0.735469; 0.75347; 0.231255;0.39821
30; 0.617464; 0.570426; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
31; 0.614744; 0.57127; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
32; 0.611588; 0.571066; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
33; 0.605691; 0.570977; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
34; 0.61397; 0.571237; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
35; 0.61418; 0.572319; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
36; 0.614376; 0.574; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
37; 0.614309; 0.573398; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
38; 0.619259; 0.578564; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
39; 0.619259; 0.575429; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
40; 0.619259; 0.571952; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
41; 0.619259; 0.573303; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
42; 0.619259; 0.572701; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
43; 0.619259; 0.570694; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
44; 0.619259; 0.571914; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
45; 0.619259; 0.571664; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
46; 0.618861; 0.573383; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
47; 0.619639; 0.573875; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
48; 0.619639; 0.571379; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
49; 0.620179; 0.573379; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
50; 0.620179; 0.573193; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
51; 0.620179; 0.576014; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
52; 0.62242; 0.573979; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
53; 0.622542; 0.574818; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
54; 0.620013; 0.573439; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
55; 0.621871; 0.572546; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
56; 0.619612; 0.574823; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
57; 0.622875; 0.573327; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
58; 0.621029; 0.574172; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
59; 0.621029; 0.573104; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
60; 0.622875; 0.570803; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
61; 0.621354; 0.575072; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
62; 0.621029; 0.572406; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
63; 0.622875; 0.569687; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
64; 0.622875; 0.569631; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
65; 0.622875; 0.575268; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
66; 0.622875; 0.573832; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
67; 0.623366; 0.575768; 0.390931; 0.746932; 0.763239; 0.23343;0.392948
68; 0.62349; 0.574366; 0.40762; 0.730201; 0.757841; 0.2322;0.371325
69; 0.62349; 0.5746; 0.537353; 0.630601; 0.694859; 0.237041;0.434711
70; 0.627944; 0.579506; 0.537353; 0.630601; 0.694859; 0.237041;0.434711
71; 0.629387; 0.582775; 0.402471; 0.743577; 0.76144; 0.284415;0.376522
72; 0.627884; 0.58108; 0.402471; 0.743577; 0.76144; 0.284415;0.376522
73; 0.632786; 0.581852; 0.542532; 0.635953; 0.696144; 0.238519;0.431202
74; 0.632786; 0.580991; 0.542532; 0.635953; 0.696144; 0.238519;0.431202
75; 0.632786; 0.580906; 0.542532; 0.635953; 0.696144; 0.238519;0.431202
76; 0.632786; 0.582095; 0.542532; 0.635953; 0.696144; 0.238519;0.431202
77; 0.632786; 0.581202; 0.542532; 0.635953; 0.696144; 0.238519;0.431202
78; 0.632786; 0.583573; 0.542532; 0.635953; 0.696144; 0.238519;0.431054
79; 0.639525; 0.58604; 0.488813; 0.696052; 0.739589; 0.249701;0.401146
80; 0.639525; 0.585819; 0.488813; 0.696052; 0.739589; 0.249701;0.401146
81; 0.639525; 0.583843; 0.488813; 0.696052; 0.739589; 0.249701;0.401146
82; 0.64021; 0.585141; 0.497204; 0.691733; 0.731877; 0.249023;0.406124
83; 0.64021; 0.584637; 0.497204; 0.691733; 0.731877; 0.249023;0.406124
84; 0.641464; 0.581673; 0.497885; 0.693975; 0.734447; 0.250245;0.404881
85; 0.641464; 0.580398; 0.497885; 0.693975; 0.734447; 0.250245;0.404881
86; 0.641464; 0.579774; 0.497885; 0.693975; 0.734447; 0.250245;0.404881
87; 0.641464; 0.581902; 0.497885; 0.693975; 0.734447; 0.250245;0.404881
88; 0.641464; 0.580598; 0.497885; 0.693975; 0.734447; 0.250245;0.404881
89; 0.641464; 0.584117; 0.497885; 0.693975; 0.734447; 0.250245;0.404881
90; 0.641464; 0.583305; 0.497885; 0.693975; 0.734447; 0.250245;0.404881
91; 0.643045; 0.584386; 0.519091; 0.678628; 0.728021; 0.246968;0.408305
92; 0.643522; 0.583284; 0.505067; 0.693515; 0.73599; 0.251061;0.407172
93; 0.643522; 0.581873; 0.505067; 0.693515; 0.73599; 0.251061;0.407172
94; 0.643522; 0.58196; 0.505067; 0.693515; 0.73599; 0.251061;0.407172
95; 0.644149; 0.58351; 0.505867; 0.693932; 0.736761; 0.251685;0.405884
96; 0.644149; 0.579291; 0.505867; 0.693932; 0.736761; 0.251685;0.405884
97; 0.644149; 0.579218; 0.505867; 0.693932; 0.736761; 0.251685;0.405884
98; 0.644149; 0.582408; 0.505867; 0.693932; 0.736761; 0.251685;0.405884
99; 0.644149; 0.58201; 0.505867; 0.693932; 0.736761; 0.251685;0.405884
100; 0.644149; 0.583622; 0.505867; 0.693932; 0.736761; 0.251685;0.405884
101; 0.6452; 0.585108; 0.502678; 0.699875; 0.745501; 0.254451;0.405436
102; 0.6452; 0.586228; 0.502678; 0.699875; 0.745501; 0.254451;0.405436
103; 0.6452; 0.584909; 0.502678; 0.699875; 0.745501; 0.254451;0.405434
104; 0.6452; 0.582949; 0.502678; 0.699875; 0.745501; 0.254451;0.405434
105; 0.6452; 0.585778; 0.502678; 0.70158; 0.747044; 0.255526;0.402541
106; 0.6452; 0.583358; 0.502678; 0.70158; 0.747044; 0.255526;0.402541
107; 0.645744; 0.582076; 0.502678; 0.70158; 0.747044; 0.255526;0.402537
108; 0.645744; 0.580361; 0.502678; 0.70158; 0.747044; 0.255526;0.402537
109; 0.646242; 0.582447; 0.459945; 0.739121; 0.763753; 0.262923;0.387586
110; 0.646242; 0.586562; 0.459945; 0.739121; 0.763753; 0.262923;0.387586
111; 0.646242; 0.588851; 0.5192; 0.695215; 0.728535; 0.249533;0.418332
112; 0.646242; 0.589733; 0.5192; 0.695215; 0.728535; 0.249533;0.418332
113; 0.646242; 0.589035; 0.5192; 0.695215; 0.728535; 0.249533;0.418332
114; 0.646242; 0.586784; 0.5192; 0.695215; 0.728535; 0.249533;0.418332
115; 0.641888; 0.588934; 0.482211; 0.725443; 0.754242; 0.257613;0.398275
116; 0.648095; 0.590985; 0.482211; 0.725443; 0.754242; 0.257613;0.398275
117; 0.648095; 0.592728; 0.482211; 0.725443; 0.754242; 0.257613;0.398275
118; 0.648095; 0.590541; 0.482211; 0.725443; 0.754242; 0.257613;0.398275
119; 0.648095; 0.592345; 0.482211; 0.725443; 0.754242; 0.257613;0.398275
120; 0.648095; 0.592611; 0.482211; 0.725443; 0.754242; 0.257613;0.398275
121; 0.648095; 0.591779; 0.482211; 0.725443; 0.754242; 0.257613;0.398275
122; 0.648095; 0.589828; 0.482211; 0.725443; 0.754242; 0.257613;0.398275
123; 0.648095; 0.589174; 0.482211; 0.725443; 0.754242; 0.257613;0.398275
124; 0.649224; 0.591746; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
125; 0.649224; 0.590591; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
126; 0.649224; 0.589918; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
127; 0.649224; 0.589618; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
128; 0.649224; 0.587175; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
129; 0.649224; 0.589028; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
130; 0.649224; 0.587903; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
131; 0.649224; 0.59222; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
132; 0.649224; 0.591348; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
133; 0.649224; 0.593338; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
134; 0.649224; 0.594406; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
135; 0.649224; 0.591582; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
136; 0.649224; 0.593485; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
137; 0.649224; 0.59193; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
138; 0.649224; 0.594328; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
139; 0.649224; 0.596018; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
140; 0.649224; 0.596494; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
141; 0.649224; 0.594083; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
142; 0.649224; 0.591086; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
143; 0.649224; 0.594737; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
144; 0.649224; 0.594255; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
145; 0.649224; 0.588763; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
146; 0.649224; 0.587283; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
147; 0.649224; 0.589094; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
148; 0.649224; 0.58892; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
149; 0.649224; 0.590025; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
150; 0.649224; 0.589939; 0.5168; 0.701277; 0.732648; 0.251418;0.415637
151; 0.650073; 0.590342; 0.4784; 0.738777; 0.745758; 0.256366;0.405282
152; 0.650073; 0.590169; 0.4784; 0.738777; 0.745758; 0.256366;0.405282
153; 0.650073; 0.587801; 0.4784; 0.740103; 0.747044; 0.257019;0.403312
154; 0.650073; 0.588521; 0.4784; 0.740103; 0.747044; 0.257019;0.403312
155; 0.651214; 0.587162; 0.4784; 0.740103; 0.747044; 0.257019;0.403312
156; 0.651214; 0.587161; 0.4784; 0.740103; 0.747044; 0.257019;0.403312
157; 0.651214; 0.590336; 0.4784; 0.740103; 0.747044; 0.257019;0.403312
158; 0.651214; 0.587268; 0.4784; 0.740103; 0.747044; 0.257019;0.403312
159; 0.651214; 0.587277; 0.4784; 0.740103; 0.747044; 0.257019;0.403312
160; 0.651214; 0.586496; 0.4784; 0.740103; 0.747044; 0.257019;0.403312
161; 0.651214; 0.586391; 0.4784; 0.740103; 0.747044; 0.257019;0.403312
162; 0.651214; 0.590033; 0.4784; 0.740103; 0.747044; 0.257019;0.403312
163; 0.651214; 0.588661; 0.4784; 0.740103; 0.747044; 0.257019;0.403312
164; 0.651214; 0.589627; 0.4784; 0.740103; 0.747044; 0.257019;0.403312
165; 0.651214; 0.590732; 0.4784; 0.740103; 0.747044; 0.257019;0.403312
166; 0.651225; 0.590888; 0.4784; 0.740103; 0.747044; 0.257019;0.403237
167; 0.651225; 0.59111; 0.4784; 0.740103; 0.747044; 0.257019;0.403237
168; 0.651225; 0.589305; 0.4784; 0.740103; 0.747044; 0.257019;0.403237
169; 0.651225; 0.5915; 0.4784; 0.740103; 0.747044; 0.257019;0.403237
170; 0.651225; 0.590097; 0.4784; 0.740103; 0.747044; 0.257019;0.403237
171; 0.651225; 0.592703; 0.4784; 0.740103; 0.747044; 0.257019;0.403237
172; 0.651225; 0.59281; 0.4784; 0.740103; 0.747044; 0.257019;0.403237
173; 0.651225; 0.591615; 0.4784; 0.740103; 0.747044; 0.257019;0.403237
174; 0.651225; 0.58999; 0.4784; 0.740103; 0.747044; 0.257019;0.403237
175; 0.651225; 0.588817; 0.4784; 0.740103; 0.747044; 0.257019;0.403237
176; 0.651225; 0.59221; 0.4784; 0.740103; 0.747044; 0.257019;0.403237
177; 0.651225; 0.594378; 0.4784; 0.740103; 0.747044; 0.257019;0.403237
178; 0.651225; 0.591811; 0.4784; 0.740103; 0.747044; 0.257019;0.403237
179; 0.651225; 0.588817; 0.4784; 0.740103; 0.747044; 0.257019;0.403237
180; 0.651225; 0.588697; 0.4784; 0.740103; 0.747044; 0.257019;0.403237
181; 0.651225; 0.5882; 0.4784; 0.740634; 0.747558; 0.257293;0.400449
182; 0.651545; 0.585728; 0.4784; 0.740634; 0.747558; 0.257293;0.400449
183; 0.651225; 0.586222; 0.4784; 0.740634; 0.747558; 0.257293;0.400449
184; 0.650501; 0.583578; 0.4784; 0.740634; 0.747558; 0.257293;0.400449
185; 0.651225; 0.587411; 0.4784; 0.740634; 0.747558; 0.257293;0.400449
186; 0.651545; 0.588108; 0.4784; 0.740634; 0.747558; 0.257293;0.400449
187; 0.651545; 0.588511; 0.4784; 0.740634; 0.747558; 0.257293;0.400449
188; 0.651545; 0.586523; 0.4784; 0.740634; 0.747558; 0.257293;0.400449
189; 0.651545; 0.58759; 0.4784; 0.740634; 0.747558; 0.257293;0.400449
190; 0.651545; 0.588794; 0.4784; 0.740634; 0.747558; 0.257293;0.400449
191; 0.651545; 0.589859; 0.4784; 0.740634; 0.747558; 0.257293;0.400449
192; 0.651545; 0.587356; 0.4784; 0.740634; 0.747558; 0.257293;0.400449
193; 0.651545; 0.590975; 0.4784; 0.740634; 0.747558; 0.257293;0.400449
194; 0.651545; 0.59115; 0.4784; 0.740634; 0.747558; 0.257293;0.400449
195; 0.651545; 0.589948; 0.4784; 0.740634; 0.747558; 0.257293;0.400449
196; 0.651545; 0.58853; 0.4784; 0.740634; 0.747558; 0.257293;0.400449
197; 0.651545; 0.590219; 0.4784; 0.740634; 0.747558; 0.257293;0.400449
198; 0.651545; 0.591253; 0.4784; 0.740634; 0.747558; 0.257293;0.400449
199; 0.651545; 0.592151; 0.4784; 0.740634; 0.747558; 0.257293;0.400449
200; 0.651545; 0.589127; 0.4784; 0.740634; 0.747558; 0.257293;0.400449


#Population Rules
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.586482; 0.575726; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.586596; 0.565186; 0.492; 0.575026; 0.691003; 0.182878;0.442013
3; 0.583904; 0.551515; 0.492; 0.575026; 0.691003; 0.182878;0.442013
4; 0.588778; 0.565898; 0.492; 0.575026; 0.691003; 0.182878;0.442013
5; 0.588778; 0.565713; 0.4598; 0.624972; 0.708226; 0.199476;0.471097
6; 0.584637; 0.547122; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
7; 0.582564; 0.561987; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
8; 0.580259; 0.550607; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
9; 0.577293; 0.549832; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
10; 0.590118; 0.557147; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
