#Summary : 
#Best fitness Pop 1;0.642467
#Best fitness Pop 2;0.642438
#Std deviation Pop 1;0.0291748
#Std deviation Pop 2;0.0241608
#Sensitivity;0.4506
#Specificity;0.743332
#Accuracy;0.751671
#PPV;0.296502
#RMSE;0.403127
#RRSE;1.24635
#RAE;1.00789
#MSE;0.180632
#ADM;0.48798
#MDM;0.133171
#Size;0.142857
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.8
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thdoc_d is MF 1 AND ccr_l8_oh_tha_d is MF 2 THEN 5_ExtremeObese is MF 0 AND 1_SousPoid is MF 1 AND 2_Normal is MF 1
 IF ccr_sa_thf_d is MF 1 THEN 5_ExtremeObese is MF 1 AND 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_a_cortolone_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 1_SousPoid is MF 0 AND 2_Normal is MF 1
 IF ccr_s_pt_d is MF 2 AND ccr_testosterone_d is MF 0 THEN 3_Surpoid is MF 1 AND 4_Obese is MF 1
 IF ccr_b_cortol_d is MF 1 THEN 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_testosterone_d (1.32403 , 17.2742 , 23.1635) ; ccr_s_pt_d (23.8419 , 25.3292 , 86.3075) ; ccr_thdoc_d (0.156503 , 1.24453 , 2.06054) ; ccr_l8_oh_tha_d (16.5025 , 25.4405 , 68.6409) ; ccr_sa_thf_d (1.25489 , 163.172 , 567.965) ; ccr_b_cortol_d (77.2735 , 281.433 , 321.047) ; ccr_a_cortolone_d (84.7511 , 96.7176 , 563.41) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.57601; 0.537673; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.575149; 0.542734; 0.248; 0.790173; 0.800257; 0.13202;0.395621
3; 0.590454; 0.543772; 0.492; 0.575026; 0.691003; 0.182878;0.442013
4; 0.588731; 0.558342; 0.492; 0.575026; 0.691003; 0.182878;0.442013
5; 0.586279; 0.54371; 0.300247; 0.73427; 0.749357; 0.188592;0.360538
6; 0.587022; 0.540198; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
7; 0.58797; 0.551673; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
8; 0.589879; 0.550513; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
9; 0.585097; 0.556992; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
10; 0.585512; 0.545534; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
11; 0.590379; 0.550494; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
12; 0.58648; 0.55299; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
13; 0.594645; 0.55167; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
14; 0.594711; 0.546507; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
15; 0.591846; 0.556839; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
16; 0.584176; 0.553476; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
17; 0.593051; 0.550048; 0.240354; 0.819169; 0.783805; 0.142978;0.378499
18; 0.593532; 0.550869; 0.240354; 0.819169; 0.783805; 0.142978;0.378499
19; 0.593532; 0.554626; 0.240354; 0.819169; 0.783805; 0.142978;0.378499
20; 0.596765; 0.565139; 0.240354; 0.819169; 0.783805; 0.142978;0.378499
21; 0.594687; 0.567669; 0.240354; 0.819169; 0.783805; 0.142978;0.378499
22; 0.594802; 0.558312; 0.245652; 0.818742; 0.765553; 0.143106;0.386523
23; 0.594802; 0.557524; 0.245652; 0.818742; 0.765553; 0.143106;0.386523
24; 0.598837; 0.568756; 0.244718; 0.820345; 0.774293; 0.143926;0.387218
25; 0.598837; 0.56819; 0.244718; 0.820345; 0.774293; 0.143926;0.387218
26; 0.598837; 0.570365; 0.223537; 0.839764; 0.782262; 0.145746;0.378937
27; 0.600558; 0.570571; 0.220888; 0.847346; 0.796915; 0.151079;0.370199
28; 0.600558; 0.570357; 0.537222; 0.628016; 0.589717; 0.163262;0.530121
29; 0.600558; 0.571454; 0.537222; 0.628016; 0.589717; 0.163262;0.530121
30; 0.604759; 0.572475; 0.537222; 0.628818; 0.590231; 0.163529;0.530054
