#Summary : 
#Best fitness Pop 1;0.639922
#Best fitness Pop 2;0.639922
#Std deviation Pop 1;0.0244724
#Std deviation Pop 2;0.0214947
#Sensitivity;0.450285
#Specificity;0.759817
#Accuracy;0.698715
#PPV;0.168767
#RMSE;0.459776
#RRSE;1.35771
#RAE;1.12936
#MSE;0.231464
#ADM;0.478517
#MDM;0.201191
#Size;0.111111
#OverLearn;0.666667

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.8
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_a_cortolone_d is MF 2 THEN 5_ExtremeObese is MF 1
 IF ccr_zob_dhe_d is MF 0 AND ccr_pt_d is MF 0 THEN 5_ExtremeObese is MF 1 AND 2_Normal is MF 0 AND 3_Surpoid is MF 0
 IF ccr_llb_oh_andro_d is MF 0 AND ccr_sa_dihydrotest_d is MF 1 THEN 5_ExtremeObese is MF 0
 IF ccr_sa_thf_d is MF 1 AND ccr_testosterone_d is MF 0 THEN 4_Obese is MF 1 AND 2_Normal is MF 0
 IF ccr_tha_d is MF 0 AND cr_l8_oh_f_d is MF 1 THEN 5_ExtremeObese is MF 0 AND 4_Obese is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 1  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_sa_dihydrotest_d (2.48677 , 3.71292 , 16.7407) ; ccr_testosterone_d (4.51407 , 5.74101 , 31.2613) ; ccr_tha_d (4.0591 , 47.1444 , 49.8945) ; ccr_pt_d (95.8437 , 541.913 , 541.913) ; cr_l8_oh_f_d (280.273 , 1478.77 , 2585.08) ; ccr_sa_thf_d (1.25489 , 172.697 , 577.49) ; ccr_llb_oh_andro_d (134.783 , 157.497 , 216.905) ; ccr_a_cortolone_d (30.9019 , 30.9019 , 162.533) ; ccr_zob_dhe_d (1.34234 , 1.82739 , 15.0856) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 0) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.57601; 0.537673; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.575149; 0.542734; 0.248; 0.790173; 0.800257; 0.13202;0.395621
3; 0.590454; 0.543772; 0.492; 0.575026; 0.691003; 0.182878;0.442013
4; 0.588731; 0.558342; 0.492; 0.575026; 0.691003; 0.182878;0.442013
5; 0.586279; 0.54371; 0.300247; 0.73427; 0.749357; 0.188592;0.360538
6; 0.587022; 0.540198; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
7; 0.58797; 0.551673; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
8; 0.589879; 0.550513; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
9; 0.585097; 0.556992; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
10; 0.585512; 0.545534; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
11; 0.590379; 0.550494; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
12; 0.58648; 0.55299; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
13; 0.594645; 0.55167; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
14; 0.594711; 0.546507; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
15; 0.591846; 0.556839; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
16; 0.584176; 0.553476; 0.347667; 0.739507; 0.754242; 0.143338;0.456598
17; 0.593051; 0.550048; 0.240354; 0.819169; 0.783805; 0.142978;0.378499
18; 0.593532; 0.550869; 0.240354; 0.819169; 0.783805; 0.142978;0.378499
19; 0.593532; 0.554626; 0.240354; 0.819169; 0.783805; 0.142978;0.378499
20; 0.593937; 0.555536; 0.240354; 0.819169; 0.783805; 0.142978;0.378499
21; 0.596804; 0.567061; 0.240354; 0.819169; 0.783805; 0.142978;0.378499
22; 0.598704; 0.56719; 0.247628; 0.818205; 0.766324; 0.143548;0.386194
23; 0.598704; 0.566597; 0.247628; 0.818205; 0.766324; 0.143548;0.386194
24; 0.599268; 0.568171; 0.25484; 0.820111; 0.742417; 0.17225;0.400413
25; 0.599268; 0.567692; 0.25484; 0.820111; 0.742417; 0.17225;0.400413
26; 0.599981; 0.569179; 0.204718; 0.862533; 0.776607; 0.149106;0.380549
27; 0.600543; 0.568983; 0.257336; 0.821915; 0.750386; 0.172614;0.397276
28; 0.602387; 0.56598; 0.258584; 0.82092; 0.752442; 0.176079;0.397052
29; 0.602387; 0.567139; 0.249201; 0.832716; 0.753213; 0.179309;0.397346
30; 0.602387; 0.569838; 0.252397; 0.829926; 0.751414; 0.175598;0.398149
31; 0.602511; 0.571439; 0.252397; 0.829926; 0.751414; 0.175598;0.398149
