#Summary : 
#Best fitness Pop 1;0.644937
#Best fitness Pop 2;0.645152
#Std deviation Pop 1;0.0267727
#Std deviation Pop 2;0.0237031
#Sensitivity;0.48389
#Specificity;0.739695
#Accuracy;0.751157
#PPV;0.268406
#RMSE;0.40287
#RRSE;1.33607
#RAE;1.09573
#MSE;0.178437
#ADM;0.4946
#MDM;0.110284
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.6
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_a_cortolone_d is MF 1 AND ccr_etio_d is MF 0 THEN 4_Obese is MF 1 AND 5_ExtremeObese is MF 0 AND 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_b_cortolone_d is MF 1 THEN 2_Normal is MF 0 AND 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 1
 IF ccr_etio_d is MF 1 AND ccr_a_cortolone_d is MF 0 AND ccr_pt_d is MF 1 AND ccr_tha_d is MF 1 THEN 4_Obese is MF 1 AND 3_Surpoid is MF 0 AND 1_SousPoid is MF 1
 IF ccr_thdoc_d is MF 0 THEN 3_Surpoid is MF 0 AND 1_SousPoid is MF 0
 IF ccr_l6a_oh_dha_d is MF 0 AND ccr_thaldo_d is MF 1 THEN 5_ExtremeObese is MF 0 AND 1_SousPoid is MF 1 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (96.4546 , 216.5 , 490.889) ; ccr_l6a_oh_dha_d (26.8922 , 50.7066 , 98.3353) ; ccr_tha_d (21.4766 , 26.0601 , 38.4357) ; ccr_thaldo_d (0.0220127 , 29.7132 , 32.6823) ; ccr_thdoc_d (0.632513 , 2.26455 , 6.61664) ; ccr_pt_d (0.25752 , 346.189 , 505.499) ; ccr_a_cortolone_d (102.701 , 114.667 , 659.142) ; ccr_b_cortolone_d (7.3599 , 287.251 , 363.271) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.561393; 0.530438; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.560698; 0.534687; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
3; 0.563484; 0.53252; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
4; 0.575549; 0.537181; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
5; 0.574402; 0.542352; 0.341667; 0.73183; 0.74653; 0.116522;0.44698
6; 0.578161; 0.542339; 0.341667; 0.73183; 0.74653; 0.116522;0.44698
7; 0.579891; 0.538373; 0.341667; 0.73183; 0.74653; 0.116522;0.44698
8; 0.579886; 0.536822; 0.341667; 0.73183; 0.74653; 0.116522;0.44698
9; 0.568054; 0.538937; 0.341667; 0.73183; 0.74653; 0.116522;0.44698
10; 0.574912; 0.537022; 0.341667; 0.73183; 0.74653; 0.116522;0.44698
11; 0.574912; 0.538584; 0.341667; 0.73183; 0.74653; 0.116522;0.44698
12; 0.579995; 0.545634; 0.341667; 0.73183; 0.74653; 0.116522;0.44698
13; 0.579625; 0.546222; 0.341667; 0.73183; 0.74653; 0.116522;0.44698
14; 0.579981; 0.546731; 0.341667; 0.73183; 0.74653; 0.116522;0.44698
15; 0.574656; 0.542261; 0.279853; 0.819534; 0.775321; 0.151742;0.407279
16; 0.582146; 0.545232; 0.279853; 0.819534; 0.775321; 0.151742;0.407279
17; 0.589941; 0.535112; 0.279853; 0.819534; 0.775321; 0.151742;0.407279
18; 0.587707; 0.546182; 0.279853; 0.819534; 0.775321; 0.151742;0.407279
19; 0.587871; 0.549312; 0.279853; 0.819534; 0.775321; 0.151742;0.407279
20; 0.588501; 0.540367; 0.279853; 0.819534; 0.775321; 0.151742;0.407279
21; 0.584762; 0.551001; 0.279853; 0.819534; 0.775321; 0.151742;0.407279
22; 0.584762; 0.553131; 0.279853; 0.819534; 0.775321; 0.151742;0.407279
23; 0.59199; 0.559342; 0.279853; 0.819534; 0.775321; 0.151742;0.407279
24; 0.592475; 0.560981; 0.279853; 0.819534; 0.775321; 0.151742;0.407279
25; 0.592484; 0.547752; 0.279853; 0.819534; 0.775321; 0.151742;0.407279
26; 0.592484; 0.549166; 0.269643; 0.818477; 0.791517; 0.151844;0.370085
27; 0.593045; 0.560359; 0.307545; 0.802444; 0.756041; 0.252533;0.381113
28; 0.595339; 0.5514; 0.296096; 0.819082; 0.773522; 0.156386;0.369545
29; 0.595339; 0.552665; 0.296096; 0.819082; 0.773522; 0.156386;0.369545
30; 0.602177; 0.556052; 0.293807; 0.824944; 0.767095; 0.157621;0.371714
31; 0.610753; 0.556763; 0.350648; 0.77566; 0.771465; 0.233897;0.378163
32; 0.610753; 0.557147; 0.350648; 0.77566; 0.771465; 0.233897;0.378163
33; 0.610753; 0.557246; 0.350648; 0.77566; 0.771465; 0.233897;0.378163
