#Summary : 
#Best fitness Pop 1;0.632425
#Best fitness Pop 2;0.631128
#Std deviation Pop 1;0.0249891
#Std deviation Pop 2;0.0298828
#Sensitivity;0.44965
#Specificity;0.763674
#Accuracy;0.689203
#PPV;0.186518
#RMSE;0.477337
#RRSE;1.66007
#RAE;1.47424
#MSE;0.230784
#ADM;0.456221
#MDM;0.114215
#Size;0.0909091
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.6
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_s_pt_d is MF 2 THEN 4_Obese is MF 0 AND 3_Surpoid is MF 1 AND 2_Normal is MF 1
 IF ccr_zob_dhf_d is MF 2 AND ccr_pt_d is MF 1 THEN 2_Normal is MF 1 AND 3_Surpoid is MF 1 AND 4_Obese is MF 0 AND 1_SousPoid is MF 1
 IF ccr_the_d is MF 1 AND ccr_thf_d is MF 1 THEN 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1 AND 2_Normal is MF 0
 IF ccr_sa_thf_d is MF 1 AND ccr_l7b_estradiol_d is MF 0 THEN 1_SousPoid is MF 0 AND 4_Obese is MF 1 AND 2_Normal is MF 0
 IF ccr_zob_dhf_d is MF 2 AND ccr_dha_d is MF 0 AND ccr_zoa_dhf_d is MF 0 AND ccr_l6a_oh_dha_d is MF 1 THEN 3_Surpoid is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_l7b_estradiol_d (0.501713 , 1.12459 , 9.59575) ; ccr_dha_d (221.343 , 377.868 , 1068.42) ; ccr_l6a_oh_dha_d (93.0432 , 148.61 , 152.579) ; ccr_s_pt_d (3.02006 , 4.50734 , 50.6129) ; ccr_pt_d (23.0161 , 300.671 , 423.568) ; ccr_thf_d (69.2559 , 169.883 , 284.886) ; ccr_sa_thf_d (6.01716 , 163.172 , 587.014) ; ccr_the_d (121.537 , 423.969 , 1581.1) ; ccr_zoa_dhf_d (2.42888 , 22.65 , 28.3534) ; ccr_zob_dhf_d (6.78423 , 92.8897 , 186.823) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 0) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.561393; 0.530438; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.563719; 0.532508; 0.248; 0.791235; 0.801285; 0.134882;0.393611
3; 0.574911; 0.531377; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
4; 0.591963; 0.545439; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
5; 0.576244; 0.532652; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
6; 0.576244; 0.53456; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
7; 0.58008; 0.552927; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
8; 0.5687; 0.54315; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
9; 0.568511; 0.543321; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
10; 0.574593; 0.54522; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
11; 0.569586; 0.536661; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
12; 0.570153; 0.537758; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
13; 0.57972; 0.543748; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
14; 0.57972; 0.543881; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
15; 0.578002; 0.534502; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
16; 0.578002; 0.532233; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
17; 0.580214; 0.537929; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
18; 0.580214; 0.54154; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
19; 0.587346; 0.545488; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
20; 0.591836; 0.54575; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
21; 0.58646; 0.547444; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
22; 0.59206; 0.555461; 0.252948; 0.837569; 0.739589; 0.333521;0.418769
23; 0.59206; 0.555151; 0.252948; 0.837569; 0.739589; 0.333521;0.418769
24; 0.592372; 0.555706; 0.252948; 0.838366; 0.74036; 0.333608;0.418716
25; 0.593105; 0.555533; 0.255417; 0.837283; 0.741645; 0.333422;0.417048
26; 0.594351; 0.558093; 0.270914; 0.827041; 0.747815; 0.131418;0.413976
27; 0.594351; 0.559084; 0.270914; 0.827041; 0.747815; 0.131418;0.413976
28; 0.595051; 0.553928; 0.270914; 0.827041; 0.747815; 0.131418;0.413894
29; 0.595512; 0.558249; 0.270914; 0.827041; 0.747815; 0.131418;0.413829
30; 0.595512; 0.561339; 0.270914; 0.827041; 0.747815; 0.131418;0.413829
31; 0.595512; 0.564; 0.270914; 0.827041; 0.747815; 0.131418;0.413827
32; 0.596178; 0.564031; 0.270914; 0.828645; 0.748843; 0.132052;0.41342
33; 0.596178; 0.557597; 0.270914; 0.829446; 0.749357; 0.132372;0.412973
34; 0.596178; 0.555699; 0.270914; 0.829446; 0.749357; 0.132372;0.412973
