#Summary : 
#Best fitness Pop 1;0.619094
#Best fitness Pop 2;0.62615
#Std deviation Pop 1;0.0201619
#Std deviation Pop 2;0.0240478
#Sensitivity;0.623583
#Specificity;0.582483
#Accuracy;0.643702
#PPV;0.212396
#RMSE;0.507976
#RRSE;1.32905
#RAE;0.989746
#MSE;0.27085
#ADM;0.500177
#MDM;0.126049
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.6
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 2 AND ccr_cortisol_d is MF 0 THEN 4_Obese is MF 1 AND 2_Normal is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_zoa_dhf_d is MF 2 AND ccr_b_cortolone_d is MF 1 THEN 5_ExtremeObese is MF 0 AND 1_SousPoid is MF 1
 IF ccr_zob_dhe_d is MF 2 THEN 4_Obese is MF 1 AND 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 0
 IF ccr_llb_oh_etio_d is MF 0 AND ccr_pt_one_d is MF 0 AND ccr_sa_thf_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 1_SousPoid is MF 1 AND 3_Surpoid is MF 0
 IF ccr_saad3a17b_d is MF 2 AND ccr_pt_d is MF 2 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 1  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_saad3a17b_d (9.87123 , 37.2999 , 80.5001) ; ccr_pt_d (300.671 , 514.602 , 519.154) ; ccr_pt_one_d (51.1166 , 70.7968 , 90.4771) ; ccr_cortisol_d (19.7419 , 43.0732 , 50.6215) ; ccr_thf_d (29.7237 , 40.5052 , 313.637) ; ccr_sa_thf_d (58.4021 , 91.738 , 334.614) ; ccr_llb_oh_etio_d (104.582 , 129.692 , 136.54) ; ccr_b_cortolone_d (17.7262 , 93.746 , 307.984) ; ccr_zoa_dhf_d (1.91039 , 10.7247 , 38.7232) ; ccr_zob_dhe_d (0.695595 , 9.10324 , 13.1454) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.561393; 0.530438; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.560698; 0.534687; 0.248; 0.790173; 0.800257; 0.13202;0.395621
3; 0.563484; 0.53252; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
4; 0.569988; 0.534655; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
5; 0.57146; 0.536496; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
6; 0.5781; 0.540994; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
7; 0.576293; 0.541785; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
8; 0.572027; 0.541961; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
9; 0.575785; 0.536533; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
10; 0.57629; 0.541969; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
11; 0.574765; 0.536339; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
12; 0.581193; 0.544174; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
13; 0.576296; 0.542613; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
14; 0.58443; 0.538198; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
15; 0.574743; 0.542615; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
16; 0.572712; 0.538636; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
17; 0.568406; 0.526225; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
18; 0.568406; 0.527862; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
19; 0.573527; 0.540966; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
20; 0.574543; 0.540293; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
21; 0.592236; 0.546213; 0.249753; 0.833032; 0.794344; 0.12998;0.39268
22; 0.588958; 0.550295; 0.249753; 0.833032; 0.794344; 0.12998;0.39268
23; 0.576261; 0.546498; 0.249753; 0.833032; 0.794344; 0.12998;0.39268
24; 0.57769; 0.54688; 0.288173; 0.80049; 0.784576; 0.222233;0.407182
25; 0.576094; 0.546047; 0.288173; 0.80049; 0.784576; 0.222233;0.407182
26; 0.5788; 0.548246; 0.288173; 0.80049; 0.784576; 0.222233;0.407182
27; 0.577771; 0.546012; 0.288173; 0.80049; 0.784576; 0.222233;0.407182
28; 0.577771; 0.546666; 0.288173; 0.80049; 0.784576; 0.222233;0.407182
29; 0.581192; 0.547537; 0.288173; 0.80049; 0.784576; 0.222233;0.407182
30; 0.574993; 0.541276; 0.288173; 0.80049; 0.784576; 0.222233;0.407182
31; 0.574993; 0.542751; 0.288173; 0.80049; 0.784576; 0.222233;0.407182
32; 0.591887; 0.551167; 0.288173; 0.80049; 0.784576; 0.222233;0.407182
33; 0.573175; 0.544689; 0.288173; 0.80049; 0.784576; 0.222233;0.407182
34; 0.576897; 0.550604; 0.288173; 0.80049; 0.784576; 0.222233;0.407182
