#Summary : 
#Best fitness Pop 1;0.651301
#Best fitness Pop 2;0.651301
#Std deviation Pop 1;0.027432
#Std deviation Pop 2;0.0313759
#Sensitivity;0.571152
#Specificity;0.689263
#Accuracy;0.695887
#PPV;0.280831
#RMSE;0.470701
#RRSE;1.70561
#RAE;1.53641
#MSE;0.225557
#ADM;0.410182
#MDM;0.00926522
#Size;0.0909091
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.6
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_zob_dhe_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 1_SousPoid is MF 0 AND 4_Obese is MF 0
 IF ccr_thb_d is MF 0 AND ccr_pd_d is MF 1 AND ccr_zoa_dhf_d is MF 0 THEN 4_Obese is MF 0 AND 3_Surpoid is MF 0
 IF ccr_a_cortolone_d is MF 0 AND ccr_llb_oh_andro_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 2_Normal is MF 1 AND 1_SousPoid is MF 1
 IF ccr_etio_d is MF 0 AND ccr_thb_d is MF 0 AND ccr_l6a_oh_dha_d is MF 0 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0 AND 1_SousPoid is MF 0
 IF ccr_testosterone_d is MF 2 AND ccr_cortisone_d is MF 2 THEN 4_Obese is MF 1 AND 5_ExtremeObese is MF 0 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 1  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (10.708 , 619.509 , 765.278) ; ccr_testosterone_d (3.04175 , 3.77791 , 6.96795) ; ccr_l6a_oh_dha_d (24.2462 , 106.273 , 151.256) ; ccr_thb_d (25.1352 , 41.8932 , 58.6513) ; ccr_pd_d (5.99925 , 34.8789 , 492.828) ; ccr_llb_oh_andro_d (47.419 , 136.53 , 225.641) ; ccr_cortisone_d (3.89182 , 19.9374 , 29.2542) ; ccr_a_cortolone_d (96.7176 , 138.6 , 527.511) ; ccr_zoa_dhf_d (42.8711 , 50.1299 , 54.7963) ; ccr_zob_dhe_d (1.66571 , 5.70785 , 10.235) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.561535; 0.535947; 0.235508; 0.793742; 0.805141; 0.280081;0.386671
2; 0.564388; 0.539021; 0.248; 0.791235; 0.801285; 0.134882;0.393611
3; 0.574498; 0.530554; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
4; 0.565843; 0.547661; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
5; 0.56687; 0.538839; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
6; 0.564056; 0.539487; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
7; 0.579305; 0.540524; 0.424198; 0.645582; 0.670437; 0.197943;0.459271
8; 0.573168; 0.540021; 0.173531; 0.889326; 0.759897; 0.136921;0.411237
9; 0.564823; 0.541657; 0.173531; 0.889326; 0.759897; 0.136921;0.411237
10; 0.573328; 0.548173; 0.173531; 0.889326; 0.759897; 0.136921;0.411237
11; 0.574338; 0.542999; 0.457658; 0.631802; 0.7; 0.214744;0.419716
12; 0.572466; 0.539091; 0.457658; 0.631802; 0.7; 0.214744;0.419716
13; 0.58448; 0.551362; 0.457658; 0.631802; 0.7; 0.214744;0.419716
14; 0.57335; 0.535344; 0.283148; 0.818624; 0.720051; 0.135004;0.427244
15; 0.576051; 0.53272; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
16; 0.576805; 0.536116; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
17; 0.581237; 0.542525; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
18; 0.586391; 0.545717; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
19; 0.593412; 0.546097; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
20; 0.591308; 0.549269; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
21; 0.570596; 0.545285; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
22; 0.591467; 0.55182; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
23; 0.593433; 0.553561; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
24; 0.594003; 0.556072; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
25; 0.596346; 0.549821; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
26; 0.596346; 0.551282; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
27; 0.593233; 0.553102; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
28; 0.605966; 0.562616; 0.396474; 0.735516; 0.732905; 0.211099;0.43596
29; 0.605966; 0.563835; 0.396474; 0.735516; 0.732905; 0.211099;0.43596
30; 0.598905; 0.559531; 0.396474; 0.735516; 0.732905; 0.211099;0.43596
31; 0.606204; 0.567372; 0.394449; 0.737445; 0.734704; 0.211208;0.433637
32; 0.606204; 0.566804; 0.394449; 0.737445; 0.734704; 0.211208;0.433637
33; 0.606204; 0.567474; 0.394449; 0.737445; 0.734704; 0.211208;0.433637
34; 0.606204; 0.568705; 0.394449; 0.737445; 0.734704; 0.211208;0.433637
35; 0.606204; 0.569449; 0.394449; 0.737445; 0.734704; 0.211208;0.433637
36; 0.606204; 0.570258; 0.394449; 0.737445; 0.734704; 0.211208;0.433637
37; 0.606204; 0.569713; 0.394449; 0.737445; 0.734704; 0.211208;0.433637
38; 0.606204; 0.570483; 0.394449; 0.737445; 0.734704; 0.211208;0.433637
39; 0.606645; 0.569473; 0.547042; 0.620992; 0.62108; 0.218651;0.552008
40; 0.606645; 0.568628; 0.547042; 0.620992; 0.62108; 0.218651;0.552008
41; 0.607914; 0.56854; 0.552899; 0.617775; 0.622108; 0.2191;0.549687
42; 0.607914; 0.567217; 0.552849; 0.616924; 0.622622; 0.218403;0.543191
43; 0.607839; 0.568216; 0.52239; 0.647621; 0.643702; 0.227094;0.526017
44; 0.607839; 0.567586; 0.514491; 0.66826; 0.630591; 0.234234;0.514381
45; 0.609027; 0.567534; 0.514491; 0.66826; 0.630591; 0.234234;0.514381
46; 0.61159; 0.572218; 0.514491; 0.66826; 0.630591; 0.234234;0.514381
47; 0.612258; 0.570754; 0.530235; 0.656843; 0.626478; 0.234174;0.521473
48; 0.612258; 0.5708; 0.530235; 0.656843; 0.626478; 0.234174;0.521473
49; 0.6123; 0.571636; 0.530728; 0.657221; 0.626992; 0.23466;0.521274
50; 0.6123; 0.572139; 0.530728; 0.657221; 0.626992; 0.23466;0.521274
51; 0.61349; 0.57041; 0.530728; 0.657221; 0.626992; 0.23466;0.521274
52; 0.614205; 0.573048; 0.442558; 0.740188; 0.636247; 0.247253;0.491917
53; 0.614205; 0.572305; 0.535528; 0.656484; 0.625964; 0.23329;0.520466
54; 0.614205; 0.572685; 0.535528; 0.656484; 0.625964; 0.23329;0.520466
55; 0.614205; 0.570367; 0.549435; 0.64694; 0.623907; 0.231312;0.52127
56; 0.613943; 0.571343; 0.549435; 0.64694; 0.623907; 0.231312;0.52127
57; 0.620104; 0.567479; 0.549435; 0.64694; 0.623907; 0.231312;0.52127
58; 0.620104; 0.56708; 0.549435; 0.64694; 0.623907; 0.231312;0.52127
59; 0.620104; 0.56765; 0.549435; 0.64694; 0.623907; 0.231312;0.52127
60; 0.620104; 0.569109; 0.549435; 0.64694; 0.623907; 0.231312;0.52127
61; 0.620104; 0.568331; 0.549435; 0.64694; 0.623907; 0.231312;0.52127
62; 0.620934; 0.569433; 0.549435; 0.64694; 0.623907; 0.231312;0.52127
63; 0.622023; 0.569638; 0.528585; 0.66829; 0.633676; 0.237166;0.513247
64; 0.622023; 0.56981; 0.528585; 0.66829; 0.633676; 0.237166;0.513247
65; 0.622023; 0.570163; 0.528585; 0.66829; 0.633676; 0.237166;0.513247
66; 0.622023; 0.569139; 0.528585; 0.66829; 0.633676; 0.237166;0.513247
67; 0.622023; 0.567125; 0.528585; 0.66829; 0.633676; 0.237166;0.513247
68; 0.622023; 0.568288; 0.528585; 0.66829; 0.633676; 0.237166;0.513247
69; 0.622306; 0.566654; 0.481909; 0.708573; 0.632134; 0.241444;0.488993
70; 0.622306; 0.568031; 0.481909; 0.708573; 0.632134; 0.241444;0.488993
71; 0.622306; 0.568174; 0.482709; 0.708194; 0.632134; 0.241586;0.489007
72; 0.622381; 0.567926; 0.482709; 0.708194; 0.632134; 0.241586;0.489007
73; 0.622381; 0.569132; 0.482709; 0.708194; 0.632134; 0.241586;0.489007
74; 0.622381; 0.565129; 0.482709; 0.708194; 0.632134; 0.241586;0.489007
75; 0.622381; 0.565484; 0.482709; 0.708194; 0.632134; 0.241586;0.489007
76; 0.622466; 0.568423; 0.482709; 0.708194; 0.632134; 0.241586;0.489007
77; 0.622597; 0.567617; 0.482215; 0.708996; 0.632391; 0.241926;0.488896
78; 0.623656; 0.567697; 0.478331; 0.709272; 0.718509; 0.231545;0.445287
79; 0.623656; 0.566789; 0.510585; 0.687643; 0.7018; 0.233022;0.444239
80; 0.630466; 0.57489; 0.510585; 0.687643; 0.7018; 0.233022;0.444239
81; 0.630466; 0.572952; 0.510585; 0.687643; 0.7018; 0.233022;0.444239
82; 0.630466; 0.573715; 0.510585; 0.687643; 0.7018; 0.233022;0.444239
83; 0.630466; 0.573072; 0.510585; 0.687643; 0.7018; 0.233022;0.444239
84; 0.630547; 0.573791; 0.460785; 0.731782; 0.73856; 0.23747;0.425151
85; 0.630547; 0.572994; 0.460785; 0.731782; 0.73856; 0.23747;0.425151
86; 0.630547; 0.575168; 0.460785; 0.731782; 0.73856; 0.23747;0.425151
87; 0.630547; 0.573748; 0.460785; 0.731782; 0.73856; 0.23747;0.425151
88; 0.630547; 0.571734; 0.460785; 0.731782; 0.73856; 0.23747;0.425151
89; 0.630547; 0.571193; 0.460785; 0.731782; 0.73856; 0.23747;0.425151
90; 0.630547; 0.571402; 0.460785; 0.731782; 0.73856; 0.23747;0.425151
91; 0.630547; 0.572064; 0.460785; 0.731782; 0.73856; 0.23747;0.425151
92; 0.630547; 0.571727; 0.460785; 0.731782; 0.73856; 0.23747;0.425151
93; 0.630547; 0.573512; 0.460785; 0.731782; 0.73856; 0.23747;0.425151
94; 0.632025; 0.574128; 0.519346; 0.685232; 0.695887; 0.231526;0.45177
95; 0.632025; 0.572452; 0.519346; 0.685232; 0.695887; 0.231526;0.45177
96; 0.632025; 0.571154; 0.519346; 0.685232; 0.695887; 0.231526;0.45177
97; 0.632025; 0.571522; 0.519346; 0.685232; 0.695887; 0.231526;0.45177
98; 0.632025; 0.57488; 0.519346; 0.685232; 0.695887; 0.231526;0.45177
99; 0.632025; 0.576413; 0.519346; 0.685232; 0.695887; 0.231526;0.45177
100; 0.632025; 0.575042; 0.519346; 0.685232; 0.695887; 0.231526;0.45177
101; 0.632025; 0.574254; 0.519346; 0.685232; 0.695887; 0.231526;0.45177
102; 0.632025; 0.578087; 0.519346; 0.685232; 0.695887; 0.231526;0.45177
103; 0.632025; 0.578917; 0.519346; 0.685232; 0.695887; 0.231526;0.45177
104; 0.632025; 0.578321; 0.519346; 0.685232; 0.695887; 0.231526;0.45177
105; 0.632025; 0.57926; 0.519346; 0.685232; 0.695887; 0.231526;0.45177
106; 0.632025; 0.575615; 0.519346; 0.685232; 0.695887; 0.231526;0.45177
107; 0.632174; 0.575546; 0.519346; 0.685768; 0.696144; 0.231773;0.451502
108; 0.632174; 0.574149; 0.52057; 0.685168; 0.69563; 0.232078;0.452285
109; 0.632174; 0.575439; 0.52057; 0.685168; 0.69563; 0.232078;0.452285
110; 0.633259; 0.577551; 0.520689; 0.687544; 0.695887; 0.232936;0.453238
111; 0.633259; 0.578904; 0.520689; 0.687544; 0.695887; 0.232936;0.453238
112; 0.633259; 0.577226; 0.520689; 0.687544; 0.695887; 0.232936;0.453238
113; 0.633259; 0.575632; 0.520689; 0.687544; 0.695887; 0.232936;0.453238
114; 0.633259; 0.573344; 0.520689; 0.687544; 0.695887; 0.232936;0.453238
115; 0.633259; 0.574647; 0.520689; 0.687544; 0.695887; 0.232936;0.453238
116; 0.633259; 0.576263; 0.520689; 0.687544; 0.695887; 0.232936;0.453238
117; 0.633431; 0.576932; 0.52217; 0.686064; 0.696401; 0.232868;0.451773
118; 0.633431; 0.576412; 0.52217; 0.686064; 0.696401; 0.232868;0.451773
119; 0.633431; 0.581556; 0.52217; 0.686064; 0.696401; 0.232868;0.451773
120; 0.633431; 0.582315; 0.52217; 0.686064; 0.696401; 0.232868;0.451773
121; 0.633431; 0.582242; 0.65216; 0.578138; 0.613111; 0.255396;0.511787
122; 0.633431; 0.579793; 0.65216; 0.578138; 0.613111; 0.255396;0.511787
123; 0.633431; 0.582247; 0.65216; 0.578138; 0.613111; 0.255396;0.511787
124; 0.633431; 0.582812; 0.65216; 0.578138; 0.613111; 0.255396;0.511787
125; 0.633431; 0.581378; 0.65216; 0.578138; 0.613111; 0.255396;0.511787
126; 0.633431; 0.581318; 0.649504; 0.581424; 0.612853; 0.255593;0.51356
127; 0.633784; 0.581657; 0.649504; 0.581424; 0.612853; 0.255593;0.51356
