#Summary : 
#Best fitness Pop 1;0.62761
#Best fitness Pop 2;0.62761
#Std deviation Pop 1;0.0238759
#Std deviation Pop 2;0.0178416
#Sensitivity;0.411699
#Specificity;0.759167
#Accuracy;0.759897
#PPV;0.218691
#RMSE;0.380445
#RRSE;1.07172
#RAE;0.734183
#MSE;0.165705
#ADM;0.461198
#MDM;0.201907
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.6
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_s_at_d is MF 0 AND ccr_a_cortolone_d is MF 1 THEN 2_Normal is MF 0 AND 4_Obese is MF 0 AND 3_Surpoid is MF 1
 IF cr_l8_oh_f_d is MF 0 AND ccr_saad3a17b_d is MF 0 THEN 5_ExtremeObese is MF 0
 IF ccr_a_cortolone_d is MF 0 AND ccr_llb_oh_etio_d is MF 2 AND ccr_the_d is MF 1 THEN 3_Surpoid is MF 0 AND 4_Obese is MF 1
 IF ccr_l8_oh_tha_d is MF 0 AND ccr_s_at_d is MF 2 THEN 5_ExtremeObese is MF 0 AND 2_Normal is MF 1
 IF ccr_sa_thf_d is MF 1 THEN 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 1 AND 1_SousPoid is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_s_at_d (33.8401 , 43.3683 , 60.0426) ; ccr_saad3a17b_d (27.0141 , 56.5 , 68.8429) ; ccr_l8_oh_tha_d (77.5789 , 149.083 , 162.49) ; cr_l8_oh_f_d (1909.01 , 2277.77 , 3445.54) ; ccr_sa_thf_d (101.263 , 134.598 , 344.138) ; ccr_llb_oh_etio_d (13.2718 , 28.1096 , 76.0474) ; ccr_the_d (266.178 , 1107.73 , 1607.4) ; ccr_a_cortolone_d (54.8349 , 144.583 , 742.908) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.561393; 0.530438; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.560698; 0.534687; 0.248; 0.790173; 0.800257; 0.13202;0.395621
3; 0.563484; 0.53252; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
4; 0.569988; 0.534655; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
5; 0.57146; 0.536496; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
6; 0.5781; 0.540994; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
7; 0.576293; 0.541785; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
8; 0.572027; 0.541961; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
9; 0.575785; 0.536533; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
10; 0.57629; 0.541969; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
11; 0.574765; 0.536339; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
12; 0.581193; 0.544174; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
13; 0.576296; 0.542613; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
14; 0.58443; 0.538198; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
15; 0.574743; 0.542615; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
16; 0.572712; 0.538636; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
17; 0.568406; 0.526225; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
18; 0.57355; 0.539316; 0.495; 0.629093; 0.651928; 0.125738;0.523435
19; 0.578865; 0.540511; 0.495; 0.629093; 0.651928; 0.125738;0.523435
20; 0.578533; 0.546162; 0.495; 0.629093; 0.651928; 0.125738;0.523435
21; 0.585506; 0.548606; 0.597333; 0.535602; 0.625707; 0.19569;0.523193
22; 0.587322; 0.546668; 0.597333; 0.535602; 0.625707; 0.19569;0.523193
23; 0.575029; 0.542202; 0.597333; 0.535602; 0.625707; 0.19569;0.523193
24; 0.578512; 0.550896; 0.597333; 0.535602; 0.625707; 0.19569;0.523193
25; 0.586868; 0.546148; 0.597333; 0.535602; 0.625707; 0.19569;0.523193
26; 0.573798; 0.552808; 0.597333; 0.535602; 0.625707; 0.19569;0.523193
27; 0.586868; 0.549139; 0.597333; 0.535602; 0.625707; 0.19569;0.523193
28; 0.588574; 0.549671; 0.597333; 0.535602; 0.625707; 0.19569;0.523193
29; 0.572075; 0.547142; 0.597333; 0.535602; 0.625707; 0.19569;0.523193
30; 0.588518; 0.553562; 0.329244; 0.780454; 0.758098; 0.206929;0.380028
31; 0.604135; 0.556916; 0.329244; 0.780454; 0.758098; 0.206929;0.380027
32; 0.563864; 0.543195; 0.329244; 0.780454; 0.758098; 0.206929;0.380027
