#Summary : 
#Best fitness Pop 1;0.626886
#Best fitness Pop 2;0.626886
#Std deviation Pop 1;0.0221973
#Std deviation Pop 2;0.0225315
#Sensitivity;0.453195
#Specificity;0.749177
#Accuracy;0.654242
#PPV;0.244215
#RMSE;0.488934
#RRSE;1.43977
#RAE;1.18534
#MSE;0.252105
#ADM;0.495381
#MDM;0.124524
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.6
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_a_cortol_d is MF 2 AND ccr_l7b_estradiol_d is MF 2 THEN 4_Obese is MF 1 AND 2_Normal is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_s_pt_d is MF 1 THEN 3_Surpoid is MF 0 AND 5_ExtremeObese is MF 1 AND 2_Normal is MF 1 AND 4_Obese is MF 0
 IF ccr_sa_thf_d is MF 0 THEN 2_Normal is MF 1 AND 4_Obese is MF 1 AND 1_SousPoid is MF 1
 IF ccr_llb_oh_etio_d is MF 0 AND ccr_thaldo_d is MF 2 AND ccr_l8_oh_tha_d is MF 2 THEN 
 IF ccr_thf_d is MF 2 AND ccr_sa_thb_d is MF 0 AND ccr_estriol_d is MF 0 THEN 3_Surpoid is MF 1 AND 5_ExtremeObese is MF 1 AND 2_Normal is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 0  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_estriol_d (0.0337047 , 22.5297 , 26.4232) ; ccr_l7b_estradiol_d (0.750865 , 8.59914 , 11.3398) ; ccr_s_pt_d (52.1002 , 83.333 , 95.2312) ; ccr_sa_thb_d (10.0287 , 53.0659 , 344.395) ; ccr_thaldo_d (11.4743 , 19.5333 , 53.0419) ; ccr_l8_oh_tha_d (71.6202 , 163.98 , 183.345) ; ccr_thf_d (47.6929 , 98.0066 , 133.945) ; ccr_sa_thf_d (39.3531 , 167.934 , 167.934) ; ccr_a_cortol_d (111.373 , 326.149 , 345.424) ; ccr_llb_oh_etio_d (6.42353 , 49.7958 , 114.854) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.561393; 0.530438; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.560698; 0.534687; 0.248; 0.790173; 0.800257; 0.13202;0.395621
3; 0.563484; 0.53252; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
4; 0.569988; 0.534655; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
5; 0.57146; 0.536496; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
6; 0.5781; 0.540994; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
7; 0.576293; 0.541785; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
8; 0.572027; 0.541961; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
9; 0.575785; 0.536533; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
10; 0.57629; 0.541969; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
11; 0.574765; 0.536339; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
12; 0.581193; 0.544174; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
13; 0.576296; 0.542613; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
14; 0.58443; 0.538198; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
15; 0.574743; 0.542615; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
16; 0.572712; 0.538636; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
17; 0.568406; 0.526225; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
18; 0.57355; 0.539316; 0.495; 0.629093; 0.651928; 0.125738;0.523435
19; 0.578865; 0.540511; 0.495; 0.629093; 0.651928; 0.125738;0.523435
20; 0.578533; 0.546162; 0.495; 0.629093; 0.651928; 0.125738;0.523435
21; 0.581935; 0.548247; 0.495; 0.629093; 0.651928; 0.125738;0.523435
22; 0.582368; 0.548648; 0.495; 0.629093; 0.651928; 0.125738;0.523435
23; 0.579145; 0.54641; 0.495; 0.629093; 0.651928; 0.125738;0.523435
24; 0.585401; 0.544757; 0.495; 0.629093; 0.651928; 0.125738;0.523435
25; 0.590281; 0.543989; 0.495; 0.629093; 0.651928; 0.125738;0.523435
26; 0.579145; 0.548428; 0.495; 0.629093; 0.651928; 0.125738;0.523435
27; 0.58596; 0.548187; 0.495; 0.629093; 0.651928; 0.125738;0.523435
28; 0.576377; 0.544043; 0.493667; 0.634619; 0.657326; 0.126412;0.524403
29; 0.581386; 0.546451; 0.493667; 0.634619; 0.657326; 0.126412;0.524403
30; 0.577046; 0.552784; 0.493667; 0.634619; 0.657326; 0.126412;0.524403
31; 0.574118; 0.543753; 0.493667; 0.634619; 0.657326; 0.126412;0.524403
32; 0.573032; 0.555415; 0.493667; 0.634619; 0.657326; 0.126412;0.524403
33; 0.587858; 0.554085; 0.493667; 0.634619; 0.657326; 0.126412;0.524403
34; 0.59274; 0.556416; 0.493667; 0.634619; 0.657326; 0.126412;0.524403
