#Summary : 
#Best fitness Pop 1;0.608777
#Best fitness Pop 2;0.608599
#Std deviation Pop 1;0.0217475
#Std deviation Pop 2;0.0153341
#Sensitivity;0.260556
#Specificity;0.867334
#Accuracy;0.768123
#PPV;0.134066
#RMSE;0.399318
#RRSE;1.09647
#RAE;0.791312
#MSE;0.18062
#ADM;0.435643
#MDM;0.300764
#Size;0.125
#OverLearn;0.85

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.6
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_ll_oxo_etio_d is MF 1 THEN 2_Normal is MF 1 AND 1_SousPoid is MF 1 AND 3_Surpoid is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_zob_dhf_d is MF 2 THEN 5_ExtremeObese is MF 0
 IF ccr_l7b_estradiol_d is MF 0 AND ccr_sb_oh_f_d is MF 1 THEN 2_Normal is MF 1 AND 4_Obese is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_tha_d is MF 0 AND ccr_cortisone_d is MF 0 THEN 2_Normal is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_etio_d is MF 0 AND ccr_zob_dhe_d is MF 2 THEN 1_SousPoid is MF 0 AND 4_Obese is MF 1 AND 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 1  4_Obese is 1  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (2.13335 , 422.292 , 833.875) ; ccr_l7b_estradiol_d (7.60254 , 7.97626 , 9.59575) ; ccr_tha_d (11.3928 , 18.2681 , 22.8516) ; ccr_cortisone_d (13.7262 , 20.9726 , 33.9126) ; ccr_ll_oxo_etio_d (10.8572 , 21.4267 , 68.4022) ; ccr_sb_oh_f_d (11.74 , 24.2494 , 62.82) ; ccr_zob_dhe_d (4.73773 , 6.03122 , 12.822) ; ccr_zob_dhf_d (6.78423 , 14.612 , 65.4925) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 0) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.561393; 0.530438; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.560698; 0.534687; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
3; 0.563484; 0.53252; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
4; 0.569988; 0.534655; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
5; 0.57146; 0.536496; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
6; 0.5781; 0.540994; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
7; 0.576293; 0.541785; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
8; 0.576466; 0.537132; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
9; 0.576466; 0.536954; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
10; 0.577246; 0.54293; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
11; 0.577305; 0.539842; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
12; 0.581302; 0.544754; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
13; 0.581509; 0.547523; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
14; 0.581509; 0.547413; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
15; 0.581908; 0.546719; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
16; 0.588501; 0.542372; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
17; 0.588501; 0.542801; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
18; 0.588501; 0.545232; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
19; 0.588501; 0.54841; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
20; 0.588946; 0.549488; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
21; 0.588946; 0.551041; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
22; 0.588946; 0.553262; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
23; 0.589359; 0.553449; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
24; 0.589359; 0.554592; 0.320062; 0.770851; 0.779949; 0.125761;0.424325
25; 0.591774; 0.55358; 0.183704; 0.905004; 0.752185; 0.143598;0.415342
26; 0.591774; 0.55451; 0.183704; 0.905004; 0.752185; 0.143598;0.415342
27; 0.591774; 0.554712; 0.183704; 0.905004; 0.752185; 0.143598;0.415342
28; 0.593221; 0.554829; 0.182284; 0.909185; 0.762468; 0.142047;0.412135
29; 0.593221; 0.555916; 0.182284; 0.909185; 0.762468; 0.142047;0.412135
30; 0.593221; 0.558545; 0.182284; 0.909185; 0.762468; 0.142047;0.412135
31; 0.593221; 0.560372; 0.182284; 0.909185; 0.762468; 0.142047;0.412135
32; 0.593221; 0.5601; 0.182284; 0.909185; 0.762468; 0.142047;0.412135
