#Summary : 
#Best fitness Pop 1;0.640036
#Best fitness Pop 2;0.640036
#Std deviation Pop 1;0.0215861
#Std deviation Pop 2;0.0275434
#Sensitivity;0.531829
#Specificity;0.686079
#Accuracy;0.696915
#PPV;0.251835
#RMSE;0.427316
#RRSE;1.47781
#RAE;1.32979
#MSE;0.199998
#ADM;0.439536
#MDM;0.103433
#Size;0.125
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.6
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_sb_oh_f_d is MF 1 THEN 4_Obese is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_l6a_oh_dha_d is MF 1 AND ccr_zob_dhe_d is MF 0 THEN 4_Obese is MF 0 AND 1_SousPoid is MF 0
 IF ccr_a_cortolone_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 2_Normal is MF 1 AND 3_Surpoid is MF 0
 IF ccr_thb_d is MF 0 AND ccr_l8_oh_tha_d is MF 1 THEN 4_Obese is MF 1 AND 1_SousPoid is MF 0 AND 3_Surpoid is MF 1
 IF ccr_thf_d is MF 1 AND ccr_ll_oxo_etio_d is MF 2 THEN 5_ExtremeObese is MF 0 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 0  3_Surpoid is 1  4_Obese is 1  5_ExtremeObese is 1  

Membership functions : 
ccr_l6a_oh_dha_d (0.431783 , 8.36991 , 152.579) ; ccr_thb_d (24.018 , 122.332 , 134.621) ; ccr_l8_oh_tha_d (114.821 , 122.269 , 181.856) ; ccr_thf_d (18.9421 , 241.76 , 371.138) ; ccr_a_cortolone_d (30.9019 , 156.55 , 671.109) ; ccr_ll_oxo_etio_d (14.3804 , 29.6474 , 104.808) ; ccr_sb_oh_f_d (1.8367 , 34.6739 , 59.6927) ; ccr_zob_dhe_d (6.51627 , 9.74998 , 12.9837) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.561535; 0.535947; 0.235508; 0.793742; 0.805141; 0.280081;0.386671
2; 0.564388; 0.539021; 0.248; 0.791235; 0.801285; 0.134882;0.393611
3; 0.574498; 0.530554; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
4; 0.565843; 0.547661; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
5; 0.56687; 0.538839; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
6; 0.564056; 0.539487; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
7; 0.579305; 0.540524; 0.424198; 0.645582; 0.670437; 0.197943;0.459271
8; 0.573168; 0.540021; 0.173531; 0.889326; 0.759897; 0.136921;0.411237
9; 0.564823; 0.541657; 0.173531; 0.889326; 0.759897; 0.136921;0.411237
10; 0.573328; 0.548173; 0.173531; 0.889326; 0.759897; 0.136921;0.411237
11; 0.574338; 0.542999; 0.457658; 0.631802; 0.7; 0.214744;0.419716
12; 0.572466; 0.539091; 0.457658; 0.631802; 0.7; 0.214744;0.419716
13; 0.58448; 0.551362; 0.457658; 0.631802; 0.7; 0.214744;0.419716
14; 0.57335; 0.535344; 0.283148; 0.818624; 0.720051; 0.135004;0.427244
15; 0.576051; 0.53272; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
16; 0.576805; 0.536116; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
17; 0.581237; 0.542525; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
18; 0.580283; 0.542504; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
19; 0.583156; 0.550385; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
20; 0.591274; 0.55059; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
21; 0.596499; 0.551401; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
22; 0.596499; 0.553275; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
23; 0.58053; 0.540297; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
24; 0.596928; 0.556019; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
25; 0.596928; 0.555398; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
26; 0.591919; 0.55648; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
27; 0.597118; 0.557024; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
28; 0.598194; 0.556688; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
29; 0.598247; 0.558443; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
30; 0.600969; 0.559572; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
31; 0.600969; 0.562068; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
32; 0.600969; 0.560373; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
33; 0.600985; 0.560209; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
34; 0.600985; 0.560311; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
35; 0.602209; 0.559633; 0.278395; 0.837794; 0.757326; 0.134722;0.416466
36; 0.602209; 0.561989; 0.278395; 0.837794; 0.757326; 0.134722;0.416466
37; 0.602209; 0.560737; 0.277407; 0.838866; 0.757326; 0.134938;0.41623
38; 0.602209; 0.561782; 0.277407; 0.838866; 0.757326; 0.134938;0.41623
39; 0.605897; 0.562599; 0.251111; 0.873402; 0.754242; 0.1376;0.411941
40; 0.605897; 0.557958; 0.251111; 0.873402; 0.754242; 0.1376;0.411941
41; 0.60725; 0.561454; 0.250617; 0.881445; 0.757841; 0.144402;0.408117
42; 0.607604; 0.561164; 0.250617; 0.881445; 0.757841; 0.144402;0.408117
43; 0.607604; 0.560942; 0.250123; 0.882241; 0.758355; 0.144286;0.407666
44; 0.609488; 0.559884; 0.250123; 0.882241; 0.758355; 0.144286;0.407666
45; 0.609488; 0.558637; 0.250123; 0.882241; 0.758355; 0.144286;0.407666
46; 0.609488; 0.561791; 0.250123; 0.882241; 0.758355; 0.144286;0.407666
47; 0.609488; 0.561041; 0.250123; 0.882241; 0.758355; 0.144286;0.407666
48; 0.609491; 0.559687; 0.250123; 0.882241; 0.758355; 0.144286;0.407647
49; 0.609631; 0.559677; 0.250617; 0.882247; 0.758355; 0.144954;0.408072
50; 0.609631; 0.561511; 0.250617; 0.882247; 0.758355; 0.144954;0.408072
51; 0.609631; 0.563566; 0.569815; 0.599242; 0.593573; 0.235262;0.482613
52; 0.609318; 0.562975; 0.569815; 0.599242; 0.593573; 0.235262;0.482613
53; 0.610938; 0.563432; 0.569815; 0.599242; 0.593573; 0.235262;0.482613
54; 0.610938; 0.564112; 0.569815; 0.599242; 0.593573; 0.235262;0.482613
55; 0.610938; 0.563845; 0.569815; 0.599242; 0.593573; 0.235262;0.482613
56; 0.611182; 0.564897; 0.569815; 0.599242; 0.593573; 0.235262;0.482613
57; 0.613469; 0.564787; 0.569815; 0.599242; 0.593573; 0.235262;0.482613
58; 0.609104; 0.565326; 0.569815; 0.599242; 0.593573; 0.235262;0.482613
59; 0.609104; 0.566196; 0.530957; 0.634997; 0.634704; 0.239289;0.456227
60; 0.610885; 0.565295; 0.530957; 0.634997; 0.634704; 0.239289;0.456227
61; 0.610039; 0.562935; 0.505957; 0.675031; 0.672751; 0.242219;0.444229
62; 0.610393; 0.56396; 0.505957; 0.675031; 0.672751; 0.242219;0.444229
63; 0.618431; 0.569355; 0.510895; 0.674464; 0.675321; 0.243454;0.443445
64; 0.618422; 0.568266; 0.510895; 0.674464; 0.675321; 0.243454;0.443445
65; 0.618958; 0.569713; 0.510895; 0.674464; 0.675321; 0.243454;0.443445
66; 0.618422; 0.568767; 0.510895; 0.674464; 0.675321; 0.243454;0.443445
67; 0.618422; 0.56889; 0.510895; 0.674464; 0.675321; 0.243454;0.443445
68; 0.62561; 0.567855; 0.510895; 0.674464; 0.675321; 0.243454;0.443445
69; 0.62561; 0.567169; 0.510895; 0.674464; 0.675321; 0.243454;0.443445
70; 0.625876; 0.569074; 0.510895; 0.675032; 0.675835; 0.243604;0.443034
71; 0.627015; 0.569824; 0.519229; 0.670429; 0.671722; 0.243389;0.445548
72; 0.627015; 0.570169; 0.519229; 0.670429; 0.671722; 0.243389;0.445548
73; 0.627015; 0.570698; 0.519229; 0.670429; 0.671722; 0.243389;0.445548
74; 0.627015; 0.570611; 0.519229; 0.670429; 0.671722; 0.243389;0.445548
75; 0.627015; 0.569352; 0.519229; 0.670429; 0.671722; 0.243389;0.445548
76; 0.627015; 0.571481; 0.519229; 0.670429; 0.671722; 0.243389;0.445548
77; 0.628776; 0.570772; 0.519489; 0.672435; 0.677378; 0.242395;0.438
78; 0.628776; 0.571893; 0.519489; 0.672435; 0.677378; 0.242395;0.438
79; 0.628776; 0.573128; 0.519489; 0.672435; 0.677378; 0.242395;0.438
80; 0.629516; 0.573008; 0.520476; 0.673224; 0.678663; 0.242954;0.437523
81; 0.629516; 0.570935; 0.520476; 0.673224; 0.678663; 0.242954;0.437523
82; 0.629516; 0.572724; 0.520476; 0.673224; 0.678663; 0.242954;0.437523
83; 0.629516; 0.571052; 0.520476; 0.673224; 0.678663; 0.242954;0.437523
84; 0.629516; 0.569971; 0.520476; 0.673224; 0.678663; 0.242954;0.437523
85; 0.629516; 0.570268; 0.520476; 0.673224; 0.678663; 0.242954;0.437523
86; 0.629516; 0.569885; 0.520476; 0.673224; 0.678663; 0.242954;0.437523
87; 0.629516; 0.567025; 0.520476; 0.673224; 0.678663; 0.242954;0.437523
88; 0.629516; 0.566723; 0.520476; 0.673224; 0.678663; 0.242954;0.437523
89; 0.629516; 0.568426; 0.520476; 0.673224; 0.678663; 0.242954;0.437523
90; 0.629516; 0.568434; 0.520476; 0.673224; 0.678663; 0.242954;0.437523
91; 0.629535; 0.570394; 0.558523; 0.638569; 0.652699; 0.239202;0.448448
92; 0.629535; 0.567846; 0.558523; 0.638569; 0.652699; 0.239202;0.448448
93; 0.629535; 0.567183; 0.558523; 0.638569; 0.652699; 0.239202;0.448448
94; 0.629732; 0.570364; 0.557769; 0.642565; 0.651157; 0.242215;0.45743
95; 0.629732; 0.571125; 0.557769; 0.642565; 0.651157; 0.242215;0.45743
96; 0.629732; 0.566217; 0.557769; 0.642565; 0.651157; 0.242215;0.45743
97; 0.629732; 0.565356; 0.558263; 0.642565; 0.651414; 0.242386;0.457297
98; 0.629732; 0.568635; 0.558263; 0.642565; 0.651414; 0.242386;0.457297
99; 0.629937; 0.570408; 0.558263; 0.642565; 0.651414; 0.242386;0.457297
100; 0.629937; 0.571547; 0.558263; 0.642565; 0.651414; 0.242386;0.457297
101; 0.632597; 0.57228; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
102; 0.632597; 0.573194; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
103; 0.632597; 0.574233; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
104; 0.632597; 0.571776; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
105; 0.632597; 0.575029; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
106; 0.632597; 0.570722; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
107; 0.632597; 0.567983; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
108; 0.632597; 0.566809; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
109; 0.632597; 0.565737; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
110; 0.632597; 0.568961; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
111; 0.632597; 0.569079; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
112; 0.632597; 0.569232; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
113; 0.632597; 0.571708; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
114; 0.632597; 0.568319; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
115; 0.632597; 0.569621; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
116; 0.632597; 0.56954; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
117; 0.632597; 0.568796; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
118; 0.632597; 0.568289; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
119; 0.632597; 0.571495; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
120; 0.632597; 0.571638; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
121; 0.632597; 0.571015; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
122; 0.632597; 0.571648; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
123; 0.632597; 0.574028; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
124; 0.632597; 0.576444; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
125; 0.632597; 0.575488; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
126; 0.632597; 0.57594; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
127; 0.632597; 0.576883; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
128; 0.632597; 0.574302; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
129; 0.632597; 0.574301; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
130; 0.632597; 0.574398; 0.506894; 0.690905; 0.693573; 0.253789;0.424837
