#Summary : 
#Best fitness Pop 1;0.64595
#Best fitness Pop 2;0.64595
#Std deviation Pop 1;0.0261418
#Std deviation Pop 2;0.0278481
#Sensitivity;0.59546
#Specificity;0.647989
#Accuracy;0.704113
#PPV;0.256849
#RMSE;0.460563
#RRSE;1.46821
#RAE;1.3129
#MSE;0.234262
#ADM;0.440851
#MDM;0.103405
#Size;0.142857
#OverLearn;0.85

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.6
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thdoc_d is MF 1 THEN 3_Surpoid is MF 0 AND 2_Normal is MF 1 AND 5_ExtremeObese is MF 1
 IF ccr_l6a_oh_dha_d is MF 1 THEN 5_ExtremeObese is MF 1 AND 4_Obese is MF 0 AND 3_Surpoid is MF 0
 IF ccr_a_cortolone_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 2_Normal is MF 1 AND 3_Surpoid is MF 0 AND 1_SousPoid is MF 0
 IF ccr_b_cortolone_d is MF 0 AND ccr_thb_d is MF 0 AND ccr_etio_d is MF 0 THEN 4_Obese is MF 1 AND 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_testosterone_d is MF 1 THEN 3_Surpoid is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (45.0066 , 267.948 , 791.002) ; ccr_testosterone_d (1.07865 , 1.81481 , 23.8997) ; ccr_l6a_oh_dha_d (12.339 , 93.0432 , 112.889) ; ccr_thb_d (6.14278 , 96.6361 , 123.449) ; ccr_thdoc_d (0.0885016 , 3.48858 , 5.39262) ; ccr_a_cortolone_d (102.701 , 114.667 , 647.176) ; ccr_b_cortolone_d (59.1916 , 280.34 , 377.092) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.561535; 0.535947; 0.235508; 0.793742; 0.805141; 0.280081;0.386671
2; 0.564388; 0.539021; 0.248; 0.791235; 0.801285; 0.134882;0.393611
3; 0.574498; 0.530554; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
4; 0.565843; 0.547661; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
5; 0.56687; 0.538839; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
6; 0.564056; 0.539487; 0.320188; 0.724346; 0.724422; 0.190027;0.40282
7; 0.579305; 0.540524; 0.424198; 0.645582; 0.670437; 0.197943;0.459271
8; 0.573168; 0.540021; 0.173531; 0.889326; 0.759897; 0.136921;0.411237
9; 0.564823; 0.541657; 0.173531; 0.889326; 0.759897; 0.136921;0.411237
10; 0.573328; 0.548173; 0.173531; 0.889326; 0.759897; 0.136921;0.411237
11; 0.574338; 0.542999; 0.457658; 0.631802; 0.7; 0.214744;0.419716
12; 0.572466; 0.539091; 0.457658; 0.631802; 0.7; 0.214744;0.419716
13; 0.58448; 0.551362; 0.457658; 0.631802; 0.7; 0.214744;0.419716
14; 0.57335; 0.535344; 0.283148; 0.818624; 0.720051; 0.135004;0.427244
15; 0.576051; 0.53272; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
16; 0.576805; 0.536116; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
17; 0.581237; 0.542525; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
18; 0.586391; 0.545717; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
19; 0.593412; 0.546097; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
20; 0.591308; 0.549269; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
21; 0.570596; 0.545285; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
22; 0.591467; 0.55182; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
23; 0.59253; 0.553839; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
24; 0.594003; 0.556152; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
25; 0.594003; 0.556778; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
26; 0.595583; 0.551032; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
27; 0.595583; 0.559816; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
28; 0.600221; 0.562874; 0.326642; 0.803196; 0.701542; 0.152993;0.467786
29; 0.600221; 0.561012; 0.397081; 0.726227; 0.711825; 0.20775;0.427355
30; 0.613087; 0.563078; 0.425901; 0.722562; 0.719023; 0.216981;0.429333
31; 0.613087; 0.565267; 0.425901; 0.722562; 0.719023; 0.216981;0.429333
32; 0.613087; 0.563472; 0.425901; 0.722562; 0.719023; 0.216981;0.429333
33; 0.60447; 0.555299; 0.425901; 0.722562; 0.719023; 0.216981;0.429333
34; 0.605293; 0.567122; 0.425901; 0.722562; 0.719023; 0.216981;0.429333
35; 0.601131; 0.563428; 0.425901; 0.722562; 0.719023; 0.216981;0.429333
36; 0.600555; 0.563257; 0.425901; 0.722562; 0.719023; 0.216981;0.429333
37; 0.600555; 0.562739; 0.425901; 0.722562; 0.719023; 0.216981;0.429333
38; 0.613087; 0.563796; 0.425901; 0.722562; 0.719023; 0.216981;0.429333
39; 0.613087; 0.56259; 0.425901; 0.722562; 0.719023; 0.216981;0.429333
40; 0.613087; 0.5633; 0.425901; 0.722562; 0.719023; 0.216981;0.429333
41; 0.613087; 0.562548; 0.425901; 0.722562; 0.719023; 0.216981;0.429333
42; 0.613093; 0.561259; 0.425901; 0.722562; 0.719023; 0.216981;0.429286
43; 0.613093; 0.563686; 0.425901; 0.722562; 0.719023; 0.216981;0.429286
44; 0.613093; 0.561668; 0.423501; 0.726507; 0.720823; 0.217983;0.429273
45; 0.613093; 0.562386; 0.423501; 0.726507; 0.720823; 0.217983;0.429273
46; 0.613391; 0.563691; 0.625577; 0.562808; 0.608226; 0.236526;0.508129
47; 0.614844; 0.563974; 0.603244; 0.591715; 0.662725; 0.238079;0.492175
48; 0.613688; 0.565367; 0.603244; 0.591715; 0.662725; 0.238079;0.492175
49; 0.614844; 0.567702; 0.603244; 0.591715; 0.662725; 0.238079;0.492175
50; 0.613189; 0.566003; 0.603244; 0.591715; 0.662725; 0.238079;0.492175
51; 0.613011; 0.566046; 0.603244; 0.591715; 0.662725; 0.238079;0.492175
52; 0.615471; 0.564189; 0.598444; 0.598415; 0.666324; 0.238784;0.489715
53; 0.62419; 0.566605; 0.597818; 0.599215; 0.662982; 0.237314;0.486046
54; 0.62419; 0.568288; 0.598618; 0.600886; 0.663753; 0.238298;0.486325
55; 0.624007; 0.567239; 0.635072; 0.569034; 0.628278; 0.236262;0.491857
56; 0.62337; 0.565839; 0.635072; 0.569034; 0.628278; 0.236262;0.491857
57; 0.623373; 0.565043; 0.615284; 0.597722; 0.661183; 0.239142;0.489779
58; 0.62722; 0.566557; 0.615284; 0.597722; 0.661183; 0.239142;0.489779
59; 0.627348; 0.566502; 0.615284; 0.597722; 0.661183; 0.239142;0.489779
60; 0.62608; 0.568781; 0.615284; 0.597722; 0.661183; 0.239142;0.489779
61; 0.630879; 0.566069; 0.615284; 0.597722; 0.661183; 0.239142;0.489779
62; 0.626359; 0.565843; 0.615284; 0.597722; 0.661183; 0.239142;0.489779
63; 0.630879; 0.565649; 0.615284; 0.597722; 0.661183; 0.239142;0.489779
64; 0.630879; 0.566093; 0.615284; 0.597722; 0.661183; 0.239142;0.489779
65; 0.630879; 0.565591; 0.615284; 0.597722; 0.661183; 0.239142;0.489779
66; 0.630879; 0.566942; 0.615284; 0.597722; 0.661183; 0.239142;0.489779
67; 0.630879; 0.566384; 0.615284; 0.597722; 0.661183; 0.239142;0.489779
68; 0.630879; 0.565953; 0.615284; 0.597722; 0.661183; 0.239142;0.489779
69; 0.630879; 0.565975; 0.615284; 0.597722; 0.661183; 0.239142;0.489779
70; 0.630879; 0.569548; 0.615284; 0.597722; 0.661183; 0.239142;0.489779
71; 0.631766; 0.569349; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
72; 0.631766; 0.569191; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
73; 0.631766; 0.57335; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
74; 0.631766; 0.570049; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
75; 0.631766; 0.569108; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
76; 0.631766; 0.571191; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
77; 0.631766; 0.570834; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
78; 0.631766; 0.569469; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
79; 0.631766; 0.566843; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
80; 0.631766; 0.565403; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
81; 0.631766; 0.563347; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
82; 0.631766; 0.565767; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
83; 0.631766; 0.567131; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
84; 0.631766; 0.567351; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
85; 0.631766; 0.565448; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
86; 0.631766; 0.567832; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
87; 0.631766; 0.566443; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
88; 0.631766; 0.567987; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
89; 0.631766; 0.56834; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
90; 0.631766; 0.569101; 0.60104; 0.612496; 0.674036; 0.241884;0.483796
91; 0.631766; 0.570077; 0.52904; 0.686738; 0.701285; 0.25403;0.466158
92; 0.631766; 0.56821; 0.52904; 0.686738; 0.701285; 0.25403;0.466158
93; 0.631766; 0.567735; 0.599061; 0.621148; 0.677635; 0.244472;0.472711
94; 0.632138; 0.571125; 0.56104; 0.662274; 0.694859; 0.251279;0.467416
95; 0.637411; 0.573088; 0.56104; 0.662274; 0.694859; 0.251279;0.467416
96; 0.640795; 0.571679; 0.595321; 0.636864; 0.69126; 0.251165;0.467657
97; 0.640795; 0.573684; 0.595321; 0.636864; 0.69126; 0.251165;0.467657
98; 0.640795; 0.576188; 0.595321; 0.636864; 0.69126; 0.251165;0.467657
99; 0.640795; 0.575175; 0.595321; 0.636864; 0.69126; 0.251165;0.467657
100; 0.640795; 0.578388; 0.595321; 0.636864; 0.69126; 0.251165;0.467657
101; 0.640795; 0.577885; 0.595321; 0.636864; 0.69126; 0.251165;0.467657
102; 0.640795; 0.577563; 0.595321; 0.636864; 0.69126; 0.251165;0.467657
103; 0.640795; 0.577099; 0.595321; 0.636864; 0.69126; 0.251165;0.467657
104; 0.640795; 0.578607; 0.595321; 0.636864; 0.69126; 0.251165;0.467657
105; 0.642953; 0.578414; 0.587857; 0.647911; 0.703599; 0.255147;0.460932
106; 0.642953; 0.573484; 0.587857; 0.647911; 0.703599; 0.255147;0.460932
107; 0.642953; 0.571625; 0.587857; 0.647911; 0.703599; 0.255147;0.460932
108; 0.642953; 0.570352; 0.587857; 0.647911; 0.703599; 0.255147;0.460865
109; 0.642953; 0.570121; 0.587857; 0.647911; 0.703599; 0.255147;0.460865
110; 0.642953; 0.572948; 0.542425; 0.694024; 0.702057; 0.261927;0.461508
111; 0.642953; 0.574493; 0.542425; 0.694024; 0.702057; 0.261927;0.461508
112; 0.642961; 0.572181; 0.542425; 0.694024; 0.702057; 0.261927;0.461508
113; 0.642961; 0.574882; 0.542425; 0.694024; 0.702057; 0.261927;0.461508
114; 0.642961; 0.571904; 0.542425; 0.694024; 0.702057; 0.261927;0.461508
115; 0.642961; 0.571803; 0.542425; 0.694024; 0.702057; 0.261927;0.461508
116; 0.642961; 0.573384; 0.542425; 0.694024; 0.702057; 0.261927;0.461508
117; 0.645946; 0.57501; 0.59546; 0.647989; 0.704113; 0.256849;0.460594
118; 0.645946; 0.576275; 0.59546; 0.647989; 0.704113; 0.256849;0.460594
119; 0.645946; 0.576124; 0.59546; 0.647989; 0.704113; 0.256849;0.460594
120; 0.645946; 0.57627; 0.59546; 0.647989; 0.704113; 0.256849;0.460594
121; 0.645946; 0.578965; 0.59546; 0.647989; 0.704113; 0.256849;0.460594
122; 0.645946; 0.579193; 0.59546; 0.647989; 0.704113; 0.256849;0.460594
123; 0.645946; 0.579062; 0.59546; 0.647989; 0.704113; 0.256849;0.460594
124; 0.645946; 0.579892; 0.59546; 0.647989; 0.704113; 0.256849;0.460594
125; 0.645946; 0.57765; 0.59546; 0.647989; 0.704113; 0.256849;0.460594
126; 0.645946; 0.578459; 0.59546; 0.647989; 0.704113; 0.256849;0.460594
127; 0.645946; 0.576756; 0.59546; 0.647989; 0.704113; 0.256849;0.460594
128; 0.645946; 0.57482; 0.59546; 0.647989; 0.704113; 0.256849;0.460594
129; 0.64595; 0.570463; 0.59546; 0.647989; 0.704113; 0.256849;0.460563
130; 0.64595; 0.572452; 0.59546; 0.647989; 0.704113; 0.256849;0.460563
131; 0.64595; 0.572714; 0.59546; 0.647989; 0.704113; 0.256849;0.460563
