#Summary : 
#Best fitness Pop 1;0.615953
#Best fitness Pop 2;0.615952
#Std deviation Pop 1;0.0243485
#Std deviation Pop 2;0.0209973
#Sensitivity;0.793422
#Specificity;0.416469
#Accuracy;0.549357
#PPV;0.226586
#RMSE;0.573887
#RRSE;1.67458
#RAE;1.44541
#MSE;0.335164
#ADM;0.480316
#MDM;0.114836
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.4
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 1 AND ccr_zob_dhf_d is MF 0 THEN 1_SousPoid is MF 0 AND 4_Obese is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_pt_one_d is MF 0 AND ccr_ths_d is MF 2 THEN 3_Surpoid is MF 1
 IF ccr_sa_thb_d is MF 0 AND ccr_b_cortolone_d is MF 1 THEN 2_Normal is MF 0 AND 5_ExtremeObese is MF 1 AND 4_Obese is MF 0
 IF ccr_pt_d is MF 1 THEN 3_Surpoid is MF 0 AND 2_Normal is MF 1 AND 4_Obese is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_sa_dihydrotest_d is MF 0 AND ccr_the_d is MF 1 AND cr_l8_oh_f_d is MF 0 THEN 4_Obese is MF 1 AND 3_Surpoid is MF 1 AND 1_SousPoid is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_sa_dihydrotest_d (6.62502 , 9.69038 , 17.2005) ; ccr_sa_thb_d (33.2026 , 377.5 , 407.295) ; ccr_pt_d (63.9817 , 118.602 , 300.671) ; ccr_pt_one_d (4.46713 , 32.8941 , 40.1831) ; ccr_ths_d (15.7305 , 20.3678 , 48.1914) ; cr_l8_oh_f_d (2093.39 , 3752.85 , 3875.78) ; ccr_thf_d (108.788 , 115.976 , 342.388) ; ccr_the_d (121.537 , 253.029 , 1370.71) ; ccr_b_cortolone_d (104.112 , 193.954 , 273.429) ; ccr_zob_dhf_d (26.3537 , 124.201 , 253.359) ; 1_SousPoid (0 , 1) ; 2_Normal (1 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.544339; 0.521996; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.546467; 0.525205; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
3; 0.548708; 0.524699; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
4; 0.557972; 0.525342; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
5; 0.583745; 0.534372; 0.519; 0.611557; 0.635733; 0.124959;0.564737
6; 0.56998; 0.531004; 0.519; 0.611557; 0.635733; 0.124959;0.564704
7; 0.563679; 0.531844; 0.519; 0.611557; 0.635733; 0.124959;0.564704
8; 0.563679; 0.531886; 0.519; 0.611557; 0.635733; 0.124959;0.564704
9; 0.563679; 0.531004; 0.519; 0.611557; 0.635733; 0.124959;0.564704
10; 0.563679; 0.532005; 0.519; 0.611557; 0.635733; 0.124959;0.564704
11; 0.583738; 0.537714; 0.510667; 0.627891; 0.651414; 0.126289;0.560593
12; 0.583738; 0.538325; 0.510667; 0.627891; 0.651414; 0.126289;0.560593
13; 0.583738; 0.540547; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
14; 0.584474; 0.536165; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
15; 0.591615; 0.538551; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
16; 0.591184; 0.52736; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
17; 0.587403; 0.537808; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
18; 0.591184; 0.52896; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
19; 0.591184; 0.530887; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
20; 0.591184; 0.530876; 0.679333; 0.481075; 0.595887; 0.197162;0.550926
21; 0.597784; 0.5474; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
22; 0.597784; 0.547828; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
23; 0.597784; 0.547406; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
24; 0.597784; 0.54692; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
25; 0.597784; 0.547364; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
26; 0.597784; 0.548468; 0.846901; 0.3335; 0.478406; 0.218409;0.642597
27; 0.597784; 0.548249; 0.846901; 0.3335; 0.478406; 0.218409;0.642597
28; 0.598243; 0.54824; 0.846901; 0.3335; 0.478406; 0.218409;0.642597
29; 0.59829; 0.55028; 0.846901; 0.337175; 0.481748; 0.218939;0.640515
30; 0.598593; 0.552187; 0.846901; 0.337175; 0.481748; 0.218939;0.640515
31; 0.600279; 0.55351; 0.846901; 0.337175; 0.481748; 0.218939;0.640515
32; 0.598593; 0.555251; 0.846901; 0.337175; 0.481748; 0.218939;0.640515
33; 0.598593; 0.553717; 0.846901; 0.337175; 0.481748; 0.218939;0.640515
34; 0.601392; 0.551629; 0.829465; 0.349694; 0.488946; 0.219454;0.598472
