#Summary : 
#Best fitness Pop 1;0.617975
#Best fitness Pop 2;0.617974
#Std deviation Pop 1;0.027648
#Std deviation Pop 2;0.0206505
#Sensitivity;0.426324
#Specificity;0.782762
#Accuracy;0.616967
#PPV;0.054086
#RMSE;0.545538
#RRSE;1.67982
#RAE;1.47824
#MSE;0.307204
#ADM;0.444011
#MDM;0.203483
#Size;0.0909091
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.4
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 1 AND ccr_zob_dhf_d is MF 0 THEN 4_Obese is MF 1 AND 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_s_ad_17b_d is MF 1 AND ccr_sa_thb_d is MF 1 THEN 2_Normal is MF 0 AND 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 0 AND 4_Obese is MF 1
 IF ccr_thaldo_d is MF 1 AND ccr_tha_d is MF 1 THEN 2_Normal is MF 0 AND 1_SousPoid is MF 0
 IF ccr_sb_oh_f_d is MF 1 AND ccr_sa_thb_d is MF 0 AND ccr_pt_d is MF 1 AND ccr_llb_oh_andro_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 1_SousPoid is MF 1 AND 3_Surpoid is MF 1 AND 4_Obese is MF 0
 IF ccr_llb_oh_etio_d is MF 1 THEN 1_SousPoid is MF 0 AND 3_Surpoid is MF 0 AND 5_ExtremeObese is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_s_ad_17b_d (35.0595 , 91.2786 , 129.555) ; ccr_tha_d (5.43417 , 6.35088 , 51.7279) ; ccr_sa_thb_d (178.867 , 225.215 , 301.357) ; ccr_thaldo_d (5.53609 , 8.92936 , 30.5615) ; ccr_pt_d (45.7748 , 45.7748 , 255.154) ; ccr_thf_d (8.16063 , 238.166 , 403.483) ; ccr_llb_oh_andro_d (71.8809 , 187.201 , 213.41) ; ccr_llb_oh_etio_d (22.4028 , 53.2199 , 117.137) ; ccr_sb_oh_f_d (10.6975 , 15.9098 , 57.0865) ; ccr_zob_dhf_d (22.4398 , 139.856 , 441.225) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 0) ; 3_Surpoid (0 , 0) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.548595; 0.526262; 0.370436; 0.682469; 0.709254; 0.206704;0.467174
2; 0.546467; 0.525384; 0.362228; 0.693018; 0.711054; 0.203082;0.463743
3; 0.559331; 0.523039; 0.265108; 0.800712; 0.639846; 0.131905;0.504811
4; 0.560521; 0.534351; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
5; 0.553179; 0.52692; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
6; 0.550969; 0.528479; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
7; 0.560175; 0.528701; 0.615396; 0.531665; 0.576093; 0.149298;0.565066
8; 0.59099; 0.536868; 0.54015; 0.610291; 0.54653; 0.152668;0.57812
9; 0.59099; 0.535865; 0.632063; 0.518668; 0.56401; 0.148702;0.569968
10; 0.59099; 0.53785; 0.632063; 0.518668; 0.56401; 0.148702;0.569968
11; 0.59099; 0.537408; 0.632063; 0.518668; 0.56401; 0.148702;0.569968
12; 0.59099; 0.536615; 0.663063; 0.499506; 0.546787; 0.149095;0.597451
13; 0.59099; 0.539435; 0.663063; 0.499506; 0.546787; 0.149095;0.597451
14; 0.591149; 0.539078; 0.663063; 0.501634; 0.548586; 0.149459;0.596471
15; 0.591149; 0.537766; 0.663063; 0.501634; 0.548586; 0.149459;0.596471
16; 0.592922; 0.536686; 0.663063; 0.501634; 0.548586; 0.149459;0.596471
17; 0.592922; 0.536572; 0.663063; 0.501634; 0.548586; 0.149459;0.596471
18; 0.595054; 0.539228; 0.663063; 0.501634; 0.548586; 0.149459;0.596471
19; 0.595614; 0.541055; 0.624063; 0.555557; 0.599743; 0.152738;0.567391
20; 0.595614; 0.543347; 0.624063; 0.555557; 0.599743; 0.152738;0.567391
21; 0.595519; 0.544056; 0.624063; 0.555557; 0.599743; 0.152738;0.567391
22; 0.596151; 0.545624; 0.624063; 0.555557; 0.599743; 0.152738;0.567391
23; 0.603981; 0.548932; 0.624063; 0.555557; 0.599743; 0.152738;0.567391
24; 0.603981; 0.546815; 0.624063; 0.555557; 0.599743; 0.152738;0.567391
25; 0.603981; 0.547849; 0.624063; 0.555557; 0.599743; 0.152738;0.567391
26; 0.603981; 0.547983; 0.624063; 0.555557; 0.599743; 0.152738;0.567391
27; 0.603981; 0.546907; 0.624063; 0.555557; 0.599743; 0.152738;0.567391
28; 0.603981; 0.546104; 0.624063; 0.555557; 0.599743; 0.152738;0.567391
29; 0.603982; 0.548677; 0.624063; 0.555557; 0.599743; 0.152738;0.567381
30; 0.605439; 0.55161; 0.630402; 0.549464; 0.59563; 0.210121;0.550106
31; 0.605439; 0.556775; 0.630402; 0.549464; 0.59563; 0.210121;0.550106
32; 0.605439; 0.556539; 0.630402; 0.549464; 0.59563; 0.210121;0.550106
33; 0.605439; 0.553372; 0.630402; 0.549464; 0.59563; 0.210121;0.550106
34; 0.605439; 0.549742; 0.630402; 0.549464; 0.59563; 0.210121;0.550106
35; 0.605847; 0.550168; 0.623396; 0.557016; 0.601028; 0.153542;0.547826
