#Summary : 
#Best fitness Pop 1;0.61625
#Best fitness Pop 2;0.615999
#Std deviation Pop 1;0.0281044
#Std deviation Pop 2;0.018956
#Sensitivity;0.404183
#Specificity;0.788515
#Accuracy;0.680977
#PPV;0.335159
#RMSE;0.482465
#RRSE;1.43335
#RAE;1.1983
#MSE;0.24185
#ADM;0.450919
#MDM;0.305917
#Size;0.0833333
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.4
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 1 AND ccr_zob_dhf_d is MF 0 THEN 4_Obese is MF 1 AND 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_l7b_estradiol_d is MF 1 AND ccr_thdoc_d is MF 0 AND ccr_thb_d is MF 1 AND ccr_cortisol_d is MF 2 THEN 3_Surpoid is MF 1 AND 4_Obese is MF 1
 IF ccr_thb_d is MF 1 AND ccr_sa_thb_d is MF 0 THEN 4_Obese is MF 1 AND 2_Normal is MF 1
 IF ccr_cortisone_d is MF 1 AND ccr_testosterone_d is MF 0 THEN 2_Normal is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_ll_oxo_etio_d is MF 2 AND ccr_l7b_estradiol_d is MF 0 THEN 1_SousPoid is MF 1 AND 3_Surpoid is MF 1 AND 5_ExtremeObese is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 0  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_testosterone_d (5.74101 , 11.8757 , 14.0842) ; ccr_l7b_estradiol_d (1.37374 , 1.49832 , 12.461) ; ccr_thb_d (2.79118 , 10.6116 , 125.683) ; ccr_sa_thb_d (16.6498 , 39.8237 , 384.121) ; ccr_thdoc_d (1.24453 , 1.78854 , 5.73263) ; ccr_cortisol_d (3.27271 , 56.1113 , 82.8737) ; ccr_thf_d (15.3483 , 213.009 , 399.889) ; ccr_cortisone_d (9.58542 , 31.3246 , 59.7926) ; ccr_ll_oxo_etio_d (22.6011 , 142.389 , 144.737) ; ccr_zob_dhf_d (57.6647 , 206.392 , 378.603) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.544339; 0.521996; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.546467; 0.525205; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
3; 0.548708; 0.524699; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
4; 0.557972; 0.525255; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
5; 0.56438; 0.52993; 0.519; 0.611557; 0.635733; 0.124959;0.564737
6; 0.564547; 0.531096; 0.327333; 0.814749; 0.630848; 0.0218078;0.534647
7; 0.564547; 0.529981; 0.327333; 0.814749; 0.630848; 0.0218078;0.534647
8; 0.564995; 0.530264; 0.327333; 0.814749; 0.630848; 0.0218078;0.534647
9; 0.573045; 0.536692; 0.327333; 0.814749; 0.630848; 0.0218078;0.534647
10; 0.582493; 0.537306; 0.327333; 0.814749; 0.630848; 0.0218078;0.534647
11; 0.573958; 0.531545; 0.327333; 0.814749; 0.630848; 0.0218078;0.534647
12; 0.573958; 0.532143; 0.327333; 0.814749; 0.630848; 0.0218078;0.534647
13; 0.573958; 0.534392; 0.457063; 0.696883; 0.536761; 0.0426321;0.58963
14; 0.587653; 0.537339; 0.478; 0.663558; 0.684833; 0.129503;0.523265
15; 0.591615; 0.537306; 0.478; 0.663558; 0.684833; 0.129503;0.523265
16; 0.591615; 0.535589; 0.478; 0.663558; 0.684833; 0.129503;0.523265
17; 0.591615; 0.536022; 0.478; 0.663558; 0.684833; 0.129503;0.523265
18; 0.591615; 0.536261; 0.478; 0.663558; 0.684833; 0.129503;0.523097
19; 0.593223; 0.538468; 0.346593; 0.798697; 0.63162; 0.145328;0.522604
20; 0.593223; 0.5414; 0.346593; 0.798697; 0.63162; 0.145328;0.522604
21; 0.593223; 0.543401; 0.346593; 0.798697; 0.63162; 0.145328;0.522604
22; 0.593223; 0.54448; 0.346593; 0.798697; 0.63162; 0.145328;0.522604
23; 0.594274; 0.542365; 0.478; 0.666745; 0.687918; 0.129898;0.506803
24; 0.594274; 0.54364; 0.478; 0.666745; 0.687918; 0.129898;0.506803
25; 0.594274; 0.541635; 0.478; 0.666745; 0.687918; 0.129898;0.506803
26; 0.594274; 0.540703; 0.478; 0.666745; 0.687918; 0.129898;0.506803
27; 0.594274; 0.541378; 0.478; 0.666745; 0.687918; 0.129898;0.506803
28; 0.594274; 0.542228; 0.478; 0.666745; 0.687918; 0.129898;0.506803
29; 0.595737; 0.543405; 0.290667; 0.85681; 0.682262; 0.141065;0.502812
30; 0.595737; 0.546285; 0.290667; 0.85681; 0.682262; 0.141065;0.502812
31; 0.595737; 0.547721; 0.290667; 0.85681; 0.682262; 0.141065;0.502812
32; 0.602206; 0.54764; 0.302889; 0.858724; 0.679691; 0.155512;0.495726
33; 0.602206; 0.547136; 0.302889; 0.858724; 0.679691; 0.155512;0.495726
34; 0.602206; 0.54618; 0.302889; 0.858724; 0.679691; 0.155512;0.495726
