#Summary : 
#Best fitness Pop 1;0.630941
#Best fitness Pop 2;0.630941
#Std deviation Pop 1;0.0262359
#Std deviation Pop 2;0.0230539
#Sensitivity;0.537537
#Specificity;0.703875
#Accuracy;0.616967
#PPV;0.179453
#RMSE;0.551908
#RRSE;1.63772
#RAE;1.41969
#MSE;0.306205
#ADM;0.486395
#MDM;0.10748
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.4
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 1 AND ccr_zob_dhf_d is MF 0 THEN 4_Obese is MF 1 AND 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_sa_dihydrotest_d is MF 0 AND ccr_testosterone_d is MF 1 AND ccr_thb_d is MF 2 THEN 3_Surpoid is MF 1 AND 4_Obese is MF 1
 IF ccr_zob_dhe_d is MF 0 AND ccr_llb_oh_andro_d is MF 0 THEN 2_Normal is MF 1 AND 1_SousPoid is MF 0 AND 4_Obese is MF 0
 IF ccr_a_cortol_d is MF 1 THEN 5_ExtremeObese is MF 0 AND 2_Normal is MF 0 AND 4_Obese is MF 1
 IF ccr_tha_d is MF 0 AND ccr_sa_thf_d is MF 1 THEN 1_SousPoid is MF 1 AND 2_Normal is MF 1 AND 5_ExtremeObese is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 0  3_Surpoid is 1  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_sa_dihydrotest_d (3.71292 , 4.32599 , 14.2884) ; ccr_testosterone_d (4.0233 , 5.25024 , 22.182) ; ccr_tha_d (6.35088 , 46.686 , 51.7279) ; ccr_thb_d (3.90838 , 105.574 , 108.925) ; ccr_thf_d (44.099 , 184.259 , 460.984) ; ccr_sa_thf_d (6.01716 , 58.4021 , 72.6889) ; ccr_a_cortol_d (108.619 , 144.415 , 293.107) ; ccr_llb_oh_andro_d (31.6935 , 47.419 , 77.1227) ; ccr_zob_dhe_d (4.09099 , 17.1875 , 18.1576) ; ccr_zob_dhf_d (42.0092 , 65.4925 , 456.881) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 0) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.544339; 0.521996; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.546467; 0.525205; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
3; 0.548708; 0.524699; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
4; 0.557972; 0.525342; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
5; 0.583745; 0.534372; 0.519; 0.611557; 0.635733; 0.124959;0.564737
6; 0.56998; 0.531004; 0.519; 0.611557; 0.635733; 0.124959;0.564704
7; 0.569468; 0.530094; 0.519; 0.611557; 0.635733; 0.124959;0.564704
8; 0.563679; 0.531886; 0.519; 0.611557; 0.635733; 0.124959;0.564704
9; 0.563679; 0.531072; 0.519; 0.611557; 0.635733; 0.124959;0.564704
10; 0.563679; 0.532026; 0.519; 0.611557; 0.635733; 0.124959;0.564704
11; 0.566468; 0.532016; 0.510667; 0.627891; 0.651414; 0.126289;0.560593
12; 0.583738; 0.538591; 0.510667; 0.627891; 0.651414; 0.126289;0.560593
13; 0.583738; 0.541052; 0.510667; 0.627891; 0.651414; 0.126289;0.560593
14; 0.584474; 0.537184; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
15; 0.591615; 0.538912; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
16; 0.591184; 0.527098; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
17; 0.591005; 0.538224; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
18; 0.591184; 0.528118; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
19; 0.591184; 0.530074; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
20; 0.591184; 0.529306; 0.679333; 0.481075; 0.595887; 0.197162;0.550926
21; 0.591184; 0.531704; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
22; 0.597784; 0.547318; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
23; 0.597784; 0.546729; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
24; 0.597784; 0.546913; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
25; 0.597784; 0.547135; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
26; 0.600209; 0.547585; 0.462198; 0.704014; 0.624422; 0.205438;0.544293
27; 0.600209; 0.547371; 0.652864; 0.520481; 0.570437; 0.206193;0.564367
28; 0.600209; 0.547419; 0.652864; 0.520481; 0.570437; 0.206193;0.564367
29; 0.600209; 0.549239; 0.452864; 0.719945; 0.641645; 0.14162;0.513068
30; 0.601602; 0.551883; 0.452864; 0.719945; 0.641645; 0.14162;0.513068
31; 0.600209; 0.552757; 0.452864; 0.719945; 0.641645; 0.14162;0.513068
32; 0.597825; 0.55313; 0.452864; 0.719945; 0.641645; 0.14162;0.513057
33; 0.586612; 0.548155; 0.45237; 0.720487; 0.641388; 0.141984;0.51312
34; 0.586612; 0.54605; 0.45237; 0.720487; 0.641388; 0.141984;0.51312
