#Summary : 
#Best fitness Pop 1;0.615094
#Best fitness Pop 2;0.615094
#Std deviation Pop 1;0.0248809
#Std deviation Pop 2;0.0206951
#Sensitivity;0.784514
#Specificity;0.422395
#Accuracy;0.554242
#PPV;0.226428
#RMSE;0.570691
#RRSE;1.66221
#RAE;1.42479
#MSE;0.331117
#ADM;0.483792
#MDM;0.104763
#Size;0.0909091
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.4
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 1 AND ccr_zob_dhf_d is MF 0 THEN 1_SousPoid is MF 0 AND 4_Obese is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_sa_dihydrotest_d is MF 1 AND ccr_l6a_oh_dha_d is MF 0 AND ccr_cortisone_d is MF 2 THEN 5_ExtremeObese is MF 1 AND 1_SousPoid is MF 0 AND 3_Surpoid is MF 0 AND 4_Obese is MF 0
 IF ccr_thaldo_d is MF 2 THEN 3_Surpoid is MF 0 AND 2_Normal is MF 0 AND 1_SousPoid is MF 0
 IF ccr_a_cortol_d is MF 2 AND ccr_s_ad_17b_d is MF 2 THEN 1_SousPoid is MF 0 AND 2_Normal is MF 1 AND 4_Obese is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_pd_d is MF 0 AND ccr_the_d is MF 1 AND cr_l8_oh_f_d is MF 0 THEN 4_Obese is MF 1 AND 3_Surpoid is MF 1 AND 1_SousPoid is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 0  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_s_ad_17b_d (19.5096 , 43.4326 , 93.6709) ; ccr_sa_dihydrotest_d (1.56717 , 7.85116 , 12.1427) ; ccr_l6a_oh_dha_d (29.5382 , 37.4764 , 141.995) ; ccr_thaldo_d (1.71865 , 20.3817 , 31.834) ; ccr_pd_d (162.775 , 162.775 , 232.911) ; cr_l8_oh_f_d (65.1573 , 2093.39 , 3814.31) ; ccr_thf_d (108.788 , 115.976 , 328.012) ; ccr_a_cortol_d (235.282 , 301.367 , 348.178) ; ccr_cortisone_d (6.99742 , 40.1238 , 58.7574) ; ccr_the_d (121.537 , 253.029 , 739.55) ; ccr_zob_dhf_d (2.87034 , 108.545 , 386.431) ; 1_SousPoid (0 , 1) ; 2_Normal (1 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.544339; 0.521996; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.546467; 0.525205; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
3; 0.548708; 0.524699; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
4; 0.557972; 0.525342; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
5; 0.583745; 0.534372; 0.519; 0.611557; 0.635733; 0.124959;0.564737
6; 0.56998; 0.531004; 0.519; 0.611557; 0.635733; 0.124959;0.564704
7; 0.569468; 0.530094; 0.519; 0.611557; 0.635733; 0.124959;0.564704
8; 0.563679; 0.531886; 0.519; 0.611557; 0.635733; 0.124959;0.564704
9; 0.563679; 0.531072; 0.519; 0.611557; 0.635733; 0.124959;0.564704
10; 0.563679; 0.532026; 0.519; 0.611557; 0.635733; 0.124959;0.564704
11; 0.583738; 0.53794; 0.510667; 0.627891; 0.651414; 0.126289;0.560593
12; 0.583738; 0.538594; 0.510667; 0.627891; 0.651414; 0.126289;0.560593
13; 0.583738; 0.540847; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
14; 0.584474; 0.536948; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
15; 0.591615; 0.538723; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
16; 0.591184; 0.527356; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
17; 0.587403; 0.538228; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
18; 0.591184; 0.528973; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
19; 0.591184; 0.53084; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
20; 0.591184; 0.530829; 0.679333; 0.481075; 0.595887; 0.197162;0.550926
21; 0.591184; 0.533222; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
22; 0.597784; 0.548775; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
23; 0.597784; 0.547709; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
24; 0.597784; 0.54798; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
25; 0.597784; 0.547935; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
26; 0.597784; 0.549; 0.846901; 0.3335; 0.478406; 0.218409;0.642597
27; 0.597784; 0.548854; 0.846901; 0.3335; 0.478406; 0.218409;0.642597
28; 0.598242; 0.549156; 0.846901; 0.3335; 0.478406; 0.218409;0.642597
29; 0.598289; 0.550919; 0.846901; 0.337175; 0.481748; 0.218939;0.640515
30; 0.598593; 0.552493; 0.846901; 0.337175; 0.481748; 0.218939;0.640515
31; 0.598593; 0.553982; 0.846901; 0.337175; 0.481748; 0.218939;0.640515
32; 0.598593; 0.555685; 0.846901; 0.337175; 0.481748; 0.218939;0.640515
33; 0.598593; 0.554268; 0.846901; 0.337175; 0.481748; 0.218939;0.640515
34; 0.598092; 0.552193; 0.846901; 0.337175; 0.481748; 0.218939;0.640515
35; 0.600621; 0.552687; 0.776587; 0.406985; 0.513625; 0.221927;0.622297
36; 0.601392; 0.552682; 0.776587; 0.406985; 0.513625; 0.221927;0.622297
