#Summary : 
#Best fitness Pop 1;0.614864
#Best fitness Pop 2;0.614654
#Std deviation Pop 1;0.0219808
#Std deviation Pop 2;0.0211735
#Sensitivity;0.794144
#Specificity;0.413588
#Accuracy;0.548586
#PPV;0.225205
#RMSE;0.578079
#RRSE;1.67647
#RAE;1.45015
#MSE;0.339793
#ADM;0.483718
#MDM;0.0729297
#Size;0.125
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.4
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 1 AND ccr_zob_dhf_d is MF 0 THEN 1_SousPoid is MF 0 AND 4_Obese is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_sa_dihydrotest_d is MF 1 THEN 5_ExtremeObese is MF 1 AND 4_Obese is MF 1 AND 3_Surpoid is MF 1
 IF ccr_zob_dhf_d is MF 2 AND ccr_sa_thb_d is MF 0 AND ccr_etio_d is MF 1 THEN 2_Normal is MF 0 AND 5_ExtremeObese is MF 0 AND 1_SousPoid is MF 0
 IF  THEN 3_Surpoid is MF 0 AND 2_Normal is MF 1 AND 4_Obese is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_pt_one_d is MF 0 AND ccr_the_d is MF 1 THEN 4_Obese is MF 1 AND 3_Surpoid is MF 1 AND 1_SousPoid is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (19.2827 , 859.599 , 885.323) ; ccr_sa_dihydrotest_d (4.17272 , 4.7858 , 6.01194) ; ccr_sa_thb_d (66.3082 , 228.525 , 380.811) ; ccr_pt_one_d (0.0937424 , 48.201 , 50.3877) ; ccr_thf_d (108.788 , 115.976 , 328.012) ; ccr_the_d (121.537 , 253.029 , 739.55) ; ccr_zob_dhf_d (45.9231 , 88.9758 , 222.048) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.544339; 0.521996; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.546467; 0.525205; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
3; 0.548708; 0.524699; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
4; 0.557972; 0.525342; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
5; 0.583745; 0.534372; 0.519; 0.611557; 0.635733; 0.124959;0.564737
6; 0.56998; 0.531004; 0.519; 0.611557; 0.635733; 0.124959;0.564704
7; 0.569468; 0.530094; 0.519; 0.611557; 0.635733; 0.124959;0.564704
8; 0.563679; 0.531886; 0.519; 0.611557; 0.635733; 0.124959;0.564704
9; 0.563679; 0.531072; 0.519; 0.611557; 0.635733; 0.124959;0.564704
10; 0.563679; 0.532026; 0.519; 0.611557; 0.635733; 0.124959;0.564704
11; 0.583738; 0.53794; 0.510667; 0.627891; 0.651414; 0.126289;0.560593
12; 0.583738; 0.538594; 0.510667; 0.627891; 0.651414; 0.126289;0.560593
13; 0.583738; 0.540847; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
14; 0.584474; 0.536948; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
15; 0.591615; 0.538723; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
16; 0.591184; 0.527356; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
17; 0.587403; 0.538228; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
18; 0.591184; 0.528973; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
19; 0.591184; 0.53084; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
20; 0.591184; 0.530829; 0.679333; 0.481075; 0.595887; 0.197162;0.550926
21; 0.591184; 0.533222; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
22; 0.597784; 0.548775; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
23; 0.597784; 0.547709; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
24; 0.597784; 0.54798; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
25; 0.597784; 0.547935; 0.846901; 0.331643; 0.476607; 0.21825;0.643078
26; 0.597784; 0.549; 0.846901; 0.3335; 0.478406; 0.218409;0.642597
27; 0.597784; 0.548854; 0.846901; 0.3335; 0.478406; 0.218409;0.642597
28; 0.598242; 0.549154; 0.846901; 0.3335; 0.478406; 0.218409;0.642597
29; 0.598289; 0.550894; 0.846901; 0.337175; 0.481748; 0.218939;0.640515
30; 0.598593; 0.552445; 0.846901; 0.337175; 0.481748; 0.218939;0.640515
31; 0.598593; 0.553825; 0.846901; 0.337175; 0.481748; 0.218939;0.640515
