#Summary : 
#Best fitness Pop 1;0.611376
#Best fitness Pop 2;0.609472
#Std deviation Pop 1;0.019428
#Std deviation Pop 2;0.0188072
#Sensitivity;0.661939
#Specificity;0.537608
#Accuracy;0.583548
#PPV;0.26634
#RMSE;0.57908
#RRSE;1.69224
#RAE;1.47532
#MSE;0.338272
#ADM;0.484677
#MDM;0.0314238
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.4
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 1 THEN 4_Obese is MF 1 AND 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_sa_dihydrotest_d is MF 1 AND ccr_sa_thb_d is MF 0 AND ccr_sa_thf_d is MF 1 THEN 2_Normal is MF 0 AND 1_SousPoid is MF 0 AND 4_Obese is MF 1
 IF cr_l8_oh_f_d is MF 2 AND ccr_pt_d is MF 1 THEN 2_Normal is MF 1 AND 4_Obese is MF 0 AND 1_SousPoid is MF 0
 IF ccr_thb_d is MF 0 AND ccr_pt_d is MF 1 AND ccr_a_cortol_d is MF 0 THEN 3_Surpoid is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_s_pt_d is MF 2 THEN 5_ExtremeObese is MF 1 AND 1_SousPoid is MF 0 AND 4_Obese is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_sa_dihydrotest_d (3.09985 , 6.01194 , 17.9669) ; ccr_s_pt_d (0.04551 , 47.6383 , 90.7693) ; ccr_thb_d (89.9329 , 97.7533 , 104.457) ; ccr_sa_thb_d (86.1715 , 245.078 , 307.979) ; ccr_pt_d (50.3265 , 191.43 , 205.085) ; cr_l8_oh_f_d (126.619 , 157.35 , 2769.47) ; ccr_thf_d (72.8497 , 177.071 , 460.984) ; ccr_sa_thf_d (10.7794 , 401.286 , 487.006) ; ccr_a_cortol_d (34.2735 , 306.874 , 350.931) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.548595; 0.526262; 0.248; 0.791235; 0.801285; 0.134882;0.393611
2; 0.546467; 0.525384; 0.362228; 0.693018; 0.711054; 0.203082;0.463743
3; 0.559331; 0.523039; 0.265108; 0.800712; 0.639846; 0.131905;0.504811
4; 0.560521; 0.534351; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
5; 0.553179; 0.52692; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
6; 0.550969; 0.528479; 0.637802; 0.505839; 0.552699; 0.147198;0.601416
7; 0.560175; 0.528701; 0.615396; 0.531665; 0.576093; 0.149298;0.565066
8; 0.59099; 0.536868; 0.54015; 0.610291; 0.54653; 0.152668;0.57812
9; 0.59099; 0.535865; 0.632063; 0.518668; 0.56401; 0.148702;0.569968
10; 0.59099; 0.53785; 0.632063; 0.518668; 0.56401; 0.148702;0.569968
11; 0.59099; 0.537418; 0.632063; 0.518668; 0.56401; 0.148702;0.569968
12; 0.591477; 0.536663; 0.663063; 0.499506; 0.546787; 0.149095;0.597451
13; 0.591477; 0.539345; 0.663063; 0.499506; 0.546787; 0.149095;0.597451
14; 0.591477; 0.53913; 0.493269; 0.665164; 0.598201; 0.160897;0.546565
15; 0.591477; 0.537626; 0.493269; 0.665164; 0.598201; 0.160897;0.546565
16; 0.596788; 0.536657; 0.493269; 0.665164; 0.598201; 0.160897;0.546565
17; 0.594557; 0.536845; 0.493269; 0.665164; 0.598201; 0.160897;0.546565
18; 0.595054; 0.538717; 0.493269; 0.665164; 0.598201; 0.160897;0.546565
19; 0.597116; 0.541104; 0.494984; 0.664873; 0.597686; 0.161065;0.545104
20; 0.594954; 0.541941; 0.494984; 0.664873; 0.597686; 0.161065;0.545104
21; 0.594954; 0.544666; 0.494984; 0.664873; 0.597686; 0.161065;0.545104
22; 0.594487; 0.542902; 0.663063; 0.51304; 0.559383; 0.151005;0.593627
23; 0.594954; 0.544683; 0.663063; 0.51304; 0.559383; 0.151005;0.593627
24; 0.596487; 0.544712; 0.663063; 0.512662; 0.559126; 0.151005;0.59145
25; 0.598992; 0.543315; 0.668468; 0.508062; 0.555527; 0.150686;0.592444
26; 0.600501; 0.545965; 0.668468; 0.508062; 0.555527; 0.150686;0.592444
27; 0.600501; 0.544993; 0.668468; 0.508062; 0.555527; 0.150686;0.592444
28; 0.600501; 0.544435; 0.668468; 0.508062; 0.555527; 0.150686;0.592444
29; 0.600501; 0.545818; 0.668468; 0.508062; 0.555527; 0.150686;0.592444
30; 0.600501; 0.548715; 0.668468; 0.508062; 0.555527; 0.150686;0.592444
31; 0.600501; 0.55487; 0.668468; 0.508062; 0.555527; 0.150686;0.592444
32; 0.600523; 0.554647; 0.668468; 0.508062; 0.555527; 0.150686;0.592444
33; 0.601249; 0.552158; 0.668468; 0.510127; 0.557326; 0.151008;0.594273
