#Summary : 
#Best fitness Pop 1;0.617242
#Best fitness Pop 2;0.617242
#Std deviation Pop 1;0.0272966
#Std deviation Pop 2;0.0212506
#Sensitivity;0.502997
#Specificity;0.710367
#Accuracy;0.55347
#PPV;0.247728
#RMSE;0.577675
#RRSE;1.68193
#RAE;1.48892
#MSE;0.337515
#ADM;0.464679
#MDM;0.14896
#Size;0.0833333
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.4
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 1 AND ccr_zob_dhf_d is MF 0 THEN 4_Obese is MF 1 AND 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_pt_one_d is MF 1 AND ccr_sa_thb_d is MF 1 AND ccr_ths_d is MF 2 THEN 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 1 AND 4_Obese is MF 1
 IF ccr_dha_d is MF 1 AND ccr_thdoc_d is MF 0 THEN 4_Obese is MF 1 AND 2_Normal is MF 1
 IF ccr_cortisone_d is MF 1 AND ccr_testosterone_d is MF 0 THEN 2_Normal is MF 1 AND 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_zoa_dhe_d is MF 2 AND ccr_zob_dhf_d is MF 0 AND ccr_tha_d is MF 1 THEN 1_SousPoid is MF 0 AND 2_Normal is MF 0 AND 5_ExtremeObese is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 0  3_Surpoid is 1  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_testosterone_d (6.23179 , 9.66721 , 16.7835) ; ccr_dha_d (433.112 , 884.272 , 884.272) ; ccr_tha_d (12.7678 , 22.3933 , 58.6033) ; ccr_sa_thb_d (351.016 , 390.742 , 400.674) ; ccr_thdoc_d (3.35257 , 7.63667 , 8.11268) ; ccr_pt_one_d (34.3519 , 51.8455 , 87.5615) ; ccr_ths_d (2.39832 , 56.3066 , 66.7405) ; ccr_thf_d (22.536 , 205.822 , 432.234) ; ccr_cortisone_d (17.3494 , 50.9934 , 63.4158) ; ccr_zoa_dhe_d (1.85356 , 4.20993 , 6.98708) ; ccr_zob_dhf_d (22.4398 , 143.77 , 276.842) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 0) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.544339; 0.521996; 0.248; 0.790173; 0.800257; 0.13202;0.395621
2; 0.546467; 0.525205; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
3; 0.548708; 0.524699; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
4; 0.557972; 0.525342; 0.5192; 0.544392; 0.68072; 0.180955;0.430822
5; 0.583745; 0.534372; 0.519; 0.611557; 0.635733; 0.124959;0.564737
6; 0.56998; 0.531004; 0.519; 0.611557; 0.635733; 0.124959;0.564704
7; 0.569468; 0.530094; 0.519; 0.611557; 0.635733; 0.124959;0.564704
8; 0.563679; 0.531886; 0.519; 0.611557; 0.635733; 0.124959;0.564704
9; 0.563679; 0.531072; 0.519; 0.611557; 0.635733; 0.124959;0.564704
10; 0.563679; 0.532026; 0.519; 0.611557; 0.635733; 0.124959;0.564704
11; 0.566468; 0.532016; 0.510667; 0.627891; 0.651414; 0.126289;0.560593
12; 0.583738; 0.538591; 0.510667; 0.627891; 0.651414; 0.126289;0.560593
13; 0.583738; 0.541052; 0.510667; 0.627891; 0.651414; 0.126289;0.560593
14; 0.584474; 0.537184; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
15; 0.591312; 0.536386; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
16; 0.591615; 0.536982; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
17; 0.591615; 0.538143; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
18; 0.591615; 0.539348; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
19; 0.591616; 0.540836; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
20; 0.591914; 0.543866; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
21; 0.591914; 0.545969; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
22; 0.592828; 0.545753; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
23; 0.592828; 0.544257; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
24; 0.592828; 0.543286; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
25; 0.593659; 0.543486; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
26; 0.593659; 0.543982; 0.679333; 0.481075; 0.595887; 0.197162;0.550964
27; 0.593659; 0.545723; 0.367333; 0.797762; 0.615681; 0.0227228;0.530102
28; 0.593659; 0.544544; 0.367333; 0.797762; 0.615681; 0.0227228;0.530102
29; 0.594015; 0.544429; 0.367333; 0.797762; 0.615681; 0.0227228;0.530102
30; 0.599927; 0.550199; 0.367333; 0.797762; 0.615681; 0.0227228;0.530102
31; 0.60034; 0.553884; 0.367333; 0.797762; 0.615681; 0.0227228;0.530102
32; 0.607157; 0.553528; 0.35363; 0.825877; 0.643959; 0.224583;0.52663
33; 0.607157; 0.555084; 0.35363; 0.825877; 0.643959; 0.224583;0.52663
34; 0.607157; 0.553441; 0.35363; 0.825877; 0.643959; 0.224583;0.52663
35; 0.602539; 0.547023; 0.35363; 0.825877; 0.643959; 0.224583;0.52663
