#Summary : 
#Best fitness Pop 1;0.64336
#Best fitness Pop 2;0.64336
#Std deviation Pop 1;0.0325291
#Std deviation Pop 2;0.0275396
#Sensitivity;0.701256
#Specificity;0.575775
#Accuracy;0.587918
#PPV;0.257321
#RMSE;0.531566
#RRSE;1.75762
#RAE;1.61492
#MSE;0.286154
#ADM;0.449037
#MDM;0.0151995
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.2
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 1 AND ccr_zob_dhf_d is MF 0 THEN 4_Obese is MF 1 AND 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_l7b_estradiol_d is MF 1 AND ccr_cortisone_d is MF 1 THEN 5_ExtremeObese is MF 0 AND 1_SousPoid is MF 0 AND 2_Normal is MF 1
 IF ccr_a_cortol_d is MF 2 AND ccr_thaldo_d is MF 2 THEN 5_ExtremeObese is MF 1
 IF ccr_sb_oh_f_d is MF 0 AND ccr_dha_d is MF 0 AND ccr_etio_d is MF 0 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_sa_thb_d is MF 1 THEN 4_Obese is MF 1 AND 5_ExtremeObese is MF 0 AND 3_Surpoid is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (105.029 , 122.179 , 842.45) ; ccr_l7b_estradiol_d (0.127986 , 2.37035 , 3.61611) ; ccr_dha_d (534.393 , 709.332 , 893.479) ; ccr_sa_thb_d (13.3393 , 178.867 , 205.351) ; ccr_thaldo_d (20.8058 , 24.6233 , 30.5615) ; ccr_thf_d (15.3483 , 209.416 , 399.889) ; ccr_a_cortol_d (45.2877 , 97.605 , 290.353) ; ccr_cortisone_d (21.4902 , 23.043 , 26.6662) ; ccr_sb_oh_f_d (12.7824 , 13.8249 , 31.5465) ; ccr_zob_dhf_d (81.148 , 112.459 , 378.603) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.524185; 0.51202; 0.3296; 0.72567; 0.741131; 0.215035;0.455285
2; 0.545576; 0.51815; 0.3296; 0.72567; 0.741131; 0.215035;0.455285
3; 0.542788; 0.514052; 0.247845; 0.821741; 0.756555; 0.281763;0.378347
4; 0.546907; 0.514161; 0.604018; 0.52099; 0.569152; 0.146834;0.609413
5; 0.569478; 0.523752; 0.604018; 0.52099; 0.569152; 0.146834;0.609413
6; 0.579564; 0.525616; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
7; 0.549071; 0.515973; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
8; 0.575284; 0.523399; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
9; 0.575284; 0.522693; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
10; 0.575284; 0.523523; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
11; 0.57912; 0.523615; 0.644263; 0.505045; 0.463496; 0.107233;0.575991
12; 0.579125; 0.523066; 0.630663; 0.518942; 0.467866; 0.107738;0.576385
13; 0.587492; 0.53245; 0.620263; 0.538039; 0.478406; 0.109931;0.575827
14; 0.589226; 0.531919; 0.611463; 0.550652; 0.484062; 0.111458;0.575822
15; 0.589175; 0.529604; 0.611463; 0.550652; 0.484062; 0.111458;0.575822
16; 0.589175; 0.526931; 0.611463; 0.550652; 0.484062; 0.111458;0.575822
17; 0.589175; 0.528272; 0.611463; 0.550652; 0.484062; 0.111458;0.575822
18; 0.589175; 0.529108; 0.617863; 0.548153; 0.484576; 0.112365;0.57535
19; 0.589523; 0.529932; 0.617863; 0.548153; 0.484576; 0.112365;0.57535
20; 0.589523; 0.534194; 0.617863; 0.548153; 0.484576; 0.112365;0.57535
21; 0.592267; 0.537998; 0.536511; 0.624477; 0.606684; 0.208533;0.494116
22; 0.592267; 0.539656; 0.536511; 0.624477; 0.606684; 0.208533;0.494116
23; 0.592267; 0.538332; 0.536511; 0.626144; 0.607969; 0.209156;0.492535
24; 0.593679; 0.537733; 0.576784; 0.595348; 0.536247; 0.161536;0.563181
25; 0.593679; 0.536676; 0.576784; 0.595348; 0.536247; 0.161536;0.563181
26; 0.593679; 0.535478; 0.566199; 0.609988; 0.547815; 0.161787;0.560926
27; 0.598383; 0.536121; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
28; 0.598806; 0.538302; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
29; 0.596255; 0.53886; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
30; 0.594437; 0.538855; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
31; 0.59747; 0.540683; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
32; 0.59747; 0.542053; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
33; 0.59747; 0.542228; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
34; 0.59747; 0.541101; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
35; 0.597795; 0.541355; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
36; 0.597795; 0.54342; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
37; 0.597795; 0.543901; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
38; 0.59844; 0.544238; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
39; 0.60387; 0.543454; 0.538938; 0.647589; 0.636247; 0.226187;0.494242
40; 0.60387; 0.541076; 0.538938; 0.647589; 0.636247; 0.226187;0.494242
41; 0.60387; 0.541243; 0.538938; 0.647589; 0.636247; 0.226187;0.494242
42; 0.609796; 0.544668; 0.679479; 0.525714; 0.539332; 0.247808;0.552601
43; 0.609796; 0.543228; 0.679479; 0.525714; 0.539332; 0.247808;0.552601
44; 0.609796; 0.542956; 0.679479; 0.525714; 0.539332; 0.247808;0.552601
45; 0.609796; 0.544235; 0.679479; 0.525714; 0.539332; 0.247808;0.552601
46; 0.609796; 0.545589; 0.679479; 0.525714; 0.539332; 0.247808;0.552601
47; 0.609796; 0.543154; 0.679479; 0.525714; 0.539332; 0.247808;0.552601
48; 0.609796; 0.541427; 0.679479; 0.525714; 0.539332; 0.247808;0.552601
49; 0.610964; 0.547171; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
50; 0.610964; 0.551031; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
51; 0.610964; 0.552009; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
52; 0.610964; 0.551143; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
53; 0.610964; 0.551659; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
54; 0.610964; 0.552853; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
55; 0.610964; 0.554167; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
56; 0.610964; 0.552797; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
57; 0.610964; 0.54874; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
58; 0.610964; 0.549905; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
59; 0.610964; 0.549762; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
60; 0.612238; 0.550138; 0.648245; 0.561124; 0.558098; 0.249733;0.539986
61; 0.612238; 0.54647; 0.648245; 0.561124; 0.558098; 0.249733;0.539986
62; 0.615968; 0.548581; 0.708308; 0.511894; 0.51671; 0.247475;0.567828
63; 0.615968; 0.547864; 0.708308; 0.511894; 0.51671; 0.247475;0.567828
64; 0.615968; 0.549396; 0.699975; 0.524894; 0.529049; 0.248196;0.56176
65; 0.615968; 0.552292; 0.699975; 0.524894; 0.529049; 0.248196;0.56176
66; 0.616693; 0.552898; 0.699975; 0.524894; 0.529049; 0.248196;0.56176
67; 0.616693; 0.554007; 0.699975; 0.524894; 0.529049; 0.248196;0.56176
68; 0.616693; 0.551841; 0.493731; 0.730832; 0.683033; 0.230564;0.4691
69; 0.616693; 0.551391; 0.493731; 0.730832; 0.683033; 0.230564;0.4691
70; 0.616693; 0.554196; 0.493731; 0.730832; 0.683033; 0.230564;0.4691
71; 0.623298; 0.552911; 0.533336; 0.694487; 0.665039; 0.230852;0.47962
72; 0.623298; 0.553698; 0.533336; 0.694487; 0.665039; 0.230852;0.47962
73; 0.624116; 0.558243; 0.533319; 0.696227; 0.678149; 0.230117;0.478853
74; 0.624116; 0.554904; 0.533319; 0.696227; 0.678149; 0.230117;0.478853
75; 0.624116; 0.555854; 0.533319; 0.696227; 0.678149; 0.230117;0.478853
76; 0.624116; 0.558989; 0.533319; 0.696227; 0.678149; 0.230117;0.478853
77; 0.62539; 0.558029; 0.509338; 0.721468; 0.694344; 0.231407;0.463433
78; 0.62539; 0.558971; 0.509338; 0.721468; 0.694344; 0.231407;0.463433
79; 0.62539; 0.557278; 0.509338; 0.721468; 0.694344; 0.231407;0.463433
80; 0.62539; 0.559345; 0.509338; 0.721468; 0.694344; 0.231407;0.463433
81; 0.62547; 0.556319; 0.643942; 0.593144; 0.591774; 0.251355;0.525449
82; 0.62547; 0.557887; 0.643942; 0.593144; 0.591774; 0.251355;0.525449
83; 0.628163; 0.559692; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
84; 0.628163; 0.56232; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
85; 0.628163; 0.557912; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
86; 0.628163; 0.558036; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
87; 0.628163; 0.553349; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
88; 0.628163; 0.555801; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
89; 0.628163; 0.553554; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
90; 0.628163; 0.552657; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
91; 0.628163; 0.552158; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
92; 0.628163; 0.552862; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
93; 0.628163; 0.555338; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
94; 0.633963; 0.558608; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
95; 0.633963; 0.559765; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
96; 0.633963; 0.555282; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
97; 0.633963; 0.553174; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
98; 0.633963; 0.555685; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
99; 0.633963; 0.556429; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
100; 0.633963; 0.556014; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
101; 0.633963; 0.557846; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
102; 0.633963; 0.556656; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
103; 0.633963; 0.5586; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
104; 0.633963; 0.557977; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
105; 0.633963; 0.557723; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
106; 0.633963; 0.552495; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
107; 0.633963; 0.553094; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
108; 0.633963; 0.548676; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
109; 0.633963; 0.550657; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
110; 0.633963; 0.55149; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
111; 0.635284; 0.552431; 0.682481; 0.577012; 0.587146; 0.255045;0.533957
112; 0.635284; 0.551111; 0.682481; 0.577012; 0.587146; 0.255045;0.533957
113; 0.635941; 0.553529; 0.683587; 0.57733; 0.587147; 0.255713;0.533737
114; 0.635941; 0.550967; 0.683587; 0.57733; 0.587147; 0.255713;0.533737
115; 0.635941; 0.550499; 0.683587; 0.57733; 0.587147; 0.255713;0.533737
116; 0.635941; 0.553582; 0.683587; 0.57733; 0.587147; 0.255713;0.533737
117; 0.635941; 0.554916; 0.683587; 0.57733; 0.587147; 0.255713;0.533737
118; 0.635941; 0.559466; 0.683587; 0.57733; 0.587147; 0.255713;0.533737
119; 0.635941; 0.56105; 0.683587; 0.57733; 0.587147; 0.255713;0.533737
120; 0.635941; 0.558999; 0.683587; 0.57733; 0.587147; 0.255713;0.533737
121; 0.636138; 0.558323; 0.691893; 0.569633; 0.583547; 0.255566;0.53557
122; 0.636757; 0.557372; 0.687587; 0.575096; 0.586889; 0.256519;0.533431
123; 0.636757; 0.557318; 0.687587; 0.575096; 0.586889; 0.256519;0.533431
124; 0.636757; 0.557939; 0.687587; 0.575096; 0.586889; 0.256519;0.533431
125; 0.636757; 0.555989; 0.687587; 0.575096; 0.586889; 0.256519;0.533431
126; 0.637037; 0.556607; 0.68895; 0.574347; 0.588175; 0.256331;0.533399
127; 0.637037; 0.555706; 0.68895; 0.574347; 0.588175; 0.256331;0.533399
128; 0.637037; 0.552127; 0.68895; 0.574347; 0.588175; 0.256331;0.533399
129; 0.637037; 0.550811; 0.68895; 0.574347; 0.588175; 0.256331;0.533399
130; 0.637037; 0.550996; 0.68895; 0.574347; 0.588175; 0.256331;0.533399
