#Summary : 
#Best fitness Pop 1;0.641804
#Best fitness Pop 2;0.641301
#Std deviation Pop 1;0.0302369
#Std deviation Pop 2;0.0272834
#Sensitivity;0.682079
#Specificity;0.591835
#Accuracy;0.605656
#PPV;0.259845
#RMSE;0.534768
#RRSE;1.76975
#RAE;1.63737
#MSE;0.289983
#ADM;0.479683
#MDM;0.0183685
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.2
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 1 AND ccr_zob_dhf_d is MF 0 THEN 4_Obese is MF 1 AND 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_pt_one_d is MF 1 AND ccr_saad3a17b_d is MF 1 AND ccr_cortisol_d is MF 1 THEN 3_Surpoid is MF 0 AND 2_Normal is MF 1
 IF ccr_thaldo_d is MF 2 THEN 
 IF ccr_sb_oh_f_d is MF 0 AND ccr_etio_d is MF 0 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_b_cortolone_d is MF 0 AND ccr_sa_thb_d is MF 1 THEN 4_Obese is MF 1 AND 5_ExtremeObese is MF 0 AND 3_Surpoid is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (87.8799 , 139.328 , 619.509) ; ccr_saad3a17b_d (50.3285 , 54.4428 , 67.4714) ; ccr_sa_thb_d (0.0970792 , 344.395 , 360.947) ; ccr_thaldo_d (4.26361 , 6.80856 , 21.23) ; ccr_pt_one_d (56.2189 , 66.4234 , 71.5257) ; ccr_cortisol_d (18.3694 , 54.0526 , 67.0907) ; ccr_thf_d (54.8805 , 169.883 , 453.797) ; ccr_b_cortolone_d (62.647 , 76.4688 , 135.211) ; ccr_sb_oh_f_d (11.2188 , 16.9522 , 26.3343) ; ccr_zob_dhf_d (14.612 , 167.254 , 261.187) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.524185; 0.51202; 0.3296; 0.72567; 0.741131; 0.215035;0.455285
2; 0.545576; 0.51815; 0.3296; 0.72567; 0.741131; 0.215035;0.455285
3; 0.542788; 0.514052; 0.247845; 0.821741; 0.756555; 0.281763;0.378347
4; 0.546907; 0.514161; 0.599458; 0.494194; 0.575064; 0.211039;0.583876
5; 0.569478; 0.523752; 0.604018; 0.52099; 0.569152; 0.146834;0.609413
6; 0.579564; 0.525616; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
7; 0.549071; 0.515973; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
8; 0.575284; 0.523399; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
9; 0.575284; 0.522693; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
10; 0.575284; 0.523523; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
11; 0.57912; 0.523615; 0.644263; 0.505045; 0.463496; 0.107233;0.575991
12; 0.579125; 0.523066; 0.630663; 0.518942; 0.467866; 0.107738;0.576385
13; 0.587492; 0.53245; 0.620263; 0.538039; 0.478406; 0.109931;0.575827
14; 0.589226; 0.531919; 0.611463; 0.550652; 0.484062; 0.111458;0.575822
15; 0.589175; 0.529604; 0.611463; 0.550652; 0.484062; 0.111458;0.575822
16; 0.589175; 0.526931; 0.611463; 0.550652; 0.484062; 0.111458;0.575822
17; 0.589175; 0.528272; 0.611463; 0.550652; 0.484062; 0.111458;0.575822
18; 0.589175; 0.529108; 0.611463; 0.550652; 0.484062; 0.111458;0.575822
19; 0.590712; 0.530181; 0.617863; 0.548153; 0.484576; 0.112365;0.57535
20; 0.589523; 0.534201; 0.617863; 0.548153; 0.484576; 0.112365;0.57535
21; 0.592267; 0.537913; 0.536511; 0.624477; 0.606684; 0.208533;0.494116
22; 0.592267; 0.53984; 0.536511; 0.624477; 0.606684; 0.208533;0.494116
23; 0.592267; 0.53854; 0.536511; 0.624477; 0.606684; 0.208533;0.494116
24; 0.593679; 0.537414; 0.576784; 0.593984; 0.534961; 0.16139;0.563567
25; 0.593679; 0.536846; 0.576784; 0.595348; 0.536247; 0.161536;0.563181
26; 0.593679; 0.535537; 0.576784; 0.595348; 0.536247; 0.161536;0.563181
27; 0.598383; 0.535882; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
28; 0.598383; 0.538049; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
29; 0.598806; 0.538447; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
30; 0.598383; 0.539163; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
31; 0.598383; 0.540646; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
32; 0.598383; 0.542084; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
33; 0.598383; 0.542226; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
34; 0.598383; 0.540112; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
35; 0.598383; 0.539566; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
36; 0.598806; 0.54324; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
37; 0.598806; 0.544174; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
38; 0.598806; 0.544973; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
39; 0.598806; 0.543988; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
40; 0.600089; 0.541167; 0.494395; 0.682376; 0.642931; 0.214069;0.479709
41; 0.600089; 0.542099; 0.494395; 0.682376; 0.642931; 0.214069;0.479709
42; 0.603433; 0.545374; 0.486968; 0.697284; 0.643959; 0.222065;0.48096
43; 0.603433; 0.543635; 0.486968; 0.697284; 0.643959; 0.222065;0.48096
44; 0.603433; 0.544349; 0.486968; 0.697284; 0.643959; 0.222065;0.48096
45; 0.61392; 0.545876; 0.64981; 0.562978; 0.541388; 0.244569;0.53704
46; 0.61392; 0.546346; 0.64981; 0.562978; 0.541388; 0.244569;0.53704
47; 0.61392; 0.545244; 0.64981; 0.562978; 0.541388; 0.244569;0.536986
48; 0.61392; 0.542603; 0.64981; 0.562978; 0.541388; 0.244569;0.536986
49; 0.61392; 0.54593; 0.64981; 0.562978; 0.541388; 0.244569;0.536986
50; 0.61392; 0.549541; 0.64981; 0.562978; 0.541388; 0.244569;0.536986
51; 0.61392; 0.550407; 0.64981; 0.562978; 0.541388; 0.244569;0.536986
52; 0.61392; 0.549768; 0.64981; 0.562978; 0.541388; 0.244569;0.536986
53; 0.61392; 0.547909; 0.64981; 0.562978; 0.541388; 0.244569;0.536986
54; 0.61392; 0.55166; 0.64981; 0.562978; 0.541388; 0.244569;0.536986
55; 0.613922; 0.553511; 0.64981; 0.562978; 0.541388; 0.244569;0.536986
56; 0.616318; 0.549439; 0.649461; 0.568556; 0.554756; 0.24913;0.536568
57; 0.616318; 0.549864; 0.649461; 0.568556; 0.554756; 0.24913;0.536568
58; 0.616318; 0.548983; 0.649461; 0.568556; 0.554756; 0.24913;0.536568
59; 0.617155; 0.548661; 0.657892; 0.5623; 0.552699; 0.246523;0.54006
60; 0.617155; 0.548245; 0.657892; 0.5623; 0.552699; 0.246523;0.54006
61; 0.617155; 0.544017; 0.657892; 0.5623; 0.552699; 0.246523;0.54006
62; 0.617155; 0.546937; 0.657892; 0.5623; 0.552699; 0.246523;0.54006
63; 0.617155; 0.546274; 0.657892; 0.5623; 0.552699; 0.246523;0.54006
64; 0.618947; 0.543814; 0.661348; 0.562668; 0.55527; 0.24775;0.53882
65; 0.621463; 0.549174; 0.649921; 0.578667; 0.582776; 0.248444;0.528744
66; 0.621464; 0.55062; 0.636927; 0.591494; 0.586632; 0.252497;0.526986
67; 0.621464; 0.548455; 0.641587; 0.596438; 0.599743; 0.252833;0.521105
68; 0.621464; 0.549098; 0.641587; 0.596438; 0.599743; 0.252833;0.521105
69; 0.621464; 0.547981; 0.641587; 0.596438; 0.599743; 0.252833;0.521105
70; 0.621464; 0.54717; 0.641587; 0.596438; 0.599743; 0.252833;0.521105
71; 0.621463; 0.546619; 0.657764; 0.584772; 0.592288; 0.25578;0.522355
72; 0.621463; 0.548618; 0.657764; 0.584772; 0.592288; 0.25578;0.522355
73; 0.621463; 0.5526; 0.657764; 0.584772; 0.592288; 0.25578;0.522355
74; 0.628083; 0.550949; 0.657764; 0.584772; 0.592288; 0.25578;0.522355
75; 0.628083; 0.551849; 0.657764; 0.584772; 0.592288; 0.25578;0.522355
76; 0.628083; 0.555664; 0.657764; 0.584772; 0.592288; 0.25578;0.522355
77; 0.628083; 0.554972; 0.657764; 0.584772; 0.592288; 0.25578;0.522355
78; 0.628083; 0.554525; 0.657764; 0.584772; 0.592288; 0.25578;0.522355
79; 0.628083; 0.553208; 0.657764; 0.584772; 0.592288; 0.25578;0.522355
80; 0.628083; 0.554865; 0.657764; 0.584772; 0.592288; 0.25578;0.522355
81; 0.63013; 0.552835; 0.649156; 0.597818; 0.603085; 0.254645;0.521684
82; 0.63013; 0.555332; 0.649156; 0.597818; 0.603085; 0.254645;0.521684
83; 0.63013; 0.555452; 0.649156; 0.597818; 0.603085; 0.254645;0.521684
84; 0.63013; 0.555538; 0.649156; 0.597818; 0.603085; 0.254645;0.521684
85; 0.63013; 0.55372; 0.649156; 0.597818; 0.603085; 0.254645;0.521684
86; 0.63013; 0.553337; 0.649156; 0.597818; 0.603085; 0.254645;0.521684
87; 0.63013; 0.551444; 0.649156; 0.597818; 0.603085; 0.254645;0.521684
88; 0.63013; 0.550197; 0.649156; 0.597818; 0.603085; 0.254645;0.521684
89; 0.63013; 0.55128; 0.649156; 0.597818; 0.603085; 0.254645;0.521684
90; 0.63013; 0.551276; 0.649156; 0.597818; 0.603085; 0.254645;0.521684
91; 0.63013; 0.550138; 0.649156; 0.597818; 0.603085; 0.254645;0.521684
92; 0.63013; 0.548334; 0.649156; 0.597818; 0.603085; 0.254645;0.521684
93; 0.633265; 0.55079; 0.662267; 0.591543; 0.609769; 0.261643;0.521047
94; 0.633265; 0.551926; 0.662267; 0.591543; 0.609769; 0.261643;0.521047
95; 0.633265; 0.554527; 0.662267; 0.591543; 0.609769; 0.261643;0.521047
96; 0.633265; 0.552288; 0.662267; 0.591543; 0.609769; 0.261643;0.521047
97; 0.633265; 0.552683; 0.662267; 0.591543; 0.609769; 0.261643;0.521047
98; 0.633265; 0.551177; 0.662267; 0.591543; 0.609769; 0.261643;0.521047
99; 0.633265; 0.55497; 0.662267; 0.591543; 0.609769; 0.261643;0.521047
100; 0.633265; 0.554612; 0.662267; 0.591543; 0.609769; 0.261643;0.521047
101; 0.633265; 0.55756; 0.662267; 0.591543; 0.609769; 0.261643;0.521047
102; 0.633265; 0.558455; 0.662267; 0.591543; 0.609769; 0.261643;0.521047
103; 0.634781; 0.560185; 0.660395; 0.596938; 0.611825; 0.259597;0.522985
104; 0.634781; 0.558281; 0.660395; 0.596938; 0.611825; 0.259597;0.522985
105; 0.634781; 0.561397; 0.660395; 0.596938; 0.611825; 0.259597;0.522985
106; 0.634781; 0.555122; 0.660395; 0.596938; 0.611825; 0.259597;0.522985
107; 0.634781; 0.553548; 0.660395; 0.596938; 0.611825; 0.259597;0.522985
108; 0.634781; 0.547684; 0.660395; 0.596938; 0.611825; 0.259597;0.522985
109; 0.634781; 0.552503; 0.660395; 0.596938; 0.611825; 0.259597;0.522985
110; 0.634781; 0.553579; 0.660395; 0.596938; 0.611825; 0.259597;0.522985
111; 0.634781; 0.554919; 0.660395; 0.596938; 0.611825; 0.259597;0.522985
112; 0.634781; 0.552089; 0.660395; 0.596938; 0.611825; 0.259597;0.522985
113; 0.634781; 0.555447; 0.660395; 0.596938; 0.611825; 0.259597;0.522985
114; 0.634781; 0.553457; 0.660395; 0.596938; 0.611825; 0.259597;0.522985
115; 0.634781; 0.554636; 0.660395; 0.596938; 0.611825; 0.259597;0.522985
116; 0.634781; 0.557084; 0.660395; 0.596938; 0.611825; 0.259597;0.522985
117; 0.634781; 0.557697; 0.660395; 0.596938; 0.611825; 0.259597;0.522985
118; 0.634781; 0.559899; 0.660395; 0.596938; 0.611825; 0.259597;0.522985
119; 0.634781; 0.559278; 0.660395; 0.596938; 0.611825; 0.259597;0.522985
120; 0.634781; 0.559475; 0.660395; 0.596938; 0.611825; 0.259597;0.522985
121; 0.634879; 0.559323; 0.661195; 0.596332; 0.611568; 0.260089;0.522774
122; 0.634879; 0.559896; 0.661195; 0.596332; 0.611568; 0.260089;0.522774
123; 0.634879; 0.559671; 0.661195; 0.596332; 0.611568; 0.260089;0.522774
124; 0.634879; 0.561362; 0.661195; 0.596332; 0.611568; 0.260089;0.522774
125; 0.634879; 0.560023; 0.661195; 0.596332; 0.611568; 0.260089;0.522774
126; 0.634879; 0.5601; 0.661195; 0.596332; 0.611568; 0.260089;0.522774
127; 0.634879; 0.559797; 0.661195; 0.596332; 0.611568; 0.260089;0.522774
128; 0.634879; 0.557563; 0.661195; 0.596332; 0.611568; 0.260089;0.522774
129; 0.634879; 0.555638; 0.661195; 0.596332; 0.611568; 0.260089;0.522774
130; 0.634896; 0.554516; 0.660702; 0.596868; 0.611568; 0.260177;0.522826
131; 0.634896; 0.556215; 0.660702; 0.596868; 0.611568; 0.260177;0.522826
