#Summary : 
#Best fitness Pop 1;0.655369
#Best fitness Pop 2;0.654423
#Std deviation Pop 1;0.0334136
#Std deviation Pop 2;0.0291264
#Sensitivity;0.674478
#Specificity;0.627889
#Accuracy;0.634961
#PPV;0.258427
#RMSE;0.520304
#RRSE;1.78005
#RAE;1.6467
#MSE;0.272271
#ADM;0.460705
#MDM;0.00979823
#Size;0.0909091
#OverLearn;0.225

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.2
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 1 AND ccr_zob_dhf_d is MF 0 THEN 4_Obese is MF 1 AND 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_sa_dihydrotest_d is MF 1 AND ccr_testosterone_d is MF 1 AND ccr_cortisone_d is MF 1 THEN 5_ExtremeObese is MF 0 AND 1_SousPoid is MF 0 AND 2_Normal is MF 1
 IF ccr_thaldo_d is MF 2 THEN 5_ExtremeObese is MF 1
 IF ccr_sb_oh_f_d is MF 0 AND ccr_dha_d is MF 0 AND ccr_etio_d is MF 0 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0
 IF ccr_zoa_dhf_d is MF 0 AND ccr_sa_thb_d is MF 1 THEN 3_Surpoid is MF 1 AND 5_ExtremeObese is MF 0 AND 4_Obese is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (53.5813 , 130.753 , 842.45) ; ccr_sa_dihydrotest_d (1.4139 , 3.25312 , 15.208) ; ccr_testosterone_d (0.833259 , 8.93105 , 15.3111) ; ccr_dha_d (120.062 , 875.064 , 1105.25) ; ccr_sa_thb_d (13.3393 , 192.109 , 192.109) ; ccr_thaldo_d (5.53609 , 20.8058 , 25.8957) ; ccr_thf_d (15.3483 , 213.009 , 399.889) ; ccr_cortisone_d (18.3846 , 22.5254 , 28.7366) ; ccr_sb_oh_f_d (12.7824 , 13.8249 , 31.5465) ; ccr_zoa_dhf_d (1.91039 , 30.9458 , 38.2047) ; ccr_zob_dhf_d (49.837 , 88.9758 , 378.603) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.524185; 0.51202; 0.3296; 0.72567; 0.741131; 0.215035;0.455285
2; 0.545576; 0.51815; 0.3296; 0.72567; 0.741131; 0.215035;0.455285
3; 0.542788; 0.514052; 0.247845; 0.821741; 0.756555; 0.281763;0.378347
4; 0.546907; 0.514161; 0.599458; 0.494194; 0.575064; 0.211039;0.583876
5; 0.569478; 0.523752; 0.604018; 0.52099; 0.569152; 0.146834;0.609413
6; 0.579564; 0.525616; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
7; 0.549071; 0.515973; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
8; 0.575284; 0.523399; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
9; 0.575284; 0.522693; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
10; 0.575284; 0.523523; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
11; 0.57912; 0.523615; 0.644263; 0.505045; 0.463496; 0.107233;0.575991
12; 0.579125; 0.523066; 0.630663; 0.518942; 0.467866; 0.107738;0.576385
13; 0.587492; 0.53245; 0.620263; 0.538039; 0.478406; 0.109931;0.575827
14; 0.589226; 0.531919; 0.611463; 0.550652; 0.484062; 0.111458;0.575822
15; 0.589175; 0.529604; 0.611463; 0.550652; 0.484062; 0.111458;0.575822
16; 0.589175; 0.526931; 0.611463; 0.550652; 0.484062; 0.111458;0.575822
17; 0.589175; 0.528272; 0.611463; 0.550652; 0.484062; 0.111458;0.575822
18; 0.589175; 0.529108; 0.617863; 0.548153; 0.484576; 0.112365;0.57535
19; 0.589523; 0.529932; 0.617863; 0.548153; 0.484576; 0.112365;0.57535
20; 0.589523; 0.534194; 0.617863; 0.548153; 0.484576; 0.112365;0.57535
21; 0.592267; 0.537998; 0.536511; 0.624477; 0.606684; 0.208533;0.494116
22; 0.592267; 0.539656; 0.536511; 0.624477; 0.606684; 0.208533;0.494116
23; 0.592267; 0.538332; 0.536511; 0.626144; 0.607969; 0.209156;0.492535
24; 0.593679; 0.537735; 0.576784; 0.595348; 0.536247; 0.161536;0.563181
25; 0.593679; 0.536481; 0.576784; 0.595348; 0.536247; 0.161536;0.563181
26; 0.593679; 0.535588; 0.566199; 0.609988; 0.547815; 0.161787;0.560926
27; 0.598383; 0.536105; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
28; 0.598806; 0.538783; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
29; 0.596255; 0.538844; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
30; 0.594437; 0.538909; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
31; 0.59747; 0.540864; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
32; 0.59747; 0.542188; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
33; 0.59747; 0.542249; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
34; 0.59747; 0.541159; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
35; 0.597795; 0.541037; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
36; 0.597795; 0.542986; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
37; 0.597795; 0.543439; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
38; 0.59844; 0.54401; 0.573079; 0.609132; 0.522365; 0.117908;0.565302
39; 0.60387; 0.543553; 0.538938; 0.647589; 0.636247; 0.226187;0.494242
40; 0.60387; 0.54124; 0.538938; 0.647589; 0.636247; 0.226187;0.494242
41; 0.60387; 0.541192; 0.538938; 0.647589; 0.636247; 0.226187;0.494242
42; 0.609796; 0.544606; 0.679479; 0.525714; 0.539332; 0.247808;0.552601
43; 0.609796; 0.542673; 0.679479; 0.525714; 0.539332; 0.247808;0.552601
44; 0.609796; 0.542704; 0.679479; 0.525714; 0.539332; 0.247808;0.552601
45; 0.609796; 0.543741; 0.679479; 0.525714; 0.539332; 0.247808;0.552601
46; 0.609796; 0.545565; 0.679479; 0.525714; 0.539332; 0.247808;0.552601
47; 0.609796; 0.54309; 0.679479; 0.525714; 0.539332; 0.247808;0.552601
48; 0.609796; 0.541235; 0.679479; 0.525714; 0.539332; 0.247808;0.552601
49; 0.610964; 0.546995; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
50; 0.610964; 0.550899; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
51; 0.610964; 0.55184; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
52; 0.610964; 0.5509; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
53; 0.610964; 0.55169; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
54; 0.610964; 0.553366; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
55; 0.610964; 0.554014; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
56; 0.610964; 0.55242; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
57; 0.610964; 0.549068; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
58; 0.610964; 0.54972; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
59; 0.610964; 0.549256; 0.683726; 0.524597; 0.531362; 0.242597;0.558537
60; 0.612238; 0.548584; 0.648245; 0.561124; 0.558098; 0.249733;0.539986
61; 0.612238; 0.54634; 0.648245; 0.561124; 0.558098; 0.249733;0.539986
62; 0.615968; 0.547965; 0.708308; 0.511894; 0.51671; 0.247475;0.567828
63; 0.615968; 0.547114; 0.708308; 0.511894; 0.51671; 0.247475;0.567828
64; 0.615968; 0.548324; 0.699975; 0.524894; 0.529049; 0.248196;0.56176
65; 0.615968; 0.551271; 0.699975; 0.524894; 0.529049; 0.248196;0.56176
66; 0.616693; 0.551868; 0.699975; 0.524894; 0.529049; 0.248196;0.56176
67; 0.616693; 0.552166; 0.699975; 0.524894; 0.529049; 0.248196;0.56176
68; 0.616693; 0.551114; 0.493731; 0.730832; 0.683033; 0.230564;0.4691
69; 0.616693; 0.551929; 0.493731; 0.730832; 0.683033; 0.230564;0.4691
70; 0.616693; 0.554533; 0.493731; 0.730832; 0.683033; 0.230564;0.4691
71; 0.623298; 0.553442; 0.533336; 0.694487; 0.665039; 0.230852;0.47962
72; 0.623298; 0.553887; 0.533336; 0.694487; 0.665039; 0.230852;0.47962
73; 0.624116; 0.557539; 0.533319; 0.696227; 0.678149; 0.230117;0.478853
74; 0.624116; 0.555099; 0.533319; 0.696227; 0.678149; 0.230117;0.478853
75; 0.624116; 0.554874; 0.533319; 0.696227; 0.678149; 0.230117;0.478853
76; 0.624116; 0.557387; 0.533319; 0.696227; 0.678149; 0.230117;0.478853
77; 0.62539; 0.556556; 0.509338; 0.721468; 0.694344; 0.231407;0.463433
78; 0.62539; 0.557718; 0.509338; 0.721468; 0.694344; 0.231407;0.463433
79; 0.62539; 0.557208; 0.509338; 0.721468; 0.694344; 0.231407;0.463433
80; 0.62539; 0.557696; 0.509338; 0.721468; 0.694344; 0.231407;0.463433
81; 0.62547; 0.555854; 0.643942; 0.593144; 0.591774; 0.251355;0.525449
82; 0.62547; 0.557844; 0.643942; 0.593144; 0.591774; 0.251355;0.525449
83; 0.628163; 0.558743; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
84; 0.628163; 0.559833; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
85; 0.628163; 0.557326; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
86; 0.628163; 0.557758; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
87; 0.628163; 0.553494; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
88; 0.628163; 0.554882; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
89; 0.628163; 0.553394; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
90; 0.628163; 0.552872; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
91; 0.628163; 0.551618; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
92; 0.628163; 0.551227; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
93; 0.628163; 0.553076; 0.671156; 0.573094; 0.579692; 0.251355;0.538379
94; 0.633963; 0.556177; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
95; 0.633963; 0.557728; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
96; 0.633963; 0.553706; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
97; 0.633963; 0.551267; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
98; 0.633963; 0.55289; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
99; 0.633963; 0.554583; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
100; 0.633963; 0.554122; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
101; 0.633963; 0.556893; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
102; 0.633963; 0.557305; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
103; 0.633963; 0.558574; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
104; 0.633963; 0.556689; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
105; 0.633963; 0.556844; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
106; 0.633963; 0.551109; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
107; 0.633963; 0.551996; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
108; 0.633963; 0.548046; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
109; 0.633963; 0.550778; 0.678182; 0.578452; 0.587404; 0.255484;0.53443
110; 0.633963; 0.550494; 0.704925; 0.560545; 0.571465; 0.252517;0.566144
111; 0.635284; 0.551963; 0.709412; 0.559399; 0.571208; 0.25261;0.565497
112; 0.638162; 0.549704; 0.709412; 0.559399; 0.571208; 0.25261;0.565497
113; 0.638587; 0.551146; 0.710331; 0.559428; 0.570951; 0.253044;0.565635
114; 0.640472; 0.547926; 0.713803; 0.559904; 0.575064; 0.255002;0.563496
115; 0.640472; 0.549401; 0.713803; 0.559904; 0.575064; 0.255002;0.563496
116; 0.640472; 0.550866; 0.713803; 0.559904; 0.575064; 0.255002;0.563496
117; 0.640472; 0.555243; 0.713803; 0.559904; 0.575064; 0.255002;0.563496
118; 0.640472; 0.557361; 0.713803; 0.559904; 0.575064; 0.255002;0.563496
119; 0.640472; 0.558009; 0.713803; 0.559904; 0.575064; 0.255002;0.563496
120; 0.640472; 0.555085; 0.713803; 0.559904; 0.575064; 0.255002;0.563496
121; 0.644002; 0.552481; 0.721803; 0.559639; 0.575064; 0.255472;0.563161
122; 0.644002; 0.553086; 0.721803; 0.559639; 0.575064; 0.255472;0.563161
123; 0.644002; 0.55382; 0.721803; 0.559639; 0.575064; 0.255472;0.563161
124; 0.644589; 0.555922; 0.721803; 0.560911; 0.57635; 0.255668;0.562971
125; 0.644589; 0.553475; 0.721803; 0.560911; 0.57635; 0.255668;0.562971
126; 0.644589; 0.555271; 0.721803; 0.560911; 0.57635; 0.255668;0.562971
127; 0.644589; 0.554859; 0.721803; 0.560911; 0.57635; 0.255668;0.562971
128; 0.644589; 0.549413; 0.721803; 0.560911; 0.57635; 0.255668;0.562971
129; 0.644589; 0.547954; 0.721803; 0.560911; 0.57635; 0.255668;0.562971
