#Summary : 
#Best fitness Pop 1;0.619406
#Best fitness Pop 2;0.619406
#Std deviation Pop 1;0.0293433
#Std deviation Pop 2;0.0228112
#Sensitivity;0.493902
#Specificity;0.734006
#Accuracy;0.573779
#PPV;0.251667
#RMSE;0.569329
#RRSE;1.6881
#RAE;1.4982
#MSE;0.328255
#ADM;0.462293
#MDM;0.164306
#Size;0.0909091
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.2
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 1 AND ccr_zob_dhf_d is MF 0 THEN 4_Obese is MF 1 AND 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_s_at_d is MF 1 AND ccr_sa_thb_d is MF 1 AND ccr_cortisol_d is MF 2 THEN 3_Surpoid is MF 0 AND 4_Obese is MF 0
 IF ccr_thb_d is MF 1 AND ccr_testosterone_d is MF 0 THEN 4_Obese is MF 1 AND 2_Normal is MF 1
 IF ccr_cortisone_d is MF 1 AND ccr_testosterone_d is MF 0 THEN 2_Normal is MF 1 AND 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_ll_oxo_etio_d is MF 0 AND ccr_testosterone_d is MF 1 THEN 1_SousPoid is MF 1 AND 4_Obese is MF 0 AND 5_ExtremeObese is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 0  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_s_at_d (40.9862 , 55.2785 , 272.045) ; ccr_testosterone_d (4.26869 , 7.45872 , 7.9495) ; ccr_thb_d (69.8233 , 74.2921 , 101.105) ; ccr_sa_thb_d (3.40763 , 142.451 , 314.6) ; ccr_cortisol_d (9.44865 , 14.2522 , 36.8972) ; ccr_thf_d (15.3483 , 213.009 , 457.39) ; ccr_cortisone_d (16.3142 , 55.1342 , 62.8982) ; ccr_ll_oxo_etio_d (78.9717 , 108.331 , 122.424) ; ccr_zob_dhf_d (38.0953 , 135.942 , 378.603) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.524185; 0.51202; 0.3296; 0.72567; 0.741131; 0.215035;0.455285
2; 0.544833; 0.513656; 0.240662; 0.809248; 0.773779; 0.198209;0.37184
3; 0.542788; 0.514128; 0.247845; 0.821741; 0.756555; 0.281763;0.378347
4; 0.546389; 0.514682; 0.599458; 0.494194; 0.575064; 0.211039;0.583876
5; 0.574571; 0.524198; 0.302827; 0.826145; 0.641388; 0.221386;0.566151
6; 0.560416; 0.520639; 0.302827; 0.826145; 0.641388; 0.221386;0.566151
7; 0.560416; 0.518455; 0.327333; 0.81475; 0.630848; 0.0218305;0.531888
8; 0.551207; 0.518707; 0.327333; 0.81475; 0.630848; 0.0218305;0.531888
9; 0.557772; 0.522036; 0.654468; 0.499114; 0.547558; 0.14701;0.581288
10; 0.556535; 0.52328; 0.654468; 0.499114; 0.547558; 0.14701;0.581288
11; 0.556413; 0.523453; 0.654468; 0.499114; 0.547558; 0.14701;0.581288
12; 0.55381; 0.522744; 0.654468; 0.499114; 0.547558; 0.14701;0.581288
13; 0.58185; 0.529291; 0.654468; 0.499114; 0.547558; 0.14701;0.581288
14; 0.578179; 0.528528; 0.654468; 0.499114; 0.547558; 0.14701;0.581288
15; 0.585116; 0.526669; 0.654468; 0.499114; 0.547558; 0.14701;0.581288
16; 0.586372; 0.525183; 0.459766; 0.696889; 0.536761; 0.0429819;0.584626
17; 0.586372; 0.526622; 0.459766; 0.696889; 0.536761; 0.0429819;0.584626
18; 0.586372; 0.527673; 0.459766; 0.696889; 0.536761; 0.0429819;0.584626
19; 0.586372; 0.528048; 0.459766; 0.696889; 0.536761; 0.0429819;0.584626
20; 0.587817; 0.531213; 0.462468; 0.69742; 0.537532; 0.0434287;0.585229
21; 0.587817; 0.534713; 0.462468; 0.69742; 0.537532; 0.0434287;0.585229
22; 0.588732; 0.534549; 0.457063; 0.704994; 0.544216; 0.0434649;0.586907
23; 0.588732; 0.532765; 0.457063; 0.704994; 0.544216; 0.0434649;0.586907
24; 0.588732; 0.531346; 0.457063; 0.704994; 0.544216; 0.0434649;0.586907
25; 0.588732; 0.531466; 0.457063; 0.704994; 0.544216; 0.0434649;0.586907
26; 0.588732; 0.528886; 0.457063; 0.704994; 0.544216; 0.0434649;0.586907
27; 0.588732; 0.530925; 0.44355; 0.719298; 0.555784; 0.044127;0.580703
28; 0.588732; 0.531446; 0.472372; 0.699342; 0.550643; 0.178563;0.579506
29; 0.588732; 0.532547; 0.472372; 0.699342; 0.550643; 0.178563;0.579506
30; 0.589352; 0.533559; 0.472372; 0.699342; 0.550643; 0.178563;0.579506
31; 0.589352; 0.534621; 0.472372; 0.699342; 0.550643; 0.178563;0.579506
32; 0.589352; 0.534943; 0.472372; 0.699342; 0.550643; 0.178563;0.579506
33; 0.590075; 0.534462; 0.475568; 0.697067; 0.549357; 0.177283;0.575481
