#Summary : 
#Best fitness Pop 1;0.618442
#Best fitness Pop 2;0.618269
#Std deviation Pop 1;0.0270804
#Std deviation Pop 2;0.0226173
#Sensitivity;0.598948
#Specificity;0.631171
#Accuracy;0.535733
#PPV;0.128945
#RMSE;0.61646
#RRSE;1.70433
#RAE;1.50076
#MSE;0.388897
#ADM;0.517706
#MDM;0.120554
#Size;0.0833333
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.2
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 1 AND ccr_zob_dhf_d is MF 0 THEN 4_Obese is MF 1 AND 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_pt_d is MF 1 AND ccr_thdoc_d is MF 1 AND ccr_thf_d is MF 2 THEN 3_Surpoid is MF 1 AND 4_Obese is MF 0
 IF ccr_sa_thb_d is MF 2 AND ccr_etio_d is MF 1 AND ccr_l7b_estradiol_d is MF 0 THEN 2_Normal is MF 1
 IF ccr_cortisone_d is MF 1 THEN 2_Normal is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_zob_dhf_d is MF 0 AND ccr_s_ad_17b_d is MF 0 AND ccr_testosterone_d is MF 1 THEN 4_Obese is MF 1 AND 3_Surpoid is MF 1 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (70.7306 , 525.188 , 833.875) ; ccr_s_ad_17b_d (21.9019 , 43.4326 , 125.967) ; ccr_testosterone_d (1.32403 , 1.32403 , 17.0288) ; ccr_l7b_estradiol_d (10.0941 , 13.2084 , 14.7034) ; ccr_sa_thb_d (172.246 , 268.252 , 304.668) ; ccr_thdoc_d (0.632513 , 2.53656 , 8.38468) ; ccr_pt_d (227.844 , 400.809 , 500.947) ; ccr_thf_d (47.6929 , 177.071 , 464.578) ; ccr_cortisone_d (15.279 , 40.6414 , 56.687) ; ccr_zob_dhf_d (53.7508 , 120.287 , 167.254) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 0) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.524185; 0.51202; 0.3296; 0.72567; 0.741131; 0.215035;0.455285
2; 0.545576; 0.51815; 0.3296; 0.72567; 0.741131; 0.215035;0.455285
3; 0.542788; 0.514052; 0.247845; 0.821741; 0.756555; 0.281763;0.378347
4; 0.546907; 0.514161; 0.599458; 0.494194; 0.575064; 0.211039;0.583876
5; 0.569478; 0.523752; 0.604018; 0.52099; 0.569152; 0.146834;0.609413
6; 0.560416; 0.520244; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
7; 0.560416; 0.518892; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
8; 0.575284; 0.523566; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
9; 0.575284; 0.522844; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
10; 0.575284; 0.523467; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
11; 0.583397; 0.530733; 0.644263; 0.505045; 0.463496; 0.107233;0.575991
12; 0.578657; 0.52765; 0.644263; 0.505045; 0.463496; 0.107233;0.575991
13; 0.588032; 0.532967; 0.621063; 0.538418; 0.47892; 0.110265;0.575732
14; 0.582398; 0.528998; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
15; 0.589445; 0.527403; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
16; 0.589445; 0.525726; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
17; 0.575855; 0.527425; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
18; 0.589258; 0.523991; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
19; 0.590122; 0.528743; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
20; 0.590122; 0.530648; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
21; 0.590122; 0.532541; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
22; 0.590122; 0.531611; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
23; 0.590122; 0.532066; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
24; 0.590941; 0.530741; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
25; 0.590941; 0.530906; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
26; 0.59126; 0.528515; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
27; 0.59152; 0.530722; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
28; 0.59152; 0.531201; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
29; 0.593058; 0.531181; 0.454018; 0.719121; 0.560411; 0.0464729;0.603951
30; 0.593058; 0.534875; 0.454018; 0.719121; 0.560411; 0.0464729;0.603951
31; 0.593058; 0.53686; 0.454018; 0.719121; 0.560411; 0.0464729;0.603951
32; 0.593062; 0.536926; 0.454018; 0.719121; 0.560411; 0.0464729;0.603875
33; 0.593062; 0.535294; 0.454018; 0.719121; 0.560411; 0.0464729;0.603869
34; 0.593062; 0.533008; 0.454018; 0.719121; 0.560411; 0.0464729;0.603869
35; 0.593371; 0.53394; 0.437243; 0.735623; 0.574036; 0.0477312;0.593466
36; 0.593371; 0.536897; 0.437243; 0.735623; 0.574036; 0.0477312;0.593466
37; 0.593371; 0.539484; 0.437243; 0.735623; 0.574036; 0.0477312;0.593466
38; 0.593817; 0.538861; 0.456721; 0.717184; 0.558612; 0.0464219;0.594091
39; 0.593817; 0.537689; 0.456721; 0.717184; 0.558612; 0.0464219;0.594091
40; 0.593817; 0.533554; 0.456721; 0.717184; 0.558612; 0.0464219;0.594091
41; 0.594694; 0.534186; 0.429135; 0.746172; 0.582776; 0.0485729;0.588351
42; 0.594694; 0.53941; 0.429135; 0.746172; 0.582776; 0.0485729;0.588351
43; 0.595906; 0.539496; 0.664721; 0.518356; 0.488432; 0.111478;0.644798
44; 0.596083; 0.540874; 0.467532; 0.711465; 0.554499; 0.0469127;0.595247
45; 0.596215; 0.540154; 0.678234; 0.506367; 0.47892; 0.111392;0.654365
46; 0.596215; 0.540423; 0.678234; 0.506367; 0.47892; 0.111392;0.654365
47; 0.59842; 0.536195; 0.675532; 0.513204; 0.484833; 0.112047;0.646255
48; 0.59842; 0.534283; 0.675532; 0.51508; 0.486632; 0.112309;0.645468
49; 0.59842; 0.538866; 0.675532; 0.51508; 0.486632; 0.112309;0.645468
50; 0.59842; 0.54262; 0.675532; 0.51508; 0.486632; 0.112309;0.645468
51; 0.59842; 0.54349; 0.675532; 0.51508; 0.486632; 0.112309;0.645468
52; 0.59842; 0.543421; 0.675532; 0.51508; 0.486632; 0.112309;0.645468
53; 0.59842; 0.542396; 0.675532; 0.51508; 0.486632; 0.112309;0.645468
54; 0.59842; 0.543033; 0.675532; 0.51508; 0.486632; 0.112309;0.645468
55; 0.59842; 0.543344; 0.675532; 0.51508; 0.486632; 0.112309;0.645468
56; 0.59842; 0.53927; 0.675532; 0.51508; 0.486632; 0.112309;0.645468
57; 0.59842; 0.538402; 0.478234; 0.709224; 0.552956; 0.0474386;0.600052
58; 0.598522; 0.539693; 0.478234; 0.709224; 0.552956; 0.0474386;0.600052
59; 0.601487; 0.539447; 0.667198; 0.529934; 0.500771; 0.114151;0.639606
60; 0.601487; 0.538549; 0.667198; 0.529934; 0.500771; 0.114151;0.639606
61; 0.601487; 0.539416; 0.667198; 0.529934; 0.500771; 0.114151;0.639606
62; 0.602127; 0.540654; 0.667198; 0.529934; 0.500771; 0.114151;0.639606
63; 0.602127; 0.538117; 0.667198; 0.529934; 0.500771; 0.114151;0.639606
64; 0.603681; 0.540607; 0.667198; 0.532579; 0.503085; 0.114683;0.640236
65; 0.603681; 0.543464; 0.667198; 0.532579; 0.503085; 0.114683;0.640236
66; 0.603681; 0.543687; 0.667198; 0.532579; 0.503085; 0.114683;0.640236
67; 0.603681; 0.542648; 0.667198; 0.532579; 0.503085; 0.114683;0.640236
68; 0.603681; 0.541966; 0.667198; 0.532579; 0.503085; 0.114683;0.640236
69; 0.603681; 0.541586; 0.667198; 0.532579; 0.503085; 0.114683;0.640236
70; 0.603681; 0.543238; 0.667198; 0.532579; 0.503085; 0.114683;0.640236
71; 0.603681; 0.538433; 0.667198; 0.532579; 0.503085; 0.114683;0.640236
72; 0.604566; 0.540164; 0.500496; 0.703412; 0.566067; 0.123848;0.585969
73; 0.604566; 0.542711; 0.500496; 0.703412; 0.566067; 0.123848;0.585969
74; 0.607794; 0.543698; 0.500496; 0.703412; 0.566067; 0.123848;0.585969
75; 0.607794; 0.543517; 0.500496; 0.703412; 0.566067; 0.123848;0.585969
76; 0.607794; 0.543859; 0.500496; 0.703412; 0.566067; 0.123848;0.585969
77; 0.607794; 0.541951; 0.500496; 0.703412; 0.566067; 0.123848;0.585969
78; 0.607794; 0.54315; 0.500496; 0.703412; 0.566067; 0.123848;0.585969
79; 0.608468; 0.544805; 0.513101; 0.692522; 0.559897; 0.126271;0.588486
80; 0.608468; 0.544294; 0.513101; 0.692522; 0.559897; 0.126271;0.588486
81; 0.608468; 0.542105; 0.513101; 0.692522; 0.559897; 0.126271;0.588486
82; 0.60882; 0.545395; 0.583414; 0.62595; 0.530334; 0.121977;0.621039
83; 0.60882; 0.543419; 0.583414; 0.62595; 0.530334; 0.121977;0.621039
84; 0.60882; 0.54212; 0.583414; 0.62595; 0.530334; 0.121977;0.621039
85; 0.60882; 0.54112; 0.583414; 0.62595; 0.530334; 0.121977;0.621039
86; 0.60882; 0.53993; 0.583414; 0.62595; 0.530334; 0.121977;0.621039
87; 0.60882; 0.539852; 0.583414; 0.62595; 0.530334; 0.121977;0.621039
88; 0.60882; 0.541123; 0.583414; 0.62595; 0.530334; 0.121977;0.621039
89; 0.60882; 0.541684; 0.583414; 0.62595; 0.530334; 0.121977;0.621039
90; 0.60882; 0.540745; 0.583414; 0.62595; 0.530334; 0.121977;0.621039
91; 0.608874; 0.541383; 0.513101; 0.693374; 0.560668; 0.126395;0.588041
92; 0.608874; 0.539238; 0.513101; 0.693942; 0.561183; 0.126479;0.587738
93; 0.608874; 0.540338; 0.535004; 0.675382; 0.553728; 0.127781;0.595825
94; 0.608874; 0.541647; 0.535004; 0.675382; 0.553728; 0.127781;0.595825
95; 0.609145; 0.542334; 0.535004; 0.675382; 0.553728; 0.127781;0.595825
96; 0.609145; 0.541015; 0.535004; 0.675382; 0.553728; 0.127781;0.595825
97; 0.609145; 0.541387; 0.535004; 0.675382; 0.553728; 0.127781;0.595825
98; 0.609145; 0.541062; 0.587717; 0.626768; 0.532134; 0.122538;0.61408
99; 0.609145; 0.541246; 0.587717; 0.626768; 0.532134; 0.122538;0.61408
100; 0.609145; 0.541884; 0.587717; 0.626768; 0.532134; 0.122538;0.61408
101; 0.609145; 0.54518; 0.587717; 0.626768; 0.532134; 0.122538;0.61408
102; 0.609145; 0.545876; 0.587717; 0.626768; 0.532134; 0.122538;0.61408
103; 0.609145; 0.547926; 0.587717; 0.626768; 0.532134; 0.122538;0.61408
104; 0.609161; 0.544379; 0.605317; 0.612942; 0.527763; 0.123855;0.619112
105; 0.609332; 0.54533; 0.606117; 0.613166; 0.528278; 0.124131;0.622637
106; 0.609332; 0.541086; 0.606117; 0.613166; 0.528278; 0.124131;0.622637
107; 0.609586; 0.539204; 0.606117; 0.613166; 0.528278; 0.124131;0.622637
108; 0.609332; 0.539213; 0.606117; 0.613166; 0.528278; 0.124131;0.622637
109; 0.610959; 0.541828; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
110; 0.610959; 0.540896; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
111; 0.614005; 0.541765; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
112; 0.614005; 0.540631; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
113; 0.614005; 0.541491; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
114; 0.614005; 0.537985; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
115; 0.614005; 0.538718; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
116; 0.614005; 0.539162; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
117; 0.614005; 0.540974; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
118; 0.614005; 0.540526; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
119; 0.614005; 0.541613; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
120; 0.614005; 0.542143; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
121; 0.614005; 0.543688; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
122; 0.614005; 0.543861; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
123; 0.614005; 0.544193; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
124; 0.614005; 0.548123; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
125; 0.614005; 0.544943; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
126; 0.614005; 0.543785; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
127; 0.614005; 0.543329; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
128; 0.614005; 0.540657; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
129; 0.614005; 0.536692; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
130; 0.614005; 0.536973; 0.598614; 0.622067; 0.533162; 0.125391;0.620042
