#Summary : 
#Best fitness Pop 1;0.612192
#Best fitness Pop 2;0.612472
#Std deviation Pop 1;0.0278474
#Std deviation Pop 2;0.021698
#Sensitivity;0.667432
#Specificity;0.546295
#Accuracy;0.591774
#PPV;0.156036
#RMSE;0.580893
#RRSE;1.63425
#RAE;1.39516
#MSE;0.340946
#ADM;0.496571
#MDM;0.21235
#Size;0.111111
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.2
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 1 AND ccr_zob_dhf_d is MF 0 THEN 4_Obese is MF 1 AND 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_sa_dihydrotest_d is MF 1 AND ccr_sa_thb_d is MF 0 AND ccr_a_cortol_d is MF 2 THEN 5_ExtremeObese is MF 1 AND 4_Obese is MF 1 AND 3_Surpoid is MF 0
 IF ccr_sa_thb_d is MF 1 THEN 2_Normal is MF 1
 IF ccr_cortisone_d is MF 1 AND ccr_testosterone_d is MF 0 THEN 2_Normal is MF 0 AND 5_ExtremeObese is MF 0 AND 3_Surpoid is MF 1
 IF ccr_sa_thb_d is MF 1 THEN 1_SousPoid is MF 1 AND 4_Obese is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 0  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_sa_dihydrotest_d (6.93155 , 15.5146 , 17.8136) ; ccr_testosterone_d (0.0970968 , 11.8757 , 25.372) ; ccr_sa_thb_d (19.9604 , 76.2398 , 79.5504) ; ccr_thf_d (72.8497 , 159.102 , 460.984) ; ccr_a_cortol_d (105.866 , 265.571 , 350.931) ; ccr_cortisone_d (15.279 , 50.9934 , 53.5814) ; ccr_zob_dhf_d (38.0953 , 124.201 , 355.12) ; 1_SousPoid (0 , 1) ; 2_Normal (1 , 1) ; 3_Surpoid (0 , 0) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.524185; 0.51202; 0.3296; 0.72567; 0.741131; 0.215035;0.455285
2; 0.545576; 0.51815; 0.3296; 0.72567; 0.741131; 0.215035;0.455285
3; 0.542788; 0.514052; 0.247845; 0.821741; 0.756555; 0.281763;0.378347
4; 0.546907; 0.514161; 0.599458; 0.494194; 0.575064; 0.211039;0.583876
5; 0.569478; 0.523752; 0.604018; 0.52099; 0.569152; 0.146834;0.609413
6; 0.560416; 0.520244; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
7; 0.579564; 0.526868; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
8; 0.557582; 0.519259; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
9; 0.574886; 0.522808; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
10; 0.574886; 0.523506; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
11; 0.583397; 0.530598; 0.644263; 0.505045; 0.463496; 0.107233;0.575991
12; 0.578657; 0.527511; 0.644263; 0.505045; 0.463496; 0.107233;0.575991
13; 0.587455; 0.533465; 0.621863; 0.536366; 0.476864; 0.110389;0.575909
14; 0.582398; 0.529236; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
15; 0.589445; 0.527273; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
16; 0.57585; 0.525883; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
17; 0.57585; 0.5269; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
18; 0.580165; 0.525868; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
19; 0.580165; 0.525969; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
20; 0.589219; 0.52554; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
21; 0.589219; 0.527685; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
22; 0.591692; 0.529814; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
23; 0.591692; 0.531572; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
24; 0.591692; 0.530053; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
25; 0.591692; 0.531578; 0.726905; 0.450105; 0.51928; 0.221505;0.60545
26; 0.591692; 0.529296; 0.726905; 0.450105; 0.51928; 0.221505;0.60545
27; 0.593835; 0.530014; 0.726905; 0.450105; 0.51928; 0.221505;0.60545
28; 0.591475; 0.530892; 0.726905; 0.450105; 0.51928; 0.221505;0.60545
29; 0.593337; 0.531264; 0.726905; 0.450105; 0.51928; 0.221505;0.60545
30; 0.594445; 0.53484; 0.726905; 0.450105; 0.51928; 0.221505;0.60545
31; 0.594975; 0.537173; 0.688094; 0.489207; 0.538818; 0.298981;0.603341
32; 0.594976; 0.538037; 0.688094; 0.489207; 0.538818; 0.298981;0.60334
33; 0.594976; 0.537308; 0.688094; 0.489207; 0.538818; 0.298981;0.60334
34; 0.594758; 0.532977; 0.688094; 0.489207; 0.538818; 0.298981;0.60334
35; 0.594758; 0.534607; 0.688094; 0.489207; 0.538818; 0.298981;0.60334
36; 0.596299; 0.536543; 0.729474; 0.451267; 0.520051; 0.220646;0.609154
37; 0.594976; 0.540787; 0.729474; 0.451267; 0.520051; 0.220646;0.609154
38; 0.595871; 0.540791; 0.729474; 0.451267; 0.520051; 0.220646;0.609154
39; 0.594758; 0.536685; 0.729474; 0.451267; 0.520051; 0.220646;0.609154
40; 0.594976; 0.535182; 0.729474; 0.451267; 0.520051; 0.220646;0.609154
41; 0.59643; 0.536689; 0.896505; 0.288754; 0.467095; 0.214514;0.656442
42; 0.59643; 0.540181; 0.896505; 0.288754; 0.467095; 0.214514;0.656442
43; 0.59643; 0.538974; 0.896505; 0.288754; 0.467095; 0.214514;0.656442
44; 0.59643; 0.541879; 0.896505; 0.288754; 0.467095; 0.214514;0.656442
45; 0.59643; 0.542157; 0.896505; 0.288754; 0.467095; 0.214514;0.656442
46; 0.596898; 0.542309; 0.691099; 0.49065; 0.539846; 0.149687;0.605732
47; 0.596898; 0.539099; 0.691099; 0.49065; 0.539846; 0.149687;0.605732
48; 0.596898; 0.536641; 0.691099; 0.49065; 0.539846; 0.149687;0.605732
49; 0.597301; 0.538721; 0.693499; 0.488943; 0.539075; 0.299591;0.603616
50; 0.598514; 0.545451; 0.703099; 0.482236; 0.537275; 0.246349;0.606072
51; 0.598514; 0.544366; 0.703099; 0.48305; 0.538046; 0.246499;0.605706
52; 0.59913; 0.544457; 0.696504; 0.490082; 0.539846; 0.150313;0.604938
53; 0.599299; 0.544398; 0.708504; 0.478545; 0.534447; 0.246293;0.605946
54; 0.599299; 0.54524; 0.708504; 0.478545; 0.534447; 0.246293;0.605946
55; 0.599299; 0.545525; 0.708504; 0.478545; 0.534447; 0.246293;0.605942
56; 0.600239; 0.540182; 0.708504; 0.480551; 0.536247; 0.246747;0.605254
57; 0.600239; 0.541211; 0.708504; 0.480551; 0.536247; 0.246747;0.605254
58; 0.600239; 0.541846; 0.708504; 0.480551; 0.536247; 0.246747;0.605254
59; 0.600239; 0.540694; 0.708504; 0.480551; 0.536247; 0.246747;0.605254
60; 0.600239; 0.54051; 0.708504; 0.480551; 0.536247; 0.246747;0.605254
61; 0.600239; 0.538352; 0.708504; 0.480551; 0.536247; 0.246747;0.605254
62; 0.60056; 0.542309; 0.708504; 0.481176; 0.536761; 0.250023;0.604382
63; 0.60056; 0.539998; 0.708504; 0.481176; 0.536761; 0.250023;0.604382
64; 0.60056; 0.540743; 0.708504; 0.481176; 0.536761; 0.250023;0.604382
65; 0.600566; 0.545316; 0.675843; 0.514807; 0.56838; 0.190391;0.597635
66; 0.600566; 0.545283; 0.675843; 0.514807; 0.56838; 0.190391;0.597635
67; 0.600566; 0.54571; 0.676643; 0.516437; 0.570437; 0.193005;0.596402
68; 0.600566; 0.542286; 0.467432; 0.727616; 0.566067; 0.048172;0.595171
69; 0.600566; 0.541819; 0.467432; 0.727616; 0.566067; 0.048172;0.595171
70; 0.600566; 0.543958; 0.467432; 0.727616; 0.566067; 0.048172;0.595171
71; 0.600566; 0.540167; 0.670243; 0.529391; 0.577378; 0.153177;0.596629
72; 0.602605; 0.543123; 0.670243; 0.529391; 0.577378; 0.153177;0.596629
73; 0.60223; 0.545284; 0.670243; 0.529391; 0.577378; 0.153177;0.596629
74; 0.600635; 0.54458; 0.670243; 0.529391; 0.577378; 0.153177;0.596629
75; 0.599778; 0.545026; 0.670243; 0.529391; 0.577378; 0.153177;0.596629
76; 0.603345; 0.547656; 0.670243; 0.529391; 0.577378; 0.153177;0.596629
77; 0.599771; 0.546436; 0.670243; 0.529391; 0.577378; 0.153177;0.596629
78; 0.605406; 0.545855; 0.670243; 0.529391; 0.577378; 0.153177;0.596629
79; 0.605406; 0.546546; 0.670243; 0.529391; 0.577378; 0.153177;0.596629
80; 0.605406; 0.546374; 0.670243; 0.529391; 0.577378; 0.153177;0.596629
81; 0.605406; 0.545223; 0.670243; 0.529391; 0.577378; 0.153177;0.596629
82; 0.605531; 0.546162; 0.670243; 0.529657; 0.577635; 0.15323;0.596532
83; 0.605974; 0.546537; 0.667432; 0.532594; 0.57892; 0.153513;0.587297
84; 0.605974; 0.547248; 0.667432; 0.532594; 0.57892; 0.153513;0.587297
85; 0.605974; 0.545373; 0.667432; 0.532594; 0.57892; 0.153513;0.587297
86; 0.607828; 0.542372; 0.667432; 0.536556; 0.582519; 0.154063;0.586051
87; 0.607828; 0.540072; 0.667432; 0.536556; 0.582519; 0.154063;0.586051
88; 0.607828; 0.542122; 0.667432; 0.536556; 0.582519; 0.154063;0.586051
89; 0.607828; 0.541282; 0.667432; 0.536556; 0.582519; 0.154063;0.586051
90; 0.607828; 0.540336; 0.667432; 0.536556; 0.582519; 0.154063;0.586051
91; 0.607828; 0.542046; 0.667432; 0.536556; 0.582519; 0.154063;0.586051
92; 0.607828; 0.53769; 0.667432; 0.536556; 0.582519; 0.154063;0.586051
93; 0.607828; 0.539167; 0.667432; 0.536556; 0.582519; 0.154063;0.586051
94; 0.607828; 0.540621; 0.667432; 0.536556; 0.582519; 0.154063;0.586051
95; 0.607828; 0.541211; 0.667432; 0.536556; 0.582519; 0.154063;0.586051
96; 0.607828; 0.54023; 0.667432; 0.536556; 0.582519; 0.154063;0.586051
97; 0.607828; 0.537379; 0.667432; 0.536556; 0.582519; 0.154063;0.586051
98; 0.607828; 0.536636; 0.667432; 0.536556; 0.582519; 0.154063;0.586051
99; 0.608461; 0.540489; 0.667432; 0.537883; 0.583805; 0.154317;0.585326
100; 0.608461; 0.542394; 0.667432; 0.537883; 0.583805; 0.154317;0.585326
101; 0.609842; 0.544567; 0.667432; 0.5408; 0.586632; 0.154908;0.584042
102; 0.609842; 0.545651; 0.667432; 0.5408; 0.586632; 0.154908;0.584042
103; 0.609842; 0.545668; 0.667432; 0.5408; 0.586632; 0.154908;0.584042
104; 0.609842; 0.542162; 0.667432; 0.5408; 0.586632; 0.154908;0.584042
105; 0.609842; 0.543378; 0.667432; 0.5408; 0.586632; 0.154908;0.584042
106; 0.609842; 0.539707; 0.667432; 0.5408; 0.586632; 0.154908;0.584042
107; 0.610331; 0.539468; 0.667432; 0.541862; 0.587661; 0.155135;0.583882
108; 0.610331; 0.537536; 0.667432; 0.541862; 0.587661; 0.155135;0.583882
109; 0.610331; 0.541425; 0.667432; 0.541862; 0.587661; 0.155135;0.583882
110; 0.610331; 0.541456; 0.667432; 0.541862; 0.587661; 0.155135;0.583882
111; 0.610331; 0.54121; 0.667432; 0.541862; 0.587661; 0.155135;0.583882
112; 0.610331; 0.541816; 0.667432; 0.541862; 0.587661; 0.155135;0.583882
113; 0.610338; 0.541671; 0.667432; 0.541862; 0.587661; 0.155135;0.583693
114; 0.610338; 0.538983; 0.667432; 0.541862; 0.587661; 0.155135;0.583693
115; 0.610338; 0.537153; 0.667432; 0.541862; 0.587661; 0.155135;0.583693
116; 0.610338; 0.538899; 0.667432; 0.541862; 0.587661; 0.155135;0.583693
117; 0.610338; 0.53901; 0.667432; 0.541862; 0.587661; 0.155135;0.583693
118; 0.610338; 0.540031; 0.667432; 0.541862; 0.587661; 0.155135;0.583693
119; 0.610338; 0.541029; 0.667432; 0.541862; 0.587661; 0.155135;0.583693
120; 0.610457; 0.5414; 0.667432; 0.542127; 0.587918; 0.155193;0.583732
121; 0.610457; 0.541005; 0.667432; 0.542127; 0.587918; 0.155193;0.583732
122; 0.610457; 0.540621; 0.667432; 0.542127; 0.587918; 0.155193;0.583732
123; 0.610457; 0.539842; 0.667432; 0.542127; 0.587918; 0.155193;0.583732
124; 0.610457; 0.542389; 0.667432; 0.542127; 0.587918; 0.155193;0.583732
125; 0.610457; 0.540011; 0.667432; 0.542127; 0.587918; 0.155193;0.583732
126; 0.610457; 0.54121; 0.667432; 0.542127; 0.587918; 0.155193;0.583732
127; 0.610457; 0.539997; 0.667432; 0.542127; 0.587918; 0.155193;0.583732
128; 0.610457; 0.537137; 0.667432; 0.542127; 0.587918; 0.155193;0.583732
129; 0.610457; 0.535859; 0.667432; 0.542127; 0.587918; 0.155193;0.583732
130; 0.610457; 0.537526; 0.667432; 0.542127; 0.587918; 0.155193;0.583732
131; 0.610457; 0.539978; 0.667432; 0.542127; 0.587918; 0.155193;0.583732
132; 0.610457; 0.539973; 0.667432; 0.542127; 0.587918; 0.155193;0.583732
133; 0.610457; 0.539063; 0.667432; 0.542127; 0.587918; 0.155193;0.583732
