#Summary : 
#Best fitness Pop 1;0.641793
#Best fitness Pop 2;0.641793
#Std deviation Pop 1;0.0315186
#Std deviation Pop 2;0.0271431
#Sensitivity;0.689255
#Specificity;0.584151
#Accuracy;0.566324
#PPV;0.259839
#RMSE;0.529714
#RRSE;1.78355
#RAE;1.66966
#MSE;0.284449
#ADM;0.406996
#MDM;0.00622668
#Size;0.0833333
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.2
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 1 AND ccr_zob_dhf_d is MF 0 THEN 4_Obese is MF 1 AND 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_sa_dihydrotest_d is MF 1 AND ccr_thb_d is MF 1 AND ccr_s_at_d is MF 2 AND ccr_a_cortol_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 1_SousPoid is MF 1 AND 2_Normal is MF 1
 IF ccr_cortisone_d is MF 2 AND ccr_llb_oh_andro_d is MF 2 THEN 1_SousPoid is MF 1 AND 5_ExtremeObese is MF 0 AND 4_Obese is MF 1
 IF ccr_sb_oh_f_d is MF 0 AND ccr_thaldo_d is MF 0 AND ccr_etio_d is MF 0 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_a_cortolone_d is MF 2 THEN 4_Obese is MF 1 AND 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (105.029 , 250.798 , 645.233) ; ccr_s_at_d (57.6606 , 267.281 , 303.011) ; ccr_sa_dihydrotest_d (1.10736 , 7.23809 , 13.9819) ; ccr_thb_d (11.7288 , 21.7836 , 96.6361) ; ccr_thaldo_d (4.26361 , 15.7159 , 52.1936) ; ccr_thf_d (29.7237 , 266.917 , 353.169) ; ccr_a_cortol_d (45.2877 , 235.282 , 240.789) ; ccr_llb_oh_andro_d (19.4626 , 136.53 , 220.399) ; ccr_cortisone_d (15.279 , 18.3846 , 59.275) ; ccr_a_cortolone_d (24.9186 , 66.8013 , 431.779) ; ccr_sb_oh_f_d (10.6975 , 15.3885 , 63.8625) ; ccr_zob_dhf_d (45.9231 , 112.459 , 155.512) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.524185; 0.51202; 0.3296; 0.72567; 0.741131; 0.215035;0.455285
2; 0.545576; 0.51815; 0.3296; 0.72567; 0.741131; 0.215035;0.455285
3; 0.542788; 0.514052; 0.247845; 0.821741; 0.756555; 0.281763;0.378347
4; 0.546907; 0.514161; 0.599458; 0.494194; 0.575064; 0.211039;0.583876
5; 0.569478; 0.523752; 0.604018; 0.52099; 0.569152; 0.146834;0.609413
6; 0.560416; 0.520244; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
7; 0.579564; 0.526868; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
8; 0.557582; 0.519259; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
9; 0.574886; 0.522808; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
10; 0.574886; 0.523506; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
11; 0.57912; 0.523918; 0.654468; 0.492596; 0.46144; 0.106518;0.640746
12; 0.584597; 0.530277; 0.632263; 0.519699; 0.468895; 0.10835;0.576154
13; 0.578657; 0.529999; 0.632263; 0.519699; 0.468895; 0.10835;0.576154
14; 0.592244; 0.53272; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
15; 0.592244; 0.529583; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
16; 0.592127; 0.528838; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
17; 0.592127; 0.529516; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
18; 0.597532; 0.530561; 0.733904; 0.444039; 0.547815; 0.227564;0.549756
19; 0.597532; 0.531332; 0.733904; 0.444039; 0.547815; 0.227564;0.549756
20; 0.597532; 0.533619; 0.736304; 0.441766; 0.547044; 0.227328;0.549949
21; 0.597532; 0.535807; 0.736304; 0.441766; 0.547044; 0.227328;0.549949
22; 0.597532; 0.534206; 0.736304; 0.441766; 0.547044; 0.227328;0.549949
23; 0.597582; 0.534853; 0.736304; 0.441766; 0.547044; 0.227328;0.549949
24; 0.597582; 0.534012; 0.736304; 0.441766; 0.547044; 0.227328;0.549949
25; 0.603607; 0.535237; 0.715171; 0.475997; 0.553985; 0.237303;0.548284
26; 0.602401; 0.533506; 0.724304; 0.468419; 0.547044; 0.237722;0.550637
27; 0.602401; 0.534076; 0.715171; 0.479147; 0.557069; 0.23745;0.547332
28; 0.604212; 0.535775; 0.715171; 0.479147; 0.557069; 0.23745;0.547332
29; 0.605421; 0.537138; 0.774355; 0.422038; 0.541131; 0.225532;0.561353
30; 0.607999; 0.541556; 0.748304; 0.456986; 0.549614; 0.234836;0.549749
31; 0.607999; 0.543419; 0.748304; 0.456986; 0.549614; 0.234836;0.549749
32; 0.607999; 0.543637; 0.748304; 0.456986; 0.549614; 0.234836;0.549749
33; 0.611607; 0.542374; 0.758238; 0.450695; 0.54473; 0.234651;0.550019
34; 0.611607; 0.541339; 0.758238; 0.450695; 0.54473; 0.234651;0.550019
35; 0.611607; 0.541825; 0.759038; 0.451607; 0.546015; 0.234763;0.549914
36; 0.611607; 0.543902; 0.759038; 0.451607; 0.546015; 0.234763;0.549914
37; 0.611607; 0.544441; 0.759038; 0.451607; 0.546015; 0.234763;0.549914
38; 0.611607; 0.542971; 0.759038; 0.451607; 0.546015; 0.234763;0.549914
39; 0.611607; 0.543666; 0.759038; 0.451607; 0.546015; 0.234763;0.549914
40; 0.611607; 0.540754; 0.759038; 0.451607; 0.546015; 0.234763;0.549914
41; 0.611607; 0.541229; 0.759038; 0.451607; 0.546015; 0.234763;0.549914
42; 0.611607; 0.544447; 0.759038; 0.451607; 0.546015; 0.234763;0.549914
43; 0.611607; 0.542881; 0.759038; 0.451607; 0.546015; 0.234763;0.549914
44; 0.611607; 0.543958; 0.759038; 0.451607; 0.546015; 0.234763;0.549914
45; 0.611607; 0.5457; 0.759038; 0.451607; 0.546015; 0.234763;0.549914
46; 0.611607; 0.545612; 0.759038; 0.451818; 0.546273; 0.234541;0.55003
47; 0.611723; 0.543836; 0.745104; 0.465903; 0.556812; 0.234652;0.54812
48; 0.61348; 0.540109; 0.759038; 0.456305; 0.550129; 0.236419;0.549645
49; 0.61348; 0.541241; 0.759038; 0.456305; 0.550129; 0.236419;0.549645
50; 0.612612; 0.544133; 0.759038; 0.456305; 0.550129; 0.236419;0.549645
51; 0.61348; 0.544717; 0.759038; 0.456305; 0.550129; 0.236419;0.549645
52; 0.61348; 0.544908; 0.759038; 0.456305; 0.550129; 0.236419;0.549645
53; 0.61348; 0.545289; 0.72133; 0.49521; 0.570951; 0.240168;0.544645
54; 0.616232; 0.548602; 0.756063; 0.471611; 0.562982; 0.237763;0.546868
55; 0.616232; 0.550845; 0.784863; 0.448257; 0.555784; 0.237047;0.547058
56; 0.622729; 0.550082; 0.784863; 0.448257; 0.555784; 0.237047;0.547058
57; 0.622729; 0.55115; 0.784863; 0.448257; 0.555784; 0.237047;0.547058
58; 0.622729; 0.551619; 0.784863; 0.448257; 0.555784; 0.237047;0.547058
59; 0.622729; 0.550001; 0.784863; 0.448257; 0.555784; 0.237047;0.547058
60; 0.622729; 0.550684; 0.784863; 0.448257; 0.555784; 0.237047;0.547058
61; 0.622729; 0.549491; 0.784863; 0.448257; 0.555784; 0.237047;0.547058
62; 0.622729; 0.553365; 0.784863; 0.448257; 0.555784; 0.237047;0.547058
63; 0.622729; 0.551332; 0.784863; 0.448257; 0.555784; 0.237047;0.547058
64; 0.622729; 0.553125; 0.784863; 0.448257; 0.555784; 0.237047;0.547058
65; 0.622729; 0.556799; 0.784863; 0.448257; 0.555784; 0.237047;0.547058
66; 0.622729; 0.557348; 0.784863; 0.448257; 0.555784; 0.237047;0.547058
67; 0.622729; 0.555914; 0.784863; 0.448257; 0.555784; 0.237047;0.547058
68; 0.622729; 0.555234; 0.784863; 0.448257; 0.555784; 0.237047;0.547058
69; 0.622729; 0.557542; 0.784863; 0.448257; 0.555784; 0.237047;0.547058
70; 0.622853; 0.554725; 0.784863; 0.448522; 0.556041; 0.237114;0.546982
71; 0.622853; 0.553795; 0.784863; 0.448522; 0.556041; 0.237114;0.546982
72; 0.622853; 0.555421; 0.784863; 0.448522; 0.556041; 0.237114;0.546982
73; 0.622853; 0.556531; 0.784863; 0.448522; 0.556041; 0.237114;0.546982
74; 0.622853; 0.556349; 0.784863; 0.448522; 0.556041; 0.237114;0.546982
75; 0.624017; 0.556251; 0.784863; 0.451025; 0.558355; 0.237677;0.546365
76; 0.624017; 0.557501; 0.784863; 0.451025; 0.558355; 0.237677;0.546365
77; 0.624017; 0.555257; 0.784863; 0.451025; 0.558355; 0.237677;0.546365
78; 0.624017; 0.555184; 0.784863; 0.451025; 0.558355; 0.237677;0.546365
79; 0.624017; 0.554846; 0.784863; 0.451025; 0.558355; 0.237677;0.546365
80; 0.624017; 0.553338; 0.784863; 0.451025; 0.558355; 0.237677;0.546365
81; 0.624017; 0.553936; 0.784863; 0.451025; 0.558355; 0.237677;0.546365
82; 0.624856; 0.554385; 0.793663; 0.444168; 0.556298; 0.237632;0.547383
83; 0.624856; 0.553199; 0.793663; 0.444168; 0.556298; 0.237632;0.547383
84; 0.624856; 0.554194; 0.793663; 0.444168; 0.556298; 0.237632;0.547383
85; 0.624856; 0.551455; 0.793663; 0.444168; 0.556298; 0.237632;0.547383
86; 0.624856; 0.552193; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
87; 0.624856; 0.549289; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
88; 0.624856; 0.549871; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
89; 0.625217; 0.550855; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
90; 0.625217; 0.550276; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
91; 0.625217; 0.549821; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
92; 0.625217; 0.54691; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
93; 0.625217; 0.54836; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
94; 0.625217; 0.55025; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
95; 0.625217; 0.553055; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
96; 0.625217; 0.549264; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
97; 0.625217; 0.548525; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
98; 0.625217; 0.549318; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
99; 0.625217; 0.550477; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
100; 0.625217; 0.552118; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
101; 0.625217; 0.553941; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
102; 0.625217; 0.554323; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
103; 0.625217; 0.554423; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
104; 0.625217; 0.551335; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
105; 0.625217; 0.554172; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
106; 0.625217; 0.548481; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
107; 0.625217; 0.548705; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
108; 0.625217; 0.546336; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
109; 0.625217; 0.550929; 0.794463; 0.444168; 0.556555; 0.237946;0.547442
110; 0.625509; 0.550652; 0.785663; 0.453749; 0.558612; 0.242238;0.548922
111; 0.625509; 0.551658; 0.785663; 0.453749; 0.558612; 0.242238;0.548922
112; 0.625509; 0.55023; 0.785663; 0.453749; 0.558612; 0.242238;0.548922
113; 0.625509; 0.550692; 0.785663; 0.453749; 0.558612; 0.242238;0.548922
114; 0.625509; 0.54705; 0.785663; 0.453749; 0.558612; 0.242238;0.548922
115; 0.626581; 0.548633; 0.793663; 0.447956; 0.558869; 0.23976;0.547296
116; 0.626581; 0.548404; 0.793663; 0.447956; 0.558869; 0.23976;0.547296
117; 0.626581; 0.552283; 0.793663; 0.447956; 0.558869; 0.23976;0.547296
118; 0.626581; 0.554805; 0.793663; 0.447956; 0.558869; 0.23976;0.547296
119; 0.626581; 0.556626; 0.793663; 0.447956; 0.558869; 0.23976;0.547296
120; 0.626581; 0.555922; 0.793663; 0.447956; 0.558869; 0.23976;0.547296
121; 0.626581; 0.552953; 0.793663; 0.447956; 0.558869; 0.23976;0.547296
122; 0.626581; 0.554228; 0.793663; 0.447956; 0.558869; 0.23976;0.547296
123; 0.626581; 0.556886; 0.793663; 0.447956; 0.558869; 0.23976;0.547296
124; 0.626581; 0.559845; 0.793663; 0.447956; 0.558869; 0.23976;0.547296
125; 0.626581; 0.5576; 0.793663; 0.447956; 0.558869; 0.23976;0.547296
126; 0.626581; 0.558515; 0.793663; 0.447956; 0.558869; 0.23976;0.547296
127; 0.626581; 0.560529; 0.793663; 0.447956; 0.558869; 0.23976;0.547296
