#Summary : 
#Best fitness Pop 1;0.609806
#Best fitness Pop 2;0.609704
#Std deviation Pop 1;0.0260977
#Std deviation Pop 2;0.0215796
#Sensitivity;0.477721
#Specificity;0.730123
#Accuracy;0.591517
#PPV;0.388473
#RMSE;0.577622
#RRSE;1.67155
#RAE;1.45627
#MSE;0.336348
#ADM;0.51638
#MDM;0.073393
#Size;0.0833333
#OverLearn;0.666667

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.2
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 1 AND ccr_zob_dhf_d is MF 0 THEN 4_Obese is MF 1 AND 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_thdoc_d is MF 1 AND ccr_sa_thb_d is MF 0 AND ccr_thb_d is MF 1 AND ccr_cortisol_d is MF 0 THEN 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 1
 IF ccr_sa_thb_d is MF 1 AND ccr_l6a_oh_dha_d is MF 0 THEN 4_Obese is MF 1
 IF ccr_cortisone_d is MF 1 AND ccr_s_ad_17b_d is MF 0 THEN 2_Normal is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_s_ad_17b_d is MF 2 AND ccr_testosterone_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 1_SousPoid is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 0  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_s_ad_17b_d (12.3327 , 122.378 , 146.301) ; ccr_testosterone_d (6.23179 , 25.372 , 27.0897) ; ccr_l6a_oh_dha_d (21.6001 , 42.7684 , 106.273) ; ccr_thb_d (18.432 , 34.0728 , 43.0104) ; ccr_sa_thb_d (33.2026 , 53.0659 , 291.426) ; ccr_thdoc_d (0.360508 , 4.16859 , 7.09265) ; ccr_cortisol_d (19.0557 , 39.6421 , 81.5012) ; ccr_thf_d (72.8497 , 162.696 , 464.578) ; ccr_cortisone_d (13.7262 , 24.5958 , 56.687) ; ccr_zob_dhf_d (57.6647 , 139.856 , 472.537) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.524185; 0.51202; 0.3296; 0.72567; 0.741131; 0.215035;0.455285
2; 0.545576; 0.51815; 0.3296; 0.72567; 0.741131; 0.215035;0.455285
3; 0.542788; 0.514052; 0.247845; 0.821741; 0.756555; 0.281763;0.378347
4; 0.546907; 0.514161; 0.599458; 0.494194; 0.575064; 0.211039;0.583876
5; 0.569478; 0.523752; 0.604018; 0.52099; 0.569152; 0.146834;0.609413
6; 0.560416; 0.520244; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
7; 0.579564; 0.526868; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
8; 0.575284; 0.523566; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
9; 0.575284; 0.522844; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
10; 0.575284; 0.523467; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
11; 0.583397; 0.530733; 0.644263; 0.505045; 0.463496; 0.107233;0.575991
12; 0.578657; 0.52765; 0.644263; 0.505045; 0.463496; 0.107233;0.575991
13; 0.588032; 0.532967; 0.621063; 0.538418; 0.47892; 0.110265;0.575732
14; 0.582398; 0.528998; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
15; 0.589445; 0.527403; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
16; 0.581313; 0.525522; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
17; 0.581313; 0.525852; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
18; 0.589258; 0.523088; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
19; 0.590122; 0.529246; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
20; 0.592078; 0.531269; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
21; 0.592078; 0.532811; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
22; 0.592078; 0.531503; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
23; 0.592078; 0.531575; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
24; 0.592078; 0.530808; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
25; 0.592078; 0.531378; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
26; 0.592078; 0.529636; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
27; 0.592078; 0.531545; 0.646212; 0.529262; 0.516452; 0.230547;0.629552
28; 0.591932; 0.531983; 0.646212; 0.529262; 0.516452; 0.230547;0.629552
29; 0.59429; 0.531108; 0.444581; 0.731052; 0.570951; 0.146548;0.601599
30; 0.59429; 0.535003; 0.444581; 0.731052; 0.570951; 0.146548;0.601599
31; 0.59429; 0.536706; 0.444581; 0.731052; 0.570951; 0.146548;0.601599
32; 0.59429; 0.537071; 0.444581; 0.731052; 0.570951; 0.146548;0.601591
33; 0.595111; 0.536465; 0.443099; 0.73429; 0.572494; 0.0468394;0.601031
34; 0.595111; 0.534537; 0.443099; 0.73429; 0.572494; 0.0468394;0.601031
35; 0.595111; 0.53483; 0.443099; 0.73429; 0.572494; 0.0468394;0.601031
36; 0.595112; 0.537856; 0.443099; 0.73429; 0.572494; 0.0468394;0.601028
37; 0.595112; 0.539145; 0.443099; 0.73429; 0.572494; 0.0468394;0.601028
38; 0.595112; 0.538724; 0.443099; 0.73429; 0.572494; 0.0468394;0.601028
39; 0.595112; 0.53751; 0.443099; 0.73429; 0.572494; 0.0468394;0.601028
40; 0.595112; 0.533481; 0.443099; 0.73429; 0.572494; 0.0468394;0.601028
41; 0.595112; 0.533558; 0.443099; 0.73429; 0.572494; 0.0468394;0.601028
42; 0.595771; 0.537528; 0.446296; 0.732403; 0.571722; 0.113745;0.599473
43; 0.595771; 0.537226; 0.446296; 0.732403; 0.571722; 0.113745;0.599473
44; 0.595771; 0.539491; 0.446296; 0.732403; 0.571722; 0.113745;0.599473
45; 0.595771; 0.539337; 0.446296; 0.732403; 0.571722; 0.113745;0.599473
46; 0.595771; 0.539596; 0.446296; 0.732403; 0.571722; 0.113745;0.599473
47; 0.595771; 0.535892; 0.446296; 0.732403; 0.571722; 0.113745;0.599473
48; 0.595771; 0.535815; 0.446296; 0.732403; 0.571722; 0.113745;0.599473
49; 0.595773; 0.539265; 0.446296; 0.732403; 0.571722; 0.113745;0.599436
50; 0.595773; 0.542882; 0.447096; 0.731758; 0.571465; 0.213709;0.59939
51; 0.595773; 0.541777; 0.447096; 0.731758; 0.571465; 0.213709;0.59939
52; 0.595846; 0.542014; 0.447096; 0.731758; 0.571465; 0.213709;0.59939
53; 0.597154; 0.542112; 0.452995; 0.728323; 0.568637; 0.347058;0.594878
54; 0.597154; 0.542595; 0.448505; 0.734969; 0.573522; 0.0477834;0.600905
55; 0.597661; 0.543441; 0.448505; 0.734969; 0.573522; 0.0477834;0.600905
56; 0.597661; 0.539081; 0.448505; 0.734969; 0.573522; 0.0477834;0.600905
57; 0.597661; 0.539572; 0.448505; 0.734969; 0.573522; 0.0477834;0.600905
58; 0.597661; 0.541613; 0.448505; 0.734969; 0.573522; 0.0477834;0.600905
59; 0.59785; 0.540986; 0.448505; 0.734969; 0.573522; 0.0477834;0.600905
60; 0.59785; 0.540155; 0.448505; 0.734969; 0.573522; 0.0477834;0.600905
61; 0.59785; 0.538903; 0.448505; 0.734969; 0.573522; 0.0477834;0.600905
62; 0.598163; 0.542098; 0.449304; 0.734707; 0.573779; 0.147748;0.600037
63; 0.598163; 0.539992; 0.449304; 0.734707; 0.573779; 0.147748;0.600037
64; 0.598163; 0.5425; 0.449304; 0.734707; 0.573779; 0.147748;0.600037
65; 0.598163; 0.5471; 0.449304; 0.734707; 0.573779; 0.147748;0.60003
66; 0.598163; 0.546962; 0.449304; 0.734707; 0.573779; 0.147748;0.60003
67; 0.598163; 0.54779; 0.449304; 0.734707; 0.573779; 0.147748;0.60003
68; 0.598178; 0.544623; 0.449304; 0.734725; 0.573779; 0.14776;0.599886
69; 0.598178; 0.544054; 0.449304; 0.734725; 0.573779; 0.14776;0.599886
70; 0.598178; 0.544291; 0.449304; 0.734725; 0.573779; 0.14776;0.599886
71; 0.598178; 0.543825; 0.449304; 0.734725; 0.573779; 0.14776;0.599886
72; 0.598179; 0.544822; 0.449304; 0.734725; 0.573779; 0.14776;0.599869
73; 0.598179; 0.545453; 0.449304; 0.734725; 0.573779; 0.14776;0.599856
74; 0.598179; 0.544456; 0.449304; 0.734725; 0.573779; 0.14776;0.599856
75; 0.59834; 0.543796; 0.449304; 0.735086; 0.574036; 0.247748;0.599916
76; 0.598357; 0.547267; 0.450292; 0.734139; 0.573779; 0.347654;0.599947
77; 0.598357; 0.547151; 0.450292; 0.734139; 0.573779; 0.347654;0.599947
78; 0.598357; 0.546055; 0.450292; 0.734139; 0.573779; 0.347654;0.599947
79; 0.59845; 0.547078; 0.455464; 0.729046; 0.571979; 0.255378;0.598587
80; 0.59845; 0.547149; 0.455464; 0.729576; 0.572494; 0.255477;0.598353
81; 0.59845; 0.545187; 0.455464; 0.729576; 0.572494; 0.255477;0.598353
82; 0.598627; 0.547026; 0.455464; 0.72969; 0.572494; 0.355428;0.59839
83; 0.598627; 0.547325; 0.455464; 0.72969; 0.572494; 0.355428;0.59839
84; 0.598627; 0.548843; 0.455464; 0.72969; 0.572494; 0.355428;0.59839
85; 0.598627; 0.546045; 0.455464; 0.72969; 0.572494; 0.355428;0.59839
86; 0.598751; 0.544207; 0.455464; 0.72969; 0.572494; 0.355428;0.59839
87; 0.598751; 0.543049; 0.455464; 0.72969; 0.572494; 0.355428;0.59839
88; 0.598751; 0.542782; 0.455464; 0.72969; 0.572494; 0.355428;0.59839
89; 0.598751; 0.54233; 0.455464; 0.72969; 0.572494; 0.355428;0.59839
90; 0.598751; 0.542548; 0.455464; 0.72969; 0.572494; 0.355428;0.59839
91; 0.598751; 0.541664; 0.455464; 0.72969; 0.572494; 0.355428;0.59839
92; 0.598751; 0.539985; 0.455464; 0.72969; 0.572494; 0.355428;0.59839
93; 0.598751; 0.5405; 0.455464; 0.72969; 0.572494; 0.355428;0.59839
94; 0.598953; 0.542031; 0.455464; 0.730107; 0.573008; 0.255578;0.598079
95; 0.59913; 0.541351; 0.455464; 0.730486; 0.573265; 0.355578;0.597978
96; 0.59913; 0.539768; 0.455464; 0.730486; 0.573265; 0.355578;0.597978
97; 0.59913; 0.537136; 0.455464; 0.730486; 0.573265; 0.355578;0.597978
98; 0.599158; 0.536309; 0.457439; 0.728636; 0.573008; 0.36355;0.598672
99; 0.599158; 0.539097; 0.457439; 0.728636; 0.573008; 0.36355;0.598672
100; 0.599158; 0.540468; 0.457439; 0.728636; 0.573008; 0.36355;0.598672
101; 0.599158; 0.543274; 0.457439; 0.728636; 0.573008; 0.36355;0.598672
102; 0.599402; 0.544322; 0.445837; 0.740083; 0.582005; 0.14182;0.591136
103; 0.600801; 0.545492; 0.445343; 0.743567; 0.584319; 0.161084;0.590172
104; 0.600801; 0.540765; 0.445343; 0.743567; 0.584319; 0.161084;0.590172
105; 0.600801; 0.541998; 0.445343; 0.743567; 0.584319; 0.161084;0.590172
106; 0.600801; 0.539264; 0.444849; 0.7441; 0.584576; 0.14994;0.590211
107; 0.601025; 0.537947; 0.445837; 0.743567; 0.584576; 0.169973;0.590194
108; 0.601025; 0.536887; 0.445343; 0.7441; 0.584833; 0.161052;0.59023
109; 0.601182; 0.540928; 0.445837; 0.745161; 0.586118; 0.170151;0.589482
110; 0.601198; 0.53923; 0.445343; 0.745957; 0.586632; 0.161475;0.589001
111; 0.601424; 0.539677; 0.445343; 0.745957; 0.586632; 0.161475;0.589001
112; 0.601424; 0.540284; 0.445343; 0.745957; 0.586632; 0.161475;0.589001
113; 0.601424; 0.542133; 0.446331; 0.745519; 0.586632; 0.17756;0.590677
114; 0.601424; 0.538364; 0.446331; 0.745519; 0.586632; 0.17756;0.590677
115; 0.602116; 0.538183; 0.446331; 0.745519; 0.586632; 0.17756;0.590677
116; 0.602116; 0.540594; 0.446331; 0.745519; 0.586632; 0.17756;0.590677
117; 0.602116; 0.5419; 0.446331; 0.745519; 0.586632; 0.17756;0.590677
118; 0.602116; 0.542535; 0.446331; 0.745519; 0.586632; 0.17756;0.590677
119; 0.602116; 0.54306; 0.446331; 0.745519; 0.586632; 0.17756;0.590677
120; 0.602116; 0.541676; 0.446331; 0.745519; 0.586632; 0.17756;0.590677
121; 0.602116; 0.540748; 0.446331; 0.745519; 0.586632; 0.17756;0.590677
122; 0.602116; 0.541762; 0.446331; 0.745519; 0.586632; 0.17756;0.590677
123; 0.602116; 0.542582; 0.446331; 0.745519; 0.586632; 0.17756;0.590677
124; 0.602362; 0.544751; 0.446331; 0.746055; 0.586889; 0.190287;0.590634
125; 0.602362; 0.542538; 0.446331; 0.746055; 0.586889; 0.190287;0.590634
126; 0.602584; 0.543307; 0.447318; 0.745575; 0.587147; 0.188793;0.590838
127; 0.602584; 0.543131; 0.447318; 0.745575; 0.587147; 0.188793;0.590838
128; 0.602584; 0.538932; 0.447318; 0.745575; 0.587147; 0.188793;0.590838
129; 0.602584; 0.53892; 0.47727; 0.718984; 0.596658; 0.171727;0.576372
