#Summary : 
#Best fitness Pop 1;0.640498
#Best fitness Pop 2;0.640498
#Std deviation Pop 1;0.0292351
#Std deviation Pop 2;0.026923
#Sensitivity;0.659612
#Specificity;0.610726
#Accuracy;0.570437
#PPV;0.263116
#RMSE;0.527434
#RRSE;1.75917
#RAE;1.62985
#MSE;0.282137
#ADM;0.388048
#MDM;0.00702029
#Size;0.0833333
#OverLearn;0.566667

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.2
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 1 AND ccr_zob_dhf_d is MF 0 THEN 4_Obese is MF 1 AND 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_pt_one_d is MF 0 AND ccr_sa_thb_d is MF 1 AND ccr_s_at_d is MF 2 AND ccr_sa_thf_d is MF 1 THEN 4_Obese is MF 1 AND 1_SousPoid is MF 1 AND 2_Normal is MF 1
 IF ccr_cortisol_d is MF 1 THEN 5_ExtremeObese is MF 0
 IF ccr_sb_oh_f_d is MF 0 AND ccr_b_cortol_d is MF 0 AND ccr_etio_d is MF 0 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_a_cortolone_d is MF 2 AND ccr_saad3a17b_d is MF 0 THEN 4_Obese is MF 1 AND 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (96.4546 , 259.373 , 791.002) ; ccr_s_at_d (24.3119 , 141.032 , 243.46) ; ccr_saad3a17b_d (0.271189 , 33.1856 , 86.6715) ; ccr_sa_thb_d (142.451 , 172.246 , 215.283) ; ccr_pt_one_d (21.2318 , 30.7074 , 69.339) ; ccr_cortisol_d (16.997 , 54.7388 , 68.4631) ; ccr_thf_d (18.9421 , 281.292 , 439.421) ; ccr_sa_thf_d (6.01716 , 67.9267 , 67.9267) ; ccr_b_cortol_d (95.5565 , 95.5565 , 345.424) ; ccr_a_cortolone_d (54.8349 , 72.7846 , 449.729) ; ccr_sb_oh_f_d (13.8249 , 15.9098 , 38.3224) ; ccr_zob_dhf_d (14.612 , 124.201 , 296.412) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.524185; 0.51202; 0.3296; 0.72567; 0.741131; 0.215035;0.455285
2; 0.545576; 0.51815; 0.3296; 0.72567; 0.741131; 0.215035;0.455285
3; 0.542788; 0.514052; 0.247845; 0.821741; 0.756555; 0.281763;0.378347
4; 0.546907; 0.514161; 0.599458; 0.494194; 0.575064; 0.211039;0.583876
5; 0.569478; 0.523752; 0.604018; 0.52099; 0.569152; 0.146834;0.609413
6; 0.560416; 0.520244; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
7; 0.579564; 0.526868; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
8; 0.557582; 0.519259; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
9; 0.574886; 0.522808; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
10; 0.574886; 0.523506; 0.654468; 0.49233; 0.461183; 0.10648;0.641133
11; 0.57912; 0.523918; 0.654468; 0.492596; 0.46144; 0.106518;0.640746
12; 0.584597; 0.530277; 0.632263; 0.519699; 0.468895; 0.10835;0.576154
13; 0.587455; 0.533387; 0.621863; 0.536366; 0.476864; 0.110389;0.575909
14; 0.592244; 0.532845; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
15; 0.592244; 0.52956; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
16; 0.592127; 0.528813; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
17; 0.592127; 0.529459; 0.743504; 0.42305; 0.534704; 0.223061;0.552333
18; 0.597582; 0.53086; 0.736304; 0.441766; 0.547044; 0.227328;0.549949
19; 0.597582; 0.532414; 0.736304; 0.441766; 0.547044; 0.227328;0.549949
20; 0.597582; 0.53487; 0.736304; 0.441766; 0.547044; 0.227328;0.549949
21; 0.597532; 0.535962; 0.736304; 0.441766; 0.547044; 0.227328;0.549949
22; 0.597582; 0.535506; 0.736304; 0.441766; 0.547044; 0.227328;0.549949
23; 0.597582; 0.53584; 0.736304; 0.441766; 0.547044; 0.227328;0.549949
24; 0.597582; 0.534039; 0.778571; 0.409876; 0.524679; 0.223521;0.554138
25; 0.597582; 0.535203; 0.778571; 0.409876; 0.524679; 0.223521;0.554138
26; 0.598313; 0.534462; 0.778571; 0.409876; 0.524679; 0.223521;0.554138
27; 0.598313; 0.534185; 0.778571; 0.409876; 0.524679; 0.223521;0.554138
28; 0.603237; 0.535765; 0.742571; 0.449377; 0.547301; 0.231936;0.550942
29; 0.603237; 0.536618; 0.742571; 0.449377; 0.547301; 0.231936;0.550942
30; 0.603237; 0.539483; 0.742571; 0.449377; 0.547301; 0.231936;0.550942
31; 0.603237; 0.541485; 0.742571; 0.449377; 0.547301; 0.231936;0.550942
32; 0.603237; 0.540823; 0.742571; 0.449377; 0.547301; 0.231936;0.550942
33; 0.603237; 0.539959; 0.742571; 0.449377; 0.547301; 0.231936;0.550942
34; 0.604253; 0.539528; 0.517299; 0.677217; 0.559126; 0.130721;0.549482
35; 0.604308; 0.538079; 0.806571; 0.39234; 0.515167; 0.224246;0.555432
36; 0.606819; 0.540348; 0.806571; 0.39234; 0.515167; 0.224246;0.555432
37; 0.608639; 0.541594; 0.760971; 0.442069; 0.532134; 0.237271;0.556752
38; 0.608639; 0.541838; 0.760971; 0.442069; 0.532134; 0.237271;0.556752
39; 0.608639; 0.540104; 0.760971; 0.442069; 0.532134; 0.237271;0.556752
40; 0.608639; 0.53651; 0.760971; 0.442069; 0.532134; 0.237271;0.556752
41; 0.608639; 0.537382; 0.760971; 0.442069; 0.532134; 0.237271;0.556752
42; 0.608639; 0.541905; 0.760971; 0.442069; 0.532134; 0.237271;0.556752
43; 0.608639; 0.541445; 0.760971; 0.442069; 0.532134; 0.237271;0.556752
44; 0.608639; 0.540942; 0.760971; 0.442069; 0.532134; 0.237271;0.556752
45; 0.608861; 0.542462; 0.807371; 0.395946; 0.519023; 0.224523;0.554505
46; 0.608861; 0.543089; 0.807371; 0.395946; 0.519023; 0.224523;0.554505
47; 0.611973; 0.540648; 0.737463; 0.471523; 0.566581; 0.23462;0.542105
48; 0.611973; 0.535408; 0.737463; 0.471523; 0.566581; 0.23462;0.542105
49; 0.611973; 0.537278; 0.737463; 0.471523; 0.566581; 0.23462;0.542105
50; 0.61199; 0.540187; 0.721463; 0.487604; 0.571979; 0.238855;0.542544
51; 0.61199; 0.541428; 0.721463; 0.487604; 0.571979; 0.238855;0.542544
52; 0.61199; 0.540904; 0.721463; 0.487604; 0.571979; 0.238855;0.542544
53; 0.612186; 0.540007; 0.74373; 0.46631; 0.555527; 0.234723;0.548247
54; 0.612639; 0.54537; 0.733494; 0.477309; 0.564781; 0.239548;0.545802
55; 0.613377; 0.546082; 0.74913; 0.462938; 0.566324; 0.239039;0.542015
56; 0.613377; 0.542638; 0.74913; 0.466848; 0.570437; 0.238839;0.540716
57; 0.613377; 0.544601; 0.74913; 0.466848; 0.570437; 0.238839;0.540716
58; 0.613377; 0.546227; 0.74913; 0.466848; 0.570437; 0.238839;0.540716
59; 0.614415; 0.544414; 0.732694; 0.486653; 0.573265; 0.241527;0.544329
60; 0.614415; 0.543322; 0.732694; 0.486653; 0.573265; 0.241527;0.544329
61; 0.616586; 0.5422; 0.732694; 0.486653; 0.573265; 0.241527;0.544329
62; 0.616586; 0.546049; 0.732694; 0.486653; 0.573265; 0.241527;0.544329
63; 0.616586; 0.54289; 0.732694; 0.486653; 0.573265; 0.241527;0.544329
64; 0.618619; 0.544215; 0.767396; 0.456428; 0.561697; 0.23802;0.544366
65; 0.623106; 0.547105; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
66; 0.623106; 0.548963; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
67; 0.623106; 0.546208; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
68; 0.623106; 0.548003; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
69; 0.623106; 0.549389; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
70; 0.623106; 0.54775; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
71; 0.623106; 0.54601; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
72; 0.623106; 0.546613; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
73; 0.623106; 0.550559; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
74; 0.623106; 0.549157; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
75; 0.623106; 0.54959; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
76; 0.623106; 0.552422; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
77; 0.623106; 0.550751; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
78; 0.623106; 0.552879; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
79; 0.623106; 0.551789; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
80; 0.623106; 0.551773; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
81; 0.623106; 0.550757; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
82; 0.623106; 0.551075; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
83; 0.623106; 0.551368; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
84; 0.623106; 0.553043; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
85; 0.623106; 0.552145; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
86; 0.623106; 0.553044; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
87; 0.623106; 0.550163; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
88; 0.623106; 0.551052; 0.77496; 0.459112; 0.560925; 0.239375;0.548338
89; 0.623319; 0.551327; 0.776863; 0.457632; 0.55964; 0.239181;0.547862
90; 0.623319; 0.550809; 0.776863; 0.457632; 0.55964; 0.239181;0.547862
91; 0.623319; 0.549977; 0.776863; 0.457632; 0.55964; 0.239181;0.547862
92; 0.623319; 0.545128; 0.776863; 0.457632; 0.55964; 0.239181;0.547862
93; 0.623319; 0.54804; 0.776863; 0.457632; 0.55964; 0.239181;0.547862
94; 0.623319; 0.550331; 0.776863; 0.457632; 0.55964; 0.239181;0.547862
95; 0.623319; 0.551814; 0.776863; 0.457632; 0.55964; 0.239181;0.547862
96; 0.623319; 0.548786; 0.776063; 0.459147; 0.560411; 0.239822;0.547593
97; 0.623319; 0.547212; 0.776063; 0.459147; 0.560411; 0.239822;0.547593
98; 0.623319; 0.547166; 0.776063; 0.459147; 0.560411; 0.239822;0.547593
99; 0.623319; 0.549866; 0.776063; 0.459147; 0.560411; 0.239822;0.547593
100; 0.623656; 0.550581; 0.776063; 0.459147; 0.560411; 0.239822;0.547593
101; 0.623656; 0.551083; 0.776063; 0.459147; 0.560411; 0.239822;0.547593
102; 0.624658; 0.553287; 0.776063; 0.461269; 0.562468; 0.240346;0.546726
103; 0.624658; 0.553884; 0.776063; 0.461269; 0.562468; 0.240346;0.546726
104; 0.624658; 0.548247; 0.776063; 0.461269; 0.562468; 0.240346;0.546726
105; 0.624658; 0.552232; 0.776063; 0.461269; 0.562468; 0.240346;0.546726
106; 0.624658; 0.550008; 0.776063; 0.461269; 0.562468; 0.240346;0.546726
107; 0.624658; 0.547379; 0.776063; 0.461269; 0.562468; 0.240346;0.546726
108; 0.624658; 0.544687; 0.776063; 0.461269; 0.562468; 0.240346;0.546726
109; 0.624658; 0.550152; 0.776063; 0.461269; 0.562468; 0.240346;0.546726
110; 0.624658; 0.549026; 0.776063; 0.461269; 0.562468; 0.240346;0.546726
111; 0.624658; 0.54908; 0.776063; 0.461269; 0.562468; 0.240346;0.546726
112; 0.624658; 0.546953; 0.776063; 0.461269; 0.562468; 0.240346;0.546726
113; 0.624658; 0.548215; 0.776063; 0.461269; 0.562468; 0.240346;0.546726
114; 0.624658; 0.545281; 0.776063; 0.461269; 0.562468; 0.240346;0.546726
115; 0.624658; 0.546885; 0.776063; 0.461269; 0.562468; 0.240346;0.546726
116; 0.624658; 0.547663; 0.776063; 0.461269; 0.562468; 0.240346;0.546726
117; 0.624658; 0.549998; 0.776063; 0.461269; 0.562468; 0.240346;0.546725
118; 0.624658; 0.55068; 0.776063; 0.461269; 0.562468; 0.240346;0.546725
119; 0.625469; 0.55429; 0.777663; 0.461421; 0.563239; 0.240965;0.546382
120; 0.625469; 0.551166; 0.777663; 0.461421; 0.563239; 0.240965;0.546382
121; 0.625469; 0.548465; 0.777663; 0.461421; 0.563239; 0.240965;0.546382
122; 0.625469; 0.548915; 0.777663; 0.461421; 0.563239; 0.240965;0.546382
123; 0.625469; 0.55083; 0.777663; 0.461421; 0.563239; 0.240965;0.546382
124; 0.625469; 0.554265; 0.777663; 0.461421; 0.563239; 0.240965;0.546382
125; 0.625469; 0.551975; 0.777663; 0.461421; 0.563239; 0.240965;0.546382
126; 0.625469; 0.553899; 0.777663; 0.461421; 0.563239; 0.240965;0.546382
127; 0.625469; 0.556755; 0.777663; 0.461421; 0.563239; 0.240965;0.546382
128; 0.626029; 0.549598; 0.777663; 0.462518; 0.564267; 0.241507;0.544959
