#Summary : 
#Best fitness Pop 1;0.628348
#Best fitness Pop 2;0.631017
#Std deviation Pop 1;0.0362291
#Std deviation Pop 2;0.0345219
#Sensitivity;0.638603
#Specificity;0.62343
#Accuracy;0.625707
#PPV;0.266677
#RMSE;0.533502
#RRSE;1.51287
#RAE;1.183
#MSE;0.293675
#ADM;0.464429
#MDM;0.0218231
#Size;0.0909091
#OverLearn;0.596296

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_zoa_dhe_d is MF 0 AND ccr_zob_dhe_d is MF 0 AND ccr_a_cortolone_d is MF 1 THEN 4_Obese is MF 1 AND 3_Surpoid is MF 1 AND 2_Normal is MF 1
 IF ccr_thf_d is MF 0 AND ccr_etio_d is MF 2 THEN 3_Surpoid is MF 0
 IF ccr_a_cortolone_d is MF 0 THEN 4_Obese is MF 0 AND 5_ExtremeObese is MF 0 AND 2_Normal is MF 1 AND 1_SousPoid is MF 1
 IF ccr_s_pt_d is MF 2 AND ccr_zob_dhe_d is MF 0 AND ccr_thaldo_d is MF 2 THEN 5_ExtremeObese is MF 0
 IF ccr_pt_d is MF 1 AND ccr_s_ad_17b_d is MF 2 THEN 3_Surpoid is MF 0 AND 4_Obese is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 0  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (79.3053 , 122.179 , 636.658) ; ccr_s_ad_17b_d (8.74422 , 26.6865 , 66.1594) ; ccr_s_pt_d (80.3584 , 90.7693 , 93.7439) ; ccr_thaldo_d (7.65688 , 27.1682 , 27.5924) ; ccr_pt_d (200.533 , 455.43 , 541.913) ; ccr_thf_d (108.788 , 299.262 , 345.981) ; ccr_a_cortolone_d (84.7511 , 108.684 , 599.31) ; ccr_zoa_dhe_d (3.20006 , 5.38812 , 6.5663) ; ccr_zob_dhe_d (15.409 , 15.5707 , 16.7025) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.500275; 0.500049; 0.3776; 0.690114; 0.744473; 0.19451;0.449654
2; 0.532401; 0.503758; 0.3776; 0.690114; 0.744473; 0.19451;0.449654
3; 0.539256; 0.504568; 0.401284; 0.67988; 0.581491; 0.142119;0.562494
4; 0.530457; 0.503493; 0.4464; 0.639057; 0.711568; 0.193378;0.457961
5; 0.539995; 0.505062; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
6; 0.532448; 0.502937; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
7; 0.528823; 0.506475; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
8; 0.535893; 0.503341; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
9; 0.535783; 0.505106; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
10; 0.528559; 0.50362; 0.871622; 0.227338; 0.404627; 0.210056;0.711229
11; 0.53369; 0.50227; 0.871622; 0.227338; 0.404627; 0.210056;0.711229
12; 0.526915; 0.504912; 0.871622; 0.227338; 0.404627; 0.210056;0.711229
13; 0.533602; 0.503233; 0.871622; 0.227338; 0.404627; 0.210056;0.711229
14; 0.536578; 0.505842; 0.871622; 0.227338; 0.404627; 0.210056;0.711229
15; 0.531773; 0.503945; 0.599691; 0.534973; 0.478406; 0.162528;0.617504
16; 0.567067; 0.505338; 0.599691; 0.534973; 0.478406; 0.162528;0.617504
17; 0.567067; 0.506995; 0.599198; 0.536064; 0.478663; 0.163047;0.6174
18; 0.575622; 0.50773; 0.831; 0.322634; 0.409769; 0.22621;0.738175
19; 0.575622; 0.508605; 0.831; 0.322634; 0.409769; 0.22621;0.738175
20; 0.575622; 0.510751; 0.844333; 0.315645; 0.413368; 0.227281;0.734002
21; 0.576817; 0.514933; 0.844333; 0.315645; 0.413368; 0.227281;0.734002
22; 0.576817; 0.51554; 0.845815; 0.315109; 0.413882; 0.227515;0.734008
23; 0.580462; 0.516506; 0.845815; 0.315109; 0.413882; 0.227515;0.734008
24; 0.580462; 0.516007; 0.845815; 0.315109; 0.413882; 0.227515;0.734008
25; 0.580462; 0.516983; 0.845815; 0.315109; 0.413882; 0.227515;0.734008
26; 0.580462; 0.519049; 0.845815; 0.315109; 0.413882; 0.227515;0.734008
27; 0.580688; 0.519238; 0.85342; 0.321068; 0.409769; 0.231905;0.736682
28; 0.58085; 0.519046; 0.85342; 0.321599; 0.410283; 0.231949;0.736407
29; 0.580892; 0.521451; 0.854901; 0.323723; 0.413111; 0.232673;0.73498
30; 0.581159; 0.522718; 0.854901; 0.323723; 0.413111; 0.232673;0.73498
31; 0.58085; 0.52499; 0.854901; 0.323723; 0.413111; 0.232673;0.73498
32; 0.580677; 0.523059; 0.704501; 0.482056; 0.472236; 0.240499;0.682061
