#Summary : 
#Best fitness Pop 1;0.626157
#Best fitness Pop 2;0.626157
#Std deviation Pop 1;0.0344211
#Std deviation Pop 2;0.0363431
#Sensitivity;0.711115
#Specificity;0.541198
#Accuracy;0.575578
#PPV;0.254293
#RMSE;0.576033
#RRSE;1.59204
#RAE;1.32548
#MSE;0.33552
#ADM;0.506205
#MDM;0.00794586
#Size;0.142857
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_sa_dihydrotest_d is MF 2 THEN 4_Obese is MF 0 AND 3_Surpoid is MF 1 AND 2_Normal is MF 0
 IF ccr_zob_dhe_d is MF 0 THEN 4_Obese is MF 0 AND 3_Surpoid is MF 1
 IF ccr_a_cortolone_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 2_Normal is MF 1 AND 1_SousPoid is MF 1
 IF ccr_thb_d is MF 0 AND ccr_sa_thf_d is MF 1 AND ccr_l6a_oh_dha_d is MF 0 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0
 IF ccr_ll_oxo_etio_d is MF 2 THEN 4_Obese is MF 0 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 0  3_Surpoid is 0  4_Obese is 1  5_ExtremeObese is 1  

Membership functions : 
ccr_sa_dihydrotest_d (10.9165 , 11.3763 , 13.3688) ; ccr_l6a_oh_dha_d (1.7548 , 81.136 , 98.3353) ; ccr_thb_d (67.5889 , 107.808 , 129.035) ; ccr_sa_thf_d (39.3531 , 153.648 , 463.195) ; ccr_a_cortolone_d (84.7511 , 108.684 , 599.31) ; ccr_ll_oxo_etio_d (13.206 , 47.2633 , 86.0181) ; ccr_zob_dhe_d (2.63582 , 10.235 , 12.822) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.500275; 0.500049; 0.3776; 0.690114; 0.744473; 0.19451;0.449654
2; 0.532401; 0.503758; 0.3776; 0.690114; 0.744473; 0.19451;0.449654
3; 0.539256; 0.504568; 0.401284; 0.67988; 0.581491; 0.142119;0.562494
4; 0.530457; 0.503493; 0.4464; 0.639057; 0.711568; 0.193378;0.457961
5; 0.539995; 0.505062; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
6; 0.532448; 0.502937; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
7; 0.528823; 0.506475; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
8; 0.535893; 0.503341; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
9; 0.535783; 0.505106; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
10; 0.528559; 0.50362; 0.871622; 0.227338; 0.404627; 0.210056;0.711229
11; 0.53369; 0.50227; 0.871622; 0.227338; 0.404627; 0.210056;0.711229
12; 0.526915; 0.504912; 0.871622; 0.227338; 0.404627; 0.210056;0.711229
13; 0.533602; 0.503233; 0.871622; 0.227338; 0.404627; 0.210056;0.711229
14; 0.536578; 0.505842; 0.7622; 0.338297; 0.442416; 0.207449;0.64603
15; 0.531773; 0.503945; 0.599691; 0.534973; 0.478406; 0.162528;0.617504
16; 0.567067; 0.505338; 0.599691; 0.534973; 0.478406; 0.162528;0.617504
17; 0.567332; 0.506746; 0.599198; 0.536064; 0.478663; 0.163047;0.6174
18; 0.575622; 0.507729; 0.831; 0.322634; 0.409769; 0.22621;0.738175
19; 0.575622; 0.508595; 0.831; 0.322634; 0.409769; 0.22621;0.738175
20; 0.575622; 0.510742; 0.844333; 0.315645; 0.413368; 0.227281;0.734002
21; 0.576817; 0.51492; 0.844333; 0.315645; 0.413368; 0.227281;0.734002
22; 0.576817; 0.515522; 0.845815; 0.315109; 0.413882; 0.227515;0.734008
23; 0.580462; 0.516403; 0.845815; 0.315109; 0.413882; 0.227515;0.734008
24; 0.580462; 0.516005; 0.845815; 0.315109; 0.413882; 0.227515;0.734008
25; 0.580462; 0.516997; 0.845815; 0.315109; 0.413882; 0.227515;0.734008
26; 0.583692; 0.51911; 0.870506; 0.296878; 0.417995; 0.226612;0.7286
27; 0.583692; 0.519401; 0.85342; 0.321068; 0.409769; 0.231905;0.736682
28; 0.583692; 0.519117; 0.85342; 0.321599; 0.410283; 0.231949;0.736407
29; 0.583692; 0.52116; 0.854901; 0.323723; 0.413111; 0.232673;0.73498
30; 0.583692; 0.522992; 0.854901; 0.323723; 0.413111; 0.232673;0.73498
