#Summary : 
#Best fitness Pop 1;0.643063
#Best fitness Pop 2;0.6429
#Std deviation Pop 1;0.035637
#Std deviation Pop 2;0.0360083
#Sensitivity;0.711967
#Specificity;0.57416
#Accuracy;0.586118
#PPV;0.264528
#RMSE;0.569327
#RRSE;1.5105
#RAE;1.18503
#MSE;0.327103
#ADM;0.540176
#MDM;0.0066304
#Size;0.0909091
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_testosterone_d is MF 0 AND ccr_tha_d is MF 1 THEN 2_Normal is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_b_cortol_d is MF 1 AND ccr_pt_one_d is MF 2 AND ccr_b_cortolone_d is MF 0 THEN 4_Obese is MF 0 AND 3_Surpoid is MF 0 AND 2_Normal is MF 0
 IF ccr_a_cortolone_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 2_Normal is MF 1 AND 1_SousPoid is MF 1
 IF ccr_thb_d is MF 0 AND ccr_the_d is MF 1 AND ccr_l6a_oh_dha_d is MF 0 THEN 4_Obese is MF 1 AND 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_zob_dhe_d is MF 0 AND ccr_cortisone_d is MF 0 THEN 5_ExtremeObese is MF 1 AND 2_Normal is MF 1 AND 1_SousPoid is MF 1 AND 4_Obese is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 0  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_testosterone_d (1.32403 , 10.8941 , 21.9366) ; ccr_l6a_oh_dha_d (17.6311 , 70.5519 , 134.057) ; ccr_tha_d (6.35088 , 14.6013 , 51.7279) ; ccr_thb_d (26.2524 , 73.1749 , 132.387) ; ccr_pt_one_d (18.3162 , 28.5208 , 90.4771) ; ccr_b_cortol_d (141.264 , 150.405 , 366.754) ; ccr_cortisone_d (28.219 , 30.807 , 54.6166) ; ccr_the_d (187.283 , 266.178 , 1436.46) ; ccr_a_cortolone_d (90.7343 , 102.701 , 234.332) ; ccr_b_cortolone_d (214.687 , 266.518 , 325.261) ; ccr_zob_dhe_d (1.82739 , 2.63582 , 3.76762) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.539178; 0.503667; 0.50241; 0.575945; 0.640874; 0.193259;0.507479
2; 0.525398; 0.504826; 0.50241; 0.575945; 0.640874; 0.193259;0.507479
3; 0.526699; 0.505946; 0.50241; 0.575945; 0.640874; 0.193259;0.507479
4; 0.525434; 0.505958; 0.50241; 0.575945; 0.640874; 0.193259;0.507479
5; 0.536011; 0.504317; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
6; 0.51981; 0.503131; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
7; 0.51839; 0.499945; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
8; 0.524058; 0.501446; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
9; 0.530457; 0.500351; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
10; 0.540624; 0.504476; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
11; 0.526948; 0.505218; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
12; 0.531641; 0.50119; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
13; 0.537312; 0.499875; 0.879197; 0.220763; 0.298715; 0.224115;0.764615
14; 0.53806; 0.502731; 0.656136; 0.461668; 0.464781; 0.224976;0.631229
15; 0.567332; 0.507923; 0.599691; 0.534973; 0.478406; 0.162528;0.617504
16; 0.550166; 0.505913; 0.599691; 0.534973; 0.478406; 0.162528;0.617504
17; 0.567332; 0.508514; 0.599691; 0.534973; 0.478406; 0.162528;0.617504
18; 0.567067; 0.508725; 0.599691; 0.534973; 0.478406; 0.162528;0.617504
19; 0.556544; 0.507169; 0.599198; 0.536046; 0.478663; 0.163049;0.617231
20; 0.567067; 0.512377; 0.599198; 0.536046; 0.478663; 0.163049;0.617231
21; 0.564624; 0.515403; 0.615958; 0.519464; 0.544473; 0.226661;0.585704
22; 0.579858; 0.515641; 0.682437; 0.477279; 0.467352; 0.236922;0.680311
23; 0.574522; 0.516756; 0.682437; 0.477279; 0.467352; 0.236922;0.680311
24; 0.564411; 0.513021; 0.741311; 0.428697; 0.467352; 0.235959;0.680296
25; 0.585004; 0.511974; 0.741311; 0.428697; 0.467352; 0.235959;0.680296
26; 0.583428; 0.51664; 0.741311; 0.428697; 0.467352; 0.235959;0.680296
27; 0.58429; 0.51952; 0.741914; 0.428711; 0.458355; 0.235976;0.688881
28; 0.584422; 0.518336; 0.741914; 0.428711; 0.458355; 0.235976;0.688881
29; 0.586476; 0.521296; 0.71181; 0.461142; 0.46144; 0.242555;0.673187
30; 0.586476; 0.522077; 0.731711; 0.444669; 0.459126; 0.241583;0.683302
31; 0.590531; 0.519608; 0.753291; 0.427772; 0.466838; 0.239618;0.660241
32; 0.586416; 0.525136; 0.736877; 0.445062; 0.452442; 0.248053;0.688513
33; 0.590695; 0.523023; 0.732946; 0.452859; 0.457069; 0.250371;0.692998
34; 0.592902; 0.530405; 0.732946; 0.452859; 0.457069; 0.250371;0.692997
35; 0.588802; 0.527125; 0.732946; 0.452859; 0.457069; 0.250371;0.692997
