#Summary : 
#Best fitness Pop 1;0.589213
#Best fitness Pop 2;0.588672
#Std deviation Pop 1;0.0234812
#Std deviation Pop 2;0.0206765
#Sensitivity;0.827803
#Specificity;0.350624
#Accuracy;0.45347
#PPV;0.227791
#RMSE;0.6604
#RRSE;1.63
#RAE;1.36657
#MSE;0.461904
#ADM;0.483512
#MDM;0.12113
#Size;0.0909091
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_zob_dhf_d is MF 0 THEN 1_SousPoid is MF 0
 IF ccr_zob_dhf_d is MF 1 AND ccr_sa_dihydrotest_d is MF 1 THEN 1_SousPoid is MF 0 AND 3_Surpoid is MF 1
 IF ccr_llb_oh_andro_d is MF 0 AND ccr_sa_dihydrotest_d is MF 0 AND ccr_tha_d is MF 0 THEN 1_SousPoid is MF 1 AND 4_Obese is MF 0 AND 2_Normal is MF 1
 IF ccr_s_pt_d is MF 2 AND ccr_estriol_d is MF 1 AND ccr_zob_dhe_d is MF 0 AND ccr_llb_oh_etio_d is MF 0 THEN 2_Normal is MF 1
 IF ccr_l6a_oh_dha_d is MF 1 THEN 4_Obese is MF 0 AND 2_Normal is MF 1 AND 5_ExtremeObese is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 0  3_Surpoid is 1  4_Obese is 1  5_ExtremeObese is 1  

Membership functions : 
ccr_sa_dihydrotest_d (4.01946 , 5.55214 , 15.9744) ; ccr_estriol_d (4.79246 , 22.097 , 22.746) ; ccr_l6a_oh_dha_d (21.6001 , 34.8303 , 89.0742) ; ccr_s_pt_d (52.1002 , 104.155 , 110.104) ; ccr_tha_d (33.8521 , 40.2691 , 44.8526) ; ccr_llb_oh_andro_d (49.1663 , 71.8809 , 183.707) ; ccr_llb_oh_etio_d (6.42353 , 21.2614 , 22.4028) ; ccr_zob_dhe_d (0.53391 , 1.01897 , 4.57605) ; ccr_zob_dhf_d (34.1814 , 57.6647 , 386.431) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (1 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.500275; 0.500049; 0.3776; 0.690114; 0.744473; 0.19451;0.449654
2; 0.532401; 0.503758; 0.3776; 0.690114; 0.744473; 0.19451;0.449654
3; 0.539256; 0.504568; 0.401284; 0.67988; 0.581491; 0.142119;0.562494
4; 0.530457; 0.503493; 0.4464; 0.639057; 0.711568; 0.193378;0.457961
5; 0.539995; 0.505062; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
6; 0.532448; 0.502937; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
7; 0.528823; 0.506475; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
8; 0.535893; 0.503341; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
9; 0.535783; 0.505106; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
10; 0.529423; 0.502563; 0.797027; 0.311555; 0.430334; 0.219339;0.627105
11; 0.551708; 0.501123; 0.797027; 0.311555; 0.430334; 0.219339;0.627105
12; 0.53346; 0.502672; 0.797027; 0.311555; 0.430334; 0.219339;0.627105
13; 0.537811; 0.500969; 0.797027; 0.311555; 0.430334; 0.219339;0.627105
14; 0.53806; 0.501852; 0.797027; 0.311555; 0.430334; 0.219339;0.627105
15; 0.547857; 0.506592; 0.599691; 0.534442; 0.477892; 0.162475;0.617747
16; 0.524613; 0.500043; 0.599691; 0.534442; 0.477892; 0.162475;0.617747
17; 0.532909; 0.508526; 0.599691; 0.534442; 0.477892; 0.162475;0.617747
18; 0.549715; 0.50508; 0.599691; 0.534442; 0.477892; 0.162475;0.617747
19; 0.534101; 0.501455; 0.599691; 0.534442; 0.477892; 0.162475;0.617747
20; 0.551191; 0.510911; 0.599691; 0.534442; 0.477892; 0.162475;0.617747
21; 0.531725; 0.504501; 0.599691; 0.534442; 0.477892; 0.162475;0.617747
22; 0.551154; 0.510918; 0.514407; 0.631297; 0.642674; 0.156339;0.511706
23; 0.572852; 0.512838; 0.514407; 0.631297; 0.642674; 0.156339;0.511706
24; 0.539323; 0.501191; 0.507683; 0.639744; 0.644473; 0.154758;0.502041
25; 0.572598; 0.514025; 0.507683; 0.639744; 0.644473; 0.154758;0.502041
26; 0.57274; 0.515248; 0.541831; 0.618464; 0.627764; 0.154012;0.512383
27; 0.562116; 0.502673; 0.541831; 0.618464; 0.627764; 0.154012;0.512383
28; 0.567808; 0.519382; 0.541831; 0.618464; 0.627764; 0.154012;0.512383
29; 0.527926; 0.505694; 0.541831; 0.618464; 0.627764; 0.154012;0.512383
30; 0.527926; 0.506296; 0.541831; 0.618464; 0.627764; 0.154012;0.512383
31; 0.528832; 0.501565; 0.541831; 0.618464; 0.627764; 0.154012;0.512383
32; 0.527999; 0.50042; 0.541831; 0.618464; 0.627764; 0.154012;0.512383
33; 0.539032; 0.508514; 0.541831; 0.618464; 0.627764; 0.154012;0.512383
