#Summary : 
#Best fitness Pop 1;0.631956
#Best fitness Pop 2;0.631709
#Std deviation Pop 1;0.0289349
#Std deviation Pop 2;0.0350367
#Sensitivity;0.577968
#Specificity;0.685943
#Accuracy;0.66401
#PPV;0.246233
#RMSE;0.503906
#RRSE;1.63847
#RAE;1.41944
#MSE;0.256341
#ADM;0.470274
#MDM;0.0477647
#Size;0.0909091
#OverLearn;0.284211

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_the_d is MF 2 THEN 5_ExtremeObese is MF 0 AND 3_Surpoid is MF 0
 IF ccr_ll_oxo_etio_d is MF 1 THEN 3_Surpoid is MF 1
 IF ccr_a_cortolone_d is MF 1 AND ccr_thf_d is MF 1 THEN 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_sa_thf_d is MF 1 AND ccr_sa_dihydrotest_d is MF 0 AND ccr_testosterone_d is MF 0 THEN 1_SousPoid is MF 0 AND 2_Normal is MF 0 AND 4_Obese is MF 1
 IF ccr_ll_oxo_etio_d is MF 0 AND ccr_zob_dhf_d is MF 1 AND ccr_zoa_dhe_d is MF 0 AND ccr_zob_dhe_d is MF 0 THEN 4_Obese is MF 0 AND 1_SousPoid is MF 1 AND 5_ExtremeObese is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_sa_dihydrotest_d (1.56717 , 9.99692 , 16.4342) ; ccr_testosterone_d (2.55097 , 6.96795 , 17.5196) ; ccr_thf_d (22.536 , 209.416 , 381.92) ; ccr_sa_thf_d (53.6399 , 153.648 , 525.105) ; ccr_the_d (174.134 , 331.924 , 1252.37) ; ccr_a_cortolone_d (12.9522 , 180.483 , 318.098) ; ccr_ll_oxo_etio_d (60.1815 , 64.8791 , 121.25) ; ccr_zoa_dhe_d (2.77928 , 3.95746 , 7.32371) ; ccr_zob_dhe_d (4.25268 , 16.8641 , 19.4511) ; ccr_zob_dhf_d (14.612 , 135.942 , 406) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.500275; 0.500049; 0.3776; 0.690114; 0.744473; 0.19451;0.449654
2; 0.532401; 0.503758; 0.3776; 0.690114; 0.744473; 0.19451;0.449654
3; 0.539256; 0.504568; 0.401284; 0.67988; 0.581491; 0.142119;0.562494
4; 0.530457; 0.503493; 0.4464; 0.639057; 0.711568; 0.193378;0.457961
5; 0.539995; 0.505062; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
6; 0.532448; 0.502937; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
7; 0.528823; 0.506475; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
8; 0.535893; 0.503341; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
9; 0.535783; 0.505106; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
10; 0.528559; 0.50362; 0.871622; 0.227338; 0.404627; 0.210056;0.711229
11; 0.53369; 0.50227; 0.871622; 0.227338; 0.404627; 0.210056;0.711229
12; 0.533602; 0.502768; 0.871622; 0.227338; 0.404627; 0.210056;0.711229
13; 0.533602; 0.503727; 0.7526; 0.350418; 0.447558; 0.209814;0.645378
14; 0.535086; 0.504518; 0.7526; 0.350418; 0.447558; 0.209814;0.645378
15; 0.545505; 0.505521; 0.599691; 0.534973; 0.478406; 0.162528;0.617504
16; 0.550226; 0.503754; 0.599691; 0.534973; 0.478406; 0.162528;0.617504
17; 0.550734; 0.504939; 0.599691; 0.534973; 0.478406; 0.162528;0.617504
18; 0.576844; 0.508709; 0.633281; 0.520407; 0.480977; 0.211898;0.618779
19; 0.576844; 0.508937; 0.504136; 0.652557; 0.651671; 0.159536;0.503984
20; 0.576844; 0.509937; 0.504136; 0.652557; 0.651671; 0.159536;0.503984
21; 0.577872; 0.514859; 0.531363; 0.626718; 0.634447; 0.160329;0.512708
22; 0.57935; 0.514819; 0.652412; 0.506288; 0.477892; 0.243636;0.602126
23; 0.57904; 0.517314; 0.652412; 0.506288; 0.477892; 0.243636;0.602126
24; 0.57904; 0.516061; 0.652412; 0.506288; 0.477892; 0.243636;0.602126
25; 0.57904; 0.516945; 0.652412; 0.506288; 0.477892; 0.243636;0.602126
26; 0.57904; 0.519871; 0.712136; 0.452991; 0.580463; 0.224554;0.555193
27; 0.584638; 0.521258; 0.738654; 0.430641; 0.577378; 0.227221;0.55601
28; 0.584638; 0.520227; 0.575189; 0.612021; 0.567866; 0.11829;0.591416
29; 0.584638; 0.518693; 0.575189; 0.612305; 0.568123; 0.118397;0.591096
30; 0.585393; 0.521047; 0.575189; 0.612305; 0.568123; 0.118397;0.591096
31; 0.585182; 0.52191; 0.575189; 0.612305; 0.568123; 0.118397;0.591096
32; 0.588103; 0.523158; 0.575189; 0.612305; 0.568123; 0.118397;0.591146
33; 0.587122; 0.523073; 0.575189; 0.612305; 0.568123; 0.118397;0.591096
34; 0.588103; 0.520784; 0.575189; 0.612305; 0.568123; 0.118397;0.591081
