#Summary : 
#Best fitness Pop 1;0.653765
#Best fitness Pop 2;0.653241
#Std deviation Pop 1;0.0373993
#Std deviation Pop 2;0.0403314
#Sensitivity;0.608779
#Specificity;0.698752
#Accuracy;0.655784
#PPV;0.27896
#RMSE;0.478661
#RRSE;1.71658
#RAE;1.55347
#MSE;0.23024
#ADM;0.466387
#MDM;0.00374635
#Size;0.0625
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_pt_one_d is MF 0 AND ccr_thdoc_d is MF 2 AND ccr_cortisone_d is MF 1 THEN 1_SousPoid is MF 1 AND 3_Surpoid is MF 0 AND 2_Normal is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_cortisone_d is MF 1 AND ccr_pt_d is MF 2 AND ccr_thaldo_d is MF 2 AND ccr_l6a_oh_dha_d is MF 1 THEN 3_Surpoid is MF 1 AND 1_SousPoid is MF 1
 IF ccr_a_cortolone_d is MF 1 AND ccr_cortisone_d is MF 0 THEN 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1 AND 2_Normal is MF 0
 IF ccr_sa_thf_d is MF 1 AND ccr_l6a_oh_dha_d is MF 0 AND ccr_l7b_estradiol_d is MF 0 THEN 1_SousPoid is MF 0 AND 2_Normal is MF 0 AND 3_Surpoid is MF 1 AND 4_Obese is MF 1
 IF ccr_b_cortolone_d is MF 0 AND ccr_zob_dhf_d is MF 1 AND ccr_pd_d is MF 0 AND ccr_zoa_dhe_d is MF 2 THEN 3_Surpoid is MF 0 AND 4_Obese is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_l7b_estradiol_d (9.8449 , 13.4576 , 13.5822) ; ccr_l6a_oh_dha_d (29.5382 , 42.7684 , 44.0915) ; ccr_thaldo_d (17.4125 , 33.5306 , 33.9548) ; ccr_thdoc_d (0.292506 , 0.700515 , 2.26455) ; ccr_pd_d (84.3869 , 129.769 , 509.33) ; ccr_pt_d (391.706 , 573.775 , 578.327) ; ccr_pt_one_d (0.82264 , 54.7611 , 81.0014) ; ccr_sa_thf_d (10.7794 , 172.697 , 529.867) ; ccr_cortisone_d (11.1382 , 18.9022 , 40.6414) ; ccr_a_cortolone_d (12.9522 , 180.483 , 599.31) ; ccr_b_cortolone_d (66.1025 , 297.617 , 349.449) ; ccr_zoa_dhe_d (1.34863 , 2.77928 , 10.0167) ; ccr_zob_dhf_d (175.081 , 186.823 , 222.048) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.500275; 0.500049; 0.3776; 0.690114; 0.744473; 0.19451;0.449654
2; 0.532401; 0.503758; 0.3776; 0.690114; 0.744473; 0.19451;0.449654
3; 0.539256; 0.504568; 0.401284; 0.67988; 0.581491; 0.142119;0.562494
4; 0.530457; 0.503493; 0.4464; 0.639057; 0.711568; 0.193378;0.457961
5; 0.539995; 0.505062; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
6; 0.532448; 0.502937; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
7; 0.528823; 0.506475; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
8; 0.535893; 0.503341; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
9; 0.535783; 0.505106; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
10; 0.528559; 0.50362; 0.871622; 0.227338; 0.404627; 0.210056;0.711229
11; 0.53369; 0.50227; 0.871622; 0.227338; 0.404627; 0.210056;0.711229
12; 0.533602; 0.502768; 0.871622; 0.227338; 0.404627; 0.210056;0.711229
13; 0.533602; 0.503727; 0.871622; 0.227338; 0.404627; 0.210056;0.711229
14; 0.535086; 0.504518; 0.7526; 0.350418; 0.447558; 0.209814;0.645378
15; 0.545505; 0.505521; 0.599691; 0.534973; 0.478406; 0.162528;0.617504
16; 0.550226; 0.503754; 0.599691; 0.534973; 0.478406; 0.162528;0.617504
17; 0.550734; 0.504939; 0.599691; 0.534973; 0.478406; 0.162528;0.617504
18; 0.576844; 0.50871; 0.633281; 0.520407; 0.480977; 0.211898;0.618781
19; 0.576844; 0.508937; 0.633281; 0.520407; 0.480977; 0.211898;0.618781
20; 0.576844; 0.510122; 0.504136; 0.652557; 0.651671; 0.159536;0.503984
21; 0.57904; 0.51733; 0.531363; 0.626718; 0.634447; 0.160329;0.512708
22; 0.57904; 0.516091; 0.531363; 0.626718; 0.634447; 0.160329;0.512708
23; 0.57904; 0.517226; 0.531363; 0.627096; 0.634704; 0.160329;0.512652
24; 0.57904; 0.515947; 0.531363; 0.627096; 0.634704; 0.160329;0.512652
25; 0.57904; 0.516494; 0.731363; 0.427362; 0.563496; 0.224644;0.563946
26; 0.579965; 0.51951; 0.729709; 0.430486; 0.567352; 0.224058;0.565818
27; 0.58982; 0.520743; 0.545666; 0.633973; 0.651671; 0.162902;0.504509
28; 0.58982; 0.519617; 0.545666; 0.633973; 0.651671; 0.162902;0.504509
29; 0.58982; 0.518627; 0.545666; 0.633973; 0.651671; 0.162902;0.504509
30; 0.58982; 0.521252; 0.545666; 0.633973; 0.651671; 0.162902;0.504509
31; 0.58982; 0.521576; 0.545666; 0.633973; 0.651671; 0.162902;0.504509
32; 0.590218; 0.522895; 0.370234; 0.810202; 0.634704; 0.0545149;0.53804
33; 0.590218; 0.523115; 0.370234; 0.810202; 0.634704; 0.0545149;0.53804
34; 0.590615; 0.520297; 0.551072; 0.633257; 0.651671; 0.163285;0.505153
35; 0.590615; 0.521159; 0.551072; 0.633257; 0.651671; 0.163285;0.505153
36; 0.592409; 0.523432; 0.546942; 0.637875; 0.642931; 0.160231;0.510149
37; 0.592551; 0.524637; 0.546942; 0.638159; 0.643188; 0.160337;0.510097
38; 0.592551; 0.525099; 0.546942; 0.638159; 0.643188; 0.160337;0.510097
39; 0.592579; 0.523543; 0.549151; 0.636273; 0.641131; 0.160548;0.509824
