#Summary : 
#Best fitness Pop 1;0.629805
#Best fitness Pop 2;0.629947
#Std deviation Pop 1;0.0308855
#Std deviation Pop 2;0.0302902
#Sensitivity;0.616029
#Specificity;0.643865
#Accuracy;0.60617
#PPV;0.27161
#RMSE;0.541925
#RRSE;1.79884
#RAE;1.68401
#MSE;0.300126
#ADM;0.490118
#MDM;0.00945627
#Size;0.0909091
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_ll_oxo_etio_d is MF 2 AND ccr_l8_oh_tha_d is MF 2 AND ccr_sa_thb_d is MF 1 THEN 5_ExtremeObese is MF 0 AND 4_Obese is MF 1
 IF cr_l8_oh_f_d is MF 0 AND ccr_pt_d is MF 2 THEN 5_ExtremeObese is MF 0 AND 3_Surpoid is MF 0
 IF ccr_l6a_oh_dha_d is MF 0 AND ccr_thdoc_d is MF 0 THEN 4_Obese is MF 1 AND 1_SousPoid is MF 0 AND 2_Normal is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_etio_d is MF 2 AND ccr_pt_one_d is MF 0 THEN 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 0 AND 2_Normal is MF 1
 IF ccr_a_cortolone_d is MF 1 AND ccr_zoa_dhe_d is MF 0 THEN 3_Surpoid is MF 1 AND 4_Obese is MF 1 AND 5_ExtremeObese is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (105.029 , 173.627 , 833.875) ; ccr_l6a_oh_dha_d (0.431783 , 57.3217 , 108.919) ; ccr_sa_thb_d (198.73 , 268.252 , 397.364) ; ccr_thdoc_d (0.360508 , 0.904519 , 1.58453) ; ccr_l8_oh_tha_d (58.2132 , 107.372 , 116.31) ; ccr_pt_d (9.36097 , 36.6713 , 68.5334) ; ccr_pt_one_d (54.7611 , 60.5923 , 78.0858) ; cr_l8_oh_f_d (649.042 , 1294.39 , 2646.54) ; ccr_a_cortolone_d (66.8013 , 240.315 , 736.924) ; ccr_ll_oxo_etio_d (14.3804 , 22.6011 , 86.0181) ; ccr_zoa_dhe_d (8.58605 , 8.58605 , 9.09098) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.539178; 0.503667; 0.50241; 0.575945; 0.640874; 0.193259;0.507479
2; 0.525398; 0.504826; 0.50241; 0.575945; 0.640874; 0.193259;0.507479
3; 0.525434; 0.5067; 0.412919; 0.713541; 0.5491; 0.0424962;0.613289
4; 0.525434; 0.505843; 0.412919; 0.713541; 0.5491; 0.0424962;0.613289
5; 0.540472; 0.50058; 0.424744; 0.701779; 0.545244; 0.14244;0.610221
6; 0.539334; 0.506735; 0.424744; 0.701779; 0.545244; 0.14244;0.610221
7; 0.527498; 0.504302; 0.424744; 0.701779; 0.545244; 0.14244;0.610221
8; 0.531116; 0.504138; 0.424744; 0.701779; 0.545244; 0.14244;0.610221
9; 0.512174; 0.499979; 0.424744; 0.701779; 0.545244; 0.14244;0.610221
10; 0.535284; 0.506498; 0.424744; 0.701779; 0.545244; 0.14244;0.610221
11; 0.530733; 0.507628; 0.424744; 0.701779; 0.545244; 0.14244;0.610221
12; 0.547466; 0.504688; 0.533667; 0.600084; 0.625193; 0.126352;0.541385
13; 0.547466; 0.50476; 0.533667; 0.600084; 0.625193; 0.126352;0.541385
14; 0.525705; 0.49344; 0.533667; 0.600084; 0.625193; 0.126352;0.541385
15; 0.552723; 0.50526; 0.533667; 0.600084; 0.625193; 0.126352;0.541385
16; 0.552723; 0.506259; 0.533667; 0.600084; 0.625193; 0.126352;0.541385
17; 0.548405; 0.505058; 0.533667; 0.600084; 0.625193; 0.126352;0.541385
18; 0.553416; 0.506566; 0.533667; 0.600084; 0.625193; 0.126352;0.541385
19; 0.554349; 0.507935; 0.533667; 0.600084; 0.625193; 0.126352;0.541385
20; 0.561267; 0.507955; 0.533667; 0.600084; 0.625193; 0.126352;0.541385
21; 0.561267; 0.510025; 0.533667; 0.600084; 0.625193; 0.126352;0.541385
22; 0.561267; 0.509354; 0.533667; 0.600084; 0.625193; 0.126352;0.541385
23; 0.561267; 0.509697; 0.533667; 0.600084; 0.625193; 0.126352;0.541385
24; 0.561267; 0.510521; 0.533667; 0.600084; 0.625193; 0.126352;0.541385
25; 0.561267; 0.511264; 0.533667; 0.600084; 0.625193; 0.126352;0.541385
26; 0.563419; 0.512027; 0.533667; 0.600084; 0.625193; 0.126352;0.541385
27; 0.563419; 0.512538; 0.871496; 0.28471; 0.463753; 0.216343;0.661615
28; 0.56758; 0.513285; 0.871496; 0.28471; 0.463753; 0.216343;0.661615
29; 0.56758; 0.514774; 0.871496; 0.28471; 0.463753; 0.216343;0.661615
30; 0.56758; 0.514573; 0.871496; 0.28471; 0.463753; 0.216343;0.661615
31; 0.56758; 0.515439; 0.871496; 0.28471; 0.463753; 0.216343;0.661615
32; 0.57543; 0.518503; 0.871496; 0.286358; 0.465296; 0.2167;0.659936
33; 0.57543; 0.519261; 0.871496; 0.286358; 0.465296; 0.2167;0.659936
34; 0.577026; 0.518194; 0.871496; 0.286358; 0.465296; 0.2167;0.659936
35; 0.576975; 0.517081; 0.871496; 0.286358; 0.465296; 0.2167;0.659936
