#Summary : 
#Best fitness Pop 1;0.631616
#Best fitness Pop 2;0.628225
#Std deviation Pop 1;0.0325116
#Std deviation Pop 2;0.0352714
#Sensitivity;0.690846
#Specificity;0.572386
#Accuracy;0.549614
#PPV;0.254721
#RMSE;0.544307
#RRSE;1.78563
#RAE;1.67229
#MSE;0.297927
#ADM;0.46217
#MDM;0.0174187
#Size;0.0769231
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_thf_d is MF 2 AND ccr_saad3a17b_d is MF 1 THEN 2_Normal is MF 0 AND 4_Obese is MF 1 AND 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 0
 IF ccr_ths_d is MF 0 AND ccr_etio_d is MF 1 AND ccr_b_cortolone_d is MF 0 THEN 3_Surpoid is MF 0 AND 4_Obese is MF 0 AND 2_Normal is MF 1
 IF ccr_sa_thb_d is MF 1 AND ccr_the_d is MF 2 AND ccr_l7b_estradiol_d is MF 2 AND ccr_pt_d is MF 0 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 1 AND 5_ExtremeObese is MF 1
 IF ccr_cortisone_d is MF 1 AND ccr_ths_d is MF 0 THEN 1_SousPoid is MF 1 AND 2_Normal is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_thf_d is MF 0 AND ccr_llb_oh_etio_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 4_Obese is MF 0 AND 1_SousPoid is MF 1 AND 3_Surpoid is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 0  3_Surpoid is 1  4_Obese is 1  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (10.708 , 387.993 , 533.762) ; ccr_saad3a17b_d (30.4427 , 44.8428 , 54.4428) ; ccr_l7b_estradiol_d (4.98644 , 8.84829 , 13.333) ; ccr_sa_thb_d (271.562 , 331.152 , 370.879) ; ccr_pt_d (4.80924 , 36.6713 , 136.809) ; ccr_ths_d (37.7575 , 56.3066 , 56.8863) ; ccr_thf_d (62.0682 , 173.477 , 464.578) ; ccr_llb_oh_etio_d (90.8852 , 134.257 , 141.106) ; ccr_cortisone_d (11.1382 , 23.043 , 58.7574) ; ccr_the_d (55.7912 , 857.893 , 910.489) ; ccr_b_cortolone_d (35.0035 , 128.3 , 397.825) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.539178; 0.503667; 0.50241; 0.575945; 0.640874; 0.193259;0.507479
2; 0.525398; 0.504826; 0.50241; 0.575945; 0.640874; 0.193259;0.507479
3; 0.526699; 0.505946; 0.50241; 0.575945; 0.640874; 0.193259;0.507479
4; 0.536011; 0.505631; 0.50241; 0.575945; 0.640874; 0.193259;0.507479
5; 0.542914; 0.504446; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
6; 0.517614; 0.501164; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
7; 0.533517; 0.502706; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
8; 0.535893; 0.503419; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
9; 0.530268; 0.506949; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
10; 0.530799; 0.506527; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
11; 0.530733; 0.508264; 0.392951; 0.692877; 0.59383; 0.142268;0.533241
12; 0.53148; 0.508873; 0.286; 0.804617; 0.681748; 0.113062;0.472933
13; 0.536862; 0.496939; 0.928733; 0.170161; 0.341131; 0.210608;0.760294
14; 0.532211; 0.503337; 0.928733; 0.170161; 0.341131; 0.210608;0.760294
15; 0.537945; 0.504075; 0.928733; 0.170161; 0.341131; 0.210608;0.760294
16; 0.538004; 0.507154; 0.928733; 0.170161; 0.341131; 0.210608;0.760294
17; 0.538004; 0.507391; 0.928733; 0.170161; 0.341131; 0.210608;0.760294
18; 0.542047; 0.508343; 0.928733; 0.170161; 0.341131; 0.210608;0.760294
19; 0.542047; 0.509425; 0.928733; 0.170161; 0.341131; 0.210608;0.760294
20; 0.542189; 0.51091; 0.928733; 0.170161; 0.341131; 0.210608;0.760294
21; 0.542189; 0.511732; 0.928733; 0.170161; 0.341131; 0.210608;0.760294
22; 0.545385; 0.512409; 0.928733; 0.170161; 0.341131; 0.210608;0.760294
23; 0.545385; 0.511492; 0.928733; 0.170161; 0.341131; 0.210608;0.760294
24; 0.545385; 0.511732; 0.928733; 0.170161; 0.341131; 0.210608;0.760294
25; 0.545385; 0.509338; 0.928733; 0.170161; 0.341131; 0.210608;0.760294
26; 0.545385; 0.510392; 0.928733; 0.170161; 0.341131; 0.210608;0.760294
27; 0.545385; 0.510311; 0.750499; 0.349312; 0.361954; 0.226802;0.76614
28; 0.546814; 0.511064; 0.750331; 0.35162; 0.365296; 0.227367;0.769574
29; 0.545385; 0.51152; 0.755783; 0.346837; 0.365039; 0.229246;0.776757
30; 0.542981; 0.513377; 0.755783; 0.346837; 0.365039; 0.229246;0.776757
31; 0.549675; 0.513575; 0.752306; 0.353047; 0.368123; 0.227841;0.764043
32; 0.529407; 0.509305; 0.752306; 0.353047; 0.368123; 0.227841;0.764043
33; 0.553833; 0.515047; 0.533577; 0.574771; 0.471979; 0.173508;0.676809
34; 0.558635; 0.516595; 0.569915; 0.547355; 0.566838; 0.233683;0.588106
35; 0.554015; 0.51724; 0.569915; 0.547355; 0.566838; 0.233683;0.588106
36; 0.554581; 0.516339; 0.569915; 0.547355; 0.566838; 0.233683;0.588106
