#Summary : 
#Best fitness Pop 1;0.800124
#Best fitness Pop 2;0.800054
#Std deviation Pop 1;0.0421927
#Std deviation Pop 2;0.0197102
#Sensitivity;0.172277
#Specificity;0.86696
#Accuracy;0.825193
#PPV;0.21661
#RMSE;0.321704
#RRSE;0.902184
#RAE;0.649865
#MSE;0.12099
#ADM;0.410931
#MDM;0.312316
#Size;0.0909091
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0
#Specificity weight;0
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_ths_d is MF 0 AND ccr_zob_dhe_d is MF 1 AND ccr_thb_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 1_SousPoid is MF 0 AND 3_Surpoid is MF 0
 IF ccr_thb_d is MF 0 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 0
 IF ccr_a_cortol_d is MF 0 AND ccr_b_cortolone_d is MF 0 THEN 2_Normal is MF 1 AND 3_Surpoid is MF 0
 IF ccr_ths_d is MF 0 AND ccr_zoa_dhf_d is MF 2 THEN 4_Obese is MF 1 AND 1_SousPoid is MF 0 AND 2_Normal is MF 1
 IF ccr_cortisol_d is MF 2 AND ccr_pt_d is MF 2 AND ccr_a_cortolone_d is MF 0 THEN 3_Surpoid is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 0  3_Surpoid is 1  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_thb_d (0.556773 , 82.1125 , 96.6361) ; ccr_pt_d (32.1196 , 68.5334 , 227.844) ; ccr_ths_d (33.6999 , 42.3948 , 55.727) ; ccr_cortisol_d (6.70379 , 50.6215 , 55.4251) ; ccr_a_cortol_d (28.7664 , 67.3161 , 251.804) ; ccr_a_cortolone_d (36.8851 , 246.299 , 437.762) ; ccr_b_cortolone_d (193.954 , 339.083 , 428.924) ; ccr_zoa_dhf_d (0.873407 , 14.3541 , 15.9096) ; ccr_zob_dhe_d (5.70785 , 16.8641 , 19.2894) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.776806; 0.701097; 0.110617; 0.913673; 0.816195; 0.116364;0.351666
2; 0.783678; 0.709164; 0.4; 0.600536; 0.737018; 0.168514;0.336552
3; 0.791887; 0.66819; 0.3992; 0.600915; 0.737018; 0.168422;0.336397
4; 0.783264; 0.708919; 0.3992; 0.600915; 0.737018; 0.168422;0.336397
5; 0.772354; 0.708228; 0.244909; 0.789772; 0.802571; 0.18709;0.331192
6; 0.79488; 0.729683; 0.244909; 0.789772; 0.802571; 0.18709;0.331192
7; 0.784834; 0.720868; 0.244909; 0.789772; 0.802571; 0.18709;0.331192
8; 0.795947; 0.733811; 0.222173; 0.789034; 0.802056; 0.182838;0.329256
9; 0.789546; 0.725594; 0.222173; 0.789034; 0.802056; 0.182838;0.329256
10; 0.795985; 0.729746; 0.228523; 0.785975; 0.803342; 0.185577;0.329187
11; 0.795985; 0.734925; 0.228523; 0.785975; 0.803342; 0.185577;0.329187
12; 0.795985; 0.733874; 0.200306; 0.799621; 0.807969; 0.20399;0.326339
13; 0.796056; 0.73607; 0.200306; 0.799621; 0.807969; 0.20399;0.326339
14; 0.796382; 0.734729; 0.2008; 0.799621; 0.808226; 0.204113;0.326267
15; 0.795985; 0.719047; 0.2008; 0.799621; 0.808226; 0.204113;0.326267
16; 0.795985; 0.71594; 0.2008; 0.799621; 0.808226; 0.204113;0.326243
17; 0.797732; 0.649166; 0.200306; 0.798106; 0.806941; 0.137323;0.326023
18; 0.797611; 0.620688; 0.200306; 0.798106; 0.806941; 0.137323;0.326023
19; 0.797716; 0.662413; 0.167951; 0.867811; 0.822879; 0.215478;0.324284
20; 0.797716; 0.659924; 0.167951; 0.867811; 0.822879; 0.215478;0.324284
21; 0.798313; 0.666577; 0.189541; 0.841597; 0.819537; 0.186296;0.324234
22; 0.798722; 0.668691; 0.189541; 0.841597; 0.819537; 0.186296;0.324234
23; 0.798722; 0.666767; 0.189541; 0.841597; 0.819537; 0.186296;0.324234
24; 0.798722; 0.670626; 0.189541; 0.841597; 0.819537; 0.186296;0.324234
25; 0.798756; 0.670903; 0.186578; 0.843205; 0.818766; 0.186009;0.324173
26; 0.798756; 0.675875; 0.186578; 0.84412; 0.81928; 0.188715;0.323981
27; 0.798756; 0.679112; 0.186578; 0.84412; 0.81928; 0.188715;0.323981
28; 0.79878; 0.674645; 0.186578; 0.84412; 0.81928; 0.188715;0.323981
29; 0.79878; 0.677805; 0.186578; 0.84412; 0.81928; 0.188715;0.323981
30; 0.79878; 0.68838; 0.186578; 0.84412; 0.81928; 0.188715;0.323981
31; 0.798822; 0.698724; 0.141778; 0.886799; 0.818509; 0.239344;0.323765
32; 0.798822; 0.700633; 0.160168; 0.874718; 0.821594; 0.209045;0.323473
