#Summary : 
#Best fitness Pop 1;0.801986
#Best fitness Pop 2;0.801956
#Std deviation Pop 1;0.0536773
#Std deviation Pop 2;0.0152326
#Sensitivity;0.173077
#Specificity;0.885948
#Accuracy;0.834704
#PPV;0.283741
#RMSE;0.318351
#RRSE;0.907633
#RAE;0.654763
#MSE;0.117846
#ADM;0.446498
#MDM;0.316044
#Size;0.111111
#OverLearn;0.85

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0
#Specificity weight;0
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_sa_thf_d is MF 0 THEN 1_SousPoid is MF 1 AND 4_Obese is MF 1 AND 5_ExtremeObese is MF 0 AND 3_Surpoid is MF 0
 IF ccr_l7b_estradiol_d is MF 0 AND ccr_pt_d is MF 0 THEN 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 0 AND 1_SousPoid is MF 1
 IF ccr_zob_dhf_d is MF 1 AND ccr_l6a_oh_dha_d is MF 0 AND ccr_tha_d is MF 1 THEN 2_Normal is MF 1 AND 5_ExtremeObese is MF 0 AND 3_Surpoid is MF 0
 IF ccr_s_ad_17b_d is MF 0 AND ccr_a_cortolone_d is MF 1 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0
 IF ccr_cortisone_d is MF 0 THEN 2_Normal is MF 0 AND 5_ExtremeObese is MF 0 AND 3_Surpoid is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_s_ad_17b_d (12.3327 , 13.5288 , 55.3941) ; ccr_l7b_estradiol_d (0.377137 , 0.875441 , 14.9525) ; ccr_l6a_oh_dha_d (52.0296 , 95.6893 , 103.627) ; ccr_tha_d (3.60075 , 56.7698 , 57.2282) ; ccr_pt_d (118.602 , 396.258 , 537.361) ; ccr_sa_thf_d (106.025 , 210.795 , 444.146) ; ccr_cortisone_d (1.30382 , 43.747 , 59.7926) ; ccr_a_cortolone_d (66.8013 , 443.746 , 521.528) ; ccr_zob_dhf_d (14.612 , 26.3537 , 394.259) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.766036; 0.673092; 0.175309; 0.821448; 0.805655; 0.103198;0.38095
2; 0.770347; 0.669997; 0.025679; 0.969973; 0.798972; 0.0962963;0.350755
3; 0.783867; 0.628487; 0.175427; 0.817345; 0.802828; 0.142475;0.335723
4; 0.793442; 0.677514; 0.196405; 0.79204; 0.798715; 0.130878;0.333803
5; 0.793442; 0.675186; 0.196405; 0.79204; 0.798715; 0.130878;0.333803
6; 0.794532; 0.678244; 0.200612; 0.797727; 0.806684; 0.153866;0.331824
7; 0.786294; 0.681123; 0.200612; 0.797727; 0.806684; 0.153866;0.331824
8; 0.792289; 0.668025; 0.00919506; 0.993566; 0.801542; 0.317241;0.326652
9; 0.794284; 0.675786; 0.00919506; 0.993566; 0.801542; 0.317241;0.326652
10; 0.794923; 0.654504; 0.00919506; 0.993566; 0.801542; 0.317241;0.326652
11; 0.795891; 0.6827; 0.00919506; 0.993566; 0.801542; 0.317241;0.326652
12; 0.795891; 0.682479; 0.00919506; 0.993566; 0.801542; 0.317241;0.326652
13; 0.795891; 0.692936; 0.00919506; 0.993566; 0.801542; 0.317241;0.326652
14; 0.795891; 0.689719; 0.188454; 0.813405; 0.808483; 0.304396;0.32586
15; 0.795891; 0.685541; 0.188454; 0.813405; 0.808483; 0.304396;0.32586
16; 0.797648; 0.621628; 0.188454; 0.813405; 0.808483; 0.304396;0.32586
17; 0.797823; 0.621156; 0.188454; 0.813405; 0.808483; 0.304396;0.32586
18; 0.797823; 0.628973; 0.188454; 0.813405; 0.808483; 0.304396;0.32586
19; 0.797823; 0.644117; 0.188454; 0.813405; 0.808483; 0.304396;0.32586
20; 0.797823; 0.644944; 0.2008; 0.800536; 0.80874; 0.304247;0.325227
21; 0.797839; 0.649733; 0.2008; 0.800536; 0.80874; 0.304247;0.325227
22; 0.798051; 0.662764; 0.2008; 0.800536; 0.80874; 0.304247;0.325227
23; 0.798155; 0.701057; 0.2008; 0.800536; 0.80874; 0.304247;0.325227
24; 0.798173; 0.705928; 0.2008; 0.800536; 0.80874; 0.304247;0.325227
25; 0.798173; 0.701616; 0.2; 0.800536; 0.808483; 0.104247;0.325166
26; 0.798173; 0.709936; 0.2; 0.800536; 0.808483; 0.104247;0.325166
27; 0.798479; 0.710014; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
28; 0.798189; 0.711005; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
29; 0.798244; 0.715074; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
30; 0.798181; 0.721978; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
31; 0.798237; 0.728836; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
32; 0.798338; 0.725527; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
33; 0.79828; 0.722264; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
34; 0.79828; 0.725954; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
35; 0.798338; 0.727081; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
36; 0.79828; 0.732916; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
37; 0.79828; 0.72936; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
38; 0.798338; 0.740376; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
39; 0.798397; 0.736146; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
40; 0.798397; 0.731642; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
41; 0.798397; 0.734508; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
42; 0.798397; 0.734344; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
43; 0.798397; 0.724532; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
44; 0.798463; 0.72482; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
45; 0.798463; 0.727637; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
46; 0.798463; 0.736308; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
47; 0.798463; 0.736154; 0.189472; 0.846865; 0.821851; 0.210074;0.324674
48; 0.798531; 0.737583; 0.198025; 0.803753; 0.808997; 0.104563;0.32458
49; 0.798531; 0.737741; 0.198025; 0.803753; 0.808997; 0.104563;0.324576
50; 0.798533; 0.73671; 0.198025; 0.803753; 0.808997; 0.104563;0.324576
51; 0.798536; 0.737925; 0.198025; 0.803753; 0.808997; 0.104563;0.32457
52; 0.798536; 0.734985; 0.198025; 0.803753; 0.808997; 0.104563;0.32457
53; 0.798536; 0.73596; 0.198025; 0.803753; 0.808997; 0.104563;0.32457
54; 0.798536; 0.737143; 0.198025; 0.803753; 0.808997; 0.104563;0.32457
55; 0.798536; 0.736371; 0.198025; 0.803753; 0.808997; 0.104563;0.32457
56; 0.798536; 0.733644; 0.198025; 0.803753; 0.808997; 0.104563;0.32457
57; 0.798536; 0.729462; 0.198025; 0.803753; 0.808997; 0.104563;0.32457
58; 0.798536; 0.728192; 0.198025; 0.803753; 0.808997; 0.104563;0.32457
59; 0.798537; 0.704452; 0.198025; 0.803753; 0.808997; 0.104563;0.32457
60; 0.798537; 0.727152; 0.198025; 0.803753; 0.808997; 0.104563;0.32457
61; 0.798537; 0.723628; 0.198025; 0.803753; 0.808997; 0.104563;0.32457
62; 0.798537; 0.709912; 0.198025; 0.803753; 0.808997; 0.104563;0.32457
63; 0.798537; 0.728546; 0.198025; 0.803753; 0.808997; 0.104563;0.32457
64; 0.798537; 0.7094; 0.198025; 0.803753; 0.808997; 0.104563;0.324563
65; 0.798537; 0.734183; 0.198025; 0.803753; 0.808997; 0.104563;0.324562
66; 0.798537; 0.732874; 0.198025; 0.803753; 0.808997; 0.104563;0.324562
67; 0.798541; 0.711459; 0.198025; 0.803753; 0.808997; 0.104563;0.324562
68; 0.798562; 0.709797; 0.197037; 0.804826; 0.808997; 0.104587;0.324524
69; 0.798562; 0.705297; 0.197037; 0.804826; 0.808997; 0.104587;0.324524
70; 0.798563; 0.712551; 0.197037; 0.804826; 0.808997; 0.104587;0.324523
71; 0.798563; 0.709002; 0.197037; 0.804826; 0.808997; 0.104587;0.324523
72; 0.798563; 0.709158; 0.2008; 0.799621; 0.808226; 0.204113;0.324458
73; 0.798563; 0.729524; 0.201412; 0.801008; 0.80874; 0.204404;0.324357
74; 0.798562; 0.711412; 0.199812; 0.801766; 0.80874; 0.204404;0.324348
75; 0.798552; 0.729556; 0.199812; 0.801766; 0.80874; 0.204404;0.324348
76; 0.798741; 0.745249; 0.199812; 0.802145; 0.808997; 0.304404;0.324201
77; 0.798744; 0.744481; 0.199812; 0.802145; 0.808997; 0.304404;0.324194
78; 0.798773; 0.740622; 0.199812; 0.802145; 0.808997; 0.304404;0.324143
79; 0.798773; 0.745482; 0.199812; 0.802145; 0.808997; 0.304404;0.324143
80; 0.798773; 0.747892; 0.199812; 0.802145; 0.808997; 0.304404;0.324143
81; 0.798773; 0.748135; 0.199812; 0.802145; 0.808997; 0.304404;0.324143
82; 0.798773; 0.749195; 0.199812; 0.802145; 0.808997; 0.304404;0.324143
83; 0.798788; 0.744683; 0.199812; 0.802145; 0.808997; 0.304404;0.324115
84; 0.79879; 0.739287; 0.199812; 0.802145; 0.808997; 0.304404;0.324112
85; 0.798793; 0.735269; 0.199812; 0.802145; 0.808997; 0.304404;0.324106
86; 0.798793; 0.734764; 0.199812; 0.802145; 0.808997; 0.304404;0.324106
87; 0.798793; 0.729961; 0.199812; 0.802145; 0.808997; 0.304404;0.324106
88; 0.798793; 0.725024; 0.199812; 0.802145; 0.808997; 0.304404;0.324106
89; 0.798793; 0.731388; 0.199812; 0.802145; 0.808997; 0.304404;0.324106
90; 0.798793; 0.724814; 0.199812; 0.802145; 0.808997; 0.304404;0.324104
91; 0.798796; 0.728977; 0.199812; 0.802145; 0.808997; 0.304404;0.324101
