#Summary : 
#Best fitness Pop 1;0.800676
#Best fitness Pop 2;0.800725
#Std deviation Pop 1;0.0495855
#Std deviation Pop 2;0.05534
#Sensitivity;0.15363
#Specificity;0.900047
#Accuracy;0.831105
#PPV;0.267037
#RMSE;0.320621
#RRSE;0.90051
#RAE;0.642319
#MSE;0.119972
#ADM;0.418577
#MDM;0.301756
#Size;0.125
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0
#Specificity weight;0
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_l7b_estradiol_d is MF 0 AND ccr_sa_thb_d is MF 2 AND ccr_thb_d is MF 2 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_zoa_dhf_d is MF 1 THEN 5_ExtremeObese is MF 0 AND 3_Surpoid is MF 0 AND 2_Normal is MF 1
 IF ccr_l6a_oh_dha_d is MF 0 AND ccr_estriol_d is MF 0 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_s_ad_17b_d is MF 0 THEN 2_Normal is MF 1 AND 3_Surpoid is MF 0 AND 1_SousPoid is MF 0
 IF ccr_a_cortolone_d is MF 2 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 1  5_ExtremeObese is 0  

Membership functions : 
ccr_s_ad_17b_d (24.2942 , 117.594 , 117.594) ; ccr_estriol_d (10.4165 , 11.0654 , 14.5263) ; ccr_l7b_estradiol_d (8.59914 , 8.84829 , 11.2152) ; ccr_l6a_oh_dha_d (0.431783 , 83.7821 , 152.579) ; ccr_thb_d (62.0029 , 92.1673 , 127.918) ; ccr_sa_thb_d (238.457 , 337.774 , 413.916) ; ccr_a_cortolone_d (54.8349 , 72.7846 , 186.466) ; ccr_zoa_dhf_d (5.53981 , 12.7987 , 65.6846) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.766036; 0.673092; 0.175309; 0.821448; 0.805655; 0.103198;0.38095
2; 0.770347; 0.669997; 0.025679; 0.969973; 0.798972; 0.0962963;0.350755
3; 0.783867; 0.628487; 0.175427; 0.817345; 0.802828; 0.142475;0.335723
4; 0.793442; 0.677514; 0.196405; 0.79204; 0.798715; 0.130878;0.333803
5; 0.793442; 0.675186; 0.196405; 0.79204; 0.798715; 0.130878;0.333803
6; 0.794532; 0.678244; 0.200612; 0.797727; 0.806684; 0.153866;0.331824
7; 0.786294; 0.681123; 0.200612; 0.797727; 0.806684; 0.153866;0.331824
8; 0.792289; 0.668025; 0.00919506; 0.993566; 0.801542; 0.317241;0.326652
9; 0.794284; 0.675786; 0.00919506; 0.993566; 0.801542; 0.317241;0.326652
10; 0.794923; 0.654504; 0.00919506; 0.993566; 0.801542; 0.317241;0.326652
11; 0.795891; 0.6827; 0.00919506; 0.993566; 0.801542; 0.317241;0.326652
12; 0.795891; 0.682479; 0.00919506; 0.993566; 0.801542; 0.317241;0.326652
13; 0.795891; 0.692936; 0.00919506; 0.993566; 0.801542; 0.317241;0.326652
14; 0.795891; 0.689719; 0.00919506; 0.993566; 0.801542; 0.317241;0.326652
15; 0.795891; 0.685541; 0.188454; 0.813405; 0.808483; 0.304396;0.32586
16; 0.795891; 0.677206; 0.188454; 0.813405; 0.808483; 0.304396;0.32586
17; 0.797648; 0.618063; 0.188454; 0.813405; 0.808483; 0.304396;0.32586
18; 0.797823; 0.627392; 0.188454; 0.813405; 0.808483; 0.304396;0.32586
19; 0.797823; 0.643039; 0.188454; 0.813405; 0.808483; 0.304396;0.32586
20; 0.797823; 0.644067; 0.110923; 0.927929; 0.822879; 0.191948;0.325447
21; 0.797823; 0.650612; 0.2008; 0.800536; 0.80874; 0.304247;0.324976
22; 0.797839; 0.664499; 0.2008; 0.800536; 0.80874; 0.304247;0.324976
23; 0.798051; 0.661152; 0.2008; 0.800536; 0.80874; 0.304247;0.324976
24; 0.798293; 0.704524; 0.199812; 0.800536; 0.808226; 0.304;0.324806
25; 0.798406; 0.701727; 0.199812; 0.800536; 0.808226; 0.304;0.324806
26; 0.798406; 0.711212; 0.199812; 0.800536; 0.808226; 0.304;0.324806
27; 0.798469; 0.711389; 0.192553; 0.843048; 0.82108; 0.207161;0.324691
28; 0.798469; 0.711225; 0.192553; 0.843048; 0.82108; 0.207161;0.324691
29; 0.798469; 0.714148; 0.194647; 0.841911; 0.82108; 0.205486;0.324573
30; 0.798475; 0.721327; 0.192672; 0.847273; 0.822622; 0.206729;0.324442
31; 0.798522; 0.727318; 0.190153; 0.847401; 0.822622; 0.206964;0.324344
32; 0.798522; 0.725718; 0.190153; 0.847401; 0.822622; 0.206964;0.324344
33; 0.798764; 0.72216; 0.189965; 0.84718; 0.822108; 0.204338;0.3239
34; 0.798797; 0.725259; 0.193422; 0.845857; 0.82365; 0.221581;0.323898
35; 0.798797; 0.727806; 0.193422; 0.845857; 0.82365; 0.221581;0.323898
36; 0.798797; 0.703307; 0.193422; 0.845857; 0.82365; 0.221581;0.323898
37; 0.799142; 0.702409; 0.19196; 0.841602; 0.822879; 0.26263;0.323438
38; 0.799142; 0.70873; 0.0962568; 0.942086; 0.818509; 0.224517;0.323138
39; 0.799142; 0.707355; 0.0962568; 0.942086; 0.818509; 0.224517;0.323138
40; 0.799163; 0.704608; 0.0962568; 0.942086; 0.818509; 0.224517;0.323099
41; 0.799163; 0.709741; 0.0962568; 0.942086; 0.818509; 0.224517;0.323099
42; 0.799351; 0.723504; 0.0962568; 0.942086; 0.818509; 0.224517;0.323099
43; 0.799351; 0.709372; 0.145235; 0.904336; 0.828792; 0.266399;0.321694
44; 0.799351; 0.711999; 0.145235; 0.904336; 0.828792; 0.266399;0.321694
45; 0.799351; 0.712155; 0.145235; 0.904336; 0.828792; 0.266399;0.321694
46; 0.799359; 0.721066; 0.145235; 0.904336; 0.828792; 0.266399;0.321694
47; 0.799359; 0.719427; 0.145235; 0.904336; 0.828792; 0.266399;0.321694
48; 0.800086; 0.745475; 0.141778; 0.903107; 0.826478; 0.288235;0.321609
49; 0.800097; 0.746508; 0.169669; 0.887808; 0.832648; 0.243221;0.321424
50; 0.800407; 0.747846; 0.147704; 0.90503; 0.830334; 0.249893;0.321195
51; 0.800407; 0.749474; 0.147704; 0.90503; 0.830334; 0.249893;0.321195
52; 0.800407; 0.752028; 0.147704; 0.90503; 0.830334; 0.249893;0.321195
53; 0.800407; 0.752461; 0.147704; 0.90503; 0.830334; 0.249893;0.321195
54; 0.800407; 0.756519; 0.147704; 0.90503; 0.830334; 0.249893;0.321195
55; 0.800407; 0.75681; 0.147704; 0.90503; 0.830334; 0.249893;0.321195
56; 0.800407; 0.759535; 0.147704; 0.90503; 0.830334; 0.249893;0.321195
57; 0.800407; 0.755364; 0.147704; 0.90503; 0.830334; 0.249893;0.321195
58; 0.800407; 0.755888; 0.147704; 0.90503; 0.830334; 0.249893;0.321195
59; 0.800407; 0.752563; 0.147704; 0.90503; 0.830334; 0.249893;0.321195
60; 0.800407; 0.753285; 0.147704; 0.90503; 0.830334; 0.249893;0.321195
61; 0.800407; 0.747736; 0.147704; 0.90503; 0.830334; 0.249893;0.321195
62; 0.800407; 0.755573; 0.147704; 0.90503; 0.830334; 0.249893;0.321195
63; 0.800407; 0.751862; 0.147704; 0.90503; 0.830334; 0.249893;0.321195
64; 0.800407; 0.752792; 0.147704; 0.90503; 0.830334; 0.249893;0.321195
65; 0.800407; 0.760484; 0.147704; 0.90503; 0.830334; 0.249893;0.321195
66; 0.800407; 0.75783; 0.147704; 0.90503; 0.830334; 0.249893;0.321193
67; 0.800407; 0.755954; 0.147704; 0.90503; 0.830334; 0.249893;0.321193
68; 0.800408; 0.754773; 0.167644; 0.885033; 0.831362; 0.255311;0.321002
69; 0.800408; 0.754331; 0.167644; 0.885033; 0.831362; 0.255311;0.321001
70; 0.800408; 0.758669; 0.167644; 0.885033; 0.831362; 0.255311;0.320999
71; 0.800408; 0.752194; 0.167644; 0.885033; 0.831362; 0.255311;0.320999
72; 0.800408; 0.751465; 0.167644; 0.885033; 0.831362; 0.255311;0.320999
73; 0.800408; 0.754641; 0.167644; 0.885033; 0.831362; 0.255311;0.320999
74; 0.800408; 0.745527; 0.167644; 0.885033; 0.831362; 0.255311;0.320999
75; 0.800595; 0.750023; 0.154123; 0.901813; 0.832134; 0.250361;0.320856
76; 0.800595; 0.756447; 0.154123; 0.901813; 0.832134; 0.250361;0.320856
77; 0.800595; 0.754344; 0.154123; 0.901813; 0.832134; 0.250361;0.320856
78; 0.800595; 0.754093; 0.154123; 0.901813; 0.832134; 0.250361;0.320856
79; 0.800595; 0.760131; 0.154123; 0.901813; 0.832134; 0.250361;0.320856
80; 0.800595; 0.762577; 0.154123; 0.901813; 0.832134; 0.250361;0.320856
81; 0.800595; 0.76267; 0.154123; 0.901813; 0.832134; 0.250361;0.320856
82; 0.800595; 0.762409; 0.154123; 0.901813; 0.832134; 0.250361;0.320856
83; 0.800595; 0.76063; 0.154123; 0.901813; 0.832134; 0.250361;0.320856
84; 0.800595; 0.755016; 0.154123; 0.901813; 0.832134; 0.250361;0.320856
85; 0.800595; 0.751492; 0.154123; 0.901813; 0.832134; 0.250361;0.320856
86; 0.800595; 0.752051; 0.154123; 0.901813; 0.832134; 0.250361;0.320856
87; 0.800595; 0.748438; 0.154123; 0.901813; 0.832134; 0.250361;0.320856
88; 0.800595; 0.739641; 0.154123; 0.901813; 0.832134; 0.250361;0.320856
89; 0.800595; 0.746581; 0.154123; 0.901813; 0.832134; 0.250361;0.320856
90; 0.800595; 0.739514; 0.154123; 0.901813; 0.832134; 0.250361;0.320856
91; 0.800595; 0.743521; 0.154123; 0.901813; 0.832134; 0.250361;0.320856
92; 0.800595; 0.744623; 0.154123; 0.901813; 0.832134; 0.250361;0.320856
93; 0.800595; 0.750663; 0.154123; 0.901813; 0.832134; 0.250361;0.320856
